,TKR
2000-01-03,869452459
2000-01-04,817517491
2000-01-05,834014481
2000-01-06,866397461
2000-01-07,885949449
2000-01-10,893892444
2000-01-11,877395454
2000-01-12,866397461
2000-01-13,863953462
2000-01-14,874951455
2000-01-18,874951455
2000-01-19,871896457
2000-01-20,806519498
2000-01-21,792466507
2000-01-24,765582523
2000-01-25,743586537
2000-01-26,732588544
2000-01-27,716091554
2000-01-28,680653576
2000-01-31,713647556
2000-02-01,721590551
2000-02-02,699594564
2000-02-03,697150566
2000-02-04,669655583
2000-02-07,675154580
2000-02-08,658657590
2000-02-09,653158593
2000-02-10,642160600
2000-02-11,634217605
2000-02-14,645215598
2000-02-15,661712588
2000-02-16,642160600
2000-02-17,620775613
2000-02-18,612221619
2000-02-22,623219612
2000-02-23,615276617
2000-02-24,612221619
2000-02-25,590225632
2000-02-28,642160600
2000-02-29,626274610
2000-03-01,628718608
2000-03-02,615276617
2000-03-03,645215598
2000-03-06,636661604
2000-03-07,634217605
2000-03-08,639716602
2000-03-09,650714595
2000-03-10,656213591
2000-03-13,645215598
2000-03-14,647659597
2000-03-15,661712588
2000-03-16,699594564
2000-03-17,716091554
2000-03-20,699594564
2000-03-21,716091554
2000-03-22,716091554
2000-03-23,719146552
2000-03-24,705093561
2000-03-27,697150566
2000-03-28,686152573
2000-03-29,691651569
2000-03-30,705093561
2000-03-31,707542916
2000-04-03,713018312
2000-04-04,705109406
2000-04-05,694158613
2000-04-06,707542916
2000-04-07,705109406
2000-04-10,707542916
2000-04-11,707542916
2000-04-12,731878012
2000-04-13,727010993
2000-04-14,694158613
2000-04-17,691116726
2000-04-18,710584803
2000-04-19,721535596
2000-04-20,742828805
2000-04-24,745870692
2000-04-25,792107374
2000-04-26,797582771
2000-04-27,794540884
2000-04-28,805491677
2000-05-01,832868660
2000-05-02,851728360
2000-05-03,895531532
2000-05-04,936292818
2000-05-05,908915835
2000-05-08,906482326
2000-05-09,876671833
2000-05-10,862679153
2000-05-11,906482326
2000-05-12,911957722
2000-05-15,908915835
2000-05-16,917433119
2000-05-17,906482326
2000-05-18,876671833
2000-05-19,860245643
2000-05-22,862679153
2000-05-23,860245643
2000-05-24,857203756
2000-05-25,824959754
2000-05-26,830435151
2000-05-30,838344057
2000-05-31,821917867
2000-06-01,854770247
2000-06-02,857203756
2000-06-05,873629946
2000-06-06,865721040
2000-06-07,838344057
2000-06-08,830435151
2000-06-09,840777566
2000-06-12,838344057
2000-06-13,849294850
2000-06-14,860245643
2000-06-15,860245643
2000-06-16,819484357
2000-06-19,816442470
2000-06-20,805491677
2000-06-21,792107374
2000-06-22,778723072
2000-06-23,797582771
2000-06-26,800016281
2000-06-27,816442470
2000-06-28,828001641
2000-06-29,816442470
2000-06-30,803574909
2000-07-03,852404292
2000-07-05,849390133
2000-07-06,846978805
2000-07-07,843964646
2000-07-10,854815620
2000-07-11,868680753
2000-07-12,860241107
2000-07-13,874106240
2000-07-14,874106240
2000-07-17,868680753
2000-07-18,852404292
2000-07-19,841553318
2000-07-20,841553318
2000-07-21,819851370
2000-07-24,806589068
2000-07-25,801163581
2000-07-26,795738094
2000-07-27,779461633
2000-07-28,771624819
2000-07-31,768610659
2000-08-01,774036146
2000-08-02,768610659
2000-08-03,768610659
2000-08-04,766199332
2000-08-07,766199332
2000-08-08,774036146
2000-08-09,774036146
2000-08-10,749922871
2000-08-11,766199332
2000-08-14,763185172
2000-08-15,722795436
2000-08-16,752334198
2000-08-17,741483224
2000-08-18,725206763
2000-08-21,714958621
2000-08-22,711944462
2000-08-23,693256673
2000-08-24,698682160
2000-08-25,706518975
2000-08-28,704107647
2000-08-29,711944462
2000-08-30,706518975
2000-08-31,704107647
2000-09-01,717369949
2000-09-05,741483224
2000-09-06,711944462
2000-09-07,711944462
2000-09-08,701093488
2000-09-11,695668001
2000-09-12,693256673
2000-09-13,704107647
2000-09-14,690242514
2000-09-15,671554725
2000-09-18,671554725
2000-09-19,625739501
2000-09-20,614888527
2000-09-21,601626226
2000-09-22,598612066
2000-09-25,620314014
2000-09-26,590775252
2000-09-27,587761092
2000-09-28,617902687
2000-09-29,590775252
2000-10-02,601011994
2000-10-03,593214433
2000-10-04,609409367
2000-10-05,598612745
2000-10-06,587816122
2000-10-09,601011994
2000-10-10,577019499
2000-10-11,571621188
2000-10-12,560824565
2000-10-13,558425316
2000-10-16,553027005
2000-10-17,555426254
2000-10-18,547628693
2000-10-19,574020438
2000-10-20,571621188
2000-10-23,577019499
2000-10-24,590215372
2000-10-25,574020438
2000-10-26,582417811
2000-10-27,593214433
2000-10-30,614807679
2000-10-31,604011056
2000-11-01,606410306
2000-11-02,622605240
2000-11-03,617206928
2000-11-06,619606178
2000-11-07,606410306
2000-11-08,595613683
2000-11-09,604011056
2000-11-10,579418749
2000-11-13,584817060
2000-11-14,582417811
2000-11-15,584817060
2000-11-16,568622126
2000-11-17,577019499
2000-11-20,582417811
2000-11-21,571621188
2000-11-22,571621188
2000-11-24,587816122
2000-11-27,595613683
2000-11-28,601011994
2000-11-29,614807679
2000-11-30,577019499
2000-12-01,622605240
2000-12-04,630402800
2000-12-05,649596796
2000-12-06,630402800
2000-12-07,630402800
2000-12-08,646597734
2000-12-11,649596796
2000-12-12,635801112
2000-12-13,606410306
2000-12-14,606410306
2000-12-15,609409367
2000-12-18,609409367
2000-12-19,625004489
2000-12-20,598612745
2000-12-21,609409367
2000-12-22,641199423
2000-12-26,665791730
2000-12-27,651996046
2000-12-28,673589291
2000-12-29,649596796
2001-01-02,638800174
2001-01-03,662792668
2001-01-04,678987602
2001-01-05,660393419
2001-01-08,649596796
2001-01-09,681386852
2001-01-10,681386852
2001-01-11,673589291
2001-01-12,673589291
2001-01-16,708378408
2001-01-17,713776720
2001-01-18,700580848
2001-01-19,719175031
2001-01-22,702980097
2001-01-23,700580848
2001-01-24,692183474
2001-01-25,700580848
2001-01-26,681386852
2001-01-29,693982912
2001-01-30,699381223
2001-01-31,702380285
2001-02-01,707778596
2001-02-02,702980097
2001-02-05,703579910
2001-02-06,690384037
2001-02-07,690384037
2001-02-08,681386852
2001-02-09,669990417
2001-02-12,695782349
2001-02-13,686785163
2001-02-14,675988540
2001-02-15,714976345
2001-02-16,691583662
2001-02-20,700580848
2001-02-21,675988540
2001-02-22,680187227
2001-02-23,674189103
2001-02-26,704779534
2001-02-27,701180660
2001-02-28,686785163
2001-03-01,686785163
2001-03-02,677188165
2001-03-05,706578971
2001-03-06,712577095
2001-03-07,711977283
2001-03-08,715576157
2001-03-09,709578033
2001-03-12,693383099
2001-03-13,696382161
2001-03-14,682586477
2001-03-15,683786101
2001-03-16,663392481
2001-03-19,669990417
2001-03-20,669990417
2001-03-21,653195670
2001-03-22,656794545
2001-03-23,656794545
2001-03-26,675388728
2001-03-27,681986664
2001-03-28,669990417
2001-03-29,668790792
2001-03-30,671789854
2001-04-02,666766927
2001-04-03,655364073
2001-04-04,666766927
2001-04-05,659565124
2001-04-06,645161518
2001-04-09,655364073
2001-04-10,664366326
2001-04-11,646361819
2001-04-12,649362570
2001-04-16,645161518
2001-04-17,661365575
2001-04-18,697974740
2001-04-19,709977745
2001-04-20,697974740
2001-04-23,702175792
2001-04-24,709377595
2001-04-25,705176543
2001-04-26,721980750
2001-04-27,741185558
2001-04-30,734583906
2001-05-01,740585408
2001-05-02,744786460
2001-05-03,738784957
2001-05-04,750787962
2001-05-07,745986760
2001-05-08,745986760
2001-05-09,767592169
2001-05-10,771793221
2001-05-11,762790967
2001-05-14,752588413
2001-05-15,758589916
2001-05-16,790998029
2001-05-17,785596677
2001-05-18,782595926
2001-05-21,791598179
2001-05-22,796999532
2001-05-23,784996527
2001-05-24,776594423
2001-05-25,773593672
2001-05-29,772993522
2001-05-30,762190817
2001-05-31,760390366
2001-06-01,761590667
2001-06-04,777794724
2001-06-05,798799982
2001-06-06,771193071
2001-06-07,775394123
2001-06-08,768192320
2001-06-11,751988263
2001-06-12,767592169
2001-06-13,766992019
2001-06-14,758589916
2001-06-15,742986009
2001-06-18,726781952
2001-06-19,705176543
2001-06-20,707577144
2001-06-21,712378346
2001-06-22,693773689
2001-06-25,693773689
2001-06-26,712978497
2001-06-27,715979248
2001-06-28,723781201
2001-06-29,727982253
2001-07-02,725500149
2001-07-03,727298909
2001-07-05,727898496
2001-07-06,721303040
2001-07-09,725500149
2001-07-10,699118325
2001-07-11,705114194
2001-07-12,713508411
2001-07-13,722502214
2001-07-16,716506345
2001-07-17,705713781
2001-07-18,711709650
2001-07-19,723101801
2001-07-20,726699322
2001-07-23,718305106
2001-07-24,689524935
2001-07-25,684128652
2001-07-26,710510476
2001-07-27,706912955
2001-07-30,710510476
2001-07-31,715307171
2001-08-01,664342285
2001-08-02,646354678
2001-08-03,644555917
2001-08-06,631964592
2001-08-07,645755091
2001-08-08,651750960
2001-08-09,665541459
2001-08-10,673935675
2001-08-13,661943937
2001-08-14,668539393
2001-08-15,670338154
2001-08-16,678732370
2001-08-17,670338154
2001-08-20,685327826
2001-08-21,679931544
2001-08-22,684728239
2001-08-23,665541459
2001-08-24,681130718
2001-08-27,681130718
2001-08-28,685927413
2001-08-29,671537328
2001-08-30,655348481
2001-08-31,643956330
2001-09-04,680531131
2001-09-05,679931544
2001-09-06,663742698
2001-09-07,646354678
2001-09-10,637360874
2001-09-17,595989378
2001-09-18,595989378
2001-09-19,573804663
2001-09-20,540827383
2001-09-21,536030688
2001-09-24,558215403
2001-09-25,574404250
2001-09-26,573205076
2001-09-27,570207141
2001-09-28,588194748
2001-10-01,578775808
2001-10-02,573982634
2001-10-03,584767276
2001-10-04,600345093
2001-10-05,596750212
2001-10-08,589560451
2001-10-09,596151066
2001-10-10,608733148
2001-10-11,630901580
2001-10-12,615323763
2001-10-15,630302433
2001-10-16,621914378
2001-10-17,617720350
2001-10-18,600345093
2001-10-19,602741680
2001-10-22,602741680
2001-10-23,600345093
2001-10-24,600944240
2001-10-25,603939974
2001-10-26,600345093
2001-10-29,594952772
2001-10-30,587163864
2001-10-31,577577515
2001-11-01,587163864
2001-11-02,591957038
2001-11-05,597948506
2001-11-06,603340827
2001-11-07,596151066
2001-11-08,596750212
2001-11-09,600345093
2001-11-12,595551919
2001-11-13,608733148
2001-11-14,617720350
2001-11-15,612927176
