,BG
2001-08-02,1203536960
2001-08-03,1203536960
2001-08-06,1203536960
2001-08-07,1203536960
2001-08-08,1203536960
2001-08-09,1203536960
2001-08-10,1203536960
2001-08-13,1203536960
2001-08-14,1203536960
2001-08-15,1199775907
2001-08-16,1203536960
2001-08-17,1192253801
2001-08-20,1195262643
2001-08-21,1196014854
2001-08-22,1196767064
2001-08-23,1196014854
2001-08-24,1192253801
2001-08-27,1202784749
2001-08-28,1222342225
2001-08-29,1238890858
2001-08-30,1260704965
2001-08-31,1372784345
2001-09-04,1359244554
2001-09-05,1369023292
2001-09-06,1353979080
2001-09-07,1353979080
2001-09-10,1316368550
2001-09-17,1278758020
2001-09-18,1281014651
2001-09-19,1308846444
2001-09-20,1263713808
2001-09-21,1241147490
2001-09-24,1286280126
2001-09-25,1312607497
2001-09-26,1327651709
2001-09-27,1278758020
2001-09-28,1278758020
2001-10-01,1454863757
2001-10-02,1412073646
2001-10-03,1583234088
2001-10-04,1476258812
2001-10-05,1369283536
2001-10-08,1365004524
2001-10-09,1480537823
2001-10-10,1407794635
2001-10-11,1377841558
2001-10-12,1390678591
2001-10-15,1369283536
2001-10-16,1365004524
2001-10-17,1394957602
2001-10-18,1420631668
2001-10-19,1421487470
2001-10-22,1540443978
2001-10-23,1509635098
2001-10-24,1459142768
2001-10-25,1510490900
2001-10-26,1497653867
2001-10-29,1514769911
2001-10-30,1506211889
2001-10-31,1507923494
2001-11-01,1591792110
2001-11-02,1566118044
2001-11-05,1557560022
2001-11-06,1621745187
2001-11-07,1600350132
2001-11-08,1630303210
2001-11-09,1613187165
2001-11-12,1626024199
2001-11-13,1549002000
2001-11-14,1540443978
2001-11-15,1587513099
2001-11-16,1575531868
2001-11-19,1591792110
2001-11-20,1626024199
2001-11-21,1626024199
2001-11-23,1617466176
2001-11-26,1647419254
2001-11-27,1630303210
2001-11-28,1630303210
2001-11-29,1643140243
2001-11-30,1655977276
2001-12-03,1703046397
2001-12-04,1709892815
2001-12-05,1711604420
2001-12-06,1810021674
2001-12-07,2032530248
2001-12-10,2011135193
2001-12-11,1946950027
2001-12-12,1972624094
2001-12-13,2053925304
2001-12-14,2066762337
2001-12-17,2006856182
2001-12-18,1951229038
2001-12-19,1972624094
2001-12-20,1925554972
2001-12-21,1925554972
2001-12-24,1916996950
2001-12-26,1916996950
2001-12-27,1960642863
2001-12-28,1966633478
2001-12-31,1992307544
2002-01-02,1976047302
2002-01-03,2053925304
2002-01-04,2028251237
2002-01-07,1934112994
2002-01-08,1908438928
2002-01-09,1805742663
2002-01-10,1887043873
2002-01-11,1904159917
2002-01-14,1903304115
2002-01-15,1939247807
2002-01-16,1934112994
2002-01-17,1972624094
2002-01-18,1899025103
2002-01-22,1891322884
2002-01-23,1831416729
2002-01-24,1835695740
2002-01-25,1737278486
2002-01-28,1767231563
2002-01-29,1762952552
2002-01-30,1591792110
2002-01-31,1655977276
2002-02-01,1668814309
2002-02-04,1647419254
2002-02-05,1634582221
2002-02-06,1626024199
2002-02-07,1630303210
