,AEE
2000-01-03,4433431577
2000-01-04,4433431577
2000-01-05,4604950904
2000-01-06,4588485049
2000-01-07,4657092780
2000-01-10,4622788914
2000-01-11,4614555987
2000-01-12,4639254770
2000-01-13,4657092780
2000-01-14,4588485049
2000-01-18,4433431577
2000-01-19,4545948256
2000-01-20,4528110246
2000-01-21,4562414111
2000-01-24,4588485049
2000-01-25,4477340525
2000-01-26,4528110246
2000-01-27,4519877318
2000-01-28,4433431577
2000-01-31,4467735442
2000-02-01,4467735442
2000-02-02,4467735442
2000-02-03,4519877318
2000-02-04,4382661856
2000-02-07,4356590918
2000-02-08,4374428928
2000-02-09,4330519980
2000-02-10,4271517332
2000-02-11,4253679322
2000-02-14,4287983187
2000-02-15,4271517332
2000-02-16,4245446394
2000-02-17,4185071591
2000-02-18,4150767725
2000-02-22,4176838663
2000-02-23,4150767725
2000-02-24,3962782542
2000-02-25,3962782542
2000-02-28,4124696787
2000-02-29,4116463860
2000-03-01,4047856129
2000-03-02,3971015470
2000-03-03,4005319335
2000-03-06,3868103873
2000-03-07,3825567080
2000-03-08,3842032936
2000-03-09,3850265863
2000-03-10,3859870946
2000-03-13,3859870946
2000-03-14,3815961998
2000-03-15,3987481325
2000-03-16,4202909601
2000-03-17,4134301870
2000-03-20,4150767725
2000-03-21,4176838663
2000-03-22,4134301870
2000-03-23,4142534797
2000-03-24,4185071591
2000-03-27,4245446394
2000-03-28,4159000653
2000-03-29,4211142528
2000-03-30,4202909601
2000-03-31,4245432100
2000-04-03,4271502950
2000-04-04,4382647100
2000-04-05,4467720400
2000-04-06,4416950850
2000-04-07,4340110450
2000-04-10,4364809150
2000-04-11,4390880000
2000-04-12,4443021700
2000-04-13,4562398750
2000-04-14,4511629200
2000-04-17,4562398750
2000-04-18,4562398750
2000-04-19,4545932950
2000-04-20,4648844200
2000-04-24,4794292100
2000-04-25,5016580400
2000-04-26,5197704200
2000-04-27,5111258750
2000-04-28,5034418350
2000-05-01,5000114600
2000-05-02,4879365400
2000-05-03,4845061650
2000-05-04,4974043750
2000-05-05,4871132500
2000-05-08,4931507100
2000-05-09,4931507100
2000-05-10,4957577950
2000-05-11,5068722100
2000-05-12,5016580400
2000-05-15,5068722100
2000-05-16,5034418350
2000-05-17,4888970450
2000-05-18,4947972900
2000-05-19,4965810850
2000-05-22,5050884150
2000-05-23,5016580400
2000-05-24,5111258750
2000-05-25,5060489200
2000-05-26,5050884150
2000-05-30,5000114600
2000-05-31,5034418350
2000-06-01,5042651250
2000-06-02,4947972900
2000-06-05,4828595850
2000-06-06,4836828750
2000-06-07,4802525000
2000-06-08,4742150400
2000-06-09,4862899600
2000-06-12,4888970450
2000-06-13,4897203350
2000-06-14,4794292100
2000-06-15,4888970450
2000-06-16,4862899600
2000-06-19,4854666700
2000-06-20,4836828750
2000-06-21,4845061650
2000-06-22,4794292100
2000-06-23,4802525000
2000-06-26,4871132500
2000-06-27,4759988350
2000-06-28,4879365400
2000-06-29,4742150400
2000-06-30,4631021842
2000-07-03,4786075314
2000-07-05,4776470232
2000-07-06,4742166366
2000-07-07,4786075314
2000-07-10,4836845035
2000-07-11,4913685694
2000-07-12,4923290776
2000-07-13,4905452766
2000-07-14,4820379180
2000-07-17,4836845035
2000-07-18,4862915973
