,NCLH
2013-01-18,4876810047
2013-01-22,5301735812
2013-01-23,5407967253
2013-01-24,5379442144
2013-01-25,5380425768
2013-01-28,5461082974
2013-01-29,5333211795
2013-01-30,5171897384
2013-01-31,5187635375
2013-02-01,5439443236
2013-02-04,5588954153
2013-02-05,5614528389
2013-02-06,5504362450
2013-02-07,5419770747
2013-02-08,5490591707
2013-02-11,5445344982
2013-02-12,5571248913
2013-02-13,5689283847
2013-02-14,5754203061
2013-02-15,5954862450
2013-02-19,6135455900
2013-02-20,6059126642
2013-02-21,5994207428
2013-02-22,5899779481
2013-02-25,6055192144
2013-02-26,5943058957
2013-02-27,5952895201
2013-02-28,6094537123
2013-03-01,6096504372
2013-03-04,5990272930
2013-03-05,5907648476
2013-03-06,5905681227
2013-03-07,5958796948
2013-03-08,5960764197
2013-03-11,6031585158
2013-03-12,6068962887
2013-03-13,6055192144
2013-03-14,5900763105
2013-03-15,5866336249
2013-03-18,5958796948
2013-03-19,5952895201
2013-03-20,6000502625
2013-03-21,5907648476
2013-03-22,5937157210
2013-03-25,5799449786
2013-03-26,5811253280
2013-03-27,5931255463
2013-03-28,5832893018
2013-04-01,6105644935
2013-04-02,6103604960
2013-04-03,5954686791
2013-04-04,5971006590
2013-04-05,5977126515
2013-04-08,6117884785
2013-04-09,6189283907
2013-04-10,6228043430
2013-04-11,6250483154
2013-04-12,6221923506
2013-04-15,6134204584
2013-04-16,6119924760
2013-04-17,6028125888
2013-04-18,5985286415
2013-04-19,6003646189
2013-04-22,5993446314
2013-04-23,5985286415
2013-04-24,5895527518
2013-04-25,6132164609
2013-04-26,6199483781
2013-04-29,6193363857
2013-04-30,6325962226
2013-05-01,6342282026
2013-05-02,6397361349
2013-05-03,6432040922
2013-05-06,6491200195
2013-05-07,6458560596
2013-05-08,6507519994
2013-05-09,6468760471
2013-05-10,6325962226
2013-05-13,6213763606
2013-05-14,6274962853
2013-05-15,6397361349
2013-05-16,6409601198
2013-05-17,6438160847
2013-05-20,6534039668
2013-05-21,6527919744
2013-05-22,6487120245
2013-05-23,6519759844
2013-05-24,6558519367
2013-05-28,6476920371
2013-05-29,6440200822
2013-05-30,6287202703
2013-05-31,6272922879
2013-06-03,6395321374
2013-06-04,6407561223
2013-06-05,6293322628
2013-06-06,6281082778
2013-06-07,6372881650
2013-06-10,6358601825
2013-06-11,6456520621
2013-06-12,6346361976
2013-06-13,6340242051
2013-06-14,6381041549
2013-06-17,6362681775
2013-06-18,6436120872
2013-06-19,6385121499
2013-06-20,6381041549
2013-06-21,6062805462
2013-06-24,5767009098
2013-06-25,5866967869
2013-06-26,6003646189
2013-06-27,6126044684
2013-06-28,6183163982
2013-07-01,6448855524
2013-07-02,6350924600
2013-07-03,6373844604
2013-07-05,6594710092
2013-07-08,6623881005
2013-07-09,6617630095
2013-07-10,6563455542
2013-07-11,6548870085
2013-07-12,6569706452
2013-07-15,6538451901
2013-07-16,6542619175
2013-07-17,6532200991
2013-07-18,6536368265
2013-07-19,6500946441
2013-07-22,6521782808
2013-07-23,6486360984
2013-07-24,6400931880
2013-07-25,6307168230
2013-07-26,6453022797
2013-07-29,6305084593
2013-07-30,6200902759
2013-07-31,6315502777
2013-08-01,6303000957
2013-08-02,6373844604
2013-08-05,6405099154
2013-08-06,6305084593
2013-08-07,6288415500
2013-08-08,6261328223
2013-08-09,6463440981
2013-08-12,6584291908
2013-08-13,6713477382
2013-08-14,6759317389
2013-08-15,6832244673
2013-08-16,6661386465
2013-08-19,6555120995
2013-08-20,6555120995
2013-08-21,6625964642
2013-08-22,6755150116
2013-08-23,6621797369
2013-08-26,6603044638
2013-08-27,6503030078
2013-08-28,6480110074
2013-08-29,6503030078
2013-08-30,6478026438
2013-09-03,6555120995
2013-09-04,6492611894
2013-09-05,6490528258
2013-09-06,6523866445
2013-09-09,6498862804
2013-09-10,6615546459
2013-09-11,6625964642
2013-09-12,6642633735
2013-09-13,6786404666
2013-09-16,6730146476
2013-09-17,6913506504
2013-09-18,6888502864
2013-09-19,6915590140
2013-09-20,6886419227
2013-09-23,6842662857
2013-09-24,6655135555
2013-09-25,6594710092
2013-09-26,6515531898
2013-09-27,6463440981
2013-09-30,6506701928
2013-10-01,6502483645
2013-10-02,6610049868
2013-10-03,6441318538
2013-10-04,6591067593
2013-10-07,6506701928
2013-10-08,6369607722
2013-10-09,6394917422
2013-10-10,6515138495
2013-10-11,6483501370
2013-10-14,6428663688
2013-10-15,6361171156
2013-10-16,6312660898
2013-10-17,6287351199
2013-10-18,6340079739
2013-10-21,6584740168
2013-10-22,6747144074
2013-10-23,6823073173
2013-10-24,6932748537
2013-10-25,6842055447
2013-10-28,6761908065
2013-10-29,6797763473
2013-10-30,6774562915
2013-10-31,6753471499
2013-11-01,6808309181
2013-11-04,6901111413
2013-11-05,6719725233
2013-11-06,6799872615
2013-11-07,6603722443
2013-11-08,6626923001
2013-11-11,6770344632
2013-11-12,6742925791
2013-11-13,6768235490
2013-11-14,6730270941
2013-11-15,6974931370
2013-11-18,6987586220
2013-11-19,6932748537
2013-11-20,6907438838
2013-11-21,7002350211
2013-11-22,7080388451
2013-11-25,7076170168
2013-11-26,7168972400
2013-11-27,7247010640
2013-11-29,7192172958
2013-12-02,7196391241
2013-12-03,7076170168
2013-12-04,7010786778
2013-12-05,6960167379
2013-12-06,7069842743
2013-12-09,7078279310
2013-12-10,7010786778
2013-12-11,6960167379
2013-12-12,6772453773
2013-12-13,6675433258
2013-12-16,6810418323
2013-12-17,6778781198
2013-12-18,6728161799
2013-12-19,6993913645
2013-12-20,7280756906
2013-12-23,7329267164
2013-12-24,7403087121
2013-12-26,7394650554
2013-12-27,7407305404
2013-12-30,7434724245
2013-12-31,7484659982
2014-01-02,7309518516
2014-01-03,7309518516
2014-01-06,7166029123
2014-01-07,7149148018
2014-01-08,7241994096
2014-01-09,7326399622
2014-01-10,7438236943
2014-01-13,7351721279
2014-01-14,7564845231
2014-01-15,7784299598
2014-01-16,7788519874
2014-01-17,7710444763
2014-01-21,7642920343
2014-01-22,7744206973
2014-01-23,7604937856
2014-01-24,7440347081
2014-01-27,7330619898
2014-01-28,7360161832
2014-01-29,7267315754
2014-01-30,7398144318
2014-01-31,7389703766
2014-02-03,7258875201
2014-02-04,7218782576
2014-02-05,7265205616
2014-02-06,7402364595
2014-02-07,7429796390
2014-02-10,7516312054
2014-02-11,7649250757
2014-02-12,7573285784
2014-02-13,7322179345
2014-02-14,7421355838
2014-02-18,7081623597
2014-02-19,7037310696
2014-02-20,7130156775
2014-02-21,7231443405
2014-02-24,7197681195
2014-02-25,7096394564
2014-02-26,6927583513
2014-02-27,7035200558
2014-02-28,7231443405
2014-03-03,7106945255
2014-03-04,7138597327
2014-03-05,6944464618
2014-03-06,7001438348
2014-03-07,7041530973
2014-03-10,6944464618
2014-03-11,6978226828
2014-03-12,6927583513
2014-03-13,6752442048
2014-03-14,6695468318
2014-03-17,6794644810
2014-03-18,6902261855
2014-03-19,6908592270
2014-03-20,7037310696
2014-03-21,7066852630
2014-03-24,7022539729
2014-03-25,6984557243
2014-03-26,6931803789
2014-03-27,6876940198
2014-03-28,6718679837
2014-03-31,6670101831
2014-04-01,6860262776
2014-04-02,6872664576
2014-04-03,6878865477
2014-04-04,6732110835
2014-04-07,6459271218
2014-04-08,6496476620
2014-04-09,6552284724
2014-04-10,6413797949
2014-04-11,6169895868
2014-04-14,6182297668
2014-04-15,6128556532
2014-04-16,6161628000
2014-04-17,6349721978
2014-04-21,6262909373
2014-04-22,6364190746
2014-04-23,6374525580
2014-04-24,6409664015
2014-04-25,6401396148
2014-04-28,6546083823
2014-04-29,6808588606
2014-04-30,6773450170
2014-05-01,6709374200
2014-05-02,6717642067
2014-05-05,6622561595
2014-05-06,6585356192
2014-05-07,6591557093
2014-05-08,6570887425
2014-05-09,6502677521
2014-05-12,6692838466
2014-05-13,6721776001
2014-05-14,6699039366
2014-05-15,6748646569
2014-05-16,6769316237
2014-05-19,6858195809
2014-05-20,6856128842
2014-05-21,6980146849
2014-05-22,6978079883
2014-05-23,7021486185
2014-05-27,6965678082
2014-05-28,6870597609
2014-05-29,6893334244
2014-05-30,6976012916
2014-06-02,7007017418
2014-06-03,7031821019
2014-06-04,7046289787
2014-06-05,7033887986
2014-06-06,6978079883
2014-06-09,6961544148
2014-06-10,6934673580
2014-06-11,6955343248
2014-06-12,6804454672
2014-06-13,6792052871
2014-06-16,6593624060
2014-06-17,6620494628
2014-06-18,6599824960
2014-06-19,6595691026
2014-06-20,6612226761
2014-06-23,6701106333
2014-06-24,6643231263
2014-06-25,6622561595
2014-06-26,6612226761
2014-06-27,6500610554
2014-06-30,6571311951
2014-07-01,6612771333
2014-07-02,6621063209
2014-07-03,6733003539
2014-07-07,6711237364
2014-07-08,6674960405
2014-07-09,6770316982
2014-07-10,6786900735
2014-07-11,6830433085
2014-07-14,6782754797
2014-07-15,6697763065
2014-07-16,6708127910
2014-07-17,6629355085
2014-07-18,6693617127
2014-07-21,6610698364
2014-07-22,6670814467
2014-07-23,6644902353
2014-07-24,6745441353
2014-07-25,6716419786
2014-07-28,6791046673
2014-07-29,6951701776
2014-07-30,6851162776
2014-07-31,6795192611
2014-08-01,6834579023
2014-08-04,6832506054
2014-08-05,6722638694
2014-08-06,6608625395
2014-08-07,6589968673
2014-08-08,6581676797
2014-08-11,6670814467
2014-08-12,6701909003
2014-08-13,6674960405
2014-08-14,6807630425
2014-08-15,6956884198
2014-08-18,6981759827
2014-08-19,6943409899
2014-08-20,7004562487
2014-08-21,6994197642
2014-08-22,7004562487
2014-08-25,7004562487
2014-08-26,7004562487
2014-08-27,6985905765
2014-08-28,6880184343
2014-08-29,6905059972
2014-09-02,7667912589
2014-09-03,7657547744
2014-09-04,7514512878
2014-09-05,7483418342
2014-09-08,7483418342
2014-09-09,7475126466
2014-09-10,7526950693
2014-09-11,7566337105
2014-09-12,7591212734
2014-09-15,7553899291
2014-09-16,7551826322
2014-09-17,7603650548
2014-09-18,7659620713
2014-09-19,7622307270
2014-09-22,7626453208
2014-09-23,7638891022
2014-09-24,7574628981
2014-09-25,7437813023
2014-09-26,7582920858
2014-09-29,7508293971
2014-09-30,7661404364
2014-10-01,7480610535
2014-10-02,7450832728
2014-10-03,7614610667
2014-10-06,7572070943
2014-10-07,7359372321
2014-10-08,7438070811
2014-10-09,7229626161
2014-10-10,7174324520
2014-10-13,6799974945
2014-10-14,6816990835
2014-10-15,6608546185
2014-10-16,6657466868
2014-10-17,6810609876
2014-10-20,6999911650
2014-10-21,7265784927
2014-10-22,7367880266
2014-10-23,7287054789
2014-10-24,7448705742
2014-10-27,7512515329
2014-10-28,7706071075
2014-10-29,7797531482
2014-10-30,8176135029
2014-10-31,8295246258
2014-11-03,8310135161
2014-11-04,8167627084
2014-11-05,8301627216
2014-11-06,8290992285
2014-11-07,8293119271
2014-11-10,8369690775
2014-11-11,8486675017
2014-11-12,8582389397
2014-11-13,8614294191
2014-11-14,8846135688
2014-11-17,8786580074
2014-11-18,8884421440
2014-11-19,8888675413
2014-11-20,8871659523
2014-11-21,8897183358
2014-11-24,8975881848
2014-11-25,8967373903
2014-11-26,8965246917
2014-11-28,9335342519
2014-12-01,9073723214
2014-12-02,9388517175
2014-12-03,9431056899
2014-12-04,9562930045
2014-12-05,9673533328
2014-12-08,9560803058
2014-12-09,9507628403
2014-12-10,9486358541
2014-12-11,9301310740
2014-12-12,9314072657
2014-12-15,9303437726
2014-12-16,9307691698
2014-12-17,9733088942
2014-12-18,9773501680
2014-12-19,9967057426
2014-12-22,9926644688
2014-12-23,10105311531
2014-12-24,10137216324
2014-12-26,10098930572
2014-12-29,10215914814
2014-12-30,9967057426
2014-12-31,10032825600
2015-01-02,10019952000
2015-01-05,9876196800
2015-01-06,9786081600
2015-01-07,9914817600
2015-01-08,10015660800
2015-01-09,9698112000
2015-01-12,9723859200
2015-01-13,9792518400
2015-01-14,9663782400
2015-01-15,9586540800
2015-01-16,9623016000
2015-01-20,9655200000
2015-01-21,9651981600
2015-01-22,9826848000
2015-01-23,9805392000
2015-01-26,9880488000
2015-01-27,9783936000
2015-01-28,9635889600
2015-01-29,9485697600
2015-01-30,9389145600
2015-02-02,9296884800
2015-02-03,9438494400
2015-02-04,9382708800
2015-02-05,9472824000
2015-02-06,9408456000
2015-02-09,9211060800
2015-02-10,9466387200
2015-02-11,9494280000
2015-02-12,9521100000
2015-02-13,9378417600
2015-02-17,9311904000
2015-02-18,10022097600
2015-02-19,10386849600
2015-02-20,10249531200
2015-02-23,10268841600
2015-02-24,10316044800
2015-02-25,10496275200
2015-02-26,10558497600
2015-02-27,10582099200
2015-03-02,10903939200
2015-03-03,10805241600
2015-03-04,10850299200
2015-03-05,11011219200
2015-03-06,10736582400
2015-03-09,10913594400
2015-03-10,10708689600
2015-03-11,10706544000
2015-03-12,10953288000
2015-03-13,10880337600
2015-03-16,11030529600
2015-03-17,11114208000
2015-03-18,11352369600
2015-03-19,11502561600
2015-03-20,11519726400
2015-03-23,11292292800
2015-03-24,11217196800
2015-03-25,10974744000
2015-03-26,10983326400
2015-03-27,11547619200
2015-03-30,11430684000
2015-03-31,12406193245
2015-04-01,12514153083
2015-04-02,12509559047
2015-04-06,12378629031
2015-04-07,12208649713
2015-04-08,12578469582
2015-04-09,12589954671
2015-04-10,12521044136
2015-04-13,12353361835
2015-04-14,12341876746
2015-04-15,12181085499
2015-04-16,12205204186
2015-04-17,11992730038
2015-04-20,11774513345
2015-04-21,11825047737
2015-04-22,11736612551
2015-04-23,11866394058
2015-04-24,11808968612
2015-04-27,11531029456
2015-04-28,11524138402
2015-04-29,11255387318
2015-04-30,11142833444
2015-05-01,11317406799
2015-05-04,11292139603
2015-05-05,11110675195
2015-05-06,11186476783
2015-05-07,11997324073
2015-05-08,12426866406
2015-05-11,12227025855
2015-05-12,12166154883
2015-05-13,12100689875
2015-05-14,12553202386
2015-05-15,12716290651
2015-05-18,12746151883
2015-05-19,13161912108
2015-05-20,12583063617
2015-05-21,12560093439
2015-05-22,12601439760
2015-05-26,12527935190
2015-05-27,12594548707
2015-05-28,12576172564
2015-05-29,12532529225
2015-06-01,12578469582
2015-06-02,12532529225
2015-06-03,12716290651
2015-06-04,12654271170
2015-06-05,12663459241
2015-06-08,12488885887
2015-06-09,12593400198
2015-06-10,12573875546
2015-06-11,12622112920
2015-06-12,12615221867
2015-06-15,12564687475
2015-06-16,12631300992
2015-06-17,12707102580
2015-06-18,12883972952
2015-06-19,12858705756
2015-06-22,13040170164
2015-06-23,12971259629
2015-06-24,13010308932
2015-06-25,12998823843
2015-06-26,13001120861
2015-06-29,12725478722
2015-06-30,12904597326
2015-07-01,12939138539
2015-07-02,12777946210
2015-07-06,12743404997
2015-07-07,13019734704
2015-07-08,12847028637
2015-07-09,12775643462
2015-07-10,13275339683
2015-07-13,13471073226
2015-07-14,13636871050
2015-07-15,13526339167
2015-07-16,13629962807
2015-07-17,13586210604
2015-07-20,13616146322
2015-07-21,13652990283
2015-07-22,13791155136
2015-07-23,13779641399
2015-07-24,13533247410
2015-07-27,13383568818
2015-07-28,13454953993
2015-07-29,13788852389
2015-07-30,13745100185
2015-07-31,14373750269
2015-08-03,14277034872
2015-08-04,13685228749
2015-08-05,14088209572
2015-08-06,13848723825
2015-08-07,14060576601
2015-08-10,14143475513
2015-08-11,13673715011
2015-08-12,13459559488
2015-08-13,13676017758
2015-08-14,13678320506
2015-08-17,13844118330
2015-08-18,13823393602
2015-08-19,13752008428
2015-08-20,13125661092
2015-08-21,12918413811
2015-08-24,12648992347
2015-08-25,12616753881
2015-08-26,13093422626
2015-08-27,13300669906
2015-08-28,13296064411
2015-08-31,13263825945
2015-09-01,12883872598
2015-09-02,13217770994
2015-09-03,13263825945
2015-09-04,13169413295
2015-09-08,13549366643
2015-09-09,13758916671
2015-09-10,13763522166
2015-09-11,14030640883
2015-09-14,14138870018
2015-09-15,14233282668
2015-09-16,14346117298
2015-09-17,14300062347
2015-09-18,14129659028
2015-09-21,14350722793
2015-09-22,13864843058
2015-09-23,14323089823
2015-09-24,14152686503
2015-09-25,13973072194
2015-09-28,13238495722
2015-09-29,12913808316
2015-09-30,13117333568
2015-10-01,13126490519
2015-10-02,13382885172
2015-10-05,13501925547
2015-10-06,13014317859
2015-10-07,13071548808
2015-10-08,13073838046
2015-10-09,13266134036
2015-10-12,13687353822
2015-10-13,13586627351
2015-10-14,13007450145
2015-10-15,13838443528
2015-10-16,13735427820
2015-10-19,13964351617
2015-10-20,13927723809
2015-10-21,13781212579
2015-10-22,13941459237
2015-10-23,14248217125
2015-10-26,14474851684
2015-10-27,14566421203
2015-10-28,14300869598
2015-10-29,14506901015
2015-10-30,14564131965
2015-11-02,14596181296
2015-11-03,13861335908
2015-11-04,13492768595
2015-11-05,13669039918
2015-11-06,13863625146
2015-11-09,13449273073
2015-11-10,13389752886
2015-11-11,13334811175
2015-11-12,13069259570
2015-11-13,12636593594
2015-11-16,12437429891
2015-11-17,12558759503
2015-11-18,12757923206
2015-11-19,13016607097
2015-11-20,13078416522
2015-11-23,13346257365
2015-11-24,13101308902
2015-11-25,13169986041
2015-11-27,13236373942
2015-11-30,13149382899
2015-12-01,13437826883
2015-12-02,13261555560
2015-12-03,13115044330
2015-12-04,13339389651
2015-12-07,13451562311
2015-12-08,13417223742
2015-12-09,13055524142
2015-12-10,13398909838
2015-12-11,13385174410
2015-12-14,13611808969
2015-12-15,13392042124
2015-12-16,13687353822
2015-12-17,13073838046
2015-12-18,13016607097
2015-12-21,13515660974
2015-12-22,13469876215
2015-12-23,13385174410
2015-12-24,13417223742
2015-12-28,13282158701
2015-12-29,13627833635
2015-12-30,13623255159
2015-12-31,13367365251
2016-01-04,13228216909
2016-01-05,13164345539
2016-01-06,12995542633
2016-01-07,12710402590
2016-01-08,12562129767
2016-01-11,12774273960
2016-01-12,12740057154
2016-01-13,11932540550
2016-01-14,11586950817
2016-01-15,10908317513
2016-01-19,10766888052
2016-01-20,10785137014
2016-01-21,10926566476
2016-01-22,10944815439
2016-01-25,10794261496
2016-01-26,11088526021
2016-01-27,10317507343
2016-01-28,9685637006
2016-01-29,10349443027
2016-02-01,10734952367
2016-02-02,9813379745
2016-02-03,9571580988
2016-02-04,9694761487
2016-02-05,9001300901
2016-02-08,8713879737
2016-02-09,8937429531
2016-02-10,8837060235
2016-02-11,8896369365
2016-02-12,8971646336
2016-02-16,9252224139
2016-02-17,9770038459
2016-02-18,9546488664
2016-02-19,9692480367
2016-02-22,10055178502
2016-02-23,10687048839
2016-02-24,10926566476
2016-02-25,11098791062
2016-02-26,11322340857
2016-02-29,11207144279
2016-03-01,11476316480
2016-03-02,11526501128
2016-03-03,11405601750
2016-03-04,11305232454
2016-03-07,11332605898
2016-03-08,10791980375
2016-03-09,10855851745
2016-03-10,10780574774
2016-03-11,11147835150
2016-03-14,11334887019
2016-03-15,11042903614
2016-03-16,11339449259
2016-03-17,11729520839
2016-03-18,11964476235
2016-03-21,12023785364
2016-03-22,11779705487
2016-03-23,11353135981
2016-03-24,11651962747
2016-03-28,11713552997
2016-03-29,11693022914
2016-03-30,12359110056
2016-03-31,12549304493
2016-04-01,12374535738
2016-04-04,12401772427
2016-04-05,12247431189
2016-04-06,12481212770
2016-04-07,12208845880
2016-04-08,12174800018
2016-04-11,12149833053
2016-04-12,12240622017
2016-04-13,12519798080
2016-04-14,12374535738
2016-04-15,12047695469
2016-04-18,11834341405
2016-04-19,11689079063
2016-04-20,11552895618
2016-04-21,11341811277
2016-04-22,11044477421
2016-04-25,11192009487
2016-04-26,11087602179
2016-04-27,11303225968
2016-04-28,11060365490
2016-04-29,11096681076
2016-05-02,11310035140
2016-05-03,11380396587
2016-05-04,11157963626
2016-05-05,11094411351
2016-05-06,11096681076
2016-05-09,11178391143
2016-05-10,10642736258
2016-05-11,10595072052
2016-05-12,10710827980
2016-05-13,10526980329
2016-05-16,10747143566
2016-05-17,10719906877
2016-05-18,10799347220
2016-05-19,10529250053
2016-05-20,10715367428
2016-05-23,10608690396
2016-05-24,10851550874
2016-05-25,10570105087
2016-05-26,10390796884
2016-05-27,10688130739
2016-05-31,10533789501
2016-06-01,10574644535
2016-06-02,10565565638
2016-06-03,10379448263
2016-06-06,10304547368
2016-06-07,10420303297
2016-06-08,10318165713
2016-06-09,10352211574
2016-06-10,10107081372
2016-06-13,9948200686
2016-06-14,9809747516
2016-06-15,9841523654
2016-06-16,9827905309
2016-06-17,9846063102
2016-06-20,10036719925
2016-06-21,10091193304
2016-06-22,10041259374
2016-06-23,10038989650
2016-06-24,9165145875
2016-06-27,8672615747
2016-06-28,8724819401
2016-06-29,8915476225
2016-06-30,9067528502
2016-07-01,9345198803
2016-07-05,9220019569
2016-07-06,9172223862
2016-07-07,9238227458
2016-07-08,9572797410
2016-07-11,9823155878
2016-07-12,10139517941
2016-07-13,10009786735
2016-07-14,9734392421
2016-07-15,9374786622
2016-07-18,9367958664
2016-07-19,9135808084
2016-07-20,9374786622
2016-07-21,9358854719
2016-07-22,9356578733
2016-07-25,9488585925
2016-07-26,9529553675
2016-07-27,9588729312
2016-07-28,9777636156
2016-07-29,9695700658
2016-08-01,9663836853
2016-08-02,9049320614
2016-08-03,9206363653
2016-08-04,9481757967
2016-08-05,9809499961
2016-08-08,9777636156
2016-08-09,8628263191
2016-08-10,8489428041
2016-08-11,8826273979
2016-08-12,8748890453
2016-08-15,8732958550
2016-08-16,8564535581
2016-08-17,8798962146
2016-08-18,8808066090
2016-08-19,8696542773
2016-08-22,8575915511
2016-08-23,8575915511
2016-08-24,8389284654
2016-08-25,8234517601
2016-08-26,8148030130
2016-08-29,8084302520
2016-08-30,8159410060
2016-08-31,8168514005
2016-09-01,8432528389
2016-09-02,8104786395
2016-09-06,8036506813
2016-09-07,7959123286
2016-09-08,7829392080
2016-09-09,7852151941
2016-09-12,8022850896
2016-09-13,8031954841
2016-09-14,8184445907
2016-09-15,8248173517
2016-09-16,8136650200
2016-09-19,8043334771
2016-09-20,8264105420
2016-09-21,8261829434
2016-09-22,8459840222
2016-09-23,8516739873
2016-09-26,8357420849
2016-09-27,8578191497
2016-09-28,8521291846
2016-09-29,8457564236
2016-09-30,8564673144
2016-10-03,8582847517
2016-10-04,8644186024
2016-10-05,8691893753
2016-10-06,8778222023
2016-10-07,8737329685
2016-10-10,8741873278
2016-10-11,8621468059
2016-10-12,8651001414
2016-10-13,8585119313
2016-10-14,8480616670
2016-10-17,8512421822
2016-10-18,8689621956
2016-10-19,8657816804
2016-10-20,8800939989
2016-10-21,8630555245
2016-10-24,8646457821
2016-10-25,8571488534
2016-10-26,8626011652
2016-10-27,8112585622
2016-10-28,8687350160
2016-10-31,8830473345
2016-11-01,8564673144
2016-11-02,8516965415
2016-11-03,8453355111
2016-11-04,8405647383
2016-11-07,8594206499
2016-11-08,8889540056
2016-11-09,8071693284
2016-11-10,8626011652
2016-11-11,8728242498
2016-11-14,9391607103
2016-11-15,9125806902
2016-11-16,8989499106
2016-11-17,9048565817
2016-11-18,9014488869
2016-11-21,8994042699
2016-11-22,9143981274
2016-11-23,9082642766
2016-11-25,9218950562
2016-11-28,9109904325
2016-11-29,9248483917
2016-11-30,9044022224
2016-12-01,8825929752
2016-12-02,8923617005
2016-12-05,9232581341
2016-12-06,9371160933
2016-12-07,9691484252
2016-12-08,10000448589
2016-12-09,10109494825
2016-12-12,9993633199
2016-12-13,9973187030
2016-12-14,10002720385
2016-12-15,10254889807
2016-12-16,10025438351
2016-12-19,9782356116
2016-12-20,10204910282
2016-12-21,10207182078
2016-12-22,9855053607
2016-12-23,9884586963
2016-12-27,9925479301
2016-12-28,9752822760
2016-12-29,9691484252
2016-12-30,9661950897
2017-01-03,9779909186
2017-01-04,10232449971
2017-01-05,10182167661
2017-01-06,10113600876
2017-01-09,10145598709
2017-01-10,10335300149
2017-01-11,10456434804
2017-01-12,10365012423
2017-01-13,10273590042
2017-01-17,10225593292
2017-01-18,10438150327
2017-01-19,10426722530
2017-01-20,10429008089
2017-01-23,10513573792
2017-01-24,10705560791
2017-01-25,10991255731
2017-01-26,11274665112
2017-01-27,11203812767
2017-01-30,10977542374
2017-01-31,10742129744
2017-02-01,10988970172
2017-02-02,10892976672
2017-02-03,10911261148
2017-02-06,10860978839
2017-02-07,10902118910
2017-02-08,10938687862
2017-02-09,10984399053
2017-02-10,10924974505
2017-02-13,10940973422
2017-02-14,10918117827
2017-02-15,10952401219
2017-02-16,10886119993
2017-02-17,10899833350
2017-02-21,11016396886
2017-02-22,11802629361
2017-02-23,11583215647
2017-02-24,11432368719
2017-02-27,11603785683
2017-02-28,11587786766
2017-03-01,11667781349
2017-03-02,11651782432
2017-03-03,11452938754
2017-03-06,11372944171
2017-03-07,11295235147
2017-03-08,11318090743
2017-03-09,11409513123
2017-03-10,11679209147
2017-03-13,11729491456
2017-03-14,11647211313
2017-03-15,11750061492
2017-03-16,11754632611
2017-03-17,11727205897
2017-03-20,11679209147
2017-03-21,11427797600
2017-03-22,11649496873
2017-03-23,11681494706
2017-03-24,11537504456
2017-03-27,11660924671
2017-03-28,11724920337
2017-03-29,11624355718
2017-03-30,11711206980
2017-03-31,11573029066
2017-04-03,11449838928
2017-04-04,11351743077
2017-04-05,11356305675
2017-04-06,11385962560
2017-04-07,11020954744
2017-04-10,11073424617
2017-04-11,10829325640
2017-04-12,10916014997
2017-04-13,10957078376
2017-04-17,11169239169
2017-04-18,11137300985
2017-04-19,11226271640
2017-04-20,11438432433
2017-04-21,11436151135
2017-04-24,11486339709
2017-04-25,11652874525
2017-04-26,12036132732
2017-04-27,12017882341
2017-04-28,12303044698
2017-05-01,12524330686
2017-05-02,12560831468
2017-05-03,12524330686
2017-05-04,12510642893
2017-05-05,12658927318
2017-05-08,12569956663
2017-05-09,12725084985
2017-05-10,12334982881
2017-05-11,12079477410
2017-05-12,11748689077
2017-05-15,11748689077
2017-05-16,11477214514
2017-05-17,10966203571
2017-05-18,11205739951
2017-05-19,11255928525
2017-05-22,11522840491
2017-05-23,11310679698
2017-05-24,11324367491
2017-05-25,11561622571
2017-05-26,11598123353
2017-05-30,11422463341
2017-05-31,11399650353
2017-06-01,11618655043
2017-06-02,11671124916
2017-06-05,11477214514
2017-06-06,11342617882
2017-06-07,11586716859
2017-06-08,11814846744
2017-06-09,11664281020
2017-06-12,11502308801
2017-06-13,11826253238
2017-06-14,11901536100
2017-06-15,12070352215
2017-06-16,12068070916
2017-06-19,12234605732
2017-06-20,12113696893
2017-06-21,12524330686
2017-06-22,12652083422
2017-06-23,12503798996
2017-06-26,12617863939
2017-06-27,12287075606
2017-06-28,12611020042
2017-06-29,12414828341
2017-06-30,12476762541
2017-07-03,12536514949
2017-07-05,12734157531
2017-07-06,12423904641
