,QCOM
2000-01-03,128539803760
2000-01-04,116167525080
2000-01-05,112139007920
2000-01-06,100397529080
2000-01-07,107522700000
2000-01-10,114246452840
2000-01-11,103537191920
2000-01-12,99107256680
2000-01-13,102590992160
2000-01-14,100669919920
2000-01-18,99680711080
2000-01-19,105099855160
2000-01-20,111551217160
2000-01-21,111063780920
2000-01-24,100397529080
2000-01-25,106805882000
2000-01-26,89329859160
2000-01-27,86018160000
2000-01-28,79251398080
2000-01-31,91035886000
2000-02-01,97530257080
2000-02-02,101831165080
2000-02-03,99766729240
2000-02-04,98519465920
2000-02-07,95652193920
2000-02-08,99680711080
2000-02-09,95566175760
2000-02-10,98161056920
2000-02-11,94619976000
2000-02-14,91121904160
2000-02-15,90763495160
2000-02-16,87365777840
2000-02-17,93186340000
2000-02-18,96412021000
2000-02-22,93587758080
2000-02-23,105286227840
2000-02-24,100125138240
2000-02-25,95738212080
2000-02-28,102691346680
2000-02-29,102103555920
2000-03-01,99637702000
2000-03-02,94749003240
2000-03-03,94533957840
2000-03-06,95523166680
2000-03-07,91752704000
2000-03-08,92555540160
2000-03-09,91035886000
2000-03-10,97573266160
2000-03-13,93315367240
2000-03-14,89688268160
2000-03-15,91752704000
2000-03-16,95250775840
2000-03-17,97673620680
2000-03-20,92913949160
2000-03-21,96498039160
2000-03-22,96684411840
2000-03-23,103307810160
2000-03-24,104655428000
2000-03-27,110474010900
2000-03-28,114835412700
2000-03-29,116823262500
2000-03-30,107729591400
2000-03-31,110755870200
2000-04-03,104406618600
2000-04-04,108753185700
2000-04-05,104777486100
2000-04-06,103190173200
2000-04-07,112936571100
2000-04-10,104718147300
2000-04-11,101944058400
2000-04-12,92805883200
2000-04-13,93829477500
2000-04-14,78015687300
2000-04-17,86693986800
2000-04-18,83207832300
2000-04-19,85121508600
2000-04-20,81219982500
2000-04-24,73891640700
2000-04-25,77837670900
2000-04-26,72141146100
2000-04-27,76769572500
2000-04-28,80433743400
2000-05-01,81412833600
2000-05-02,84320434800
2000-05-03,82288080900
2000-05-04,79128289800
2000-05-05,81412833600
2000-05-08,76398705000
2000-05-09,77882175000
2000-05-10,72185650200
2000-05-11,73669120200
2000-05-12,72690030000
2000-05-15,77377795200
2000-05-16,80611759800
2000-05-17,76517382600
2000-05-18,71903790900
2000-05-19,66147927300
2000-05-22,65599043400
2000-05-23,58878924300
2000-05-24,56935578600
2000-05-25,51179715000
2000-05-26,48999014100
2000-05-30,56653719300
2000-05-31,49236369300
2000-06-01,51179715000
2000-06-02,53909299800
2000-06-05,49889096100
2000-06-06,51090706800
2000-06-07,55392769800
2000-06-08,57439958400
2000-06-09,58641569100
2000-06-12,60584914800
2000-06-13,60362394300
2000-06-14,52292317500
2000-06-15,45572198400
2000-06-16,48776493600
2000-06-19,48346287300
2000-06-20,46684800900
2000-06-21,47841907500
2000-06-22,50630831100
2000-06-23,49236369300
2000-06-26,48290301560
2000-06-27,47484966080
2000-06-28,47395484360
2000-06-29,45859381500
2000-06-30,44740860000
2000-07-03,44934737060
2000-07-05,43577597640
2000-07-06,45993604080
2000-07-07,42220458220
2000-07-10,40922973280
2000-07-11,39521093000
2000-07-12,45486541000
2000-07-13,46232222000
2000-07-14,47022643860
2000-07-17,52063447419
2000-07-18,48558746720
2000-07-19,46977903000
2000-07-20,47022643860
2000-07-21,46843680420
2000-07-24,47440225220
2000-07-25,50989666780
2000-07-26,51213371080
2000-07-27,48886846360
2000-07-28,46560321640
2000-07-31,48424524140
2000-08-01,46933162140
2000-08-02,46187481140
2000-08-03,47917461060
2000-08-04,47723584000
2000-08-07,47395484360
2000-08-08,45531281860
2000-08-09,45814640640
2000-08-10,45814640640
2000-08-11,45948863220
2000-08-14,46694544220
2000-08-15,45769899780
2000-08-16,45113700500
2000-08-17,45158441360
2000-08-18,44561896560
2000-08-21,43995179000
2000-08-22,42220458220
2000-08-23,42086235640
2000-08-24,45203182220
2000-08-25,43905697280
2000-08-28,44278537780
2000-08-29,44934737060
2000-08-30,43488115920
2000-08-31,44651378280
2000-09-01,44189056060
2000-09-05,44278537780
2000-09-06,46097999420
2000-09-07,47813065720
2000-09-08,45904122360
2000-09-11,43338979720
2000-09-12,45814640640
2000-09-13,47723584000
2000-09-14,46694544220
2000-09-15,49408823060
2000-09-18,52063447419
2000-09-19,57790277500
2000-09-20,55955902240
2000-09-21,53644291140
2000-09-22,54434713000
2000-09-25,52463740000
2000-09-26,54996989160
2000-09-27,54622248160
2000-09-28,56076243239
2000-09-29,53408087320
2000-10-02,53453056239
2000-10-03,54337445000
2000-10-04,58789368080
2000-10-05,62117068160
2000-10-06,58324689239
2000-10-09,59493881160
