,DOW
2019-03-20,37210560000
2019-03-21,36597856000
2019-03-22,36313920000
2019-03-25,36724880000
2019-03-26,36500720000
2019-03-27,37434720000
2019-03-28,37995120000
2019-03-29,38577936000
2019-04-01,39739800000
2019-04-02,41782500000
2019-04-03,42250464000
2019-04-04,44352588000
2019-04-05,42517872000
2019-04-08,42451020000
2019-04-09,41797356000
2019-04-10,41381388000
2019-04-11,40772292000
2019-04-12,43305240000
2019-04-15,42918984000
2019-04-16,43453800000
2019-04-17,43320096000
2019-04-18,42911556000
2019-04-22,43000692000
2019-04-23,42814992000
2019-04-24,41581944000
2019-04-25,41099124000
2019-04-26,41039700000
2019-04-29,41225400000
2019-04-30,42139044000
2019-05-01,41693364000
2019-05-02,39145560000
2019-05-03,39591240000
2019-05-06,39710088000
2019-05-07,39331260000
2019-05-08,38982144000
2019-05-09,39316404000
2019-05-10,39420396000
2019-05-13,37845660000
2019-05-14,38982144000
2019-05-15,39331260000
2019-05-16,39353544000
2019-05-17,37734240000
2019-05-20,37199424000
2019-05-21,37607964000
2019-05-22,37295988000
2019-05-23,36181788000
2019-05-24,36545760000
2019-05-28,36070368000
2019-05-29,36181788000
2019-05-30,36003516000
2019-05-31,34733328000
2019-06-03,35624688000
2019-06-04,37088004000
2019-06-05,37392552000
2019-06-06,37927368000
2019-06-07,38105640000
2019-06-10,38343336000
2019-06-11,38655312000
2019-06-12,38989572000
2019-06-13,39279264000
2019-06-14,37994220000
2019-06-17,36657180000
2019-06-18,36850308000
2019-06-19,36025800000
2019-06-20,36345204000
2019-06-21,35921808000
2019-06-24,36828024000
2019-06-25,36909732000
2019-06-26,37474260000
2019-06-27,37815948000
2019-06-28,36627468000
2019-07-01,37108368000
2019-07-02,36546120000
2019-07-03,36494334000
2019-07-05,36479538000
2019-07-08,35895096000
2019-07-09,35414226000
2019-07-10,35177490000
2019-07-11,35347644000
2019-07-12,36775458000
2019-07-15,37678014000
2019-07-16,38706336000
2019-07-17,38173680000
2019-07-18,38284650000
2019-07-19,38114496000
2019-07-22,37641024000
2019-07-23,38928276000
2019-07-24,39054042000
2019-07-25,37559646000
2019-07-26,36331578000
2019-07-29,35547390000
2019-07-30,35806320000
2019-07-31,35835912000
2019-08-01,34659630000
2019-08-02,33734880000
2019-08-05,33120846000
2019-08-06,32869314000
2019-08-07,33209622000
2019-08-08,34615242000
2019-08-09,34504272000
