,SWN
2000-01-03,165873490
2000-01-04,167438434
2000-01-05,161179057
2000-01-06,161179057
2000-01-07,159614113
2000-01-10,159614113
2000-01-11,161179057
2000-01-12,158049369
2000-01-13,165873490
2000-01-14,164308746
2000-01-18,162743802
2000-01-19,150225048
2000-01-20,148660303
2000-01-21,150225048
2000-01-24,140835982
2000-01-25,139271238
2000-01-26,140835982
2000-01-27,136141549
2000-01-28,139271238
2000-01-31,142400926
2000-02-01,142400926
2000-02-02,145530615
2000-02-03,156484425
2000-02-04,154919680
2000-02-07,151789992
2000-02-08,154919680
2000-02-09,151789992
2000-02-10,156484425
2000-02-11,151789992
2000-02-14,153354736
2000-02-15,156484425
2000-02-16,161179057
2000-02-17,169003179
2000-02-18,176827500
2000-02-22,178392244
2000-02-23,178392244
2000-02-24,170568123
2000-02-25,169003179
2000-02-28,170568123
2000-02-29,175262556
2000-03-01,173697811
2000-03-02,176827500
2000-03-03,181521933
2000-03-06,175262556
2000-03-07,175262556
2000-03-08,184651621
2000-03-09,178392244
2000-03-10,172132867
2000-03-13,176827500
2000-03-14,169003179
2000-03-15,170568123
2000-03-16,173697811
2000-03-17,165873490
2000-03-20,165873490
2000-03-21,164308746
2000-03-22,162743802
2000-03-23,165873490
2000-03-24,169003179
2000-03-27,164308746
2000-03-28,164308746
2000-03-29,165873490
2000-03-30,165873490
2000-03-31,165857398
2000-04-03,167422190
2000-04-04,159598628
2000-04-05,159598628
2000-04-06,164292806
2000-04-07,173680960
2000-04-10,189327885
2000-04-11,190892477
2000-04-12,187763092
2000-04-13,187763092
2000-04-14,189327885
2000-04-17,194021862
2000-04-18,198716039
2000-04-19,189327885
2000-04-20,189327885
2000-04-24,190892477
2000-04-25,195586654
2000-04-26,197151247
2000-04-27,201845424
2000-04-28,212798171
2000-05-01,209668786
2000-05-02,211233579
2000-05-03,204974809
2000-05-04,200280632
2000-05-05,212798171
2000-05-08,211233579
2000-05-09,208104194
2000-05-10,212798171
2000-05-11,217492348
2000-05-12,209668786
2000-05-15,212798171
2000-05-16,209668786
2000-05-17,206539401
2000-05-18,204974809
2000-05-19,209668786
2000-05-22,211233579
2000-05-23,209668786
2000-05-24,211233579
2000-05-25,214362964
2000-05-26,214362964
2000-05-30,223751118
2000-05-31,231574480
2000-06-01,242527427
2000-06-02,248786197
2000-06-05,244092020
2000-06-06,245656812
2000-06-07,244092020
2000-06-08,242527427
2000-06-09,242527427
2000-06-12,242527427
2000-06-13,240962635
2000-06-14,248786197
2000-06-15,253480174
2000-06-16,258174352
2000-06-19,250350790
2000-06-20,242527427
2000-06-21,244092020
2000-06-22,172116168
2000-06-23,162728013
2000-06-26,164292806
2000-06-27,153339858
2000-06-28,158034036
2000-06-29,156469243
2000-06-30,156464412
2000-07-03,156464412
2000-07-05,154899868
2000-07-06,175240142
2000-07-07,189322039
2000-07-10,189322039
2000-07-11,200274448
2000-07-12,198709904
2000-07-13,197145159
2000-07-14,197145159
2000-07-17,189322039
2000-07-18,187757295
2000-07-19,187757295
2000-07-20,175240142
2000-07-21,179934174
2000-07-24,178369430
2000-07-25,178369430
2000-07-26,178369430
2000-07-27,178369430
2000-07-28,176804886
2000-07-31,184628006
2000-08-01,184628006
2000-08-02,184628006
2000-08-03,183063462
2000-08-04,183063462
2000-08-07,183063462
2000-08-08,179934174
2000-08-09,179934174
2000-08-10,181498718
2000-08-11,183063462
2000-08-14,184628006
2000-08-15,186192751
2000-08-16,190886583
2000-08-17,187757295
2000-08-18,184628006
2000-08-21,187757295
2000-08-22,181498718
2000-08-23,184628006
2000-08-24,183063462
2000-08-25,189322039
2000-08-28,192451327
2000-08-29,190886583
2000-08-30,187757295
2000-08-31,192451327
2000-09-01,190886583
2000-09-05,194015871
2000-09-06,200274448
2000-09-07,206533024
2000-09-08,200274448
2000-09-11,200274448
2000-09-12,197145159
2000-09-13,200274448
2000-09-14,209662312
2000-09-15,230002786
2000-09-18,239390651
2000-09-19,234696618
2000-09-20,237825907
2000-09-21,230002786
2000-09-22,220614921
2000-09-25,217485633
2000-09-26,217485633
2000-09-27,206533024
2000-09-28,222179465
2000-09-29,219050177
2000-10-02,219131377
2000-10-03,219131377
2000-10-04,209740032
2000-10-05,211305357
2000-10-06,205044460
2000-10-09,205044460
2000-10-10,206609584
2000-10-11,211305357
2000-10-12,212870481
2000-10-13,216000929
2000-10-16,217566253
2000-10-17,209740032
2000-10-18,205044460
2000-10-19,208174908
2000-10-20,212870481
2000-10-23,209740032
2000-10-24,208174908
2000-10-25,206609584
2000-10-26,203479136
2000-10-27,203479136
2000-10-30,198783564
2000-10-31,200348688
2000-11-01,200348688
2000-11-02,200348688
2000-11-03,200348688
2000-11-06,198783564
2000-11-07,198783564
2000-11-08,198783564
2000-11-09,200348688
2000-11-10,190957343
2000-11-13,190957343
2000-11-14,195653115
2000-11-15,197218239
2000-11-16,190957343
2000-11-17,192522667
2000-11-20,192522667
2000-11-21,197218239
2000-11-22,195653115
2000-11-24,197218239
2000-11-27,197218239
2000-11-28,194087791
2000-11-29,194087791
2000-11-30,192522667
2000-12-01,194087791
2000-12-04,190957343
2000-12-05,194087791
2000-12-06,187826895
2000-12-07,184696446
2000-12-08,187826895
2000-12-11,187826895
2000-12-12,186261771
2000-12-13,186261771
2000-12-14,184696446
2000-12-15,181565998
2000-12-18,184696446
2000-12-19,192522667
2000-12-20,192522667
2000-12-21,194087791
2000-12-22,192522667
2000-12-26,198783564
2000-12-27,234783618
2000-12-28,244174963
2000-12-29,259827204
2001-01-02,248722642
2001-01-03,245574254
2001-01-04,256593712
2001-01-05,261316193
2001-01-08,251871030
2001-01-09,245574254
2001-01-10,253445324
2001-01-11,250296936
2001-01-12,248722642
2001-01-16,251871030
2001-01-17,261316193
2001-01-18,256593712
2001-01-19,250296936
2001-01-22,245574254
2001-01-23,232980702
2001-01-24,229832314
2001-01-25,229832314
2001-01-26,229832314
2001-01-29,231973218
2001-01-30,233484444
2001-01-31,227187669
2001-02-01,220639022
2001-02-02,229202637
2001-02-05,236003155
2001-02-06,236003155
2001-02-07,253130385
2001-02-08,254641611
2001-02-09,257160321
2001-02-12,256404708
2001-02-13,254389740
2001-02-14,251871030
2001-02-15,252122901
2001-02-16,251871030
2001-02-20,260686516
2001-02-21,258923418
2001-02-22,257160321
2001-02-23,258167805
2001-02-26,265723936
2001-02-27,262449613
2001-02-28,261945871
2001-03-01,263205226
2001-03-02,266479549
2001-03-05,263205226
2001-03-06,264464581
2001-03-07,275798777
2001-03-08,275798777
2001-03-09,278317488
2001-03-12,254389740
2001-03-13,248092964
2001-03-14,250611674
2001-03-15,259427160
2001-03-16,254389740
2001-03-19,258923418
2001-03-20,256908450
2001-03-21,244314899
2001-03-22,246833609
2001-03-23,251871030
2001-03-26,258167805
2001-03-27,255649095
2001-03-28,254389740
2001-03-29,244314899
2001-03-30,249352319
2001-04-02,251896230
2001-04-03,252651918
2001-04-04,249629163
2001-04-05,250636748
2001-04-06,226958503
2001-04-09,226706607
2001-04-10,226706607
2001-04-11,221668682
2001-04-12,230485050
2001-04-16,230485050
2001-04-17,239301418
2001-04-18,243079861
2001-04-19,249629163
2001-04-20,250636748
2001-04-23,269528966
2001-04-24,274818786
2001-04-25,275826371
2001-04-26,287161702
2001-04-27,318900627
2001-04-30,331243542
2001-05-01,329480268
2001-05-02,325953721
2001-05-03,326709410
2001-05-04,330739749
2001-05-07,325953721
2001-05-08,326961306
2001-05-09,325198032
2001-05-10,327465099
2001-05-11,328220787
2001-05-14,329984061
2001-05-15,361722986
2001-05-16,355677476
2001-05-17,361722986
2001-05-18,401774486
2001-05-21,384393646
2001-05-22,376584863
2001-05-23,372806420
2001-05-24,376584863
2001-05-25,397996043
2001-05-29,391698637
2001-05-30,388675882
2001-05-31,386660713
2001-06-01,385401231
2001-06-04,380363307
2001-06-05,384141750
2001-06-06,372806420
2001-06-07,358952127
2001-06-08,353662306
2001-06-11,345097835
2001-06-12,349883863
2001-06-13,348120589
2001-06-14,346357316
2001-06-15,338800429
2001-06-18,321167693
2001-06-19,315374079
2001-06-20,314366495
2001-06-21,282627570
2001-06-22,285146532
2001-06-25,285650324
2001-06-26,287161702
2001-06-27,285650324
2001-06-28,279352919
2001-06-29,308572881
2001-07-02,283391853
2001-07-03,285910892
2001-07-05,284651373
2001-07-06,279865199
2001-07-09,279613295
2001-07-10,278353776
2001-07-11,278605680
2001-07-12,279613295
2001-07-13,281376622
2001-07-16,278605680
2001-07-17,293468008
2001-07-18,292712296
2001-07-19,293468008
2001-07-20,292208489
2001-07-23,294223720
2001-07-24,299765605
2001-07-25,301025124
2001-07-26,316139356
2001-07-27,317650780
2001-07-30,318154587
2001-07-31,324955992
2001-08-01,322688857
2001-08-02,317398876
2001-08-03,306567009
2001-08-06,299765605
2001-08-07,302284644
2001-08-08,303544163
2001-08-09,297246566
2001-08-10,298254182
2001-08-13,296742758
2001-08-14,293468008
2001-08-15,299513701
2001-08-16,318658395
2001-08-17,322436953
2001-08-20,327475031
2001-08-21,325207896
2001-08-22,339818320
2001-08-23,327978838
2001-08-24,329490261
2001-08-27,329490261
2001-08-28,323444569
2001-08-29,318658395
2001-08-30,316139356
2001-08-31,314879837
2001-09-04,299765605
2001-09-05,297246566
2001-09-06,294727527
2001-09-07,293468008
2001-09-10,293468008
2001-09-17,294727527
2001-09-18,284147565
2001-09-19,277094257
2001-09-20,276842353
2001-09-21,278353776
2001-09-24,283391853
2001-09-25,277094257
2001-09-26,277094257
2001-09-27,282132334
2001-09-28,298506085
2001-10-01,299857449
2001-10-02,301117354
2001-10-03,295321790
2001-10-04,292298018
2001-10-05,292298018
2001-10-08,292298018
2001-10-09,283226700
2001-10-10,309936691
2001-10-11,314976312
2001-10-12,308676786
2001-10-15,314976312
2001-10-16,317748104
2001-10-17,313716407
2001-10-18,305401032
2001-10-19,314976312
2001-10-22,320771876
2001-10-23,312708483
2001-10-24,302377260
2001-10-25,302125278
2001-10-26,302377260
2001-10-29,299857449
2001-10-30,298345563
2001-10-31,297337639
2001-11-01,299857449
2001-11-02,296077733
2001-11-05,299857449
2001-11-06,292801980
2001-11-07,291290093
2001-11-08,283730662
2001-11-09,285746510
