,DNB
2021-10-26,7933386000
2021-10-27,7924813999
2021-10-28,7946244000
2021-10-29,8074824000
2021-11-01,8143400000
2021-11-02,7993389999
2021-11-03,7997676000
2021-11-04,8529139999
2021-11-05,8164830000
2021-11-08,8181974000
2021-11-09,8357700000
2021-11-10,8289124000
2021-11-11,8250550000
2021-11-12,8679150000
2021-11-15,8679150000
2021-11-16,8357700000
2021-11-17,8563428000
2021-11-18,8396274000
2021-11-19,8130541999
2021-11-22,7877668000
2021-11-23,7821950000
2021-11-24,8019106000
2021-11-26,7779089999
2021-11-29,7950530000
2021-11-30,8143400000
2021-12-01,7971960000
2021-12-02,8164830000
2021-12-03,8066252000
2021-12-06,8194832000
2021-12-07,8327698000
2021-12-08,8169115999
2021-12-09,7993389999
2021-12-10,7860524000
2021-12-13,7967674000
2021-12-14,7860524000
2021-12-15,8087682000
2021-12-16,8254836000
2021-12-17,8379130000
2021-12-20,8284837999
2021-12-21,8396274000
2021-12-22,8563428000
2021-12-23,8610574000
2021-12-27,8623432000
2021-12-28,8764870000
2021-12-29,8666292000
2021-12-30,8709152000
2021-12-31,8785698429
2022-01-03,8751396044
2022-01-04,8751396044
2022-01-05,8549869531
2022-01-06,8532718338
2022-01-07,8434098980
2022-01-10,8498415953
2022-01-11,8644201090
2022-01-12,8644201090
2022-01-13,8391220999
2022-01-14,8446962375
2022-01-18,8421235586
2022-01-19,8537006136
2022-01-20,8631337696
2022-01-21,8618474301
2022-01-24,8657064485
2022-01-25,8627049897
2022-01-26,8618474301
2022-01-27,8635625494
2022-01-28,8386933200
2022-01-31,8601323108
2022-02-01,8867166594
2022-02-02,8850015402
2022-02-03,8438386778
2022-02-04,8408372191
2022-02-07,8365494210
2022-02-08,8468401366
2022-02-09,8455537971
2022-02-10,8258299256
2022-02-11,8159679898
2022-02-14,8189694485
2022-02-15,8545581732
2022-02-16,7846670632
2022-02-17,7700885495
2022-02-18,7816656045
2022-02-22,7632280724
2022-02-23,7585114945
2022-02-24,7739475678
2022-02-25,7773778064
2022-02-28,7958153384
2022-03-01,7778065862
2022-03-02,7726612284
2022-03-03,7760914669
2022-03-04,7314983660
2022-03-07,7096305954
2022-03-08,7040564578
2022-03-09,7353573844
2022-03-10,7109169349
2022-03-11,6723267514
2022-03-14,6924794028
2022-03-15,6989111000
2022-03-16,7203500908
2022-03-17,7259242284
2022-03-18,7323559257
2022-03-21,7233515495
2022-03-22,7323559257
2022-03-23,7186349716
2022-03-24,7216364303
2022-03-25,7284969073
2022-03-28,7250666688
2022-03-29,7567963752
2022-03-30,7589402743
2022-03-31,7518486967
2022-04-01,7475573229
2022-04-04,7501321472
2022-04-05,7441242238
2022-04-06,7475573229
2022-04-07,7505612846
2022-04-08,7454116360
2022-04-11,7385454378
2022-04-12,7346832014
2022-04-13,7372580257
2022-04-14,7321083771
2022-04-18,7303918275
2022-04-19,7548526584
2022-04-20,7552817958
2022-04-21,7346832014
2022-04-22,7170885686
2022-04-25,7303918275
2022-04-26,6870489517
2022-04-27,6836158527
2022-04-28,6999230733
2022-04-29,6776079293
2022-05-02,6849032648
2022-05-03,6797536162
2022-05-04,6900529134
2022-05-05,6591550218
2022-05-06,6501431367
2022-05-09,6201035198
2022-05-10,6716000059
2022-05-11,6570093349
2022-05-12,6651629452
2022-05-13,6909111882
2022-05-16,6836158527
2022-05-17,7123680574
2022-05-18,7046435845
2022-05-19,7102223705
2022-05-20,7136554695
2022-05-23,7196633929
2022-05-24,7183759808
2022-05-25,7183759808
2022-05-26,7368288883
2022-05-27,7501321472
2022-05-31,7411202621
2022-06-01,7179468434
2022-06-02,7102223705
2022-06-03,7059309966
2022-06-06,7106515079
2022-06-07,6913403256
2022-06-08,6784662041
2022-06-09,6462809003
2022-06-10,6325485040
2022-06-13,5982175132
2022-06-14,5926387273
2022-06-15,6299736797
2022-06-16,6072293983
2022-06-17,6252531684
2022-06-21,6265405806
2022-06-22,6282571301
2022-06-23,6368398778
2022-06-24,6591550218
2022-06-27,6655920825
2022-06-28,6475683124
2022-06-29,6449934881
2022-06-30,6451024225
2022-07-01,6481068916
2022-07-05,6150577322
2022-07-06,6305092872
2022-07-07,6296508675
