,APD
2000-01-03,6471522000
2000-01-04,6273153000
2000-01-05,6309414000
2000-01-06,6729615000
2000-01-07,7196742000
2000-01-10,6753078000
2000-01-11,6445926000
2000-01-12,6556842000
2000-01-13,6507783000
2000-01-14,6384069000
2000-01-18,6076917000
2000-01-19,6087582000
2000-01-20,5891346000
2000-01-21,5705775000
2000-01-24,5953203000
2000-01-25,6125976000
2000-01-26,6211296000
2000-01-27,6087582000
2000-01-28,5878548000
2000-01-31,5842287000
2000-02-01,6038523000
2000-02-02,5989464000
2000-02-03,6064119000
2000-02-04,6087582000
2000-02-07,6076917000
2000-02-08,5953203000
2000-02-09,5643918000
2000-02-10,5533002000
2000-02-11,5311170000
2000-02-14,5656716000
2000-02-15,5718573000
2000-02-16,5522337000
2000-02-17,5620455000
2000-02-18,5336766000
2000-02-22,5483943000
2000-02-23,5360229000
2000-02-24,5200254000
2000-02-25,5151195000
2000-02-28,5151195000
2000-02-29,5078673000
2000-03-01,5114934000
2000-03-02,5027481000
2000-03-03,5189589000
2000-03-06,4991220000
2000-03-07,4769388000
2000-03-08,4893102000
2000-03-09,4893102000
2000-03-10,4916565000
2000-03-13,4867506000
2000-03-14,4905900000
2000-03-15,5398623000
2000-03-16,5855085000
2000-03-17,5434884000
2000-03-20,5522337000
2000-03-21,5620455000
2000-03-22,5336766000
2000-03-23,5584194000
2000-03-24,5705775000
2000-03-27,5509539000
2000-03-28,5533002000
2000-03-29,5607657000
2000-03-30,5669514000
2000-03-31,5610286000
2000-04-03,5943190000
2000-04-04,5868500000
2000-04-05,5857830000
2000-04-06,5832222000
2000-04-07,5770336000
2000-04-10,5808748000
2000-04-11,6103240000
2000-04-12,6252620000
2000-04-13,5930386000
2000-04-14,5708450000
2000-04-17,5894108000
2000-04-18,5795944000
2000-04-19,5499318000
2000-04-20,5894108000
2000-04-24,6227012000
2000-04-25,6461752000
2000-04-26,6079766000
2000-04-27,6066962000
2000-04-28,6128848000
2000-05-01,6227012000
2000-05-02,6325176000
2000-05-03,6030684000
2000-05-04,6116044000
2000-05-05,6190734000
2000-05-08,6165126000
2000-05-09,5979468000
2000-05-10,6152322000
2000-05-11,6856542000
2000-05-12,7052869999
2000-05-15,6867212000
2000-05-16,6719966000
2000-05-17,6756244000
2000-05-18,6899222000
2000-05-19,7101952000
2000-05-22,7219322000
2000-05-23,7620514000
2000-05-24,7362300000
2000-05-25,7016592000
2000-05-26,6794656000
2000-05-30,6830934000
2000-05-31,6830934000
2000-06-01,7163838000
2000-06-02,7189445999
2000-06-05,7101952000
2000-06-06,6941902000
2000-06-07,6807460000
2000-06-08,6658080000
2000-06-09,6658080000
2000-06-12,6645276000
2000-06-13,6645276000
2000-06-14,6794656000
2000-06-15,6867212000
2000-06-16,6856542000
2000-06-19,6732770000
2000-06-20,6363588000
2000-06-21,6177930000
2000-06-22,6201404000
2000-06-23,6103240000
2000-06-26,6141652000
2000-06-27,6547112000
2000-06-28,6559916000
2000-06-29,6448948000
2000-06-30,6108256000
2000-07-03,6170432000
2000-07-05,6230464000
2000-07-06,6118976000
2000-07-07,5996768000
2000-07-10,5934592000
2000-07-11,6046080000
2000-07-12,5971040000
2000-07-13,6118976000
2000-07-14,6230464000
2000-07-17,6108256000
2000-07-18,6020352000
2000-07-19,5934592000
2000-07-20,6033216000
2000-07-21,6230464000
2000-07-24,6341952000
2000-07-25,6466304000
2000-07-26,6466304000
2000-07-27,6528480000
2000-07-28,6541344000
2000-07-31,6616384000
2000-08-01,6616384000
2000-08-02,6577792000
2000-08-03,6738592000
2000-08-04,6738592000
2000-08-07,6777184000
2000-08-08,6839360000
2000-08-09,6862944000
2000-08-10,6787904000
2000-08-11,6961568000
2000-08-14,7085919999
2000-08-15,7073056000
2000-08-16,7173824000
2000-08-17,7321760000
2000-08-18,7062335999
2000-08-21,7062335999
2000-08-22,7062335999
2000-08-23,7296032000
2000-08-24,7396800000
2000-08-25,7433248000
2000-08-28,7433248000
2000-08-29,7495424000
2000-08-30,7321760000
2000-08-31,7197408000
2000-09-01,7246719999
2000-09-05,7446111999
2000-09-06,7731264000
2000-09-07,7334624000
2000-09-08,7135232000
2000-09-11,7062335999
2000-09-12,7036608000
2000-09-13,6925119999
2000-09-14,6987296000
2000-09-15,6925119999
2000-09-18,6787904000
2000-09-19,6777184000
2000-09-20,6639968000
2000-09-21,6627104000
2000-09-22,6715008000
2000-09-25,6616384000
2000-09-26,6554208000
2000-09-27,6639968000
2000-09-28,6987296000
2000-09-29,7135232000
2000-10-02,7098784000
2000-10-03,7321760000
2000-10-04,7345344000
2000-10-05,7508288000
2000-10-06,7544735999
2000-10-09,7568319999
2000-10-10,7594048000
2000-10-11,7544735999
2000-10-12,7308896000
2000-10-13,7122368000
2000-10-16,7233856000
2000-10-17,7111648000
2000-10-18,7073056000
2000-10-19,6528480000
2000-10-20,6676416000
2000-10-23,6738592000
2000-10-24,7197408000
2000-10-25,7246719999
2000-10-26,7098784000
2000-10-27,7210272000
2000-10-30,7246719999
2000-10-31,7396800000
2000-11-01,7296032000
2000-11-02,7197408000
2000-11-03,7122368000
2000-11-06,7062335999
2000-11-07,7135232000
2000-11-08,7233856000
2000-11-09,7135232000
2000-11-10,6862944000
2000-11-13,6813632000
2000-11-14,6839360000
2000-11-15,6862944000
2000-11-16,6564928000
2000-11-17,6676416000
2000-11-20,6616384000
2000-11-21,6590656000
2000-11-22,6652832000
2000-11-24,6689280000
