,ETSY
2018-01-24,2310138102
2018-01-25,2321052140
2018-01-26,2328328166
2018-01-29,2299224064
2018-01-30,2290735367
2018-01-31,2274970645
2018-02-01,2323477482
2018-02-02,2278608658
2018-02-05,2236165176
2018-02-06,2268907291
2018-02-07,2256780582
2018-02-08,2150065541
2018-02-09,2259205923
2018-02-12,2257993253
2018-02-13,2355006926
2018-02-14,2419278485
2018-02-15,2402301092
2018-02-16,2541758248
2018-02-20,2584201730
2018-02-21,2598753781
2018-02-22,2550246944
2018-02-23,2555097628
2018-02-26,2561160983
2018-02-27,2550246944
2018-02-28,3069270098
2018-03-01,3070482769
2018-03-02,3117776935
2018-03-05,3080184136
2018-03-06,3112926251
2018-03-07,3163858430
2018-03-08,3199025886
2018-03-09,3386989879
2018-03-12,3386989879
2018-03-13,3385777208
2018-03-14,3440347400
2018-03-15,3441560070
2018-03-16,3431858703
2018-03-19,3374863170
2018-03-20,3433071374
2018-03-21,3510682313
2018-03-22,3388202550
2018-03-23,3230555330
2018-03-26,3317867637
2018-03-27,3354247764
2018-03-28,3384564537
2018-03-29,3402754601
2018-04-02,3341021926
2018-04-03,3324298899
2018-04-04,3325493400
2018-04-05,3409108536
2018-04-06,3300408860
2018-04-09,3296825354
2018-04-10,3571560800
2018-04-11,3607395858
2018-04-12,3652786932
2018-04-13,3460472120
2018-04-16,3510641201
2018-04-17,3616951874
2018-04-18,3631285897
2018-04-19,3610979364
2018-04-20,3584700321
2018-04-23,3551254267
2018-04-24,3460472120
2018-04-25,3431804073
2018-04-26,3527364228
2018-04-27,3523780723
2018-04-30,3576338808
2018-05-01,3621729882
2018-05-02,3675482469
2018-05-03,3685038484
2018-05-04,3653981434
2018-05-07,3753125095
2018-05-08,3753125095
2018-05-09,3582311318
2018-05-10,3497501680
2018-05-11,3584700321
2018-05-14,3514224707
2018-05-15,3474806143
2018-05-16,3511835703
2018-05-17,3520197217
2018-05-18,3540503750
2018-05-21,3511835703
2018-05-22,3462861124
2018-05-23,3509446699
2018-05-24,3523780723
2018-05-25,3636063905
2018-05-29,3632480399
2018-05-30,3787765651
2018-05-31,3863019273
2018-06-01,3777015134
2018-06-04,3782987643
2018-06-05,3932300386
2018-06-06,3999192495
2018-06-07,3993219985
2018-06-08,3971718950
2018-06-11,3828378717
2018-06-12,3968135444
2018-06-13,3940661900
2018-06-14,4975100580
2018-06-15,5081411252
2018-06-18,5234307501
2018-06-19,5175776906
2018-06-20,5280893076
2018-06-21,5208028458
2018-06-22,5157859376
2018-06-25,4987045599
2018-06-26,5014519144
2018-06-27,4828176841
2018-06-28,5045576194
2018-06-29,5039603684
2018-07-02,5128069016
2018-07-03,5104094874
2018-07-05,5257529384
2018-07-06,5359419488
2018-07-09,5335445346
2018-07-10,5249138434
2018-07-11,5201190150
2018-07-12,5183209543
2018-07-13,5154440573
2018-07-16,5143652209
2018-07-17,5304278961
2018-07-18,5327054396
2018-07-19,5182010836
2018-07-20,5250337141
2018-07-23,5182010836
2018-07-24,5006999598
2018-07-25,5152043158
2018-07-26,5107690995
2018-07-27,5030973740
2018-07-30,4822398703
2018-07-31,4897917251
2018-08-01,4938673293
2018-08-02,5082518146
2018-08-03,4979429334
2018-08-06,5086114267
2018-08-07,5255131970
2018-08-08,5168825058
2018-08-09,5241946192
2018-08-10,5521244948
2018-08-13,5416957430
2018-08-14,5530834605
2018-08-15,5377400095
2018-08-16,5469700542
2018-08-17,5577584182
2018-08-20,5621936345
2018-08-21,5702249722
2018-08-22,5734614814
2018-08-23,5850889403
2018-08-24,5878459667
2018-08-27,5770576027
2018-08-28,5739409642
2018-08-29,5725025157
2018-08-30,5790954048
2018-08-31,5836504918
2018-09-04,6072650219
2018-09-05,5680672994
2018-09-06,5528437191
2018-09-07,5650705316
2018-09-10,5656698852
2018-09-11,5921613123
2018-09-12,5894042859
2018-09-13,6059464441
2018-09-14,6335167076
2018-09-17,6005522621
2018-09-18,6188924808
2018-09-19,6012714863
2018-09-20,5843697161
2018-09-21,5698653600
2018-09-24,5897638981
2018-09-25,6046278662
2018-09-26,6101419189
2018-09-27,6234475679
2018-09-28,6158957131
2018-10-01,6004837883
2018-10-02,5711567178
2018-10-03,5786086783
2018-10-04,5531277810
2018-10-05,5336565292
2018-10-08,5167093286
2018-10-09,5078150532
2018-10-10,4805312621
2018-10-11,4686321638
2018-10-12,4994015493
2018-10-15,4945938328
2018-10-16,5217574309
2018-10-17,5188728011
2018-10-18,5198343444
2018-10-19,4986803918
2018-10-22,5251228325
2018-10-23,5128631555
2018-10-24,5025265650
2018-10-25,5228391672
2018-10-26,4912284313
2018-10-29,4683917780
2018-10-30,4974784627
2018-10-31,5110602618
2018-11-01,5223583955
2018-11-02,5149064350
2018-11-05,5063727382
2018-11-06,4859399432
2018-11-07,6010847529
2018-11-08,6502436539
2018-11-09,6251233353
2018-11-12,6094982567
2018-11-13,5691134383
2018-11-14,5734403831
2018-11-15,5855798672
2018-11-16,5680317021
2018-11-19,5462767850
2018-11-20,5193535727
2018-11-21,5290891986
2018-11-23,5441133126
2018-11-26,5796904145
2018-11-27,5838971664
2018-11-28,6175511818
2018-11-29,6346185753
2018-11-30,6495224964
2018-12-03,6804120748
2018-12-04,6594985081
2018-12-06,6670706616
2018-12-07,6480801815
2018-12-10,6651475750
2018-12-11,6644264175
2018-12-12,6902678936
2018-12-13,6616619805
2018-12-14,6531282838
2018-12-17,6150271307
2018-12-18,6232002487
2018-12-19,6016857174
2018-12-20,5800509933
2018-12-21,5250026396
2018-12-24,5182718365
2018-12-26,5637047572
2018-12-27,5691134383
2018-12-28,5683922808
2018-12-31,5693137117
2019-01-02,5624920003
2019-01-03,5508831228
2019-01-04,5948053705
2019-01-07,6171853713
2019-01-08,6448312548
2019-01-09,6315468692
2019-01-10,6144327509
2019-01-11,6231693288
2019-01-14,6228102913
2019-01-15,6502168165
2019-01-16,6526103994
2019-01-17,6533284743
2019-01-18,6681686888
2019-01-22,6407621637
2019-01-23,6442328590
2019-01-24,6503364956
2019-01-25,6582353195
2019-01-28,6572778863
2019-01-29,6405228054
2019-01-30,6485413084
2019-01-31,6540465492
2019-02-01,6508152122
2019-02-04,6551236616
2019-02-05,6635012020
2019-02-06,6293926445
2019-02-07,6167066547
2019-02-08,6360946769
2019-02-11,6360946769
2019-02-12,6681686888
2019-02-13,6587140360
2019-02-14,6469854794
2019-02-15,6541662284
2019-02-19,6615863356
2019-02-20,6484216292
2019-02-21,6346585271
2019-02-22,6782217373
2019-02-25,7062266582
2019-02-26,8215973578
2019-02-27,8585782149
2019-02-28,8529532949
2019-03-01,8709051672
2019-03-04,8256664489
2019-03-05,8450544710
2019-03-06,8382327595
2019-03-07,8047225978
2019-03-08,8110655927
2019-03-11,8456528668
2019-03-12,8515171451
2019-03-13,8395492302
2019-03-14,8366769306
2019-03-15,8364375723
2019-03-18,8323684812
2019-03-19,8198021706
2019-03-20,8245893366
2019-03-21,8310520106
2019-03-22,7901217416
2019-03-25,8121427051
2019-03-26,8107065553
2019-03-27,7840181050
2019-03-28,8034061272
2019-03-29,8044832395
2019-04-01,8192731532
2019-04-02,8381443217
2019-04-03,8348989615
2019-04-04,8209559325
2019-04-05,8199943443
2019-04-08,8131430283
2019-04-09,8016039698
2019-04-10,8198741458
2019-04-11,8131430283
2019-04-12,7858579629
2019-04-15,7957142421
2019-04-16,7966758303
2019-04-17,7722755295
2019-04-18,7620586548
2019-04-22,7633808386
2019-04-23,7839347865
2019-04-24,7942718598
2019-04-25,8155469989
2019-04-26,8138642195
2019-04-29,8342979689
2019-04-30,8118208446
2019-05-01,8028059551
2019-05-02,8181913664
2019-05-03,8371827335
2019-05-06,8297304249
2019-05-07,8049695286
2019-05-08,8183115650
2019-05-09,7303262439
2019-05-10,7428268906
2019-05-13,6878961642
2019-05-14,7070077299
2019-05-15,7439086774
2019-05-16,7650636179
2019-05-17,7546063462
2019-05-20,7586930961
2019-05-21,7838145880
2019-05-22,7693907649
2019-05-23,7610970666
2019-05-24,7778046617
2019-05-28,7816510145
2019-05-29,7467934420
2019-05-30,7566497211
2019-05-31,7489570155
2019-06-03,7340523982
2019-06-04,7362159717
2019-06-05,7391007363
2019-06-06,7447500670
2019-06-07,7679483826
2019-06-10,7850165733
2019-06-11,8074936976
2019-06-12,8314132043
2019-06-13,8419906746
2019-06-14,8149460062
2019-06-17,8228791089
2019-06-18,8047291315
2019-06-19,8190327561
2019-06-20,8273264544
2019-06-21,7906659040
2019-06-24,7684291767
2019-06-25,7427066921
2019-06-26,7255183029
2019-06-27,7495580081
2019-06-28,7376583540
2019-07-01,7468988955
2019-07-02,7538792590
2019-07-03,7736168386
2019-07-05,7627852401
2019-07-08,7703673590
2019-07-09,8046674211
2019-07-10,7997330262
2019-07-11,7821617664
2019-07-12,7774680736
2019-07-15,7889014277
2019-07-16,7727743809
2019-07-17,7632666444
2019-07-18,7846891394
2019-07-19,7925119605
2019-07-22,8247660540
2019-07-23,8162211262
2019-07-24,8189892014
2019-07-25,8271730759
2019-07-26,8528078591
2019-07-29,8318667686
2019-07-30,8183874460
2019-07-31,8065930386
2019-08-01,8200723613
2019-08-02,7186163882
2019-08-05,6491738064
2019-08-06,6666247152
2019-08-07,6746882385
2019-08-08,6985177553
2019-08-09,6791412290
2019-08-12,6615699692
2019-08-13,6708370035
2019-08-14,6359351859
2019-08-15,6223355122
2019-08-16,6331671107
2019-08-19,6307600888
2019-08-20,6365369414
2019-08-21,6529046903
2019-08-22,6665043641
2019-08-23,6509790728
2019-08-26,6448411670
2019-08-27,6427951983
2019-08-28,6539878502
2019-08-29,6547099568
2019-08-30,6353334305
2019-09-03,6053660078
2019-09-04,6035607414
2019-09-05,6029589859
2019-09-06,5774445538
2019-09-09,6077730297
2019-09-10,6081340830
2019-09-11,6338892173
2019-09-12,6604868093
2019-09-13,6843163261
2019-09-16,6961107334
2019-09-17,7203013035
2019-09-18,7154872597
2019-09-19,7109139181
2019-09-20,7270409648
2019-09-23,7286055291
2019-09-24,6847977305
2019-09-25,6619310225
2019-09-26,6547099568
2019-09-27,6596443516
2019-09-30,6689811705
2019-10-01,6547727209
2019-10-02,6383146000
2019-10-03,6609297157
2019-10-04,6687443630
2019-10-07,6621137532
2019-10-08,6537070871
2019-10-09,6773286347
2019-10-10,6840184464
2019-10-11,7016606047
2019-10-14,6998845485
2019-10-15,7106592894
2019-10-16,6932539386
2019-10-17,7153954393
2019-10-18,6821239864
2019-10-21,6872153475
2019-10-22,6728884942
2019-10-23,6706388230
2019-10-24,6837816389
2019-10-25,6946747836
2019-10-28,6786902778
2019-10-29,6442347874
2019-10-30,6251717841
2019-10-31,5267782704
2019-11-01,5405723069
2019-11-04,5297383640
2019-11-05,5118593982
2019-11-06,5046367697
2019-11-07,4956380849
2019-11-08,4971773336
2019-11-11,4834424990
2019-11-12,4830872877
2019-11-13,4816664427
2019-11-14,4954012774
2019-11-15,4972957374
2019-11-18,4971773336
2019-11-19,4837977102
2019-11-20,4811928278
2019-11-21,4911387425
2019-11-22,4954012774
2019-11-25,5064128259
2019-11-26,5136354544
2019-11-27,5260086460
2019-11-29,5137538582
2019-12-02,5105569570
2019-12-03,5047551734
2019-12-04,4989533898
2019-12-05,4862841889
2019-12-06,4881786488
2019-12-09,4873498226
2019-12-10,4796535790
