,HD
2000-01-03,150393330000
2000-01-04,142457250000
2000-01-05,141742080000
2000-01-06,138996750000
2000-01-07,146494500000
2000-01-10,145779330000
2000-01-11,142018920000
2000-01-12,140865420000
2000-01-13,143333910000
2000-01-14,142895580000
2000-01-18,139573500000
2000-01-19,142757160000
2000-01-20,140865420000
2000-01-21,137843250000
2000-01-24,132652500000
2000-01-25,128615250000
2000-01-26,132375660000
2000-01-27,133229250000
2000-01-28,128338410000
2000-01-31,130702040000
2000-02-01,141665040000
2000-02-02,138480000000
2000-02-03,138780040000
2000-02-04,141088040000
2000-02-07,136172000000
2000-02-08,140788000000
2000-02-09,136310480000
2000-02-10,137464480000
2000-02-11,138618480000
2000-02-14,139195480000
2000-02-15,137903000000
2000-02-16,130979000000
2000-02-17,126086040000
2000-02-18,124632000000
2000-02-22,124193480000
2000-02-23,126663040000
2000-02-24,122462480000
2000-02-25,122324000000
2000-02-28,130540480000
2000-02-29,133425480000
2000-03-01,128394040000
2000-03-02,127240040000
2000-03-03,125786000000
2000-03-06,124055000000
2000-03-07,117708000000
2000-03-08,122324000000
2000-03-09,127817040000
2000-03-10,123478000000
2000-03-13,122324000000
2000-03-14,120731480000
2000-03-15,131556000000
2000-03-16,142819040000
2000-03-17,146281040000
2000-03-20,146858040000
2000-03-21,146558000000
2000-03-22,145542480000
2000-03-23,148012040000
2000-03-24,148589040000
2000-03-27,148589040000
2000-03-28,147712000000
2000-03-29,157082480000
2000-03-30,154636000000
2000-03-31,148866000000
2000-04-03,156367000000
2000-04-04,149004480000
2000-04-05,145542480000
2000-04-06,152905000000
2000-04-07,148012040000
2000-04-10,153920520000
2000-04-11,155513040000
2000-04-12,153043480000
2000-04-13,145404000000
2000-04-14,132133000000
2000-04-17,130702040000
2000-04-18,135595000000
2000-04-19,135595000000
2000-04-20,135318040000
2000-04-24,137464480000
2000-04-25,136172000000
2000-04-26,139634000000
2000-04-27,135733480000
2000-04-28,130402000000
2000-05-01,129884820000
2000-05-02,131458340000
2000-05-03,124956000000
2000-05-04,120906500000
2000-05-05,123359340000
2000-05-08,123937840000
2000-05-09,121485000000
2000-05-10,124956000000
2000-05-11,124678320000
2000-05-12,124956000000
2000-05-15,130741000000
2000-05-16,123799000000
2000-05-17,120906500000
2000-05-18,120328000000
2000-05-19,119309840000
2000-05-22,116579320000
2000-05-23,113386000000
2000-05-24,107601000000
2000-05-25,107601000000
2000-05-26,108480320000
