,PEP
2000-01-03,53476000000
2000-01-04,52113000000
2000-01-05,50837000000
2000-01-06,53113500000
2000-01-07,55462500000
2000-01-10,53476000000
2000-01-11,53287500000
2000-01-12,52649500000
2000-01-13,52113000000
2000-01-14,52475500000
2000-01-18,52562500000
2000-01-19,52838000000
2000-01-20,52388500000
2000-01-21,52388500000
2000-01-24,51199500000
2000-01-25,49749500000
2000-01-26,49213000000
2000-01-27,49024500000
2000-01-28,48212500000
2000-01-31,49488500000
2000-02-01,49300000000
2000-02-02,47850000000
2000-02-03,47937000000
2000-02-04,47487500000
2000-02-07,46951000000
2000-02-08,48299500000
2000-02-09,49300000000
2000-02-10,50213500000
2000-02-11,49851000000
2000-02-14,49387000000
2000-02-15,49575500000
2000-02-16,50300500000
2000-02-17,49749500000
2000-02-18,49662500000
2000-02-22,50300500000
2000-02-23,49575500000
2000-02-24,49300000000
2000-02-25,47487500000
2000-02-28,48212500000
2000-02-29,46588500000
2000-03-01,47212000000
2000-03-02,45762000000
2000-03-03,45863500000
2000-03-06,44950000000
2000-03-07,44413500000
2000-03-08,44225000000
2000-03-09,45501000000
2000-03-10,44587500000
2000-03-13,45138500000
2000-03-14,44500500000
2000-03-15,48125500000
2000-03-16,49387000000
2000-03-17,47850000000
2000-03-20,47979750000
2000-03-21,49509330000
2000-03-22,48340500000
2000-03-23,48614670000
2000-03-24,47532420000
2000-03-27,45728670000
2000-03-28,46897500000
2000-03-29,47979750000
2000-03-30,51414090000
2000-03-31,50331840000
2000-04-03,52135590000
2000-04-04,52582920000
2000-04-05,53030250000
2000-04-06,53116830000
2000-04-07,51948000000
2000-04-10,52308750000
2000-04-11,53477580000
2000-04-12,53751750000
2000-04-13,52582920000
2000-04-14,52582920000
2000-04-17,52857090000
2000-04-18,51861420000
2000-04-19,50952330000
2000-04-20,53665170000
2000-04-24,54660840000
2000-04-25,54025920000
2000-04-26,54473250000
2000-04-27,54025920000
2000-04-28,52943670000
2000-05-01,53391000000
2000-05-02,54112500000
2000-05-03,54199080000
2000-05-04,52943670000
2000-05-05,54112500000
2000-05-08,54747420000
2000-05-09,54386670000
2000-05-10,56551170000
2000-05-11,57720000000
2000-05-12,56998500000
2000-05-15,56825340000
2000-05-16,56464590000
2000-05-17,56277000000
2000-05-18,57359250000
2000-05-19,56637750000
2000-05-22,57359250000
2000-05-23,56911920000
2000-05-24,58802250000
2000-05-25,57633420000
2000-05-26,59163000000
2000-05-30,59163000000
2000-05-31,58989840000
2000-06-01,57806580000
2000-06-02,58167330000
2000-06-05,56998500000
2000-06-06,59163000000
2000-06-07,59610330000
2000-06-08,61240920000
2000-06-09,59523750000
2000-06-12,73744186026
2000-06-13,75166395327
2000-06-14,76816860443
2000-06-15,76377906955
2000-06-16,76816860443
2000-06-19,76711511606
2000-06-20,73199883700
2000-06-21,74183139514
2000-06-22,73638837188
2000-06-23,73849534863
2000-06-26,76483255792
2000-06-27,76272558118
2000-06-28,76167209281
2000-06-29,75166395327
2000-06-30,78028372071
2000-07-03,75499999979
2000-07-05,76167209281
2000-07-06,77045116257
2000-07-07,74516744165
2000-07-10,71883023235
2000-07-11,71338720910
2000-07-12,69793604631
2000-07-13,71005116259
2000-07-14,73199883700
2000-07-17,75289302304
2000-07-18,75499999979
2000-07-19,76606162769
2000-07-20,77150465094
2000-07-21,77694767420
2000-07-24,76606162769
2000-07-25,77800116257
2000-07-26,76922209280
2000-07-27,77694767420
2000-07-28,78572674396
2000-07-31,80433837186
2000-08-01,80662093000
2000-08-02,79994883698
2000-08-03,79239883698
2000-08-04,79116976722
2000-08-07,78572674396
2000-08-08,78028372071
2000-08-09,77255813932
2000-08-10,79116976722
2000-08-11,80433837186
2000-08-14,82523255791
2000-08-15,80662093000
2000-08-16,77255813932
2000-08-17,76272558118
2000-08-18,77361162769
2000-08-21,77800116257
2000-08-22,75938953467
2000-08-23,76044302304
2000-08-24,76377906955
2000-08-25,75061046490
2000-08-28,76044302304
2000-08-29,75061046490
2000-08-30,73638837188
2000-08-31,74850348816
2000-09-01,74288488351
2000-09-05,73554428589
2000-09-06,72160765732
2000-09-07,74311480018
2000-09-08,73227520018
2000-09-11,73554428589
2000-09-12,75498674304
2000-09-13,76892337162
2000-09-14,76238520018
2000-09-15,75275000018
2000-09-18,75705142876
2000-09-19,75171765733
2000-09-20,72057531446
2000-09-21,74638388590
2000-09-22,78079531448
2000-09-25,77098805733
2000-09-26,76462194304
2000-09-27,78286000019
2000-09-28,77855857162
2000-09-29,79146285734
2000-10-02,81520674306
2000-10-03,79146285734
2000-10-04,77649388590
2000-10-05,78819377162
2000-10-06,79800102877
2000-10-09,80970091448
2000-10-10,81520674306
2000-10-11,80539948591
2000-10-12,82380960020
2000-10-13,78286000019
2000-10-16,80230245734
2000-10-17,81090531448
2000-10-18,82484194306
2000-10-19,82260520020
2000-10-20,80109805734
2000-10-23,80436714305
2000-10-24,79369960019
2000-10-25,83447714306
2000-10-26,80866857163
2000-10-27,82811102877
2000-10-30,84531674306
2000-10-31,83344480020
2000-11-01,82587428592
2000-11-02,80970091448
2000-11-03,78819377162
2000-11-06,81727142877
2000-11-07,81090531448
2000-11-08,81520674306
2000-11-09,84308000021
2000-11-10,83981091449
2000-11-13,82914337163
2000-11-14,82260520020
2000-11-15,80109805734
2000-11-16,76238520018
2000-11-17,75601908590
2000-11-20,77425714305
2000-11-21,80006571448
2000-11-22,76995571447
2000-11-24,76565428590
2000-11-27,76358960019
2000-11-28,77649388590
2000-11-29,78079531448
2000-11-30,78079531448
2000-12-01,72917817161
2000-12-04,75378234304
2000-12-05,76032051447
2000-12-06,77959091447
2000-12-07,80763622877
2000-12-08,81623908591
2000-12-11,80970091448
2000-12-12,81520674306
2000-12-13,83344480020
2000-12-14,85598428592
2000-12-15,83981091449
2000-12-18,84841377163
2000-12-19,84634908592
2000-12-20,84101531449
2000-12-21,83877857163
2000-12-22,83671388592
2000-12-26,84101531449
2000-12-27,84101531449
2000-12-28,83877857163
2000-12-29,85271520021
2001-01-02,85143090897
2001-01-03,80177272716
2001-01-04,76521878777
2001-01-05,78125424231
2001-01-08,79418606049
2001-01-09,80608333322
2001-01-10,79315151504
2001-01-11,79418606049
2001-01-12,78780636352
2001-01-16,79211696958
2001-01-17,78246121201
2001-01-18,77590909080
2001-01-19,75539060595
2001-01-22,75539060595
2001-01-23,74470030292
2001-01-24,73711363626
2001-01-25,75435606050
2001-01-26,75970121201
2001-01-29,75263181807
2001-01-30,76763272716
2001-01-31,75987363625
2001-02-01,75297666656
2001-02-02,77573666655
2001-02-05,77539181807
2001-02-06,78039212110
2001-02-07,81022151503
2001-02-08,80780757564
2001-02-09,79659999988
2001-02-12,80953181806
2001-02-13,81298030291
2001-02-14,80522121200
2001-02-15,80780757564
2001-02-16,81591151503
2001-02-20,83625757564
2001-02-21,81470454534
2001-02-22,80263484837
2001-02-23,79970363625
2001-02-26,79797939382
2001-02-27,79418606049
2001-02-28,79453090897
2001-03-01,78987545443
2001-03-02,77332272716
2001-03-05,78659939382
2001-03-06,78987545443
2001-03-07,79349636352
2001-03-08,80866969685
2001-03-09,80004848473
2001-03-12,78539242413
2001-03-13,77332272716
2001-03-14,76332212110
2001-03-15,75918393928
2001-03-16,74125181807
2001-03-19,73590666656
2001-03-20,71762969686
2001-03-21,72435424232
2001-03-22,73452727262
2001-03-23,75608030292
2001-03-26,63461333338
2001-03-27,63809066671
2001-03-28,62418133338
2001-03-29,62664444449
2001-03-30,63678666671
2001-04-02,63823555560
2001-04-03,62418133338
2001-04-04,63606222227
2001-04-05,63896000004
2001-04-06,60853333338
2001-04-09,60128888893
2001-04-10,61070666671
2001-04-11,59969511115
2001-04-12,60722933337
2001-04-16,61143111115
2001-04-17,61244533338
2001-04-18,60940266671
2001-04-19,61534311115
2001-04-20,59781155560
2001-04-23,61244533338
2001-04-24,62519555560
2001-04-25,63852533338
2001-04-26,65055111116
2001-04-27,63896000004
2001-04-30,63475822227
2001-05-01,64692888893
2001-05-02,64200266671
2001-05-03,64098844449
2001-05-04,64736355560
2001-05-07,65113066671
2001-05-08,65185511116
2001-05-09,65982400005
2001-05-10,67329866671
2001-05-11,66895200005
2001-05-14,66866222227
2001-05-15,65200000005
2001-05-16,65576711116
2001-05-17,65098577782
2001-05-18,65171022227
2001-05-21,65098577782
2001-05-22,63722133338
2001-05-23,64837777782
2001-05-24,65156533338
2001-05-25,64924711116
2001-05-29,65084088893
2001-05-30,66054844449
2001-05-31,64852266671
2001-06-01,64924711116
2001-06-04,65084088893
2001-06-05,66069333338
2001-06-06,64620444449
2001-06-07,64200266671
2001-06-08,64475555560
2001-06-11,63780088893
2001-06-12,64069866671
2001-06-13,64214755560
2001-06-14,63432355560
2001-06-15,62678933338
2001-06-18,77676342838
2001-06-19,78303342838
2001-06-20,78930342838
2001-06-21,80918828552
2001-06-22,81187542837
2001-06-25,80399314266
2001-06-26,80309742837
2001-06-27,81277114266
2001-06-28,81671228551
2001-06-29,79181142838
2001-07-02,80954657123
2001-07-03,81724971409
2001-07-05,80560542837
2001-07-06,80417228552
2001-07-09,81026314266
2001-07-10,81026314266
2001-07-11,80775514266
2001-07-12,81599571409
2001-07-13,81402514266
2001-07-16,82387799980
2001-07-17,82674428551
2001-07-18,84179228551
2001-07-19,83247685694
2001-07-20,82835657123
2001-07-23,80703857123
2001-07-24,79933542838
2001-07-25,82047428551
2001-07-26,81922028551
2001-07-27,81814542837
2001-07-30,82584857123
2001-07-31,83534314265
2001-08-01,78267514266
2001-08-02,79628999980
2001-08-03,79611085695
2001-08-06,78822857124
2001-08-07,79700657123
2001-08-08,79951457123
2001-08-09,81205457123
2001-08-10,81796628551
2001-08-13,80703857123
2001-08-14,81599571409
2001-08-15,81617485694
2001-08-16,82316142837
2001-08-17,81832457123
2001-08-20,83319342837
2001-08-21,82495285694
2001-08-22,84071742837
2001-08-23,84644999979
2001-08-24,84376285694
2001-08-27,83982171408
2001-08-28,83498485694
2001-08-29,84179228551
2001-08-30,84644999979
2001-08-31,84197142837
2001-09-04,84734571408
2001-09-05,85630285693
2001-09-06,84376285694
2001-09-07,84913714265
2001-09-10,84420000000
2001-09-17,86220000000
2001-09-18,89100000000
2001-09-19,89262000000
2001-09-20,87768000000
2001-09-21,84600000000
2001-09-24,85320000000
2001-09-25,86400000000
2001-09-26,86706000000
2001-09-27,88002000000
2001-09-28,87300000000
2001-10-01,88092000000
2001-10-02,88830000000
2001-10-03,88344000000
2001-10-04,87570000000
2001-10-05,87930000000
2001-10-08,87516000000
2001-10-09,88074000000
2001-10-10,89802000000
2001-10-11,88200000000
2001-10-12,86004000000
2001-10-15,86220000000
2001-10-16,86256000000
2001-10-17,86688000000
2001-10-18,85590000000
2001-10-19,85176000000
2001-10-22,85860000000
2001-10-23,86220000000
2001-10-24,86850000000
2001-10-25,87120000000
2001-10-26,87660000000
2001-10-29,86670000000
2001-10-30,87750000000
2001-10-31,87678000000
2001-11-01,87282000000
2001-11-02,88200000000
2001-11-05,87498000000
2001-11-06,87732000000
2001-11-07,87966000000
2001-11-08,88254000000
2001-11-09,88560000000
2001-11-12,88236000000
2001-11-13,88992000000
2001-11-14,90504000000
2001-11-15,90396000000
2001-11-16,89568000000
2001-11-19,89856000000
2001-11-20,89424000000
2001-11-21,88794000000
2001-11-23,88920000000
2001-11-26,88182000000
2001-11-27,87192000000
2001-11-28,87210000000
2001-11-29,87354000000
2001-11-30,87534000000
2001-12-03,87804000000
2001-12-04,87246000000
2001-12-05,86940000000
2001-12-06,85464000000
2001-12-07,85680000000
2001-12-10,84564000000
2001-12-11,83880000000
2001-12-12,84762000000
2001-12-13,85014000000
2001-12-14,85482000000
2001-12-17,85320000000
2001-12-18,85284000000
2001-12-19,88884000000
2001-12-20,88380000000
2001-12-21,88416000000
2001-12-24,88650000000
2001-12-26,89010000000
2001-12-27,88920000000
2001-12-28,88290000000
2001-12-31,85894153841
2002-01-02,86705641020
2002-01-03,86070564097
2002-01-04,85311999995
2002-01-07,84818051277
2002-01-08,84324102559
2002-01-09,83988923072
2002-01-10,84941538456
2002-01-11,85470769225
2002-01-14,85153230764
2002-01-15,85770666661
2002-01-16,85788307687
2002-01-17,85753025636
2002-01-18,86635076918
2002-01-22,87181948712
2002-01-23,87164307687
2002-01-24,87499487174
2002-01-25,86652717943
2002-01-28,85788307687
2002-01-29,83883076918
2002-01-30,85858871789
2002-01-31,88363897430
2002-02-01,88416820507
2002-02-04,88734358969
2002-02-05,89634051276
2002-02-06,86617435892
2002-02-07,85735384610
2002-02-08,85682461533
2002-02-11,86299897430
2002-02-12,86476307687
2002-02-13,87534769225
2002-02-14,87164307687
2002-02-15,87993435892
2002-02-19,87270153841
2002-02-20,88063999994
2002-02-21,87287794866
2002-02-22,88557948712
2002-02-25,89316512815
2002-02-26,88963692302
2002-02-27,89298871789
2002-02-28,89087179482
2002-03-01,90410256405
2002-03-04,89951589738
2002-03-05,88893128199
2002-03-06,87993435892
2002-03-07,87287794866
2002-03-08,87375999994
2002-03-11,87323076918
2002-03-12,88081641020
2002-03-13,87446564097
2002-03-14,88416820507
2002-03-15,89739897430
2002-03-18,89457641020
2002-03-19,90392615379
2002-03-20,89175384610
2002-03-21,88928410251
2002-03-22,89792820507
2002-03-25,91466775490
2002-03-26,92661836714
2002-03-27,91056530592
2002-03-28,91859183653
2002-04-01,91734326510
2002-04-02,90289551000
2002-04-03,89130163245
2002-04-04,89950653041
2002-04-05,90271714266
2002-04-08,90628448959
2002-04-09,91734326510
2002-04-10,93268285694
2002-04-11,92501306102
2002-04-12,92572653041
2002-04-15,91359755082
2002-04-16,92679673449
2002-04-17,92590489775
2002-04-18,92412122428
2002-04-19,94748734673
2002-04-22,94231469367
2002-04-23,93107755081
2002-04-24,94409836714
2002-04-25,93553673449
2002-04-26,93161265285
2002-04-29,93303959163
2002-04-30,92572653041
2002-05-01,94391999979
2002-05-02,94659550999
2002-05-03,93642857122
2002-05-06,92751020388
2002-05-07,92447795898
2002-05-08,92073224469
2002-05-09,92858040796
2002-05-10,93464489775
2002-05-13,93749877530
2002-05-14,94088775489
2002-05-15,93107755081
2002-05-16,93732040795
2002-05-17,93000734673
2002-05-20,91948367326
2002-05-21,91074367327
2002-05-22,92091061204
2002-05-23,91288408143
2002-05-24,89593918347
2002-05-28,90788979572
2002-05-29,90842489776
2002-05-30,90842489776
2002-05-31,92715346918
2002-06-03,91234897939
2002-06-04,92376448959
2002-06-05,92822367326
2002-06-06,90771142837
2002-06-07,91502448959
2002-06-10,91413265286
2002-06-11,90824653041
2002-06-12,92126734673
2002-06-13,91377591816
2002-06-14,90788979572
2002-06-17,91215703705
2002-06-18,90351851853
2002-06-19,91462518520
2002-06-20,90351851853
2002-06-21,89205925927
2002-06-24,88941481483
2002-06-25,86438074075
2002-06-26,86825925927
2002-06-27,85680000001
2002-06-28,84974814816
2002-07-01,86420444446
2002-07-02,84181481483
2002-07-03,83705481483
2002-07-05,84798518520
2002-07-08,86120740742
2002-07-09,79809333335
2002-07-10,78645777779
2002-07-11,76512592594
2002-07-12,74220740742
2002-07-15,74485185186
2002-07-16,71400000001
2002-07-17,74714370371
2002-07-18,71047407408
2002-07-19,63819259260
2002-07-22,62585185186
2002-07-23,63413777779
2002-07-24,69725185186
2002-07-25,71258962964
2002-07-26,70871111112
2002-07-29,74996444446
2002-07-30,73586074075
2002-07-31,75701629631
2002-08-01,74925925927
2002-08-02,75719259260
2002-08-05,72175703705
2002-08-06,71435259260
2002-08-07,73903407408
2002-08-08,74837777779
2002-08-09,77217777779
2002-08-12,78099259260
2002-08-13,77411703705
2002-08-14,79350962964
2002-08-15,78451851853
2002-08-16,78257925927
2002-08-19,77429333334
2002-08-20,76882814816
2002-08-21,76847555557
2002-08-22,77094370371
2002-08-23,76071851853
2002-08-26,74978814816
2002-08-27,72810370371
2002-08-28,70395111112
2002-08-29,68755555557
2002-08-30,69725185186
2002-09-03,67733037038
2002-09-04,66622370371
2002-09-05,65405925927
2002-09-06,66974962964
2002-09-09,66860430000
2002-09-10,69038970000
2002-09-11,68278210000
2002-09-12,68070729999
2002-09-13,69419350000
2002-09-16,70802550000
2002-09-17,67863250000
2002-09-18,65788449999
2002-09-19,64232350000
2002-09-20,64837500000
2002-09-23,64318800000
2002-09-24,63575330000
2002-09-25,63973000000
2002-09-26,64664600000
2002-09-27,63437009999
2002-09-30,63886550000
2002-10-01,65183300000
2002-10-02,65269750000
2002-10-03,64353380000
2002-10-04,63973000000
2002-10-07,61863620000
2002-10-08,71061900000
2002-10-09,71943690000
2002-10-10,71874530000
2002-10-11,73776430000
2002-10-14,74295130000
2002-10-15,74900280000
2002-10-16,75297950000
2002-10-17,75626460000
2002-10-18,75730200000
2002-10-21,77632100000
2002-10-22,77303590000
2002-10-23,77096110000
2002-10-24,77078820000
2002-10-25,76404510000
2002-10-28,74537190000
2002-10-29,75488140000
2002-10-30,75695620000
2002-10-31,76248900000
2002-11-01,76594700000
2002-11-04,75090470000
2002-11-05,76076000000
2002-11-06,75263370000
2002-11-07,75176920000
2002-11-08,75695620000
2002-11-11,74779250000
2002-11-12,73396050000
2002-11-13,75055890000
2002-11-14,76508250000
2002-11-15,77649390000
2002-11-18,76560120000
2002-11-19,77632100000
2002-11-20,75643750000
2002-11-21,72946510000
2002-11-22,72669870000
2002-11-25,71718920000
2002-11-26,71718920000
2002-11-27,73102120000
2002-11-29,73447920000
2002-12-02,72981090000
2002-12-03,74174100000
2002-12-04,74986730000
2002-12-05,74744670000
2002-12-06,76024130000
2002-12-09,74710090000
2002-12-10,75643750000
2002-12-11,74606350000
2002-12-12,74658220000
2002-12-13,72358650000
2002-12-16,73309600000
2002-12-17,71200220000
2002-12-18,70629650000
2002-12-19,69972630000
2002-12-20,71338540000
2002-12-23,72168460000
2002-12-24,72618000000
2002-12-26,73326890000
2002-12-27,72047430000
2002-12-30,72512888870
2002-12-31,72806044425
2003-01-02,74323555536
2003-01-03,74840888869
2003-01-06,74082133314
2003-01-07,72737066647
2003-01-08,73633777758
2003-01-09,74392533314
2003-01-10,73909688869
2003-01-13,74564977758
2003-01-14,74927111091
2003-01-15,74047644425
2003-01-16,75409955536
2003-01-17,75271999980
2003-01-21,74754666647
2003-01-22,73806222203
2003-01-23,72305955536
2003-01-24,70805688870
2003-01-27,69926222204
2003-01-28,69891733315
2003-01-29,69857244426
2003-01-30,66753244427
2003-01-31,69805511093
2003-02-03,70253866648
2003-02-04,71047111092
2003-02-05,70840177759
2003-02-06,69357155537
2003-02-07,67270577760
2003-02-10,67684444427
2003-02-11,66201422205
2003-02-12,66235911094
2003-02-13,67080888871
2003-02-14,68736355537
2003-02-18,69391644426
2003-02-19,69063999982
2003-02-20,67874133315
2003-02-21,67943111093
2003-02-24,66960177760
2003-02-25,66977422204
2003-02-26,65942755538
2003-02-27,65908266649
2003-02-28,66080711094
2003-03-03,65718577760
2003-03-04,65615111094
2003-03-05,64321777761
2003-03-06,64925333316
2003-03-07,66391111094
2003-03-10,65132266649
2003-03-11,65011555538
2003-03-12,65063288872
2003-03-13,67011911093
2003-03-14,67253333316
2003-03-17,69667555537
2003-03-18,69339911093
2003-03-19,69771022204
2003-03-20,69236444426
