,KMX
2000-01-03,54317250
2000-01-04,52808437
2000-01-05,51299625
2000-01-06,54317250
2000-01-07,57334875
2000-01-10,58843687
2000-01-11,55826062
2000-01-12,52808437
2000-01-13,48282000
2000-01-14,48282000
2000-01-18,48282000
2000-01-19,48282000
2000-01-20,34702687
2000-01-21,37720312
2000-01-24,37720312
2000-01-25,37720312
2000-01-26,37720312
2000-01-27,37720312
2000-01-28,36211500
2000-01-31,37720312
2000-02-01,40737937
2000-02-02,40737937
2000-02-03,39229125
2000-02-04,40737937
2000-02-07,42246750
2000-02-08,40737937
2000-02-09,39229125
2000-02-10,37720312
2000-02-11,36211500
2000-02-14,36211500
2000-02-15,37720312
2000-02-16,36211500
2000-02-17,36211500
2000-02-18,39229125
2000-02-22,39229125
2000-02-23,39229125
2000-02-24,39229125
2000-02-25,39229125
2000-02-28,39229125
2000-02-29,39229125
2000-03-01,41468375
2000-03-02,43063312
2000-03-03,41468375
2000-03-06,52632937
2000-03-07,62202562
2000-03-08,65392437
2000-03-09,66987375
2000-03-10,65392437
2000-03-13,63797500
2000-03-14,60607625
2000-03-15,54227875
2000-03-16,57417750
2000-03-17,57417750
2000-03-20,59012687
2000-03-21,55822812
2000-03-22,59012687
2000-03-23,66987375
2000-03-24,73367125
2000-03-27,84531687
2000-03-28,98886125
2000-03-29,98886125
2000-03-30,89316500
2000-03-31,84531687
2000-04-03,97291187
2000-04-04,95696250
2000-04-05,94101312
2000-04-06,87721562
2000-04-07,78151937
2000-04-10,79746875
2000-04-11,74962062
2000-04-12,66987375
2000-04-13,63000031
2000-04-14,63797500
2000-04-17,55822812
2000-04-18,59012687
2000-04-19,55822812
2000-04-20,57417750
2000-04-24,57417750
2000-04-25,60607625
2000-04-26,59012687
2000-04-27,59012687
2000-04-28,65392437
2000-05-01,65392437
2000-05-02,70177250
2000-05-03,70177250
2000-05-04,76557000
2000-05-05,76557000
2000-05-08,68582312
2000-05-09,63797500
2000-05-10,62202562
2000-05-11,62202562
2000-05-12,65392437
2000-05-15,60607625
2000-05-16,60607625
2000-05-17,62202562
2000-05-18,62202562
2000-05-19,62202562
2000-05-22,60607625
2000-05-23,62202562
2000-05-24,62202562
2000-05-25,62202562
2000-05-26,63797500
2000-05-30,70177250
2000-05-31,68582312
2000-06-01,68665625
2000-06-02,68665625
2000-06-05,73456250
2000-06-06,84634375
2000-06-07,86231250
2000-06-08,83037500
2000-06-09,81440625
2000-06-12,79843750
2000-06-13,83037500
2000-06-14,86231250
2000-06-15,86231250
2000-06-16,84634375
2000-06-19,83037500
2000-06-20,79843750
2000-06-21,81440625
2000-06-22,79843750
2000-06-23,81440625
2000-06-26,81440625
2000-06-27,79843750
2000-06-28,78246875
2000-06-29,79843750
2000-06-30,86231250
2000-07-03,83037500
2000-07-05,84634375
2000-07-06,86231250
2000-07-07,84634375
2000-07-10,86231250
2000-07-11,84634375
2000-07-12,86231250
2000-07-13,84634375
2000-07-14,84634375
2000-07-17,86231250
2000-07-18,86231250
2000-07-19,84634375
2000-07-20,84634375
2000-07-21,84634375
2000-07-24,84634375
2000-07-25,84634375
2000-07-26,84634375
2000-07-27,84634375
2000-07-28,83037500
2000-07-31,84634375
2000-08-01,97409375
2000-08-02,102200000
2000-08-03,102200000
2000-08-04,99006250
2000-08-07,97409375
2000-08-08,113378125
2000-08-09,110184375
2000-08-10,106990625
2000-08-11,108587500
2000-08-14,116571875
2000-08-15,116571875
2000-08-16,114975000
2000-08-17,114975000
2000-08-18,113378125
2000-08-21,111781250
2000-08-22,111781250
2000-08-23,116571875
2000-08-24,118168750
2000-08-25,119765625
2000-08-28,116571875
