,J
2000-01-03,837321737
2000-01-04,833124635
2000-01-05,837321737
2000-01-06,841518838
2000-01-07,860405795
2000-01-10,865652172
2000-01-11,862504345
2000-01-12,844666664
2000-01-13,848863766
2000-01-14,850962316
2000-01-18,829976809
2000-01-19,833124635
2000-01-20,816336230
2000-01-21,786956520
2000-01-24,783808693
2000-01-25,772266664
2000-01-26,777513041
2000-01-27,780660867
2000-01-28,780660867
2000-01-31,774365215
2000-02-01,795350722
2000-02-02,813188404
2000-02-03,811089853
2000-02-04,811089853
2000-02-07,811089853
2000-02-08,792202896
2000-02-09,784857969
2000-02-10,763872462
2000-02-11,752330433
2000-02-14,742886954
2000-02-15,748133331
2000-02-16,749182607
2000-02-17,749182607
2000-02-18,734492752
2000-02-22,755478259
2000-02-23,726098549
2000-02-24,726098549
2000-02-25,719802896
2000-02-28,717704346
2000-02-29,736591302
2000-03-01,746034780
2000-03-02,748133331
2000-03-03,732394201
2000-03-06,734492752
2000-03-07,711408694
2000-03-08,717704346
2000-03-09,734492752
2000-03-10,729246375
2000-03-13,714556520
2000-03-14,706162317
2000-03-15,725049273
2000-03-16,789055070
2000-03-17,784857969
2000-03-20,790104346
2000-03-21,769118838
2000-03-22,767020288
2000-03-23,801646375
2000-03-24,803744925
2000-03-27,800597099
2000-03-28,789055070
2000-03-29,789055070
2000-03-30,800597099
2000-03-31,834120545
2000-04-03,834120545
2000-04-04,794350683
2000-04-05,796443833
2000-04-06,798536984
2000-04-07,796443833
2000-04-10,813189039
2000-04-11,809002737
2000-04-12,809002737
2000-04-13,809002737
2000-04-14,790164381
2000-04-17,781791778
2000-04-18,784931505
2000-04-19,805863011
2000-04-20,804816436
2000-04-24,779698628
2000-04-25,775512326
2000-04-26,811095888
2000-04-27,804816436
2000-04-28,819468491
2000-05-01,819468491
2000-05-02,811095888
2000-05-03,816328765
2000-05-04,830980819
2000-05-05,883309586
2000-05-08,881216436
2000-05-09,828887669
2000-05-10,814235614
2000-05-11,822608217
2000-05-12,872843833
2000-05-15,872843833
2000-05-16,871797258
2000-05-17,877030134
2000-05-18,872843833
2000-05-19,871797258
2000-05-22,851912326
2000-05-23,848772600
2000-05-24,872843833
2000-05-25,874936984
2000-05-26,878076710
2000-05-30,889589039
2000-05-31,869704107
2000-06-01,877030134
2000-06-02,910520545
2000-06-05,925172600
2000-06-06,929358901
2000-06-07,915753422
2000-06-08,920986299
2000-06-09,936684929
2000-06-12,915753422
2000-06-13,918893148
2000-06-14,918893148
2000-06-15,948197258
2000-06-16,947150682
2000-06-19,935638353
2000-06-20,920986299
2000-06-21,897961641
2000-06-22,895868491
2000-06-23,883309586
2000-06-26,865517806
2000-06-27,860284929
2000-06-28,871797258
2000-06-29,861331504
2000-06-30,849644386
2000-07-03,869403558
2000-07-05,857964038
2000-07-06,857964038
2000-07-07,878763166
2000-07-10,903722120
2000-07-11,912041771
2000-07-12,915161640
2000-07-13,912041771
2000-07-14,906841989
2000-07-17,904762076
2000-07-18,907881945
2000-07-19,903722120
2000-07-20,939080638
2000-07-21,938040681
2000-07-24,938040681
2000-07-25,926601161
2000-07-26,923481292
2000-07-27,919321466
2000-07-28,898522338
2000-07-31,927641117
2000-08-01,929721030
2000-08-02,935960769
2000-08-03,933880856
2000-08-04,953640027
2000-08-07,964039592
2000-08-08,970279330
2000-08-09,959879766
2000-08-10,953640027
2000-08-11,991078458
2000-08-14,981718851
2000-08-15,956759897
2000-08-16,981718851
2000-08-17,978598981
2000-08-18,976519068
2000-08-21,978598981
2000-08-22,968199417
2000-08-23,958839810
2000-08-24,947400289
2000-08-25,947400289
2000-08-28,947400289
2000-08-29,965079548
2000-08-30,956759897
2000-08-31,987958589
2000-09-01,987958589
2000-09-05,981718851
2000-09-06,978598981
2000-09-07,973399199
2000-09-08,1004597892
2000-09-11,1017077368
2000-09-12,1017077368
2000-09-13,1013957499
2000-09-14,1017077368
2000-09-15,1019157281
2000-09-18,987958589
2000-09-19,993158371
2000-09-20,1007717761
2000-09-21,979638938
2000-09-22,975479112
2000-09-25,994198327
2000-09-26,991078458
2000-09-27,997318197
2000-09-28,1022277151
2000-09-29,1048276061
2000-10-02,1051547371
2000-10-03,1066357897
2000-10-04,1061068424
2000-10-05,1029331582
2000-10-06,1025100003
2000-10-09,1022984213
2000-10-10,1013463160
2000-10-11,1011347371
2000-10-12,1008173687
2000-10-13,1046257897
2000-10-16,1051547371
2000-10-17,1046257897
2000-10-18,1048373687
2000-10-19,1048373687
2000-10-20,1081168424
2000-10-23,1072705266
2000-10-24,1093863161
2000-10-25,1061068424
2000-10-26,1061068424
2000-10-27,1057894740
2000-10-30,1086457897
2000-10-31,1093863161
2000-11-01,1101268424
2000-11-02,1104442108
2000-11-03,1092805266
2000-11-06,1168973687
2000-11-07,1142526319
2000-11-08,1157336845
2000-11-09,1137236845
2000-11-10,1095978950
2000-11-13,1092805266
2000-11-14,1104442108
2000-11-15,1098094740
2000-11-16,1074821055
2000-11-17,1084342108
2000-11-20,1072705266
2000-11-21,1101268424
2000-11-22,1130889477
2000-11-24,1140410529
2000-11-27,1165800003
2000-11-28,1142526319
2000-11-29,1137236845
2000-11-30,1145700003
2000-12-01,1142526319
2000-12-04,1143584213
2000-12-05,1145700003
2000-12-06,1143584213
2000-12-07,1157336845
2000-12-08,1161568424
2000-12-11,1163684214
2000-12-12,1145700003
2000-12-13,1120310529
2000-12-14,1110789477
2000-12-15,1084342108
2000-12-18,1127715792
2000-12-19,1142526319
2000-12-20,1116078950
2000-12-21,1137236845
2000-12-22,1161568424
2000-12-26,1183784214
2000-12-27,1213405266
2000-12-28,1267357898
2000-12-29,1221868424
2001-01-02,1222265681
2001-01-03,1248882965
2001-01-04,1259529878
2001-01-05,1191389631
2001-01-08,1189260249
2001-01-09,1164772347
2001-01-10,1161578273
2001-01-11,1173289878
2001-01-12,1165837039
2001-01-16,1147737286
2001-01-17,1127508150
2001-01-18,1159448891
2001-01-19,1147737286
2001-01-22,1147737286
2001-01-23,1174354570
2001-01-24,1188195557
2001-01-25,1211618767
2001-01-26,1204165928
2001-01-29,1241430125
2001-01-30,1251012348
2001-01-31,1271241483
2001-02-01,1299988150
2001-02-02,1351093335
2001-02-05,1340446422
2001-02-06,1348963953
2001-02-07,1355352101
2001-02-08,1361740249
2001-02-09,1389422224
2001-02-12,1432009879
2001-02-13,1459691854
2001-02-14,1487373829
2001-02-15,1473532842
2001-02-16,1440527410
2001-02-20,1458627163
2001-02-21,1416039508
2001-02-22,1437333336
2001-02-23,1477791607
2001-02-26,1533155558
2001-02-27,1515055805
2001-02-28,1498020743
2001-03-01,1493761978
2001-03-02,1518249879
2001-03-05,1526767410
2001-03-06,1518249879
2001-03-07,1520379262
2001-03-08,1527832101
2001-03-09,1510797039
2001-03-12,1467144694
2001-03-13,1429880496
2001-03-14,1384098768
2001-03-15,1427751113
2001-03-16,1386228150
2001-03-19,1394745681
2001-03-20,1430945187
2001-03-21,1418168891
2001-03-22,1351093335
2001-03-23,1384098768
2001-03-26,1440527410
2001-03-27,1493761978
2001-03-28,1479920990
2001-03-29,1525702718
2001-03-30,1543802472
2001-04-02,1565676187
2001-04-03,1538866663
2001-04-04,1547445710
2001-04-05,1569965710
2001-04-06,1519563806
2001-04-09,1546373329
2001-04-10,1563531425
2001-04-11,1566748567
2001-04-12,1601064758
2001-04-16,1588196186
2001-04-17,1588196186
2001-04-18,1598919996
2001-04-19,1608571425
2001-04-20,1595702853
2001-04-23,1603209520
2001-04-24,1662190472
2001-04-25,1716881900
2001-04-26,1769428567
2001-04-27,1776935234
2001-04-30,1767283805
2001-05-01,1783369519
2001-05-02,1764066662
2001-05-03,1736184758
2001-05-04,1778007615
2001-05-07,1786586662
2001-05-08,1828409519
2001-05-09,1808034281
2001-05-10,1889535233
2001-05-11,1874521900
2001-05-14,1875594281
2001-05-15,1879883805
2001-05-16,1903476186
2001-05-17,1968891424
2001-05-18,2006424757
2001-05-21,1997845709
2001-05-22,1988194281
2001-05-23,1930285710
2001-05-24,1962457138
2001-05-25,1971036186
2001-05-29,1994628567
2001-05-30,1981759995
2001-05-31,1999990471
2001-06-01,2017148566
2001-06-04,2019293328
2001-06-05,1874521900
2001-06-06,1809106662
2001-06-07,1762994281
2001-06-08,1793020948
2001-06-11,1780152377
2001-06-12,1790876186
