,LU
2021-11-19,16186094132
2021-11-22,15537724124
2021-11-23,15514568052
2021-11-24,15861909128
2021-11-26,14009423390
2021-11-29,14680949470
2021-11-30,14773573757
2021-12-01,14148359820
2021-12-02,14565169111
2021-12-03,14055735534
2021-12-06,13430521597
2021-12-07,14935666259
2021-12-08,15144070904
2021-12-09,14472544825
2021-12-10,14657793398
2021-12-13,14217828036
2021-12-14,13986267318
2021-12-15,13870486960
2021-12-16,13198960880
2021-12-17,13592614099
2021-12-20,12689527302
2021-12-21,13245273023
2021-12-22,13407365525
2021-12-23,13476833741
2021-12-27,13361053382
2021-12-28,12735839446
2021-12-29,12018001222
2021-12-30,13083180521
2021-12-31,13036868378
2022-01-03,12934550522
2022-01-04,11174903189
2022-01-05,11220608315
2022-01-06,12020448011
2022-01-07,12271826202
2022-01-10,12043300574
2022-01-11,12408941578
2022-01-12,12111858262
2022-01-13,11540544193
2022-01-14,11403428817
2022-01-18,10900672436
2022-01-19,10946377562
2022-01-20,10946377562
2022-01-21,10854967311
2022-01-24,10603589120
2022-01-25,10466473744
2022-01-26,10077980177
2022-01-27,9735191735
2022-01-28,10100832739
2022-01-31,11357723691
2022-02-01,11586249319
2022-02-02,10992082687
2022-02-03,10466473744
2022-02-04,10740704497
2022-02-07,10672146808
2022-02-08,10969230124
2022-02-09,11403428817
2022-02-10,13208781275
2022-02-11,13231633838
2022-02-14,13140223587
2022-02-15,14557082478
2022-02-16,14808460668
2022-02-17,14968428607
2022-02-18,15196954235
2022-02-22,14739902980
2022-02-23,14534229915
2022-02-24,15196954235
2022-02-25,15082691421
2022-02-28,14785608105
2022-03-01,14122883785
2022-03-02,13277338963
2022-03-03,12660319769
2022-03-04,11471986505
2022-03-07,12020448011
2022-03-08,12111858262
2022-03-09,12820287708
2022-03-10,13437306902
2022-03-11,10694999371
2022-03-14,10306505804
2022-03-15,10603589120
2022-03-16,14511377352
2022-03-17,14397114538
2022-03-18,15219806798
2022-03-21,14534229915
2022-03-22,15242659360
2022-03-23,15425479863
2022-03-24,14968428607
2022-03-25,13757242781
2022-03-28,13711537656
2022-03-29,13597274842
2022-03-30,13277338963
2022-03-31,12728877457
2022-04-01,13040593725
2022-04-04,13888576094
2022-04-05,13544799458
2022-04-06,13636473228
2022-04-07,12490551108
2022-04-08,12834327744
2022-04-11,12857246186
2022-04-12,12857246186
2022-04-13,12948919956
2022-04-14,12513469550
2022-04-18,12398877338
2022-04-19,12765572416
2022-04-20,12628061762
2022-04-21,12215529799
2022-04-22,12582224877
2022-04-25,11963426932
2022-04-26,11413384315
2022-04-27,11802997836
2022-04-28,12192611356
2022-04-29,12719735532
2022-05-02,12765572416
2022-05-03,12605143320
2022-05-04,12834327744
2022-05-05,12078019144
2022-05-06,11780079393
2022-05-09,10817504812
2022-05-10,11413384315
2022-05-11,11436302757
2022-05-12,11688405624
2022-05-13,12742653974
2022-05-16,13086430610
2022-05-17,13819820767
2022-05-18,13796902324
2022-05-19,13911494536
2022-05-20,13728146997
2022-05-23,13980249864
2022-05-24,13292696592
2022-05-25,13705228555
2022-05-26,13636473228
2022-05-27,14346944942
2022-05-31,14415700269
2022-06-01,13819820767
2022-06-02,13819820767
2022-06-03,13773983882
2022-06-06,14530292481
2022-06-07,14690721578
2022-06-08,14553210924
2022-06-09,14324026500
2022-06-10,13751065440
2022-06-13,13865657652
2022-06-14,14003168306
2022-06-15,14209434288
2022-06-16,13957331421
2022-06-17,14690721578
2022-06-21,15630377716
2022-06-22,14805313790
2022-06-23,14484455596
2022-06-24,14530292481
2022-06-27,14392781827
2022-06-28,14186515845
2022-06-29,14049005191
2022-06-30,13751065440
2022-07-01,14205449942
2022-07-05,13702197287
2022-07-06,13153194391
2022-07-07,13176069511
2022-07-08,12993068546
2022-07-11,12009438357
2022-07-12,12146689081
2022-07-13,11986563236
2022-07-14,11391810098
2022-07-15,11231684253
2022-07-18,11529060822
2022-07-19,11529060822
2022-07-20,11094433529
2022-07-21,11208809133
2022-07-22,10842807202
2022-07-25,10980057926
2022-07-26,10957182805
2022-07-27,11025808167
2022-07-28,10751306719
2022-07-29,10476805271
2022-08-01,10202303823
2022-08-02,10476805271
2022-08-03,10385304788
2022-08-04,10316679426
2022-08-05,9744801409
2022-08-08,9721926289
2022-08-09,9310174116
2022-08-10,9744801409
2022-08-11,9790551651
2022-08-12,9150048272
2022-08-15,9195798513
2022-08-16,9012797547
2022-08-17,9035672668
2022-08-18,8944172185
2022-08-19,9058547789
2022-08-22,9310174116
2022-08-23,9401674599
2022-08-24,9767676530
2022-08-25,9950677495
2022-08-26,9996427737
2022-08-29,9333049237
2022-08-30,9378799478
2022-08-31,9996427737
2022-09-01,9584675564
2022-09-02,9493175082
2022-09-06,8989922427
2022-09-07,9035672668
2022-09-08,8852671703
2022-09-09,9058547789
2022-09-12,9218673634
2022-09-13,8463794651
2022-09-14,8372294168
2022-09-15,8212168324
2022-09-16,8052042479
2022-09-19,8120667841
2022-09-20,8143542962
2022-09-21,7571664945
2022-09-22,7320038617
2022-09-23,7182787893
2022-09-26,6885411324
2022-09-27,6588034755
2022-09-28,6610909876
2022-09-29,5764530411
2022-09-30,5810280652
2022-10-03,5810390875
2022-10-04,6017084622
2022-10-05,5672595044
2022-10-06,5465901297
2022-10-07,5144377692
2022-10-10,5098445748
2022-10-11,5190309635
2022-10-12,4937683945
2022-10-13,4616160339
2022-10-14,4524296452
2022-10-17,4340568677
2022-10-18,4386500621
2022-10-19,3973113128
2022-10-20,3973113128
2022-10-21,3835317297
2022-10-24,3766419381
2022-10-25,3444895776
2022-10-26,3904215212
2022-10-27,3559725635
2022-10-28,3375997860
2022-10-31,3651589522
2022-11-01,3490827719
2022-11-02,3559725635
2022-11-03,3215236057
2022-11-04,3789385353
2022-11-07,3674555494
2022-11-08,3674555494
2022-11-09,3605657578
2022-11-10,3812351325
2022-11-11,4202772846
2022-11-14,4340568677
2022-11-15,5374037410
2022-11-16,4524296452
2022-11-17,4639126311
2022-11-18,4317602705
2022-11-21,3858283269
2022-11-22,3766419381
2022-11-23,4019045072
2022-11-25,3215236057
2022-11-28,3238202029
2022-11-29,3697521466
2022-11-30,4271670762
2022-12-01,3996079100
2022-12-02,4501330480
2022-12-05,4317602705
2022-12-06,4753956170
2022-12-07,4432432565
2022-12-08,5121411720
2022-12-09,5282173523
2022-12-12,4891752001
2022-12-13,5213275607
2022-12-14,4960649917
2022-12-15,4570228396
2022-12-16,4593194368
2022-12-19,4432432565
2022-12-20,4570228396
2022-12-21,5098445748
2022-12-22,4753956170
2022-12-23,4616160339
2022-12-27,4983615889
2022-12-28,4363534649
2022-12-29,4593194368
2022-12-30,4455398536
2023-01-03,4738000267
2023-01-04,5056904131
2023-01-05,4897452199
2023-01-06,4920231047
2023-01-09,5466923385
2023-01-10,5626375317
2023-01-11,6127509961
2023-01-12,6104731113
2023-01-13,6241404198
2023-01-17,6059173419
2023-01-18,5785827249
2023-01-19,5945279181
2023-01-20,6104731113
2023-01-23,6127509961
2023-01-24,6264183046
2023-01-25,6355298435
2023-01-26,7198115791
2023-01-27,7380346570
2023-01-30,6742538842
2023-01-31,6947548469
2023-02-01,7494240807
2023-02-02,7107000401
2023-02-03,6788096537
2023-02-06,6264183046
2023-02-07,6514750367
2023-02-08,6241404198
2023-02-09,6218625351
2023-02-10,5808606097
2023-02-13,6036394571
2023-02-14,5854163792
2023-02-15,5899721486
2023-02-16,5808606097
2023-02-17,5603596470
2023-02-21,5239134911
2023-02-22,5216356063
2023-02-23,5284692606
2023-02-24,5125240674
2023-02-27,5011346436
2023-02-28,4920231047
2023-03-01,5330250300
2023-03-02,5330250300
2023-03-03,5353029148
2023-03-06,4943009894
2023-03-07,4783557962
2023-03-08,4829115657
2023-03-09,4441875250
2023-03-10,4327981013
2023-03-13,4373538708
2023-03-14,4510211793
2023-03-15,4282423318
2023-03-16,4191307928
2023-03-17,4350759861
2023-03-20,4327981013
2023-03-21,4487432945
2023-03-22,4305202166
2023-03-23,4487432945
2023-03-24,4441875250
2023-03-27,4350759861
2023-03-28,4419096403
2023-03-29,4624106030
2023-03-30,4829115657
2023-03-31,4646884877
2023-04-03,4791266964
2023-04-04,4837116409
2023-04-05,4195224184
2023-04-06,4516170297
2023-04-10,4241073629
2023-04-11,4745417520
2023-04-12,4539095019
2023-04-13,4607869186
2023-04-14,4653718630
2023-04-17,4653718630
2023-04-18,4699568075
2023-04-19,4516170297
2023-04-20,4424471407
2023-04-21,4195224184
2023-04-24,4103525295
2023-04-25,3965976961
2023-04-26,3920127516
