,PANW
2013-08-13,3520253910
2013-08-14,3571864230
2013-08-15,3496599180
2013-08-16,3427785420
2013-08-19,3436387140
2013-08-20,3432086280
2013-08-21,3417033270
2013-08-22,3423484560
2013-08-23,3419183700
2013-08-26,3412732410
2013-08-27,3393378540
2013-08-28,3391228110
2013-08-29,3421334130
2013-08-30,3442838430
2013-09-03,3333166500
2013-09-04,3298759620
2013-09-05,3262202310
2013-09-06,3210591990
2013-09-09,3356821230
2013-09-10,3436387140
2013-09-11,3331016070
2013-09-12,3389077680
2013-09-13,3419183700
2013-09-16,3404130690
2013-09-17,3444988860
2013-09-18,3408431550
2013-09-19,3438537570
2013-09-20,3511652189
2013-09-23,3401980260
2013-09-24,3339617790
2013-09-25,3318113490
2013-09-26,3341768220
2013-09-27,3337467360
2013-09-30,3283706610
2013-10-01,3229945860
2013-10-02,3335316930
2013-10-03,3346069080
2013-10-04,3434236710
2013-10-07,3427785420
2013-10-08,3320263920
2013-10-09,3272954460
2013-10-10,3249299730
2013-10-11,3266503170
2013-10-14,3262202310
2013-10-15,3148229520
2013-10-16,3094468770
2013-10-17,3100920060
2013-10-18,3100920060
2013-10-21,3150379950
2013-10-22,3109521780
2013-10-23,3148229520
2013-10-24,3204140700
2013-10-25,3143928660
2013-10-28,3062212320
2013-10-29,3118123500
2013-10-30,3085867050
2013-10-31,3070796100
2013-11-01,3055496760
2013-11-04,3092652300
2013-11-05,3024898080
2013-11-06,3046754280
2013-11-07,3007413120
2013-11-08,2985556920
2013-11-11,3051125520
2013-11-12,3007413120
2013-11-13,3020526840
2013-11-14,3075167340
2013-11-15,3330884880
2013-11-18,3239088840
2013-11-19,3199747680
2013-11-20,3204118920
2013-11-21,3271873140
2013-11-22,3300286200
2013-11-25,3359297940
2013-11-26,3606273000
2013-11-27,3632500440
2013-11-29,3639057299
2013-12-02,3606273000
2013-12-03,3558189360
2013-12-04,3641242920
2013-12-05,3632500440
2013-12-06,3772380120
2013-12-09,3802978799
2013-12-10,3787679459
2013-12-11,3761452020
2013-12-12,3794236320
2013-12-13,3929744760
2013-12-16,3986570879
2013-12-17,4067438820
2013-12-18,4128636180
2013-12-19,4189833540
2013-12-20,4113336840
2013-12-23,4119893700
2013-12-24,4141749900
2013-12-26,4093666260
2013-12-27,4211689740
2013-12-30,4187647920
2013-12-31,4187647920
2014-01-02,4054325100
2014-01-03,4185462299
2014-01-06,4213875360
2014-01-07,4371240000
2014-01-08,4375611240
2014-01-09,4417138020
2014-01-10,4419323640
2014-01-13,4303485780
2014-01-14,4417138020
2014-01-15,4583245140
2014-01-16,4637885640
2014-01-17,4581059520
2014-01-21,4478335380
2014-01-22,4517676540
2014-01-23,4500191580
2014-01-24,4399653060
2014-01-27,4349383800
2014-01-28,4476149760
2014-01-29,4347198180
2014-01-30,4526419020
2014-01-31,4457537820
2014-02-03,4327095240
2014-02-04,4511514060
2014-02-05,4493521980
2014-02-06,5017541310
2014-02-07,4929829920
2014-02-10,5080513590
2014-02-11,5163726960
2014-02-12,5154730920
2014-02-13,5433608160
2014-02-14,5458347270
2014-02-18,5521319550
2014-02-19,5390876970
2014-02-20,5483086380
2014-02-21,5519070540
2014-02-24,5755216590
2014-02-25,5618026980
2014-02-26,5701240350
2014-02-27,5433608160
2014-02-28,5334651720
2014-03-03,5082762600
2014-03-04,5294169540
2014-03-05,5201960130
2014-03-06,5206458150
2014-03-07,5782204710
2014-03-10,5867667090
2014-03-11,5784453720
2014-03-12,5840678970
2014-03-13,5730477480
2014-03-14,5757465600
2014-03-17,5885659170
2014-03-18,5984615610
2014-03-19,5896904220
2014-03-20,5885659170
2014-03-21,5739473520
2014-03-24,5483086380
2014-03-25,5449351230
2014-03-26,5201960130
2014-03-27,5341398750
2014-03-28,5228948250
2014-03-31,5143485870
2014-04-01,5318908650
2014-04-02,5325655680
2014-04-03,4893845760
2014-04-04,4727419020
2014-04-07,4516012080
2014-04-08,4758905160
2014-04-09,5107501710
2014-04-10,4783644270
2014-04-11,4819628430
2014-04-14,4943323980
2014-04-15,5125493790
2014-04-16,5235695280
2014-04-17,5244691320
2014-04-21,5125493790
2014-04-22,5336900730
2014-04-23,5177221020
2014-04-24,5098505670
2014-04-25,4959067050
2014-04-28,4821877440
2014-04-29,4824126450
2014-04-30,4946953830
2014-05-01,5080024320
2014-05-02,5063682330
2014-05-05,5215429380
2014-05-06,5112708300
2014-05-07,4669140000
2014-05-08,4638790590
2014-05-09,4552411500
2014-05-12,4841898180
2014-05-13,4816217910
2014-05-14,4678478280
2014-05-15,4638790590
2014-05-16,4771861080
2014-05-19,4876916730
2014-05-20,4904931570
2014-05-21,4942284690
2014-05-22,5185079970
2014-05-23,5213094810
2014-05-27,5416202400
2014-05-28,5409198690
2014-05-29,5694016230
2014-05-30,5829421290
2014-06-02,5733703920
2014-06-03,5778060750
2014-06-04,5862105270
2014-06-05,5992841190
2014-06-06,6067547430
2014-06-09,6023190600
2014-06-10,6081554850
2014-06-11,6086223990
2014-06-12,6109569690
2014-06-13,6132915390
2014-06-16,6275324160
2014-06-17,6277658730
2014-06-18,6263651310
2014-06-19,6240305610
2014-06-20,6244974750
2014-06-23,6237971040
2014-06-24,6130580820
2014-06-25,6205287060
2014-06-26,6294000720
2014-06-27,6319680990
2014-06-30,6525123150
2014-07-01,6401390940
2014-07-02,6371041530
2014-07-03,6399056370
2014-07-07,6191279640
2014-07-08,5864439840
2014-07-09,5927473230
2014-07-10,5969495490
2014-07-11,5985837480
2014-07-14,5932142370
2014-07-15,5913465810
2014-07-16,6037198020
2014-07-17,6011517750
2014-07-18,6163264800
2014-07-21,6228632760
2014-07-22,6361703250
2014-07-23,6340692120
2014-07-24,6546134280
2014-07-25,6462089760
2014-07-28,6389718090
2014-07-29,6389718090
2014-07-30,6553137990
2014-07-31,6419490000
2014-08-01,6245604000
2014-08-04,6371850000
2014-08-05,6333738000
2014-08-06,6298008000
2014-08-07,6348030000
2014-08-08,6367086000
2014-08-11,6505242000
2014-08-12,6452838000
2014-08-13,6731532000
2014-08-14,6788700000
2014-08-15,6719622000
2014-08-18,6795846000
2014-08-19,6779172000
2014-08-20,6745824000
2014-08-21,6743442000
2014-08-22,6750588000
2014-08-25,6714858000
2014-08-26,6795846000
2014-08-27,6543354000
2014-08-28,6531444000
2014-08-29,6748206000
2014-09-02,7124562000
2014-09-03,7095978000
2014-09-04,6929238000
2014-09-05,7069776000
2014-09-08,7143618000
2014-09-09,7088832000
2014-09-10,7841544000
2014-09-11,7979700000
2014-09-12,7939206000
2014-09-15,7739118000
2014-09-16,7808196000
2014-09-17,7829633999
2014-09-18,7855835999
2014-09-19,7882038000
2014-09-22,7774848000
2014-09-23,7736735999
2014-09-24,7872509999
2014-09-25,7646220000
2014-09-26,7777230000
2014-09-29,7882038000
2014-09-30,7789140000
2014-10-01,7574760000
2014-10-02,7796285999
2014-10-03,8313180000
2014-10-06,8117856000
2014-10-07,7922532000
2014-10-08,8117856000
2014-10-09,8155968000
2014-10-10,7491390000
2014-10-13,7098360000
2014-10-14,7484244000
2014-10-15,7736735999
2014-10-16,7772466000
2014-10-17,7886802000
2014-10-20,8010666000
2014-10-21,8310798000
2014-10-22,8144057999
2014-10-23,8532324000
2014-10-24,8579964000
2014-10-27,8232192000
2014-10-28,8370348000
2014-10-29,8222664000
2014-10-30,8332235999
2014-10-31,8539751999
2014-11-03,8561568000
2014-11-04,8622168000
2014-11-05,8282808000
2014-11-06,8573687999
2014-11-07,8646408000
2014-11-10,8808816000
2014-11-11,8750640000
2014-11-12,8799120000
2014-11-13,8854872000
2014-11-14,8951832000
2014-11-17,8835480000
2014-11-18,8806392000
2014-11-19,8673072000
2014-11-20,8811240000
2014-11-21,8801544000
2014-11-24,9150600000
2014-11-25,9710544000
2014-11-26,9744480000
2014-11-28,9938400000
2014-12-01,9671760000
2014-12-02,9509352000
2014-12-03,9582072000
2014-12-04,9557832000
2014-12-05,9606312000
2014-12-08,9441480000
2014-12-09,9601464000
2014-12-10,9465720000
2014-12-11,9608736000
2014-12-12,9540864000
2014-12-15,9540864000
2014-12-16,9424512000
2014-12-17,9698424000
2014-12-18,9974760000
2014-12-19,10047480000
2014-12-22,10158984000
2014-12-23,10117776000
2014-12-24,10180800000
2014-12-26,10297152000
2014-12-29,9928704000
2014-12-30,9841440000
2014-12-31,9904464000
2015-01-02,9809928000
2015-01-05,9996576000
2015-01-06,9846288000
2015-01-07,10142016000
2015-01-08,10277760000
2015-01-09,10166256000
2015-01-12,10285032000
2015-01-13,10078992000
2015-01-14,10205040000
2015-01-15,9863256000
2015-01-16,10100808000
2015-01-20,10057176000
2015-01-21,10127472000
2015-01-22,9994152000
2015-01-23,10246248000
2015-01-26,10255944000
2015-01-27,10180800000
2015-01-28,10137168000
2015-01-29,10447440000
2015-01-30,10212312000
2015-02-02,10295730000
2015-02-03,10167342000
2015-02-04,10342641000
2015-02-05,10461153000
2015-02-06,10337703000
2015-02-09,10290792000
2015-02-10,10569789000
2015-02-11,10841379000
2015-02-12,10947546000
2015-02-13,11132721000
2015-02-17,11266047000
2015-02-18,11266047000
2015-02-19,11349993000
2015-02-20,11653680000
2015-02-23,11374683000
2015-02-24,11406780000
2015-02-25,11690715000
2015-02-26,11772192000
2015-02-27,11705529000
2015-03-02,12014154000
2015-03-03,12253647000
2015-03-04,11811696000
2015-03-05,11779599000
2015-03-06,11582079000
2015-03-09,11416656000
2015-03-10,11401842000
2015-03-11,11567265000
2015-03-12,11631459000
2015-03-13,11631459000
2015-03-16,11861076000
2015-03-17,11927739000
2015-03-18,11947491000
2015-03-19,12031437000
2015-03-20,11858607000
2015-03-23,11631459000
2015-03-24,11545044000
2015-03-25,11409249000
2015-03-26,11641335000
2015-03-27,12051189000
2015-03-30,12231426000
2015-03-31,12021561000
2015-04-01,11648742000
2015-04-02,11670963000
2015-04-06,11656149000
2015-04-07,11920332000
2015-04-08,12120321000
2015-04-09,12019092000
2015-04-10,12177108000
2015-04-13,11945022000
2015-04-14,11895642000
2015-04-15,11910456000
2015-04-16,12080817000
2015-04-17,11727750000
2015-04-20,12058596000
2015-04-21,12705474000
2015-04-22,12663501000
2015-04-23,12737571000
2015-04-24,12661032000
2015-04-27,12661032000
2015-04-28,12614121000
2015-04-29,12510423000
2015-04-30,12403752960
2015-05-01,12663214080
2015-05-04,12826951680
2015-05-05,12345815040
2015-05-06,12242534400
2015-05-07,12544819200
2015-05-08,12688404480
2015-05-11,12748861440
2015-05-12,12736266240
2015-05-13,12718632960
2015-05-14,12907560960
2015-05-15,12990689280
2015-05-18,13245112320
2015-05-19,13295493120
2015-05-20,13310607360
2015-05-21,13446635520
2015-05-22,13675868160
2015-05-26,13756477440
2015-05-27,13489459200
2015-05-28,13970595840
2015-05-29,14232576000
2015-06-01,14315704320
2015-06-02,14149447680
2015-06-03,14207385600
2015-06-04,14169600000
2015-06-05,14575165440
2015-06-08,14512189440
2015-06-09,14441656320
2015-06-10,14665850880
2015-06-11,14663331840
2015-06-12,14766612480
2015-06-15,14849740800
2015-06-16,14837145600
2015-06-17,15167139840
2015-06-18,15356067840
2015-06-19,15456829440
2015-06-22,15454310400
2015-06-23,15275458560
2015-06-24,15041187840
2015-06-25,15015997440
2015-06-26,14716231680
2015-06-29,14429061120
2015-06-30,14668369920
2015-07-01,14789283840
2015-07-02,14602874880
2015-07-06,14721269760
2015-07-07,14401351680
2015-07-08,14481960960
2015-07-09,14678446080
2015-07-10,15182254080
2015-07-13,15209963520
2015-07-14,15471943680
2015-07-15,15544995840
2015-07-16,15958118400
2015-07-17,16058880000
2015-07-20,15955599360
2015-07-21,16126894079
2015-07-22,16154603519
2015-07-23,16550092800
2015-07-24,16532459519
2015-07-27,15643238400
2015-07-28,15688581120
2015-07-29,15421562880
2015-07-30,15550033920
2015-07-31,15813282000
2015-08-03,15736692000
2015-08-04,15785199000
2015-08-05,16191126000
2015-08-06,14848248000
2015-08-07,14937603000
2015-08-10,15060147000
2015-08-11,14802294000
2015-08-12,14552100000
2015-08-13,14702727000
2015-08-14,14769105000
2015-08-17,14958027000
2015-08-18,14776764000
2015-08-19,14817612000
2015-08-20,13668762000
2015-08-21,13530900000
2015-08-24,13191351000
2015-08-25,13479840000
2015-08-26,14291694000
2015-08-27,14278929000
2015-08-28,14296800000
2015-08-31,13975122000
2015-09-01,13773435000
2015-09-02,13921509000
2015-09-03,13788753000
2015-09-04,13819389000
2015-09-08,14166597000
2015-09-09,14056818000
2015-09-10,15095889000
2015-09-11,15095889000
2015-09-14,15279705000
2015-09-15,15588618000
2015-09-16,15535005000
2015-09-17,15683079000
2015-09-18,15741798000
2015-09-21,15777540000
2015-09-22,15325659000
2015-09-23,15259281000
2015-09-24,15384378000
2015-09-25,15386931000
2015-09-28,14952921000
2015-09-29,14281482000
2015-09-30,14636349000
2015-10-01,14608266000
2015-10-02,14909520000
2015-10-05,15083124000
2015-10-06,14817612000
2015-10-07,14891649000
2015-10-08,14432109000
2015-10-09,14626137000
2015-10-12,14281482000
2015-10-13,14222763000
