,SYK
2000-01-03,6648010000
2000-01-04,6577990000
2000-01-05,6776380000
2000-01-06,6924200000
2000-01-07,7562160000
2000-01-10,7476580000
2000-01-11,7550490000
2000-01-12,7391000000
2000-01-13,7383220000
2000-01-14,7507700000
2000-01-18,7647740000
2000-01-19,7744990000
2000-01-20,7636070000
2000-01-21,7620510000
2000-01-24,7647740000
2000-01-25,7488250000
2000-01-26,7457130000
2000-01-27,7426010000
2000-01-28,6126750000
2000-01-31,6150090000
2000-02-01,6274570000
2000-02-02,6344589999
2000-02-03,6301800000
2000-02-04,6399050000
2000-02-07,6480740000
2000-02-08,6686910000
2000-02-09,6776380000
2000-02-10,6437950000
2000-02-11,6177320000
2000-02-14,6309580000
2000-02-15,6472960000
2000-02-16,6504080000
2000-02-17,6566320000
2000-02-18,6146200000
2000-02-22,5901130000
2000-02-23,5729970000
2000-02-24,5866120000
2000-02-25,5866120000
2000-02-28,5640500000
2000-02-29,5691070000
2000-03-01,5348750000
2000-03-02,5621050000
2000-03-03,5648280000
2000-03-06,5481010000
2000-03-07,5119240000
2000-03-08,4959750000
2000-03-09,5259280000
2000-03-10,5185370000
2000-03-13,5239830000
2000-03-14,5348750000
2000-03-15,5737750000
2000-03-16,6259010000
2000-03-17,6037280000
2000-03-20,6161760000
2000-03-21,6364040000
2000-03-22,6492410000
2000-03-23,6406830000
2000-03-24,6399050000
2000-03-27,6364040000
2000-03-28,6515750000
2000-03-29,6309580000
2000-03-30,6406830000
2000-03-31,6798112000
2000-04-03,6821500000
2000-04-04,6724050000
2000-04-05,6692866000
2000-04-06,6638294000
2000-04-07,6614906000
2000-04-10,6626600000
2000-04-11,6552537999
2000-04-12,6595416000
2000-04-13,6813704000
2000-04-14,6314760000
2000-04-17,6369332000
2000-04-18,6646090000
2000-04-19,7203504000
2000-04-20,7265872000
2000-04-24,7028094000
2000-04-25,7125544000
2000-04-26,7035890000
2000-04-27,6996910000
2000-04-28,7008604000
2000-05-01,7035890000
2000-05-02,7113850000
2000-05-03,6899460000
2000-05-04,6918950000
2000-05-05,7016400000
2000-05-08,7016400000
2000-05-09,7008604000
2000-05-10,7261974000
2000-05-11,7137237999
2000-05-12,7102156000
2000-05-15,7320444000
2000-05-16,7285362000
2000-05-17,7028094000
2000-05-18,7078768000
2000-05-19,6918950000
2000-05-22,6856582000
2000-05-23,6724050000
2000-05-24,7234687999
2000-05-25,7394506000
2000-05-26,7371118000
2000-05-30,7456874000
2000-05-31,7371118000
2000-06-01,7343832000
2000-06-02,7125544000
2000-06-05,7343832000
2000-06-06,7211300000
2000-06-07,7067074000
2000-06-08,7113850000
2000-06-09,7164524000
2000-06-12,7078768000
2000-06-13,7308750000
2000-06-14,7807694000
2000-06-15,8123432000
2000-06-16,8318332000
2000-06-19,8236474000
2000-06-20,8540518000
2000-06-21,8162412000
2000-06-22,8025982000
2000-06-23,7721937999
2000-06-26,7846674000
2000-06-27,7858368000
2000-06-28,8174106000
2000-06-29,8575600000
2000-06-30,8546328000
2000-07-03,8604918000
2000-07-05,8679132000
2000-07-06,9190818000
2000-07-07,9300186000
2000-07-10,9350964000
2000-07-11,9350964000
2000-07-12,8874432000
2000-07-13,8765064000
2000-07-14,8788500000
2000-07-17,8823654000
2000-07-18,8886150000
2000-07-19,8714286000
2000-07-20,8679132000
2000-07-21,9104886000
2000-07-24,9179100000
2000-07-25,8823654000
2000-07-26,9397836000
2000-07-27,9179100000
2000-07-28,8850996000
2000-07-31,8386182000
2000-08-01,8593200000
2000-08-02,8655696000
2000-08-03,8983800000
2000-08-04,8972082000
2000-08-07,9034578000
2000-08-08,9007236000
2000-08-09,8811936000
2000-08-10,9007236000
2000-08-11,9081450000
2000-08-14,8983800000
2000-08-15,8948646000
2000-08-16,9034578000
2000-08-17,8850996000
2000-08-18,8776782000
2000-08-21,8897868000
2000-08-22,8714286000
2000-08-23,8714286000
2000-08-24,8460396000
2000-08-25,8569764000
2000-08-28,8741628000
2000-08-29,8448678000
2000-08-30,8690850000
2000-08-31,8753346000
2000-09-01,8839278000
2000-09-05,8667414000
2000-09-06,8518985999
2000-09-07,8788500000
2000-09-08,8960364000
2000-09-11,8765064000
2000-09-12,8788500000
2000-09-13,8628354000
2000-09-14,8351028000
2000-09-15,8128385999
2000-09-18,8030735999
2000-09-19,7944804000
2000-09-20,7874496000
2000-09-21,7765128000
2000-09-22,7788564000
2000-09-25,7847154000
2000-09-26,7667478000
2000-09-27,8058078000
2000-09-28,8335404000
2000-09-29,8386182000
