,NKE
2000-01-03,13476043639
2000-01-04,12737323638
2000-01-05,13476043639
2000-01-06,13386501820
2000-01-07,13386501820
2000-01-10,13632741820
2000-01-11,14304305457
2000-01-12,13811825457
2000-01-13,13990909093
2000-01-14,14349076366
2000-01-18,14169992730
2000-01-19,14774400003
2000-01-20,14438618184
2000-01-21,14192378184
2000-01-24,13901367275
2000-01-25,13677512730
2000-01-26,13856596366
2000-01-27,13229803639
2000-01-28,13117876366
2000-01-31,12737323638
2000-02-01,13073105457
2000-02-02,13274574548
2000-02-03,13386501820
2000-02-04,13073105457
2000-02-07,12670167275
2000-02-08,10319694547
2000-02-09,9446661820
2000-02-10,9424276365
2000-02-11,9513818183
2000-02-14,9043723638
2000-02-15,8506472729
2000-02-16,8282618183
2000-02-17,8125920001
2000-02-18,7834909092
2000-02-22,7902065456
2000-02-23,7857294547
2000-02-24,7566283637
2000-02-25,7431970910
2000-02-28,7790138183
2000-02-29,7653435897
2000-03-01,7588758974
2000-03-02,7933702564
2000-03-03,7912143590
2000-03-06,7674994872
2000-03-07,7502523077
2000-03-08,7351610256
2000-03-09,7200697436
2000-03-10,7243815384
2000-03-13,7739671795
2000-03-14,7782789743
2000-03-15,8903856410
2000-03-16,9658420513
2000-03-17,8666707692
2000-03-20,8903856410
2000-03-21,8925415385
2000-03-22,9097887179
2000-03-23,9162564103
2000-03-24,9119446154
2000-03-27,9679979487
2000-03-28,9917128205
2000-03-29,10520779487
2000-03-30,10434543590
2000-03-31,10671692308
2000-04-03,10779487180
2000-04-04,10499220513
2000-04-05,10563897436
2000-04-06,11210666667
2000-04-07,11577169231
2000-04-10,11598728205
2000-04-11,12159261539
2000-04-12,11965230769
2000-04-13,11835876923
2000-04-14,11490933333
2000-04-17,11318461539
2000-04-18,11426256410
2000-04-19,11878994872
2000-04-20,11835876923
2000-04-24,11641846154
2000-04-25,12288615385
2000-04-26,11814317949
2000-04-27,11663405128
2000-04-28,11706523077
2000-05-01,12547323077
2000-05-02,12202379487
2000-05-03,11426256410
2000-05-04,11512492308
