,MRK
2000-01-03,149432400000
2000-01-04,144194850000
2000-01-05,149849550000
2000-01-06,151101000000
2000-01-07,165585375000
2000-01-10,160764975000
2000-01-11,161321175000
2000-01-12,164496150000
2000-01-13,165191400000
2000-01-14,163800900000
2000-01-18,156477600000
2000-01-19,158007150000
2000-01-20,161182125000
2000-01-21,160069724999
2000-01-24,155249325000
2000-01-25,156616650000
2000-01-26,160904025000
2000-01-27,163800900000
2000-01-28,168783525000
2000-01-31,173742975000
2000-02-01,169733700000
2000-02-02,169872750000
2000-02-03,168505425000
2000-02-04,165863474999
2000-02-07,166280625000
2000-02-08,166697775000
2000-02-09,157729050000
2000-02-10,152468325000
2000-02-11,144194850000
2000-02-14,145979325000
2000-02-15,145029150000
2000-02-16,144751050000
2000-02-17,139768425000
2000-02-18,137010600000
2000-02-22,144751050000
2000-02-23,139490325000
2000-02-24,137010600000
2000-02-25,133001325000
2000-02-28,136037250000
2000-02-29,136037250000
2000-03-01,132584175000
2000-03-02,130938750000
2000-03-03,127068525000
2000-03-06,124843725000
2000-03-07,119189025000
2000-03-08,125538975000
2000-03-09,135063900000
2000-03-10,131610825000
2000-03-13,125956125000
2000-03-14,124843725000
2000-03-15,132167025000
2000-03-16,143638650000
2000-03-17,138656025000
2000-03-20,136176300000
2000-03-21,141297975000
2000-03-22,142387200000
2000-03-23,138934125000
2000-03-24,136454400000
2000-03-27,135063900000
2000-03-28,136037250000
2000-03-29,141413850000
2000-03-30,141576075000
2000-03-31,136263848000
2000-04-03,146407730000
2000-04-04,148454908000
2000-04-05,149697016000
2000-04-06,143808504000
2000-04-07,143670492000
2000-04-10,145579658000
2000-04-11,147626836000
2000-04-12,142290372000
2000-04-13,144337550000
2000-04-14,139415122000
2000-04-17,141324288000
2000-04-18,145303634000
2000-04-19,151330158000
2000-04-20,152986302000
2000-04-24,157770718000
2000-04-25,159012826000
2000-04-26,157770718000
2000-04-27,156827636000
2000-04-28,152434254000
2000-05-01,148178884000
2000-05-02,151882206000
2000-05-03,149835028000
2000-05-04,147350812000
2000-05-05,151882206000
2000-05-08,153262326000
2000-05-09,151192146000
2000-05-10,149144968000
2000-05-11,149697016000
2000-05-12,149420992000
2000-05-15,152710278000
2000-05-16,155723540000
2000-05-17,153124313999
2000-05-18,153400338000
2000-05-19,158874813999
2000-05-22,158598790000
2000-05-23,161888076000
2000-05-24,163682232000
2000-05-25,163820244000
2000-05-26,163544220000
2000-05-30,164487302000
2000-05-31,163682232000
2000-06-01,158874813999
2000-06-02,151192146000
2000-06-05,151744194000
2000-06-06,152641272000
2000-06-07,154619444000
2000-06-08,152020218000
2000-06-09,153262326000
2000-06-12,153400338000
2000-06-13,161060004000
2000-06-14,159978910000
2000-06-15,159702886000
2000-06-16,155723540000
2000-06-19,158046742000
2000-06-20,155447516000
2000-06-21,158874813999
2000-06-22,156275588000
2000-06-23,159288850000
2000-06-26,162854160000
2000-06-27,162854160000
2000-06-28,162302112000
2000-06-29,162555134000
2000-06-30,167994164000
2000-07-03,167649254000
2000-07-05,169235840000
2000-07-06,165257878000
2000-07-07,163073448000
2000-07-10,164177160000
2000-07-11,163763268000
2000-07-12,160912012000
2000-07-13,151553454000
2000-07-14,147437528000
2000-07-17,147713456000
2000-07-18,145529026000
2000-07-19,143068668000
2000-07-20,140470346000
2000-07-21,139780526000
2000-07-24,152519202000
2000-07-25,155462434000
2000-07-26,153484950000
2000-07-27,158612612000
2000-07-28,159578360000
2000-07-31,157118002000
2000-08-01,162452610000
2000-08-02,164430094000
2000-08-03,164912968000
2000-08-04,161831772000
2000-08-07,160130216000
2000-08-08,158658600000
2000-08-09,154703632000
2000-08-10,156704110000
2000-08-11,158750576000
2000-08-14,159716324000
2000-08-15,160613090000
2000-08-16,161417880000
2000-08-17,162107700000
2000-08-18,157853810000
2000-08-21,157577882000
2000-08-22,158957522000
2000-08-23,158405666000
2000-08-24,158957522000
2000-08-25,159923270000
2000-08-28,158888540000
2000-08-29,156083272000
2000-08-30,155945307999
2000-08-31,153255010000
2000-09-01,151691418000
2000-09-05,147207588000
2000-09-06,144701242000
2000-09-07,147437528000
2000-09-08,148058366000
2000-09-11,148955132000
2000-09-12,148449264000
2000-09-13,149828904000
2000-09-14,148127348000
2000-09-15,147299564000
2000-09-18,147184594000
2000-09-19,149782916000
2000-09-20,148863156000
2000-09-21,153760878000
2000-09-22,160475126000
2000-09-25,158405666000
2000-09-26,154036806000
2000-09-27,159785306000
2000-09-28,160337162000
2000-09-29,163211412000
2000-10-02,162549072000
2000-10-03,162549072000
2000-10-04,161581518000
2000-10-05,165428697000
2000-10-06,167087361000
2000-10-09,165428697000
2000-10-10,168861210000
2000-10-11,168031878000
2000-10-12,169552320000
2000-10-13,167363805000
2000-10-16,168861210000
2000-10-17,171740835000
2000-10-18,171740835000
2000-10-19,170381652000
2000-10-20,179849858999
2000-10-23,186161997000
2000-10-24,187682439000
2000-10-25,191783025000
2000-10-26,190423842000
2000-10-27,193303467000
2000-10-30,194823908999
2000-10-31,197565312000
2000-11-01,197150646000
2000-11-02,195768426000
2000-11-03,193027023000
2000-11-06,197703533999
2000-11-07,190838508000
2000-11-08,199477383000
2000-11-09,198648051000
2000-11-10,200997825000
2000-11-13,196321314000
2000-11-14,200030271000
2000-11-15,201274269000
2000-11-16,198118200000
2000-11-17,194409243000
2000-11-20,198509829000
2000-11-21,202080564000
2000-11-22,199200939000
2000-11-24,196459536000
2000-11-27,201274269000
2000-11-28,203462783999
2000-11-29,208415739000
2000-11-30,203601006000
2000-12-01,199062717000
2000-12-04,201942342000
2000-12-05,197703533999
2000-12-06,196735980000
2000-12-07,200030271000
2000-12-08,196735980000
2000-12-11,199062717000
2000-12-12,200721381000
2000-12-13,202080564000
2000-12-14,199892049000
2000-12-15,198509829000
2000-12-18,196183092000
2000-12-19,200997825000
2000-12-20,205121448000
2000-12-21,203186340000
2000-12-22,198786273000
2000-12-26,203601006000
2000-12-27,203601006000
2000-12-28,208139295000
2000-12-29,205651299000
2001-01-02,204292116000
2001-01-03,195768426000
2001-01-04,186714885000
2001-01-05,183005928000
2001-01-08,183420594000
2001-01-09,184526370000
2001-01-10,182729483999
2001-01-11,179296971000
2001-01-12,178882305000
2001-01-16,183005928000
2001-01-17,178467639000
2001-01-18,182038374000
2001-01-19,181093857000
2001-01-22,180817413000
2001-01-23,174758682000
2001-01-24,173399499000
2001-01-25,179849858999
2001-01-26,180679191000
2001-01-29,176417346000
2001-01-30,177937788000
2001-01-31,180517932000
2001-02-01,185563035000
2001-02-02,184457258999
2001-02-05,185563035000
2001-02-06,185309628000
2001-02-07,179803785000
2001-02-08,182245707000
2001-02-09,181715856000
2001-02-12,182268744000
2001-02-13,177384900000
2001-02-14,174919941000
2001-02-15,171556539000
2001-02-16,169782690000
2001-02-20,171118836000
2001-02-21,172892685000
2001-02-22,170681133000
2001-02-23,169321950000
2001-02-26,174251868000
2001-02-27,175541940000
2001-02-28,176163939000
2001-03-01,175173348000
2001-03-02,176071791000
2001-03-05,174689571000
2001-03-06,170128245000
2001-03-07,163424478000
2001-03-08,164276847000
2001-03-09,166258029000
2001-03-12,162871590000
2001-03-13,160199298000
2001-03-14,158010783000
2001-03-15,162664257000
2001-03-16,156951081000
2001-03-19,158310264000
2001-03-20,154324863000
2001-03-21,149279760000
2001-03-22,153126939000
2001-03-23,151514349000
2001-03-26,157020192000
2001-03-27,161696703000
2001-03-28,165083142000
2001-03-29,162986775000
2001-03-30,166718769000
2001-04-02,162188640000
2001-04-03,159050244000
2001-04-04,162692616000
2001-04-05,165533208000
2001-04-06,166930596000
2001-04-09,170366796000
2001-04-10,171237300000
2001-04-11,168511248000
2001-04-12,173665548000
2001-04-16,172772136000
2001-04-17,176597772000
2001-04-18,173207388000
2001-04-19,170962404000
2001-04-20,160791252000
2001-04-23,162188640000
2001-04-24,160470540000
2001-04-25,163517304000
2001-04-26,163494396000
2001-04-27,165235404000
2001-04-30,165945552000
2001-05-01,165143772000
2001-05-02,163631844000
2001-05-03,164410716000
2001-05-04,166816055999
2001-05-07,167984364000
2001-05-08,166976412000
2001-05-09,168900684000
2001-05-10,167136768000
2001-05-11,165876828000
2001-05-14,167526204000
2001-05-15,165785196000
2001-05-16,170595876000
2001-05-17,171695460000
2001-05-18,169061040000
2001-05-21,169061040000
2001-05-22,164044188000
2001-05-23,161638848000
2001-05-24,158363004000
2001-05-25,158592084000
2001-05-29,162486444000
2001-05-30,160058196000
2001-05-31,159439680000
2001-06-01,162074100000
2001-06-04,162348996000
2001-06-05,164548164000
2001-06-06,161524308000
2001-06-07,163402764000
2001-06-08,162119916000
2001-06-11,157813212000
2001-06-12,158614992000
