,MI
2024-07-08,16995049.0
2024-07-09,16068046.0
2024-07-10,16346147.0
2024-07-11,16961064.0
2024-07-12,3793121.96
2024-07-15,3660152.74
2024-07-16,3569173.8
2024-07-17,3758130.06
2024-07-18,3499190.0
2024-07-19,3380217.54
2024-07-22,3534181.9
2024-07-23,3576172.18
2024-07-24,3156269.38
2024-07-25,3198259.66
2024-07-26,3086285.58
2024-07-29,3583170.56
2024-07-30,3331228.88
2024-07-31,3478194.86
2024-08-01,3268243.46
2024-08-02,62560.64
2024-08-05,65047.36
2024-08-06,57063.68
2024-08-07,57194.56
2024-08-08,57194.56
2024-08-09,52352.0
