,CEG
2022-01-19,13734000000
2022-01-20,14715000000
2022-01-21,14715000000
2022-01-24,13995600000
2022-01-25,13701300000
2022-01-26,14132940000
2022-01-27,14963520000
2022-01-28,15287250000
2022-01-31,15696000000
2022-02-01,16278060000
2022-02-02,17334270000
2022-02-03,17533740000
2022-02-04,16395780000
2022-02-07,15064890000
2022-02-08,14878500000
2022-02-09,15470370000
2022-02-10,15385350000
2022-02-11,15725430000
2022-02-14,15731970000
2022-02-15,15696000000
2022-02-16,15434400000
2022-02-17,14809830000
2022-02-18,14849069999
2022-02-22,14237580000
2022-02-23,14090430000
2022-02-24,14492640000
2022-02-25,14358569999
2022-02-28,15035459999
2022-03-01,15627330000
2022-03-02,16173420000
2022-03-03,16193040000
2022-03-04,16677000000
2022-03-07,16889550000
2022-03-08,17108640000
2022-03-09,16784910000
2022-03-10,16781640000
2022-03-11,16127640000
2022-03-14,16660650000
2022-03-15,16771830000
2022-03-16,16928790000
2022-03-17,16673730000
2022-03-18,16026270000
2022-03-21,16094940000
2022-03-22,16722780000
2022-03-23,16673730000
2022-03-24,17138069999
2022-03-25,17592600000
2022-03-28,18567060000
2022-03-29,18419910000
2022-03-30,18802500000
2022-03-31,18393750000
2022-04-01,18972540000
2022-04-04,19090260000
2022-04-05,19293000000
2022-04-06,19489200000
2022-04-07,19917570000
2022-04-08,20934540000
2022-04-11,19842360000
2022-04-12,20231490000
2022-04-13,20993400000
2022-04-14,20453850000
2022-04-18,20702370000
2022-04-19,21814169999
2022-04-20,21389070000
2022-04-21,20493090000
2022-04-22,20414610000
2022-04-25,20362290000
2022-04-26,19603650000
2022-04-27,19649430000
2022-04-28,20048370000
2022-04-29,19361670000
2022-05-02,19031400000
2022-05-03,19521900000
2022-05-04,20211870000
2022-05-05,19672320000
2022-05-06,19708290000
2022-05-09,18841740000
2022-05-10,18652080000
2022-05-11,18759990000
2022-05-12,17484690000
2022-05-13,17857470000
2022-05-16,18504930000
2022-05-17,19397640000
2022-05-18,18730560000
2022-05-19,18714210000
2022-05-20,18524550000
2022-05-23,18508200000
2022-05-24,18567060000
2022-05-25,19348590000
2022-05-26,20427690000
2022-05-27,21778200000
2022-05-31,20300160000
2022-06-01,20813550000
2022-06-02,20846250000
2022-06-03,21310590000
2022-06-06,21709530000
2022-06-07,21761850000
2022-06-08,21179790000
2022-06-09,20015670000
2022-06-10,19551330000
2022-06-13,18141960000
2022-06-14,17801880000
2022-06-15,19031400000
2022-06-16,19051020000
2022-06-17,18998700000
2022-06-21,19744260000
2022-06-22,19361670000
2022-06-23,19178550000
2022-06-24,19384560000
2022-06-27,19430340000
2022-06-28,18992160000
2022-06-29,18740370000
2022-06-30,18724020000
2022-07-01,18835200000
2022-07-05,17965380000
2022-07-06,18560520000
2022-07-07,19328970000
2022-07-08,19505550000
2022-07-11,19567680000
2022-07-12,19368210000
2022-07-13,19561140000
2022-07-14,18939840000
2022-07-15,18200820000
2022-07-18,17922870000
2022-07-19,17985000000
2022-07-20,17680890000
2022-07-21,17710320000
2022-07-22,17658000000
2022-07-25,17971920000
2022-07-26,18148500000
2022-07-27,18158310000
2022-07-28,21120930000
2022-07-29,21614700000
2022-08-01,21353100000
2022-08-02,21529680000
2022-08-03,21964590000
2022-08-04,22059419999
2022-08-05,24296100000
2022-08-08,24816030000
2022-08-09,24760440000
2022-08-10,25218240000
2022-08-11,25777410000
2022-08-12,26650500000
2022-08-15,26552400000
2022-08-16,26617800000
2022-08-17,26061900000
2022-08-18,26683200000
2022-08-19,26434680000
2022-08-22,26045550000
2022-08-23,26078250000
2022-08-24,26280990000
2022-08-25,27055980000
2022-08-26,26431410000
2022-08-29,26487000000
2022-08-30,26058630000
2022-08-31,26679930000
2022-09-01,26984040000
2022-09-02,26509889999
2022-09-06,26899020000
2022-09-07,27108300000
2022-09-08,28053330000
2022-09-09,28615770000
2022-09-12,28818510000
2022-09-13,28246260000
2022-09-14,28792350000
2022-09-15,28383600000
2022-09-16,27981389999
2022-09-19,29220720000
2022-09-20,28694250000
2022-09-21,28540560000
2022-09-22,27919260000
2022-09-23,27418950000
2022-09-26,27114840000
2022-09-27,27458190000
2022-09-28,27801540000
2022-09-29,27154080000
2022-09-30,27286320000
2022-10-03,28401520000
2022-10-04,29303520000
2022-10-05,28919760000
2022-10-06,28299840000
2022-10-07,27679920000
2022-10-10,27788160000
2022-10-11,27184640000
2022-10-12,26948480000
2022-10-13,27492959999
2022-10-14,26653280000
2022-10-17,27942320000
2022-10-18,28375280000
2022-10-19,28106320000
2022-10-20,27735680000
2022-10-21,28627840000
2022-10-24,28726240000
2022-10-25,28913200000
2022-10-26,29119840000
2022-10-27,30517120000
2022-10-28,30750000000
2022-10-31,31009120000
2022-11-01,31330560000
2022-11-02,30533520000
2022-11-03,30966480000
2022-11-04,30936959999
2022-11-07,30668000000
2022-11-08,28713120000
2022-11-09,28650800000
2022-11-10,31205920000
2022-11-11,30277680000
2022-11-14,30805760000
2022-11-15,30668000000
2022-11-16,30071040000
2022-11-17,29536400000
2022-11-18,30602400000
2022-11-21,30631920000
2022-11-22,31576560000
2022-11-23,31691360000
2022-11-25,31868480000
2022-11-28,31097680000
2022-11-29,30973040000
2022-11-30,31527360000
2022-12-01,30986160000
2022-12-02,30189120000
2022-12-05,29539680000
2022-12-06,29775840000
2022-12-07,30166160000
2022-12-08,29982480000
2022-12-09,29428160000
2022-12-12,29808640000
2022-12-13,29795520000
