,ARE
2000-01-03,430633625
2000-01-04,421125234
2000-01-05,413408280
2000-01-06,405691325
2000-01-07,413408280
2000-01-10,418644784
2000-01-11,419471601
2000-01-12,413408280
2000-01-13,415199715
2000-01-14,417680165
2000-01-18,418644784
2000-01-19,416853349
2000-01-20,416853349
2000-01-21,415199715
2000-01-24,413408280
2000-01-25,412581463
2000-01-26,409136394
2000-01-27,414235096
2000-01-28,407344958
2000-01-31,406518142
2000-02-01,409963211
2000-02-02,410790027
2000-02-03,406518142
2000-02-04,407344958
2000-02-07,405691325
2000-02-08,402246256
2000-02-09,401419439
2000-02-10,403073073
2000-02-11,401419439
2000-02-14,408309577
2000-02-15,409136394
2000-02-16,402246256
2000-02-17,403899889
2000-02-18,410790027
2000-02-22,409963211
2000-02-23,411754646
2000-02-24,406518142
2000-02-25,404864508
2000-02-28,409963211
2000-02-29,421125234
2000-03-01,422089853
2000-03-02,413408280
2000-03-03,416026532
2000-03-06,414235096
2000-03-07,408309577
2000-03-08,414235096
2000-03-09,418644784
2000-03-10,415199715
2000-03-13,416026532
2000-03-14,422089853
2000-03-15,423743487
2000-03-16,425534922
2000-03-17,423743487
2000-03-20,424570303
2000-03-21,425534922
2000-03-22,428979991
2000-03-23,434905510
2000-03-24,435870129
2000-03-27,439315198
2000-03-28,430633625
2000-03-29,426361739
2000-03-30,423743487
2000-03-31,428175270
2000-04-03,431743397
2000-04-04,437166950
2000-04-05,432599747
2000-04-06,439736002
2000-04-07,443304129
2000-04-10,449584033
2000-04-11,449584033
2000-04-12,453152160
2000-04-13,456720288
2000-04-14,456720288
2000-04-17,456720288
2000-04-18,455007586
2000-04-19,455863937
2000-04-20,455863937
2000-04-24,455863937
2000-04-25,455007586
2000-04-26,451439459
2000-04-27,455863937
2000-04-28,456720288
2000-05-01,462143841
2000-05-02,474560924
2000-05-03,466568319
2000-05-04,467424669
2000-05-05,473704573
2000-05-08,470136446
2000-05-09,478129051
2000-05-10,478129051
2000-05-11,486121656
2000-05-12,480840828
2000-05-15,492401560
