,LLY
2000-01-03,71065358976
2000-01-04,68832371796
2000-01-05,69710391027
2000-01-06,71748262822
2000-01-07,77027217950
2000-01-10,73851173078
2000-01-11,74252243591
2000-01-12,73168269232
2000-01-13,72290250001
2000-01-14,74046288463
2000-01-18,72962314104
2000-01-19,73439262822
2000-01-20,72387807694
2000-01-21,70187339745
2000-01-24,67347326924
2000-01-25,67542442309
2000-01-26,68019391027
2000-01-27,69645352565
2000-01-28,70794365386
2000-01-31,72496205129
2000-02-01,71065358976
2000-02-02,70523371796
2000-02-03,70729326924
2000-02-04,70328256411
2000-02-07,68626416668
2000-02-08,68626416668
2000-02-09,66935416668
2000-02-10,67542442309
2000-02-11,66805339745
2000-02-14,65851442309
2000-02-15,66328391027
2000-02-16,66393429488
2000-02-17,65244416668
2000-02-18,63412500001
2000-02-22,64496474360
2000-02-23,65374493591
2000-02-24,63477538463
2000-02-25,61450506411
2000-02-28,62328525642
2000-02-29,64431435898
2000-03-01,63824410257
2000-03-02,62534480770
2000-03-03,62870512822
2000-03-06,62469442309
2000-03-07,59076602565
2000-03-08,60160576924
2000-03-09,65103500001
2000-03-10,66328391027
2000-03-13,64225480770
2000-03-14,62263487180
2000-03-15,68019391027
2000-03-16,70187339745
2000-03-17,66534346155
2000-03-20,65851442309
2000-03-21,66870378206
2000-03-22,68897410258
2000-03-23,69786269232
2000-03-24,67347326924
2000-03-27,65580448719
2000-03-28,65309455129
2000-03-29,66122435899
2000-03-30,65851442309
2000-03-31,67296945159
2000-04-03,70251864514
2000-04-04,74141612901
2000-04-05,72497603223
2000-04-06,70789122578
2000-04-07,69102132255
2000-04-10,69714606449
2000-04-11,71863638707
2000-04-12,69983235481
2000-04-13,75216129030
2000-04-14,72465367739
2000-04-17,75216129030
2000-04-18,78708306449
2000-04-19,81265654836
2000-04-20,81394596771
2000-04-24,83274999997
2000-04-25,82737741933
2000-04-26,83608099997
2000-04-27,83747787094
2000-04-28,82877429029
2000-05-01,83146058062
2000-05-02,83812258062
2000-05-03,84886774191
2000-05-04,85155403223
2000-05-05,85692661287
2000-05-08,86498548384
2000-05-09,85563719352
2000-05-10,83006370965
2000-05-11,80459767739
2000-05-12,81061496771
2000-05-15,82136012900
2000-05-16,80524238707
2000-05-17,79385251610
2000-05-18,79245564513
2000-05-19,81598754836
2000-05-22,80792867739
2000-05-23,81190438707
2000-05-24,82877429029
2000-05-25,84489203223
2000-05-26,84682616126
2000-05-30,82200483868
2000-05-31,81802912900
2000-06-01,82802212900
2000-06-02,78579364513
2000-06-05,77837948384
2000-06-06,79653880642
2000-06-07,80459767739
2000-06-08,80524238707
2000-06-09,81867383868
2000-06-12,84080887094
2000-06-13,86767177416
2000-06-14,88980680642
2000-06-15,89184838707
2000-06-16,91269399997
2000-06-19,92816703223
2000-06-20,93031606448
2000-06-21,93214274190
2000-06-22,90796612900
2000-06-23,91666970964
2000-06-26,93010116126
2000-06-27,91065241932
2000-06-28,93697806448
2000-06-29,109203074190
2000-06-30,108036866699
2000-07-03,106814583366
2000-07-05,113034166701
2000-07-06,109929783367
2000-07-07,109248333367
2000-07-10,112493333368
2000-07-11,111411666701
2000-07-12,107896250033
2000-07-13,103569583365
2000-07-14,102217500031
