,AAP
2001-11-29,1410131036
2001-11-30,1448681381
2001-12-03,1397957243
2001-12-04,1342160691
2001-12-05,1488246208
2001-12-06,1478101381
2001-12-07,1488246208
2001-12-10,1483173795
2001-12-11,1480130346
2001-12-12,1430420691
2001-12-13,1417232415
2001-12-14,1382740001
2001-12-17,1386797932
2001-12-18,1386797932
2001-12-19,1387812415
2001-12-20,1430420691
2001-12-21,1532883450
2001-12-24,1549115174
2001-12-26,1555202071
2001-12-27,1587665519
2001-12-28,1590708967
2001-12-31,1682012416
2002-01-02,1616071036
2002-01-03,1531868967
2002-01-04,1437522070
2002-01-07,1413174484
2002-01-08,1389841381
2002-01-09,1392884829
2002-01-10,1423319312
2002-01-11,1471000002
2002-01-14,1450710346
2002-01-15,1556216553
2002-01-16,1585636553
2002-01-17,1595781381
2002-01-18,1599839312
2002-01-22,1579549657
2002-01-23,1585636553
2002-01-24,1564332415
2002-01-25,1585636553
2002-01-28,1565346898
2002-01-29,1567375864
2002-01-30,1577520691
2002-01-31,1584622071
2002-02-01,1592737933
2002-02-04,1566361381
2002-02-05,1552158622
2002-02-06,1545057243
2002-02-07,1511579312
2002-02-08,1514622760
2002-02-11,1534912415
2002-02-12,1562303450
2002-02-13,1521724140
2002-02-14,1509550346
2002-02-15,1508535864
2002-02-19,1504477933
2002-02-20,1494333105
2002-02-21,1500420002
2002-02-22,1518680691
2002-02-25,1521724140
2002-02-26,1524767588
2002-02-27,1524767588
2002-02-28,1514622760
2002-03-01,1484188277
2002-03-04,1484188277
2002-03-05,1478101381
2002-03-06,1474043450
2002-03-07,1382740001
2002-03-08,1403029657
2002-03-11,1420275864
2002-03-12,1413174484
2002-03-13,1410131036
2002-03-14,1457811726
2002-03-15,1499405519
2002-03-18,1496362071
2002-03-19,1521724140
2002-03-20,1506506898
2002-03-21,1504477933
2002-03-22,1496362071
2002-03-25,1489260691
2002-03-26,1521724140
2002-03-27,1523753105
2002-03-28,1555202071
2002-04-01,1556216553
2002-04-02,1521724140
2002-04-03,1483173795
2002-04-04,1487231726
2002-04-05,1504477933
2002-04-08,1521724140
2002-04-09,1579549657
2002-04-10,1615056553
2002-04-11,1613027588
2002-04-12,1609984140
2002-04-15,1630273795
2002-04-16,1645491036
2002-04-17,1656650347
2002-04-18,1659693795
2002-04-19,1691142760
2002-04-22,1765407540
2002-04-23,1804686000
2002-04-24,1817424960
2002-04-25,2035048860
2002-04-26,2008509360
2002-04-29,1992585660
2002-04-30,2094497340
2002-05-01,2091312600
2002-05-02,2083881540
2002-05-03,2083881540
2002-05-06,2070081000
2002-05-07,2136960540
2002-05-08,2121036840
2002-05-09,2098743660
2002-05-10,2084943120
2002-05-13,2074327320
2002-05-14,2138022120
2002-05-15,2188977960
2002-05-16,2169869520
2002-05-17,2161376880
2002-05-20,2174115840
2002-05-21,2107236300
2002-05-22,2126344740
2002-05-23,2089189440
2002-05-24,2101928400
2002-05-28,2056280460
2002-05-29,1990462500
2002-05-30,1942691400
2002-05-31,2045664660
2002-06-03,2067957840
2002-06-04,2082819960
2002-06-05,2050972560
2002-06-06,2030802540
2002-06-07,2029740960
2002-06-10,2077512060
2002-06-11,2057342040
2002-06-12,2032925699
2002-06-13,2038233600
2002-06-14,2052034139
2002-06-17,2075388900
2002-06-18,2101928400
2002-06-19,2133775800
2002-06-20,2164561620
2002-06-21,2159253720
2002-06-24,2119975259
2002-06-25,2033987280
2002-06-26,1949060880
2002-06-27,1937383500
2002-06-28,1928890860
2002-07-01,1854580259
2002-07-02,1790885460
2002-07-03,1801501259
2002-07-05,1781331240
2002-07-08,1831225500
2002-07-09,1778146500
2002-07-10,1717636440
2002-07-11,1698528000
2002-07-12,1716574860
2002-07-15,1648092600
2002-07-16,1602074430
2002-07-17,1669496400
2002-07-18,1704812670
2002-07-19,1634180130
2002-07-22,1551775500
2002-07-23,1532512080
2002-07-24,1685549250
2002-07-25,1640601270
2002-07-26,1660934880
2002-07-29,1744409700
2002-07-30,1758322170
2002-07-31,1792568250
2002-08-01,1733707800
2002-08-02,1682338680
2002-08-05,1562477400
2002-08-06,1610635950
2002-08-07,1639531080
2002-08-08,1676987730
2002-08-09,1741199130
2002-08-12,1741199130
2002-08-13,1784006730
2002-08-14,1787217300
2002-08-15,1813972050
2002-08-16,1843937370
