,FTNT
2009-11-18,1115204600
2009-11-19,1135358900
2009-11-20,1135358900
2009-11-23,1135358900
2009-11-24,1142077000
2009-11-25,1155513200
2009-11-27,1135358900
2009-11-30,1142077000
2009-12-01,1128640800
2009-12-02,1115204600
2009-12-03,1121922700
2009-12-04,1162231300
2009-12-07,1135358900
2009-12-08,1115204600
2009-12-09,1142077000
2009-12-10,1135358900
2009-12-11,1135358900
2009-12-14,1142077000
2009-12-15,1142077000
2009-12-16,1229412300
2009-12-17,1209258000
2009-12-18,1182385600
2009-12-21,1182385600
2009-12-22,1155513200
2009-12-23,1209258000
2009-12-24,1236130400
2009-12-28,1189103700
2009-12-29,1236130400
2009-12-30,1209258000
2009-12-31,1182385600
2010-01-04,1209258000
2010-01-05,1236130400
2010-01-06,1303311400
2010-01-07,1310029500
2010-01-08,1350338099
2010-01-11,1350338099
2010-01-12,1330183800
2010-01-13,1303311400
2010-01-14,1336901900
2010-01-15,1316747600
2010-01-19,1330183800
2010-01-20,1283157100
2010-01-21,1236130400
2010-01-22,1202539900
2010-01-25,1209258000
2010-01-26,1229412300
2010-01-27,1256284700
2010-01-28,1195821800
2010-01-29,1155513200
2010-02-01,1175667500
2010-02-02,1148795100
2010-02-03,1101768400
2010-02-04,1054741700
2010-02-05,1054741700
2010-02-08,1068177900
2010-02-09,1115204600
2010-02-10,1135358900
2010-02-11,1121922700
2010-02-12,1108486500
2010-02-16,1108486500
2010-02-17,1135358900
2010-02-18,1162231300
2010-02-19,1162231300
2010-02-22,1142077000
2010-02-23,1121922700
2010-02-24,1115204600
2010-02-25,1128640800
2010-02-26,1155513200
2010-03-01,1209258000
2010-03-02,1175667500
2010-03-03,1148795100
2010-03-04,1135358900
2010-03-05,1148795100
2010-03-08,1155513200
2010-03-09,1142077000
2010-03-10,1121922700
2010-03-11,1101768400
2010-03-12,1095050300
2010-03-15,1095050300
2010-03-16,1108486500
2010-03-17,1135358900
2010-03-18,1155513200
2010-03-19,1148795100
2010-03-22,1148795100
2010-03-23,1162231300
2010-03-24,1155513200
2010-03-25,1155513200
2010-03-26,1148795100
2010-03-29,1168949400
2010-03-30,1189103700
2010-03-31,1205512000
2010-04-01,1212361500
2010-04-05,1184963500
2010-04-06,1178114000
2010-04-07,1184963500
2010-04-08,1164415000
2010-04-09,1157565500
2010-04-12,1164415000
2010-04-13,1123318000
2010-04-14,1171264500
2010-04-15,1130167500
2010-04-16,1109619000
2010-04-19,1116468500
2010-04-20,1143866500
2010-04-21,1123318000
2010-04-22,1123318000
2010-04-23,1137017000
2010-04-26,1116468500
2010-04-27,1123318000
2010-04-28,1150716000
2010-04-29,1219211000
2010-04-30,1219211000
2010-05-03,1274007000
2010-05-04,1226060500
2010-05-05,1205512000
2010-05-06,1178114000
2010-05-07,1130167500
2010-05-10,1157565500
2010-05-11,1150716000
2010-05-12,1178114000
2010-05-13,1150716000
2010-05-14,1102769500
2010-05-17,1150716000
2010-05-18,1137017000
2010-05-19,1130167500
2010-05-20,1109619000
2010-05-21,1116468500
2010-05-24,1095920000
2010-05-25,1075371500
2010-05-26,1109619000
2010-05-27,1109619000
2010-05-28,1116468500
2010-06-01,1075371500
2010-06-02,1095920000
2010-06-03,1082221000
2010-06-04,1041124000
2010-06-07,1027425000
2010-06-08,1027425000
2010-06-09,1034274500
2010-06-10,1061672500
2010-06-11,1082221000
2010-06-14,1109619000
2010-06-15,1123318000
2010-06-16,1116468500
2010-06-17,1130167500
2010-06-18,1171264500
2010-06-21,1171264500
2010-06-22,1164415000
2010-06-23,1150716000
2010-06-24,1171264500
2010-06-25,1205512000
2010-06-28,1198662500
2010-06-29,1171264500
2010-06-30,1178110400
2010-07-01,1170926800
2010-07-02,1163743200
2010-07-06,1170926800
2010-07-07,1199661200
2010-07-08,1221212000
2010-07-09,1221212000
2010-07-12,1199661200
2010-07-13,1214028400
2010-07-14,1214028400
2010-07-15,1192477600
2010-07-16,1170926800
2010-07-19,1156559600
2010-07-20,1156559600
2010-07-21,1149376000
2010-07-22,1242762800
2010-07-23,1278680800
2010-07-26,1300231600
2010-07-27,1285864400
2010-07-28,1271497200
2010-07-29,1278680800
2010-07-30,1293048000
2010-08-02,1307415200
2010-08-03,1307415200
2010-08-04,1321782400
2010-08-05,1293048000
2010-08-06,1307415200
2010-08-09,1307415200
2010-08-10,1285864400
2010-08-11,1235579200
2010-08-12,1249946400
2010-08-13,1264313600
2010-08-16,1271497200
