,FMC
2000-01-03,1520000000
2000-01-04,1500544000
2000-01-05,1529728000
2000-01-06,1527296000
2000-01-07,1524864000
2000-01-10,1583232000
2000-01-11,1597824000
2000-01-12,1631872000
2000-01-13,1644032000
2000-01-14,1648896000
2000-01-18,1622144000
2000-01-19,1575936000
2000-01-20,1537024000
2000-01-21,1524864000
2000-01-24,1512704000
2000-01-25,1471360000
2000-01-26,1512704000
2000-01-27,1527296000
2000-01-28,1483520000
2000-01-31,1485952000
2000-02-01,1490816000
2000-02-02,1481088000
2000-02-03,1485952000
2000-02-04,1454336000
2000-02-07,1454336000
2000-02-08,1434880000
2000-02-09,1398400000
2000-02-10,1383808000
2000-02-11,1361920000
2000-02-14,1376512000
2000-02-15,1410560000
2000-02-16,1381376000
2000-02-17,1400832000
2000-02-18,1359488000
2000-02-22,1376512000
2000-02-23,1332736000
2000-02-24,1340032000
2000-02-25,1291392000
2000-02-28,1298688000
2000-02-29,1335168000
2000-03-01,1344896000
2000-03-02,1332736000
2000-03-03,1361920000
2000-03-06,1327872000
2000-03-07,1298688000
2000-03-08,1332736000
2000-03-09,1352192000
2000-03-10,1330304000
2000-03-13,1332736000
2000-03-14,1359488000
2000-03-15,1454336000
2000-03-16,1551616000
2000-03-17,1459200000
2000-03-20,1471360000
2000-03-21,1498112000
2000-03-22,1464064000
2000-03-23,1478656000
2000-03-24,1478656000
2000-03-27,1454336000
2000-03-28,1520000000
2000-03-29,1532160000
2000-03-30,1566208000
2000-03-31,780672000
2000-04-03,795264000
2000-04-04,796480000
2000-04-05,789184000
2000-04-06,807424000
2000-04-07,797696000
2000-04-10,781888000
2000-04-11,812288000
2000-04-12,830528000
2000-04-13,813504000
2000-04-14,791616000
2000-04-17,784320000
2000-04-18,815936000
2000-04-19,801344000
2000-04-20,797696000
2000-04-24,801344000
2000-04-25,796480000
2000-04-26,798912000
2000-04-27,806208000
2000-04-28,803776000
2000-05-01,808640000
2000-05-02,818368000
2000-05-03,807424000
2000-05-04,792832000
2000-05-05,809856000
2000-05-08,818368000
2000-05-09,815936000
2000-05-10,806208000
2000-05-11,803776000
2000-05-12,824448000
2000-05-15,846336000
2000-05-16,869440000
2000-05-17,881600000
2000-05-18,870656000
2000-05-19,869440000
2000-05-22,887680000
