,MRO
2000-01-03,4513370880
2000-01-04,4338579200
2000-01-05,4457187840
2000-01-06,4931622400
2000-01-07,5075201280
2000-01-10,4819256320
2000-01-11,4875439360
2000-01-12,4831741440
2000-01-13,4837984000
2000-01-14,4837984000
2000-01-18,4919137280
2000-01-19,4969077760
2000-01-20,4794286080
2000-01-21,4956592640
2000-01-24,4725617920
2000-01-25,4619494400
2000-01-26,4656949760
2000-01-27,4538341120
2000-01-28,4582039040
2000-01-31,4781800960
2000-02-01,4594524160
2000-02-02,4756830720
2000-02-03,4663192320
2000-02-04,4563311360
2000-02-07,4656949760
2000-02-08,4550826240
2000-02-09,4351064320
2000-02-10,4457187840
2000-02-11,4282396160
2000-02-14,4351064320
2000-02-15,4457187840
2000-02-16,4550826240
2000-02-17,4525856000
2000-02-18,4326094080
2000-02-22,4282396160
2000-02-23,4082634240
2000-02-24,4013966080
2000-02-25,3957783040
2000-02-28,3970268160
2000-02-29,4026451200
2000-03-01,4151302400
2000-03-02,4388519680
2000-03-03,4319851520
2000-03-06,4307366400
2000-03-07,4607009280
2000-03-08,4575796480
2000-03-09,4619494400
2000-03-10,4656949760
2000-03-13,4656949760
2000-03-14,4594524160
2000-03-15,4738103040
2000-03-16,4831741440
2000-03-17,4525856000
2000-03-20,4494643200
2000-03-21,4563311360
2000-03-22,4457187840
2000-03-23,4238698240
2000-03-24,4238698240
2000-03-27,4326094080
2000-03-28,4257425920
2000-03-29,4444702720
2000-03-30,4700647680
2000-03-31,4852100820
2000-04-03,4808388200
2000-04-04,4702228980
2000-04-05,4527378500
2000-04-06,4596069760
2000-04-07,4577335780
2000-04-10,4446197920
2000-04-11,4514889180
2000-04-12,4758430920
2000-04-13,4689739660
2000-04-14,4527378500
2000-04-17,4402485300
2000-04-18,4458687240
2000-04-19,4739696940
2000-04-20,4408729960
2000-04-24,4402485300
2000-04-25,4539867820
2000-04-26,4483665880
2000-04-27,4514889180
2000-04-28,4327549380
2000-05-01,4308815400
2000-05-02,4446197920
2000-05-03,4283836760
2000-05-04,4340038700
2000-05-05,4408729960
2000-05-08,4496155200
2000-05-09,4402485300
2000-05-10,4352528020
2000-05-11,4608559080
2000-05-12,4658516360
2000-05-15,4770920240
2000-05-16,4664761020
2000-05-17,4820877520
2000-05-18,4727207620
2000-05-19,4727207620
2000-05-22,4664761020
2000-05-23,4664761020
2000-05-24,4702228980
2000-05-25,4577335780
2000-05-26,4820877520
2000-05-30,4795898880
2000-05-31,5064419260
2000-06-01,5051929940
2000-06-02,4902058100
2000-06-05,4820877520
2000-06-06,4989483340
2000-06-07,4889568780
2000-06-08,5014461980
2000-06-09,4958260040
2000-06-12,5189312460
2000-06-13,5170578480
2000-06-14,5307961000
2000-06-15,5026951300
2000-06-16,5214291100
2000-06-19,5064419260
2000-06-20,5064419260
2000-06-21,5145599840
2000-06-22,5064419260
2000-06-23,5064419260
2000-06-26,5014461980
2000-06-27,4920792080
2000-06-28,4883324120
2000-06-29,4945770720
2000-06-30,4658994180
2000-07-03,4789969920
2000-07-05,4559203140
2000-07-06,4571677020
2000-07-07,4577913960
2000-07-10,4696415820
2000-07-11,4833628500
2000-07-12,4733837460
2000-07-13,4708889700
2000-07-14,4789969920
2000-07-17,4733837460
2000-07-18,4752548280
2000-07-19,4752548280
2000-07-20,4733837460
2000-07-21,4571677020
2000-07-24,4465649040
2000-07-25,4428227400
2000-07-26,4403279640
2000-07-27,4602861720
2000-07-28,4571677020
2000-07-31,4546729260
2000-08-01,4559203140
2000-08-02,4671468060
2000-08-03,4789969920
2000-08-04,4802443800
2000-08-07,4802443800
2000-08-08,4752548280
2000-08-09,4846102380
2000-08-10,4964604240
2000-08-11,4914708720
2000-08-14,4939656480
2000-08-15,4939656480
2000-08-16,5045684460
2000-08-17,5151712440
2000-08-18,5095579980
2000-08-21,5070632220
2000-08-22,5139238560
2000-08-23,5220318779
2000-08-24,4964604240
2000-08-25,5070632220
2000-08-28,5002025880
2000-08-29,5151712440
2000-08-30,5076869160
2000-08-31,5101816920
2000-09-01,5126764680
2000-09-05,5195371020
2000-09-06,5338820640
