,EQ
2018-10-12,226934064
2018-10-15,226934064
2018-10-16,226934064
2018-10-17,226934064
2018-10-18,225637297
2018-10-19,226934064
2018-10-22,231959032
2018-10-23,224502627
2018-10-24,226771968
2018-10-25,242657352
2018-10-26,240712203
2018-10-29,234552564
2018-10-30,232121128
2018-10-31,226934064
2018-11-01,242819448
2018-11-02,243792023
2018-11-05,264864471
2018-11-06,275238600
2018-11-07,277183749
2018-11-08,275400696
2018-11-09,267458004
2018-11-12,252869385
2018-11-13,252058906
2018-11-14,257570162
2018-11-15,256921779
2018-11-16,273941834
2018-11-19,241198490
2018-11-20,235038852
2018-11-21,236659809
2018-11-23,315114157
2018-11-26,270213631
2018-11-27,266971716
2018-11-28,252545194
2018-11-29,241522682
2018-11-30,265837046
2018-12-03,262595131
2018-12-04,257732258
2018-12-06,233579990
2018-12-07,247682321
2018-12-10,228230830
2018-12-11,233255798
2018-12-12,215587360
2018-12-13,200512455
2018-12-14,194514912
2018-12-17,174252942
2018-12-18,178953719
2018-12-19,160312706
2018-12-20,102444520
2018-12-21,125624214
2018-12-24,145886184
2018-12-26,137133012
2018-12-27,123516969
2018-12-28,126596788
2018-12-31,141790085
2019-01-02,129105433
2019-01-03,122676226
2019-01-04,140226224
2019-01-07,175847508
2019-01-08,189400972
2019-01-09,182102953
2019-01-10,182102953
2019-01-11,183666814
2019-01-14,177063844
2019-01-15,183666814
2019-01-16,183666814
2019-01-17,196003942
2019-01-18,208862356
2019-01-22,200348001
2019-01-23,184361863
2019-01-24,189574734
2019-01-25,171503449
2019-01-28,153258401
2019-01-29,150478203
2019-01-30,143353947
2019-01-31,152737114
2019-02-01,150825728
2019-02-04,149783154
2019-02-05,152910876
2019-02-06,147698006
2019-02-07,143353947
2019-02-08,133623254
2019-02-11,123371275
2019-02-12,124935136
2019-02-13,124413849
2019-02-14,113466821
2019-02-15,113119296
2019-02-19,119896028
2019-02-20,104952465
2019-02-21,101477218
2019-02-22,104257416
2019-02-25,114856919
2019-02-26,128236621
2019-02-27,132406918
2019-02-28,136750977
2019-03-01,131190581
2019-03-04,130843057
2019-03-05,129974245
2019-03-06,128062859
2019-03-07,129626720
2019-03-08,129452958
2019-03-11,132406918
2019-03-12,134318304
2019-03-13,135187116
2019-03-14,124240087
2019-03-15,128062859
2019-03-18,121633652
2019-03-19,127715334
2019-03-20,127020285
2019-03-21,120069790
2019-03-22,118332167
2019-03-25,121633652
2019-03-26,130495532
2019-03-27,131016819
2019-03-28,138488600
2019-03-29,139009888
2019-04-01,142485135
2019-04-02,128757908
2019-04-03,124761374
2019-04-04,124240087
2019-04-05,129626720
2019-04-08,130495532
2019-04-09,119374741
2019-04-10,125630186
2019-04-11,115551969
2019-04-12,114856919
2019-04-15,105299990
2019-04-16,98175733
2019-04-17,95221773
2019-04-18,92962862
2019-04-22,95743060
2019-04-23,94179199
2019-04-24,91746526
2019-04-25,93484149
2019-04-26,104083653
2019-04-29,106690089
2019-04-30,108427712
2019-05-01,111034148
2019-05-02,109991573
2019-05-03,117289593
2019-05-06,120243553
2019-05-07,133970779
2019-05-08,105647514
2019-05-09,104952465
2019-05-10,103909891
2019-05-13,105647514
2019-05-14,105995039
2019-05-15,105126227
2019-05-16,106342564
2019-05-17,106516326
2019-05-20,114161870
2019-05-21,134318304
2019-05-22,114509395
2019-05-23,106168801
2019-05-24,105473752
2019-05-28,107732663
2019-05-29,107211376
2019-05-30,114683157
2019-05-31,112076722
2019-06-03,111034148
2019-06-04,110165336
2019-06-05,108601475
2019-06-06,104257416
2019-06-07,104431178
2019-06-10,107385138
2019-06-11,104431178
2019-06-12,104257416
2019-06-13,104778703
2019-06-14,104257416
2019-06-17,104431178
2019-06-18,105299990
2019-06-19,104431178
2019-06-20,105995039
2019-06-21,104257416
2019-06-24,97828208
2019-06-25,102867317
2019-06-26,99044545
2019-06-27,99913357
2019-06-28,98349495
2019-07-01,94526723
2019-07-02,97306921
2019-07-03,95743060
2019-07-05,95569298
2019-07-08,95569298
2019-07-09,95569298
2019-07-10,95743060
2019-07-11,95569298
2019-07-12,95569298
2019-07-15,95048010
2019-07-16,95569298
2019-07-17,95569298
2019-07-18,94700486
2019-07-19,95743060
2019-07-22,94526723
2019-07-23,90182664
2019-07-24,86707417
2019-07-25,80799497
2019-07-26,79235636
2019-07-29,74717814
2019-07-30,73849003
2019-07-31,71242567
2019-08-01,68636132
2019-08-02,72285141
2019-08-05,69504944
2019-08-06,57515341
2019-08-07,59948014
2019-08-08,64987122
2019-08-09,65682172
2019-08-12,61859400
2019-08-13,65334647
2019-08-14,62728211
2019-08-15,67941082
2019-08-16,70373755
2019-08-19,71242567
2019-08-20,70373755
2019-08-21,69504944
2019-08-22,70373755
2019-08-23,70373755
2019-08-26,67593558
2019-08-27,62901974
2019-08-28,64465835
2019-08-29,69852468
2019-08-30,67072270
2019-09-03,62033162
2019-09-04,63249499
2019-09-05,70026231
2019-09-06,68636132
2019-09-09,64292073
2019-09-10,63770786
2019-09-11,65334647
2019-09-12,65508409
2019-09-13,66203459
2019-09-16,70895042
2019-09-17,67072270
2019-09-18,63944548
2019-09-19,63770786
2019-09-20,66550983
2019-09-23,67072270
2019-09-24,66724746
2019-09-25,64987122
2019-09-26,67941082
2019-09-27,64813360
2019-09-30,66057737
2019-10-01,63450194
2019-10-02,64319375
2019-10-03,63624030
2019-10-04,71446657
2019-10-07,69882132
2019-10-08,70055968
2019-10-09,74054199
2019-10-10,70751313
2019-10-11,63450194
2019-10-14,63624030
2019-10-15,63102522
2019-10-16,61537997
2019-10-17,60842652
2019-10-18,57192093
2019-10-21,60842652
2019-10-22,60321144
2019-10-23,61016488
2019-10-24,52150845
2019-10-25,56496748
2019-10-28,55453731
2019-10-29,58061274
2019-10-30,55279895
2019-10-31,62059505
2019-11-01,59973471
2019-11-04,64319375
2019-11-05,56844421
2019-11-06,57365929
2019-11-07,55627568
2019-11-08,57887437
2019-11-11,56670584
2019-11-12,60494980
2019-11-13,55975240
2019-11-14,63450194
2019-11-15,60668816
2019-11-18,63450194
2019-11-19,61885669
2019-11-20,60842652
2019-11-21,61711833
2019-11-22,58408946
2019-11-25,55975240
2019-11-26,55453731
2019-11-27,56670584
2019-11-29,56496748
2019-12-02,57539765
2019-12-03,69360623
2019-12-04,68839115
2019-12-05,71446657
2019-12-06,66753081
2019-12-09,70403640
2019-12-10,82572171
2019-12-11,82572171
2019-12-12,82572171
2019-12-13,86918075
2019-12-16,83962860
2019-12-17,84658205
2019-12-18,78400103
2019-12-19,78921612
2019-12-20,81529154
2019-12-23,76140233
2019-12-24,74401872
2019-12-26,68143770
2019-12-27,70055968
2019-12-30,72837346
2019-12-31,59361422
2020-01-02,71830833
2020-01-03,77275224
2020-01-06,76923973
2020-01-07,77450849
2020-01-08,79382730
2020-01-09,78504602
2020-01-10,77099598
2020-01-13,80612109
2020-01-14,81841487
2020-01-15,79207105
2020-01-16,80963360
2020-01-17,81138985
2020-01-21,77450849
2020-01-22,72708961
2020-01-23,75167718
2020-01-24,89569010
2020-01-27,88690882
2020-01-28,87812755
2020-01-29,87637129
2020-01-30,83773368
2020-01-31,80260858
2020-02-03,78855853
2020-02-04,75518969
2020-02-05,83773368
2020-02-06,82543989
2020-02-07,84475870
2020-02-10,84651495
2020-02-11,86934627
2020-02-12,87110252
2020-02-13,87461503
2020-02-14,87285878
2020-02-18,88866508
2020-02-19,88339631
2020-02-20,89217759
2020-02-21,90095886
