,AMG
2000-01-03,835051605
2000-01-04,768247477
2000-01-05,749842258
2000-01-06,772678363
2000-01-07,791083582
2000-01-10,810852150
2000-01-11,808125451
2000-01-12,809488801
2000-01-13,850730125
2000-01-14,869135344
2000-01-18,901855733
2000-01-19,890608100
2000-01-20,888903913
2000-01-21,840845841
2000-01-24,839482491
2000-01-25,810852150
2000-01-26,825167321
2000-01-27,826530670
2000-01-28,816646386
2000-01-31,786652696
2000-02-01,793810281
2000-02-02,808125451
2000-02-03,832324906
2000-02-04,861977759
2000-02-07,865045295
2000-02-08,853456824
2000-02-09,911740018
2000-02-10,903219083
2000-02-11,910376668
2000-02-14,905945782
2000-02-15,893334799
2000-02-16,887540563
2000-02-17,876292929
2000-02-18,848003426
2000-02-22,832324906
2000-02-23,830961556
2000-02-24,883450514
2000-02-25,880382978
2000-02-28,870498694
2000-02-29,893334799
2000-03-01,914466717
2000-03-02,916170904
2000-03-03,960138927
2000-03-06,937302822
2000-03-07,920260953
2000-03-08,907649969
2000-03-09,897424847
2000-03-10,890608100
2000-03-13,882087165
2000-03-14,886177214
2000-03-15,877656279
2000-03-16,938666172
2000-03-17,978544146
2000-03-20,996949365
2000-03-21,1015354584
2000-03-22,1079432014
2000-03-23,1136011020
2000-03-24,1114879102
2000-03-27,1055232559
2000-03-28,1046711624
2000-03-29,1069547729
2000-03-30,1049438323
2000-03-31,1054021304
2000-04-03,998441400
2000-04-04,916569205
2000-04-05,886283149
2000-04-06,851337700
2000-04-07,917900460
2000-04-10,890276915
2000-04-11,911244184
2000-04-12,898597260
2000-04-13,923558295
2000-04-14,819720389
2000-04-17,821051644
2000-04-18,839023589
2000-04-19,859658045
2000-04-20,890276915
2000-04-24,890276915
2000-04-25,899928515
2000-04-26,902923839
2000-04-27,898597260
2000-04-28,890276915
2000-05-01,883287825
2000-05-02,832034500
2000-05-03,826376665
2000-05-04,805742209
2000-05-05,814062554
2000-05-08,768134250
2000-05-09,747499794
2000-05-10,715549670
2000-05-11,698908980
2000-05-12,725201270
2000-05-15,743173215
2000-05-16,776454595
2000-05-17,766802995
2000-05-18,780781174
2000-05-19,778118664
2000-05-22,757151395
2000-05-23,709891835
2000-05-24,714218414
2000-05-25,696246469
2000-05-26,722538759
2000-05-30,759813905
2000-05-31,743173215
2000-06-01,779449919
2000-06-02,836361079
2000-06-05,808404720
2000-06-06,832034500
2000-06-07,841686100
2000-06-08,840354845
2000-06-09,843017355
2000-06-12,837692334
2000-06-13,846012679
2000-06-14,861322114
2000-06-15,867978390
2000-06-16,867978390
2000-06-19,940198985
2000-06-20,920895784
2000-06-21,966491275
2000-06-22,961166254
2000-06-23,919564529
2000-06-26,930547384
2000-06-27,933209895
2000-06-28,944525564
2000-06-29,963828764
2000-06-30,1007359116
2000-07-03,968831698
2000-07-05,940932534
2000-07-06,972817293
2000-07-07,990752470
2000-07-10,996398730
2000-07-11,1007359116
2000-07-12,1039243875
2000-07-13,1040572407
2000-07-14,1048875729
2000-07-17,1061496780
2000-07-18,997727261
2000-07-19,964513970
2000-07-20,1017323103
2000-07-21,1026954957
2000-07-24,990752470
2000-07-25,1011676843
2000-07-26,1002044989
2000-07-27,1028283489
2000-07-28,1073785698
2000-07-31,1050536394
2000-08-01,1058839717
2000-08-02,1086406748
2000-08-03,1073785698
2000-08-04,1137555216
2000-08-07,1155490393
2000-08-08,1183389558
2000-08-09,1162465185
2000-08-10,1145858539
2000-08-11,1154161862
2000-08-14,1176414767
2000-08-15,1198335539
2000-08-16,1195678476
2000-08-17,1184718089
2000-08-18,1168111444
2000-08-21,1183389558
2000-08-22,1230220298
2000-08-23,1246826944
2000-08-24,1251144671
2000-08-25,1284357962
2000-08-28,1248155475
2000-08-29,1238523621
2000-08-30,1212285121
2000-08-31,1234538026
2000-09-01,1245498412
2000-09-05,1246826944
2000-09-06,1292661285
2000-09-07,1291332754
2000-09-08,1284357962
2000-09-11,1359087867
2000-09-12,1329860171
2000-09-13,1289672089
2000-09-14,1422525253
2000-09-15,1321556848
2000-09-18,1251144671
2000-09-19,1342481222
2000-09-20,1325874576
2000-09-21,1287015026
2000-09-22,1253801735
2000-09-25,1226234703
2000-09-26,1176414767
2000-09-27,1156818925
2000-09-28,1206638862
2000-09-29,1260776526
2000-10-02,1232779400
2000-10-03,1207958338
2000-10-04,1151366317
2000-10-05,1155668635
2000-10-06,1158316215
2000-10-09,1130847573
2000-10-10,1108674091
2000-10-11,1081205449
2000-10-12,1065981865
2000-10-13,1144416420
2000-10-16,1150042527
2000-10-17,1081205449
2000-10-18,1053405860
2000-10-19,1172216009
2000-10-20,1207958338
2000-10-23,1238405507
2000-10-24,1238405507
2000-10-25,1197037071
2000-10-26,1169237482
2000-10-27,1258924251
2000-10-30,1301616478
2000-10-31,1326437539
2000-11-01,1318163852
2000-11-02,1367805976
2000-11-03,1403879252
2000-11-06,1403879252
2000-11-07,1336365964
2000-11-08,1296321318
2000-11-09,1268521729
2000-11-10,1237081717
2000-11-13,1199684651
2000-11-14,1216232025
2000-11-15,1282421523
2000-11-16,1275471626
2000-11-17,1268521729
2000-11-20,1248002984
2000-11-21,1088155347
2000-11-22,1036858486
2000-11-24,1089479137
2000-11-27,1119595358
2000-11-28,1069953235
2000-11-29,1016339741
2000-11-30,974971305
2000-12-01,1048110700
2000-12-04,1025937219
2000-12-05,1112976408
2000-12-06,1116947778
2000-12-07,1130847573
2000-12-08,1216232025
2000-12-11,1246679194
2000-12-12,1134818943
2000-12-13,1140445050
2000-12-14,1111321671
2000-12-15,1103047984
2000-12-18,1129523783
2000-12-19,1057708178
2000-12-20,1059031968
2000-12-21,1079881659
2000-12-22,1163942322
2000-12-26,1163942322
2000-12-27,1172216009
2000-12-28,1268521729
2000-12-29,1210605918
2001-01-02,1107350301
2001-01-03,1279773943
2001-01-04,1279773943
2001-01-05,1243700667
2001-01-08,1230131820
2001-01-09,1197037071
2001-01-10,1185784856
2001-01-11,1237081717
2001-01-12,1234103190
2001-01-16,1232779400
2001-01-17,1278450153
2001-01-18,1288047631
2001-01-19,1261902779
2001-01-22,1296321318
2001-01-23,1351258601
2001-01-24,1367805976
2001-01-25,1298968898
2001-01-26,1271500256
2001-01-29,1301616478
2001-01-30,1363503658
2001-01-31,1356884709
2001-02-01,1330408909
2001-02-02,1244362562
2001-02-05,1229800872
2001-02-06,1223512870
2001-02-07,1238736455
2001-02-08,1190418121
2001-02-09,1172546957
2001-02-12,1192403806
2001-02-13,1198029913
2001-02-14,1183799171
2001-02-15,1162618532
2001-02-16,1137466523
2001-02-20,1125221466
2001-02-21,1135149890
2001-02-22,1134157048
2001-02-23,1164604217
2001-02-26,1218879605
2001-02-27,1189094331
2001-02-28,1136142733
2001-03-01,1139121260
2001-03-02,1169237482
2001-03-05,1142761682
2001-03-06,1194720438
2001-03-07,1204317916
2001-03-08,1167251797
2001-03-09,1152690107
2001-03-12,1109666933
2001-03-13,1084514924
2001-03-14,1074586500
2001-03-15,1096759981
2001-03-16,1068298497
2001-03-19,1086500609
2001-03-20,1044801225
2001-03-21,980928360
2001-03-22,970668988
2001-03-23,1010382686
2001-03-26,1036858486
2001-03-27,1068960392
2001-03-28,1041491751
2001-03-29,1020311111
2001-03-30,1036858486
2001-04-02,1017127673
2001-04-03,964065910
2001-04-04,968377178
2001-04-05,1043658554
2001-04-06,1018122581
2001-04-09,1027740025
2001-04-10,1068862892
2001-04-11,1088097781
2001-04-12,1088097781
2001-04-16,1056923995
2001-04-17,1078811973
2001-04-18,1148455537
2001-04-19,1143149360
2001-04-20,1141159544
2001-04-23,1124577743
2001-04-24,1105342854
2001-04-25,1149450445
2001-04-26,1222742005
2001-04-27,1223405277
2001-04-30,1242971802
2001-05-01,1230037998
2001-05-02,1184935499
2001-05-03,1194884580
2001-05-04,1213456197
2001-05-07,1227384910
