,WMB
2000-01-03,10283766480
2000-01-04,10057895640
2000-01-05,10677933240
2000-01-06,10908232920
2000-01-07,11196107520
2000-01-10,10987952040
2000-01-11,10863944520
2000-01-12,10722221640
2000-01-13,10970236680
2000-01-14,11590274280
2000-01-18,12130592760
2000-01-19,11882577720
2000-01-20,12608907480
2000-01-21,13003074240
2000-01-24,12462755760
2000-01-25,12276744480
2000-01-26,13476960120
2000-01-27,12879066720
2000-01-28,12546903720
2000-01-31,12941070480
2000-02-01,12608907480
2000-02-02,12817062960
2000-02-03,12670911240
2000-02-04,12462755760
2000-02-07,12750630360
2000-02-08,13769263560
2000-02-09,13583252280
2000-02-10,14017278600
2000-02-11,13933130640
2000-02-14,13915415280
2000-02-15,14309582040
2000-02-16,14721464160
2000-02-17,14411445360
2000-02-18,13933130640
2000-02-22,13645256040
2000-02-23,13521248520
2000-02-24,13335237240
2000-02-25,13020789600
2000-02-28,13600967640
2000-02-29,13871126880
2000-03-01,14827756319
2000-03-02,14951763840
2000-03-03,15655949400
2000-03-06,15926108640
2000-03-07,16151979480
2000-03-08,15301642199
2000-03-09,15115630920
2000-03-10,16151979480
2000-03-13,15363645959
2000-03-14,15221923079
2000-03-15,15075771360
2000-03-16,15283926840
2000-03-17,15097915560
2000-03-20,14641745040
2000-03-21,15199778880
2000-03-22,14867615880
2000-03-23,14765752560
2000-03-24,14327297400
2000-03-27,14929619640
2000-03-28,13791407760
2000-03-29,14557597079
2000-03-30,14411445360
2000-03-31,14604733979
2000-04-03,14502665040
2000-04-04,13548542340
2000-04-05,13277837760
2000-04-06,13757118000
2000-04-07,14045573700
2000-04-10,13548542340
2000-04-11,13007133180
2000-04-12,12447972900
2000-04-13,12967193160
2000-04-14,12092950500
2000-04-17,12301526160
2000-04-18,12195019440
2000-04-19,12758617500
2000-04-20,12589981860
2000-04-24,12132890520
2000-04-25,12527852940
2000-04-26,12465724020
2000-04-27,12279337260
2000-04-28,12465724020
2000-05-01,12758617500
2000-05-02,13007133180
2000-05-03,12425784000
2000-05-04,12527852940
2000-05-05,12510101820
2000-05-08,12736428600
2000-05-09,12487912920
2000-05-10,11800057020
2000-05-11,12967193160
2000-05-12,13131391020
2000-05-15,13317777780
2000-05-16,13277837760
2000-05-17,13215708840
2000-05-18,13339966680
2000-05-19,13069262100
2000-05-22,12922815360
2000-05-23,13091451000
2000-05-24,12674299680
2000-05-25,13007133180
2000-05-26,12905064240
2000-05-30,13526353440
2000-05-31,13819246920
2000-06-01,14462725020
2000-06-02,14294089380
2000-06-05,14023384800
2000-06-06,14294089380
2000-06-07,13672800180
2000-06-08,14129891520
2000-06-09,13859186940
2000-06-12,14067762600
2000-06-13,14067762600
2000-06-14,14400596100
2000-06-15,14214209340
2000-06-16,14107702620
2000-06-19,14129891520
2000-06-20,14338467180
2000-06-21,14795558520
2000-06-22,14671300680
2000-06-23,14378407200
2000-06-26,14462725020
2000-06-27,12550041840
2000-06-28,13362155580
2000-06-29,13233459960
2000-06-30,13899411180
2000-07-03,14001776360
2000-07-05,13667976860
2000-07-06,13565611680
2000-07-07,13650174220
2000-07-10,14046282960
2000-07-11,13939467120
2000-07-12,14170901440
2000-07-13,13983973720
2000-07-14,14295519919
2000-07-17,13877157880
2000-07-18,13899411180
2000-07-19,14170901440
2000-07-20,13983973720
2000-07-21,13961720420
2000-07-24,14233210680
2000-07-25,14669375360
2000-07-26,14273266620
2000-07-27,13921664480
2000-07-28,13667976860
2000-07-31,13921664480
2000-08-01,14522503580
2000-08-02,14940865620
2000-08-03,14607066120
2000-08-04,14691628660
2000-08-07,15234609179
2000-08-08,15568408679
2000-08-09,15648520559
2000-08-10,15546155380
2000-08-11,15483846140
2000-08-14,15733083100
2000-08-15,15670773860
2000-08-16,15586211320
