,GT
2000-01-03,4249406250
2000-01-04,4278712500
2000-01-05,4141950000
2000-01-06,4171256250
2000-01-07,4327556250
2000-01-10,4376400000
2000-01-11,4356862500
2000-01-12,4444781250
2000-01-13,4395937500
2000-01-14,4298250000
2000-01-18,4308018750
2000-01-19,4259175000
2000-01-20,4083337500
2000-01-21,3946575000
2000-01-24,3917268750
2000-01-25,3770737500
2000-01-26,3809812500
2000-01-27,3878193750
2000-01-28,3663281250
2000-01-31,3712125000
2000-02-01,3751200000
2000-02-02,3633975000
2000-02-03,3555825000
2000-02-04,3477675000
2000-02-07,3594900000
2000-02-08,3448368750
2000-02-09,3555825000
2000-02-10,3594900000
2000-02-11,3419062500
2000-02-14,3438600000
2000-02-15,3731662500
2000-02-16,3741431250
2000-02-17,3653512500
2000-02-18,3692587500
2000-02-22,3809812500
2000-02-23,3770737500
2000-02-24,3663281250
2000-02-25,3575362500
2000-02-28,3555825000
2000-02-29,3575362500
2000-03-01,3379987500
2000-03-02,3506981250
2000-03-03,3448368750
2000-03-06,3370218750
2000-03-07,3243225000
2000-03-08,3233456250
2000-03-09,3223687500
2000-03-10,3262762500
2000-03-13,3213918750
2000-03-14,3184612500
2000-03-15,3428831250
2000-03-16,3594900000
2000-03-17,3663281250
2000-03-20,3643743750
2000-03-21,3712125000
2000-03-22,3663281250
2000-03-23,3682818750
2000-03-24,3770737500
2000-03-27,3760968750
2000-03-28,3604668750
2000-03-29,3555825000
2000-03-30,3663281250
2000-03-31,3646075000
2000-04-03,3958875000
2000-04-04,4134825000
2000-04-05,4154375000
2000-04-06,4144600000
2000-04-07,3919775000
2000-04-10,4457400000
2000-04-11,4545375000
2000-04-12,4535600000
2000-04-13,4672450000
2000-04-14,4310775000
2000-04-17,4476950000
2000-04-18,4496500000
2000-04-19,4457400000
2000-04-20,4506275000
2000-04-24,4535600000
2000-04-25,4633350000
2000-04-26,4604025000
2000-04-27,4545375000
2000-04-28,4320550000
2000-05-01,4408525000
2000-05-02,4476950000
2000-05-03,4437850000
2000-05-04,4457400000
2000-05-05,4281450000
2000-05-08,4379200000
2000-05-09,4379200000
2000-05-10,4261900000
2000-05-11,4408525000
2000-05-12,4291225000
2000-05-15,4085950000
2000-05-16,3997975000
2000-05-17,4007750000
2000-05-18,3939325000
2000-05-19,3802475000
2000-05-22,3773150000
2000-05-23,3939325000
2000-05-24,4037075000
2000-05-25,3910000000
2000-05-26,3763375000
2000-05-30,3929550000
2000-05-31,3890450000
2000-06-01,4095725000
2000-06-02,4349875000
2000-06-05,4398750000
2000-06-06,4310775000
2000-06-07,4291225000
2000-06-08,4330325000
2000-06-09,4242350000
2000-06-12,4154375000
2000-06-13,4232575000
2000-06-14,4301000000
2000-06-15,4134825000
2000-06-16,3831800000
2000-06-19,3655850000
2000-06-20,3597200000
2000-06-21,3597200000
2000-06-22,3499450000
2000-06-23,3567875000
2000-06-26,3548325000
2000-06-27,3567875000
2000-06-28,3648518750
2000-06-29,3284400000
2000-06-30,3140000000
2000-07-03,3238125000
2000-07-05,3365687500
2000-07-06,3336250000
2000-07-07,3198875000
2000-07-10,3404937500
2000-07-11,3336250000
2000-07-12,3375500000
2000-07-13,3395125000
2000-07-14,3346062500
2000-07-17,3341156250
2000-07-18,3375500000
2000-07-19,3424562500
2000-07-20,3346062500
2000-07-21,3346062500
2000-07-24,3414750000
2000-07-25,3346062500
2000-07-26,3218500000
2000-07-27,3208687500
2000-07-28,3238125000
2000-07-31,3130187500
2000-08-01,3149812500
2000-08-02,3169437500
2000-08-03,3257750000
2000-08-04,3238125000
2000-08-07,3306812500
2000-08-08,3473625000
2000-08-09,3699312500
2000-08-10,3630625000
2000-08-11,3669875000
2000-08-14,3699312500
2000-08-15,3709125000
2000-08-16,3640437500
2000-08-17,3620812500
2000-08-18,3709125000
2000-08-21,3797437500
2000-08-22,3856312500
2000-08-23,3699312500
2000-08-24,3669875000
2000-08-25,3601187500
2000-08-28,3738562500
2000-08-29,3620812500
2000-08-30,3601187500
2000-08-31,3672328125
2000-09-01,3630625000
2000-09-05,3895562500
2000-09-06,4082000000
2000-09-07,3846500000
2000-09-08,3689500000
2000-09-11,3826875000
2000-09-12,3552125000
2000-09-13,3581562500
2000-09-14,3542312500
2000-09-15,3503062500
2000-09-18,3512875000
2000-09-19,3434375000
2000-09-20,3297000000
2000-09-21,2845625000
2000-09-22,2904500000
2000-09-25,2912349843
2000-09-26,2902929999
2000-09-27,2829140000
2000-09-28,2940610000
2000-09-29,2826000000
2000-10-02,2882576622
2000-10-03,2724972660
2000-10-04,2863663989
2000-10-05,2773829731
2000-10-06,2765949375
2000-10-09,2726548384
2000-10-10,2680843393
2000-10-11,2458621807
2000-10-12,2526391668
2000-10-13,2505902995
2000-10-16,2614649729
2000-10-17,2598889333
2000-10-18,2687147394
2000-10-19,2679267354
2000-10-20,2702907948
2000-10-23,2671387313
2000-10-24,2644594639
2000-10-25,2639866363
