,BA
2000-01-03,34996614569
2000-01-04,34942187486
2000-01-05,37119270819
2000-01-06,37500260402
2000-01-07,38588802068
2000-01-10,38044531235
2000-01-11,37336979152
2000-01-12,37500260402
2000-01-13,36901562485
2000-01-14,38316666652
2000-01-18,39187499985
2000-01-19,41473437484
2000-01-20,40493749984
2000-01-21,39786197901
2000-01-24,38588802068
2000-01-25,39786197901
2000-01-26,40221614567
2000-01-27,39241927068
2000-01-28,38860937485
2000-01-31,38752083318
2000-02-01,38098958318
2000-02-02,38860937485
2000-02-03,37826822902
2000-02-04,38316666652
2000-02-07,36411718736
2000-02-08,35704166653
2000-02-09,33962499987
2000-02-10,34615624986
2000-02-11,34724479153
2000-02-14,33309374987
2000-02-15,33527083320
2000-02-16,32438541654
2000-02-17,32656249987
2000-02-18,31349999988
2000-02-22,33853645820
2000-02-23,32329687487
2000-02-24,31839843737
2000-02-25,32928385404
2000-02-28,32220833321
2000-02-29,32166406237
2000-03-01,31622135404
2000-03-02,31295572904
2000-03-03,31295572904
2000-03-06,30588020821
2000-03-07,30261458321
2000-03-08,29064062488
2000-03-09,29390624988
2000-03-10,28193229155
2000-03-13,28410937489
2000-03-14,28791927072
2000-03-15,30370312488
2000-03-16,31023437488
2000-03-17,33091666654
2000-03-20,32220833321
2000-03-21,31839843737
2000-03-22,31567708321
2000-03-23,30588020821
2000-03-24,31349999988
2000-03-27,32329687487
2000-03-28,33091666654
2000-03-29,32982812487
2000-03-30,33635937487
2000-03-31,33019366211
2000-04-03,32473591563
2000-04-04,32582746493
2000-04-05,31491197196
2000-04-06,31545774661
2000-04-07,31163732407
2000-04-10,30617957759
2000-04-11,31163732407
2000-04-12,32855633817
2000-04-13,32309859169
2000-04-14,30890845083
2000-04-17,30836267619
2000-04-18,30345070435
2000-04-19,32528169028
2000-04-20,34984154944
2000-04-24,33073943676
2000-04-25,34056338043
2000-04-26,34875000015
2000-04-27,34765845085
2000-04-28,34656690155
2000-05-01,34110915507
2000-05-02,33128521141
2000-05-03,32582746493
2000-05-04,33346831000
2000-05-05,34492957761
2000-05-08,33401408465
2000-05-09,33455985930
2000-05-10,32200704239
2000-05-11,32582746493
2000-05-12,32473591563
2000-05-15,32473591563
2000-05-16,32637323957
2000-05-17,32637323957
2000-05-18,32855633817
2000-05-19,32255281704
2000-05-22,31927816915
2000-05-23,32419014098
2000-05-24,33947183113
2000-05-25,33510563394
2000-05-26,33401408465
2000-05-30,34547535226
2000-05-31,34110915507
2000-06-01,35147887339
2000-06-02,34820422550
2000-06-05,34001760578
2000-06-06,34820422550
2000-06-07,33674295789
2000-06-08,33346831000
2000-06-09,34220070437
2000-06-12,33292253535
2000-06-13,33892605648
2000-06-14,33892605648
2000-06-15,35257042268
2000-06-16,34274647902
2000-06-19,34056338043
2000-06-20,34329225367
2000-06-21,34765845085
2000-06-22,34001760578
2000-06-23,34820422550
2000-06-26,34711267620
2000-06-27,34929577480
2000-06-28,35393485930
2000-06-29,35748239452
2000-06-30,35864524653
2000-07-03,35757306343
2000-07-05,36722271132
2000-07-06,36883098597
2000-07-07,37526408456
2000-07-10,36883098597
2000-07-11,38008890850
2000-07-12,37633626766
2000-07-13,38223327470
2000-07-14,38116109160
2000-07-17,37714040498
2000-07-18,38705809864
2000-07-19,39349119724
2000-07-20,39509947188
2000-07-21,40153257048
2000-07-24,41279049301
2000-07-25,41707922541
2000-07-26,41171830992
2000-07-27,41386267611
2000-07-28,41868750006
2000-07-31,41868750006
2000-08-01,41761531696
2000-08-02,42780105640
2000-08-03,42029577471
2000-08-04,42029577471
2000-08-07,42083186625
2000-08-08,41654313386
2000-08-09,40957394372
2000-08-10,41922359161
2000-08-11,42565669020
2000-08-14,42458450710
2000-08-15,40528521132
2000-08-16,39617165498
2000-08-17,39349119724
2000-08-18,39188292259
2000-08-21,40957394372
2000-08-22,42297623245
2000-08-23,43369806344
2000-08-24,45996654936
2000-08-25,46425528175
2000-08-28,45675000006
2000-08-29,44870862682
2000-08-30,45031690147
2000-08-31,46010057225
2000-09-01,46961619725
2000-09-05,47551320429
2000-09-06,49588468317
2000-09-07,50178169021
2000-09-08,49856514091
2000-09-11,50285387331
2000-09-12,50607042261
2000-09-13,50982306345
2000-09-14,50070950711
2000-09-15,48784330993
2000-09-18,48837940148
2000-09-19,48677112683
2000-09-20,50660651415
2000-09-21,51464788740
2000-09-22,54466901416
2000-09-25,54788556346
2000-09-26,56664876768
2000-09-27,55378257050
2000-09-28,55324647895
2000-09-29,55324647895
2000-10-02,48842694267
2000-10-03,50044172308
2000-10-04,51088935822
2000-10-05,51036697646
2000-10-06,50984459471
2000-10-09,49678505078
2000-10-10,49782981430
2000-10-11,50305363187
2000-10-12,46909881767
