,DIS
2000-01-03,60973430000
2000-01-04,64552800000
2000-01-05,67221810000
2000-01-06,64552800000
2000-01-07,63518300000
2000-01-10,73221910000
2000-01-11,73987440000
2000-01-12,68752870000
2000-01-13,71049460000
2000-01-14,68504590000
2000-01-18,70408070000
2000-01-19,70925320000
2000-01-20,68628730000
2000-01-21,66849390000
2000-01-24,67987340000
2000-01-25,76532310000
2000-01-26,74752970000
2000-01-27,75766780000
2000-01-28,75001250000
2000-01-31,74111580000
2000-02-01,73470190000
2000-02-02,76035750000
2000-02-03,77297840000
2000-02-04,77815090000
2000-02-07,77566810000
2000-02-08,76677140000
2000-02-09,76925420000
2000-02-10,75394360000
2000-02-11,77297840000
2000-02-14,75518500000
2000-02-15,75270220000
2000-02-16,75394360000
2000-02-17,74504690000
2000-02-18,72456380000
2000-02-22,68111480000
2000-02-23,69642540000
2000-02-24,67739060000
2000-02-25,63270020000
2000-02-28,66849390000
2000-02-29,69394260000
2000-03-01,70801180000
2000-03-02,70408070000
2000-03-03,74504690000
2000-03-06,73470190000
2000-03-07,73470190000
2000-03-08,71318430000
2000-03-09,73987440000
2000-03-10,71690850000
2000-03-13,71318430000
2000-03-14,69642540000
2000-03-15,71049460000
2000-03-16,72083960000
2000-03-17,75146080000
2000-03-20,80504790000
2000-03-21,79987540000
2000-03-22,82656550000
2000-03-23,84829000000
2000-03-24,84580720000
2000-03-27,85222110000
2000-03-28,83546220000
2000-03-29,83297940000
2000-03-30,82159990000
2000-03-31,84187610000
2000-04-03,85717500000
2000-04-04,84304460000
2000-04-05,81997880000
2000-04-06,82891420000
2000-04-07,84055100000
2000-04-10,84678500000
2000-04-11,87130540000
2000-04-12,82122560000
2000-04-13,80460160000
2000-04-14,79691300000
2000-04-17,79441940000
2000-04-18,80979660000
2000-04-19,83909640000
2000-04-20,86611040000
2000-04-24,82517380000
2000-04-25,83016100000
2000-04-26,86860400000
2000-04-27,85322680000
2000-04-28,89437120000
2000-05-01,86091540000
2000-05-02,88148760000
2000-05-03,84553820000
2000-05-04,81353700000
2000-05-05,81104340000
2000-05-08,83140780000
2000-05-09,83535600000
2000-05-10,84179780000
2000-05-11,84304460000
2000-05-12,83660280000
2000-05-15,83660280000
2000-05-16,86486360000
2000-05-17,86611040000
2000-05-18,84429140000
2000-05-19,84179780000
2000-05-22,83784960000
2000-05-23,82122560000
2000-05-24,80584840000
2000-05-25,81623840000
2000-05-26,81748520000
2000-05-30,85842180000
2000-05-31,86486360000
2000-06-01,85592820000
2000-06-02,82891420000
2000-06-05,83286240000
2000-06-06,83784960000
2000-06-07,82371920000
2000-06-08,82891420000
2000-06-09,85198000000
2000-06-12,83473260000
2000-06-13,82371920000
2000-06-14,83535600000
2000-06-15,86091540000
2000-06-16,84429140000
2000-06-19,85966860000
2000-06-20,85592820000
2000-06-21,85592820000
2000-06-22,85073320000
2000-06-23,81229020000
2000-06-26,83016100000
2000-06-27,81997880000
2000-06-28,80273140000
2000-06-29,80979660000
2000-06-30,79566620000
2000-07-03,79199280000
2000-07-05,78179100000
2000-07-06,77013180000
2000-07-07,78054180000
2000-07-10,77658600000
2000-07-11,73931820000
2000-07-12,74077560000
2000-07-13,76242840000
2000-07-14,76888260000
2000-07-17,75097740000
2000-07-18,73432140000
