,HES
2000-01-03,4933155000
2000-01-04,4835415000
2000-01-05,4797405000
2000-01-06,4897860000
2000-01-07,5106915000
2000-01-10,5044470000
2000-01-11,5006460000
2000-01-12,4971165000
2000-01-13,5142210000
2000-01-14,5163930000
2000-01-18,5226375000
2000-01-19,5267100000
2000-01-20,5199225000
2000-01-21,5299680000
2000-01-24,5153070000
2000-01-25,5063475000
2000-01-26,4914150000
2000-01-27,4851705000
2000-01-28,4772970000
2000-01-31,4813695000
2000-02-01,4778400000
2000-02-02,4797405000
2000-02-03,4699665000
2000-02-04,4705095000
2000-02-07,4729530000
2000-02-08,4642650000
2000-02-09,4512330000
2000-02-10,4547625000
2000-02-11,4365720000
2000-02-14,4422735000
2000-02-15,4563915000
2000-02-16,4620930000
2000-02-17,4661655000
2000-02-18,4637220000
2000-02-22,4615500000
2000-02-23,4547625000
2000-02-24,4496040000
2000-02-25,4411875000
2000-02-28,4512330000
2000-02-29,4574775000
2000-03-01,4699665000
2000-03-02,4824555000
2000-03-03,4870710000
2000-03-06,4887000000
2000-03-07,5226375000
2000-03-08,5112345000
2000-03-09,5153070000
2000-03-10,5180220000
2000-03-13,5136780000
2000-03-14,5248095000
2000-03-15,5220945000
2000-03-16,5272530000
2000-03-17,5226375000
2000-03-20,5158500000
2000-03-21,5305110000
2000-03-22,5242665000
2000-03-23,5210085000
2000-03-24,5334975000
2000-03-27,5253525000
2000-03-28,5326830000
2000-03-29,5571180000
2000-03-30,5842680000
2000-03-31,5848110000
2000-04-03,5869830000
2000-04-04,5853540000
2000-04-05,5655345000
2000-04-06,5791095000
2000-04-07,5666205000
2000-04-10,5655345000
2000-04-11,5723220000
2000-04-12,5769375000
2000-04-13,5815530000
2000-04-14,5734080000
2000-04-17,5611905000
2000-04-18,5611905000
2000-04-19,5679780000
2000-04-20,5679780000
2000-04-24,5728650000
2000-04-25,5769375000
2000-04-26,5801955000
2000-04-27,5810100000
2000-04-28,5758515000
2000-05-01,5810100000
2000-05-02,5815530000
2000-05-03,5655345000
2000-05-04,5853540000
2000-05-05,5858970000
2000-05-08,6000150000
2000-05-09,5932275000
2000-05-10,5905125000
2000-05-11,6092460000
2000-05-12,6344955000
2000-05-15,6317805000
2000-05-16,6135900000
2000-05-17,6198345000
2000-05-18,6087030000
2000-05-19,6097890000
2000-05-22,6005580000
2000-05-23,6062595000
2000-05-24,5915985000
2000-05-25,5883405000
2000-05-26,5837250000
2000-05-30,5858970000
2000-05-31,6030015000
2000-06-01,6000150000
2000-06-02,5685210000
2000-06-05,5723220000
2000-06-06,5951280000
2000-06-07,5820960000
2000-06-08,5858970000
2000-06-09,5910555000
2000-06-12,6024585000
2000-06-13,6092460000
2000-06-14,6046305000
2000-06-15,5945850000
2000-06-16,6125040000
2000-06-19,6019155000
2000-06-20,6019155000
2000-06-21,6130470000
2000-06-22,5962140000
2000-06-23,5967570000
2000-06-26,5921415000
2000-06-27,5905125000
2000-06-28,5780235000
2000-06-29,5774805000
2000-06-30,5544252000
2000-07-03,5697810000
2000-07-05,5331426000
2000-07-06,5528088000
2000-07-07,5595438000
2000-07-10,5606214000
2000-07-11,5740914000
2000-07-12,5662788000
2000-07-13,5600826000
2000-07-14,5595438000
