,TSCO
2000-01-03,557086903
2000-01-04,545020870
2000-01-05,548311096
2000-01-06,539540903
2000-01-07,552701807
2000-01-10,526380000
2000-01-11,530765096
2000-01-12,561472000
2000-01-13,552701807
2000-01-14,572701440
2000-01-18,561472000
2000-01-19,538440418
2000-01-20,552701807
2000-01-21,535155807
2000-01-24,519799548
2000-01-25,513219096
2000-01-26,526380000
2000-01-27,600775040
2000-01-28,578316160
2000-01-31,634463359
2000-02-01,617619200
2000-02-02,567086720
2000-02-03,557086903
2000-02-04,572701440
2000-02-07,600775040
2000-02-08,600775040
2000-02-09,600775040
2000-02-10,612004480
2000-02-11,623233920
2000-02-14,589545600
2000-02-15,583930880
2000-02-16,583930880
2000-02-17,589545600
2000-02-18,578316160
2000-02-22,578316160
2000-02-23,572701440
2000-02-24,572701440
2000-02-25,589545600
2000-02-28,612004480
2000-02-29,634463359
2000-03-01,662536960
2000-03-02,634463359
2000-03-03,623233920
2000-03-06,640078080
2000-03-07,617619200
2000-03-08,623233920
2000-03-09,612004480
2000-03-10,623233920
2000-03-13,634463359
2000-03-14,600775040
2000-03-15,634463359
2000-03-16,679381120
2000-03-17,656922240
2000-03-20,673766400
2000-03-21,690610560
2000-03-22,701840000
2000-03-23,718684160
2000-03-24,679381120
2000-03-27,679381120
2000-03-28,690610560
2000-03-29,684995840
2000-03-30,701840000
2000-03-31,718684160
2000-04-03,179985066
2000-04-04,181391199
2000-04-05,181391199
2000-04-06,182797332
2000-04-07,188421866
2000-04-10,181391199
2000-04-11,191234132
2000-04-12,188421866
2000-04-13,172954399
2000-04-14,172954399
2000-04-17,167329866
2000-04-18,175766666
2000-04-19,170142132
2000-04-20,171548266
2000-04-24,168735999
2000-04-25,171548266
2000-04-26,175766666
2000-04-27,175766666
2000-04-28,144831732
2000-05-01,147643999
2000-05-02,149050132
2000-05-03,149050132
2000-05-04,158893066
2000-05-05,165923732
2000-05-08,163111466
2000-05-09,165923732
2000-05-10,158893066
2000-05-11,154674666
2000-05-12,153268532
2000-05-15,156080799
2000-05-16,158893066
2000-05-17,154674666
2000-05-18,153268532
2000-05-19,143425599
2000-05-22,147643999
2000-05-23,147643999
2000-05-24,144831732
2000-05-25,137317356
2000-05-26,144831732
2000-05-30,143425599
2000-05-31,132923189
2000-06-01,132374797
2000-06-02,133198791
2000-06-05,136219166
2000-06-06,139515142
2000-06-07,140063534
2000-06-08,137317356
2000-06-09,129078821
2000-06-12,127430833
2000-06-13,127980631
2000-06-14,131824999
2000-06-15,120840286
2000-06-16,124684654
2000-06-19,121388678
2000-06-20,120840286
2000-06-21,121938476
2000-06-22,125234452
2000-06-23,119192297
2000-06-26,117544309
2000-06-27,109854166
2000-06-28,116994511
2000-06-29,127430833
2000-06-30,146237866
2000-07-03,134436576
2000-07-05,123098768
2000-07-06,122558346
2000-07-07,117159653
