,CDNS
2000-01-03,5397127312
2000-01-04,5381838000
2000-01-05,5290102125
2000-01-06,5121919687
2000-01-07,5458284562
2000-01-10,5718202875
2000-01-11,5442995250
2000-01-12,5060762437
2000-01-13,5137209000
2000-01-14,5442995250
2000-01-18,5534731125
2000-01-19,5626467000
2000-01-20,5641756312
2000-01-21,5351259375
2000-01-24,5794649437
2000-01-25,5871096000
2000-01-26,5550020437
2000-01-27,5244234187
2000-01-28,5366548687
2000-01-31,5045473125
2000-02-01,5290102125
2000-02-02,5412416625
2000-02-03,5442995250
2000-02-04,5473573875
2000-02-07,5550020437
2000-02-08,5626467000
2000-02-09,5519441812
2000-02-10,5351259375
2000-02-11,5335970062
2000-02-14,4892580000
2000-02-15,4602083062
2000-02-16,4770265500
2000-02-17,4525636500
2000-02-18,4556215125
2000-02-22,4449189937
2000-02-23,4433900625
2000-02-24,4617372375
2000-02-25,4800844125
2000-02-28,4709108250
2000-02-29,4877290687
2000-03-01,5198366250
2000-03-02,5091341062
2000-03-03,5014894500
2000-03-06,5045473125
2000-03-07,5106630375
2000-03-08,4984315875
2000-03-09,5397127312
2000-03-10,5412416625
2000-03-13,5167787625
2000-03-14,5121919687
2000-03-15,5305391437
2000-03-16,5580599062
2000-03-17,5626467000
2000-03-20,5595888375
2000-03-21,5473573875
2000-03-22,5580599062
2000-03-23,5626467000
2000-03-24,5687624250
2000-03-27,5534731125
2000-03-28,5320680750
2000-03-29,5014894500
2000-03-30,4892580000
2000-03-31,5045473125
2000-04-03,4429822500
2000-04-04,4170143250
2000-04-05,4338171000
2000-04-06,4399272000
2000-04-07,4368721500
2000-04-10,4368721500
2000-04-11,4200693750
2000-04-12,3910464000
2000-04-13,3849363000
2000-04-14,3299454000
2000-04-17,3604959000
2000-04-18,3849363000
2000-04-19,4047941250
2000-04-20,3956289750
2000-04-24,3788262000
2000-04-25,4139592750
2000-04-26,4093767000
2000-04-27,4139592750
2000-04-28,4109042250
2000-05-01,4322895750
2000-05-02,4383996750
2000-05-03,4215969000
2000-05-04,4246519500
2000-05-05,4445097750
2000-05-08,4582575000
2000-05-09,4414547250
2000-05-10,4246519500
2000-05-11,4215969000
2000-05-12,4154868000
2000-05-15,4093767000
2000-05-16,4017390750
2000-05-17,3818812500
2000-05-18,3772986750
2000-05-19,3467481750
2000-05-22,3513307500
