,COTY
2013-06-13,6513188632
2013-06-14,6573218021
2013-06-17,6524444143
2013-06-18,6490677612
2013-06-19,6449407407
2013-06-20,6284326589
2013-06-21,6374370672
2013-06-24,6231800874
2013-06-25,6284326589
2013-06-26,6385626182
2013-06-27,6468166591
2013-06-28,6445655570
2013-07-01,6597120000
2013-07-02,6627840000
2013-07-03,6624000000
2013-07-05,6627840000
2013-07-08,6631680000
2013-07-09,6673920000
2013-07-10,6677760000
2013-07-11,6700800000
2013-07-12,6720000000
2013-07-15,6597120000
2013-07-16,6650880000
2013-07-17,6643200000
2013-07-18,6585599999
2013-07-19,6558719999
2013-07-22,6508800000
2013-07-23,6551039999
2013-07-24,6577920000
2013-07-25,6662400000
2013-07-26,6570240000
2013-07-29,6612480000
2013-07-30,6577920000
2013-07-31,6600960000
2013-08-01,6631680000
2013-08-02,6627840000
2013-08-05,6712320000
2013-08-06,6723840000
2013-08-07,6635520000
2013-08-08,6455039999
2013-08-09,6504960000
2013-08-12,6512640000
2013-08-13,6370560000
2013-08-14,6435840000
2013-08-15,6524159999
2013-08-16,6485760000
2013-08-19,6524159999
2013-08-20,6524159999
2013-08-21,6466560000
2013-08-22,6443520000
2013-08-23,6366719999
2013-08-26,6347520000
2013-08-27,6109440000
2013-08-28,6001920000
2013-08-29,6147840000
2013-08-30,6259200000
2013-09-03,6197760000
2013-09-04,6224640000
2013-09-05,6147840000
2013-09-06,6067200000
2013-09-09,5975040000
2013-09-10,5928960000
2013-09-11,5925120000
2013-09-12,5917440000
2013-09-13,6094080000
2013-09-16,6240000000
2013-09-17,6005760000
2013-09-18,5975040000
2013-09-19,6044160000
2013-09-20,6086400000
2013-09-23,6040320000
2013-09-24,6005760000
2013-09-25,5955840000
2013-09-26,5998080000
2013-09-27,6136320000
2013-09-30,6231124000
2013-10-01,6161932000
2013-10-02,6173463999
2013-10-03,6158088000
2013-10-04,6150400000
2013-10-07,6150400000
2013-10-08,6119648000
2013-10-09,6073520000
2013-10-10,6146556000
2013-10-11,6288784000
2013-10-14,6265720000
2013-10-15,6150400000
2013-10-16,6211904000
2013-10-17,6208059999
2013-10-18,6261876000
2013-10-21,6269563999
2013-10-22,6184996000
2013-10-23,6192684000
2013-10-24,6135024000
2013-10-25,6131180000
2013-10-28,6092740000
2013-10-29,6042768000
2013-10-30,6054300000
2013-10-31,5912072000
2013-11-01,5962044000
2013-11-04,5923604000
2013-11-05,5873632000
2013-11-06,5919760000
2013-11-07,5808284000
2013-11-08,5762156000
2013-11-11,5850568000
2013-11-12,5865944000
2013-11-13,5935136000
2013-11-14,6008172000
2013-11-15,6046612000
2013-11-18,5954356000
2013-11-19,5973576000
2013-11-20,5923604000
2013-11-21,6111960000
2013-11-22,6184996000
2013-11-25,6223436000
2013-11-26,6223436000
2013-11-27,6350288000
2013-11-29,6311848000
2013-12-02,6196528000
2013-12-03,6227280000
2013-12-04,6173463999
2013-12-05,6169620000
2013-12-06,5985108000
2013-12-09,6031236000
2013-12-10,5969732000
2013-12-11,5977420000
2013-12-12,6008172000
2013-12-13,5862100000
2013-12-16,5831348000
2013-12-17,5789064000
2013-12-18,5800596000
2013-12-19,5835192000
2013-12-20,5808284000
2013-12-23,5789064000
2013-12-24,5773688000
2013-12-26,5762156000
2013-12-27,5954356000
2013-12-30,5923604000
2013-12-31,5852765139
2014-01-02,5975577260
2014-01-03,5979415139
2014-01-06,5833575745
2014-01-07,5829737866
2014-01-08,5795196957
2014-01-09,5818224230
2014-01-10,5818224230
2014-01-13,5768331806
2014-01-14,5810548472
2014-01-15,5871954533
2014-01-16,5921846957
2014-01-17,5645519685
2014-01-21,5530383321
2014-01-22,5534221200
2014-01-23,5553410594
2014-01-24,5338489382
2014-01-27,5211839383
2014-01-28,5330813625
2014-01-29,5146595443
2014-01-30,5181136353
2014-01-31,5177298474
2014-02-03,5100540898
2014-02-04,5150433322
2014-02-05,5127406050
2014-02-06,5184974231
2014-02-07,5085189383
2014-02-10,5085189383
2014-02-11,5085189383
2014-02-12,5150433322
2014-02-13,5265569686
2014-02-14,5657033321
2014-02-18,5445949988
2014-02-19,5415246958
2014-02-20,5584113624
2014-02-21,5553410594
2014-02-24,5637843927
2014-02-25,5691574230
2014-02-26,5680060594
2014-02-27,5645519685
2014-02-28,5699249988
2014-03-03,5722277260
2014-03-04,5783683321
2014-03-05,5760656048
2014-03-06,5787521200
2014-03-07,5994766654
2014-03-10,6083037866
2014-03-11,5837413624
