,BIO
2000-01-03,275504625
2000-01-04,267132937
2000-01-05,264849750
2000-01-06,267894000
2000-01-07,267894000
2000-01-10,273982500
2000-01-11,280071000
2000-01-12,283115250
2000-01-13,264849750
2000-01-14,275504625
2000-01-18,281593125
2000-01-19,277026750
2000-01-20,267894000
2000-01-21,269416125
2000-01-24,270938250
2000-01-25,280071000
2000-01-26,277026750
2000-01-27,281593125
2000-01-28,280071000
2000-01-31,280832062
2000-02-01,280071000
2000-02-02,290725875
2000-02-03,304425000
2000-02-04,316602000
2000-02-07,327256875
2000-02-08,315079875
2000-02-09,318124125
2000-02-10,316602000
2000-02-11,321168375
2000-02-14,301380750
2000-02-15,304425000
2000-02-16,322690500
2000-02-17,325734750
2000-02-18,333345375
2000-02-22,344000250
2000-02-23,345522375
2000-02-24,353133000
2000-02-25,358460437
2000-02-28,377487000
2000-02-29,400318875
2000-03-01,382814437
2000-03-02,373681687
2000-03-03,377487000
2000-03-06,383575500
2000-03-07,371398500
2000-03-08,373681687
2000-03-09,371398500
2000-03-10,359221500
2000-03-13,365310000
2000-03-14,363787875
2000-03-15,363026812
2000-03-16,364548937
2000-03-17,353133000
2000-03-20,353133000
2000-03-21,353133000
2000-03-22,350849812
2000-03-23,344000250
2000-03-24,342478125
2000-03-27,345522375
2000-03-28,344000250
2000-03-29,340956000
2000-03-30,339433875
2000-03-31,332940500
2000-04-03,326831500
2000-04-04,314613500
2000-04-05,316140750
2000-04-06,317668000
2000-04-07,318431625
2000-04-10,328358750
2000-04-11,319195250
2000-04-12,317668000
2000-04-13,315377125
2000-04-14,320722500
2000-04-17,316140750
2000-04-18,307740875
2000-04-19,310031750
2000-04-20,306977250
2000-04-24,306977250
2000-04-25,306977250
2000-04-26,310795375
2000-04-27,316140750
2000-04-28,311559000
2000-05-01,326831500
2000-05-02,323777000
2000-05-03,317668000
2000-05-04,319195250
2000-05-05,316140750
2000-05-08,316904375
2000-05-09,314613500
2000-05-10,310031750
2000-05-11,313849875
2000-05-12,317668000
2000-05-15,322249750
2000-05-16,323777000
2000-05-17,319195250
2000-05-18,323777000
2000-05-19,320722500
2000-05-22,319195250
2000-05-23,313086250
2000-05-24,305450000
2000-05-25,296286500
2000-05-26,297813750
2000-05-30,291704750
2000-05-31,283304875
2000-06-01,282541250
2000-06-02,287123000
2000-06-05,282541250
2000-06-06,284068500
2000-06-07,282541250
2000-06-08,281777625
2000-06-09,287123000
2000-06-12,287123000
2000-06-13,287123000
2000-06-14,299341000
2000-06-15,300868250
2000-06-16,291704750
2000-06-19,285595750
2000-06-20,283304875
2000-06-21,287123000
2000-06-22,271850500
2000-06-23,261159750
2000-06-26,261159750
2000-06-27,262687000
2000-06-28,267268750
2000-06-29,277959500
2000-06-30,305425000
2000-07-03,296262250
2000-07-05,291680875
2000-07-06,291680875
2000-07-07,297789375
2000-07-10,297789375
2000-07-11,293971562
2000-07-12,294735125
2000-07-13,290153750
2000-07-14,294735125
2000-07-17,290153750
2000-07-18,293208000
2000-07-19,292444437
2000-07-20,290153750
2000-07-21,296262250
2000-07-24,296262250
2000-07-25,305425000
2000-07-26,305425000
2000-07-27,300843625
2000-07-28,295498687
2000-07-31,288626625
2000-08-01,284808812
2000-08-02,277936750
2000-08-03,280991000
2000-08-04,279463875
2000-08-07,290153750
2000-08-08,290153750
2000-08-09,284045250
2000-08-10,282518125
2000-08-11,280991000
2000-08-14,283281687
2000-08-15,284045250
2000-08-16,280991000
2000-08-17,274882500
2000-08-18,275646062
2000-08-21,274882500
2000-08-22,277936750
2000-08-23,281754562
2000-08-24,287099500
2000-08-25,284808812
2000-08-28,282518125
2000-08-29,291680875
2000-08-30,294735125
2000-08-31,300843625
2000-09-01,297789375
2000-09-05,293208000
2000-09-06,287099500
2000-09-07,282518125
2000-09-08,279463875
2000-09-11,274882500
2000-09-12,271064687
2000-09-13,265719750
2000-09-14,271064687
2000-09-15,273355375
2000-09-18,266483312
2000-09-19,262665500
2000-09-20,259611250
2000-09-21,268774000
2000-09-22,268774000
2000-09-25,277936750
2000-09-26,280380150
2000-09-27,282212700
2000-09-28,287099500
2000-09-29,275004670
2000-10-02,274489600
2000-10-03,294218540
2000-10-04,296546800
2000-10-05,301448400
2000-10-06,314315100
2000-10-09,306350000
2000-10-10,306350000
2000-10-11,312477000
2000-10-12,313702400
2000-10-13,315172880
2000-10-16,313089700
2000-10-17,319951940
2000-10-18,322280200
2000-10-19,321054800
2000-10-20,331348160
2000-10-23,340048500
2000-10-24,339435800
2000-10-25,354753300
2000-10-26,364556500
2000-10-27,362105700
2000-10-30,365169200
2000-10-31,366394600
2000-11-01,367497460
2000-11-02,363943800
2000-11-03,367007300
2000-11-06,365046660
2000-11-07,355366000
2000-11-08,348013600
2000-11-09,345685340
2000-11-10,348013600
2000-11-13,351689800
2000-11-14,360880300
2000-11-15,361493000
2000-11-16,360880300
2000-11-17,367007300
2000-11-20,367742540
