,PRU
2003-01-06,17907767098
2003-01-07,17952120700
2003-01-08,17852325094
2003-01-09,18517629135
2003-01-10,18650689943
2003-01-13,18584159539
2003-01-14,18589703740
2003-01-15,18811471753
2003-01-16,18739397149
2003-01-17,18373479926
2003-01-21,18212698116
2003-01-22,17963209101
2003-01-23,18379024127
2003-01-24,17641645481
2003-01-27,17774706290
2003-01-28,17929943899
2003-01-29,17891134497
2003-01-30,17580659278
2003-01-31,17613924480
2003-02-03,17835692493
2003-02-04,17353347064
2003-02-05,17419877468
2003-02-06,16992974042
2003-02-07,16965253040
2003-02-10,16854369033
2003-02-11,16577159016
2003-02-12,16078180986
2003-02-13,16460730809
2003-02-14,17031783444
2003-02-18,17142667451
2003-02-19,16804471230
2003-02-20,16887634235
2003-02-21,16882090035
2003-02-24,16643689420
2003-02-25,16782294429
2003-02-26,16621512619
2003-02-27,16832192232
2003-02-28,16649233621
2003-03-03,16638145220
2003-03-04,16266683797
2003-03-05,16460730809
2003-03-06,16455186609
2003-03-07,16554982215
2003-03-10,15800970969
2003-03-11,15518216751
2003-03-12,15279816137
2003-03-13,16166888191
2003-03-14,16322125800
2003-03-17,16854369033
2003-03-18,16660322021
2003-03-19,16887634235
2003-03-20,16793382829
2003-03-21,17297905060
2003-03-24,16649233621
2003-03-25,16970797240
2003-03-26,16848824833
2003-03-27,16743485026
2003-03-28,16577159016
2003-03-31,16007355000
2003-04-01,16330238400
2003-04-02,16850135400
2003-04-03,16516306800
2003-04-04,16811827200
2003-04-07,17069039400
2003-04-08,17036203800
2003-04-09,16499889000
2003-04-10,16461580800
2003-04-11,16401382200
2003-04-14,16817299800
2003-04-15,16943169600
2003-04-16,16707847800
2003-04-17,16965060000
2003-04-21,16893916200
2003-04-22,17506847400
2003-04-23,17539683000
2003-04-24,17304361200
2003-04-25,17238690000
2003-04-28,17484957000
2003-04-29,17463066600
2003-04-30,17495902200
2003-05-01,17326251600
2003-05-02,17720278800
2003-05-05,17709333600
2003-05-06,17654607600
2003-05-07,17512320000
2003-05-08,17539683000
2003-05-09,17764059600
2003-05-12,18004854000
2003-05-13,17928237600
2003-05-14,17851621200
2003-05-15,17961073200
2003-05-16,18010326600
2003-05-19,17490429600
2003-05-20,17348142000
2003-05-21,17660080200
2003-05-22,17922765000
2003-05-23,17993908800
2003-05-27,18125251200
2003-05-28,18169032000
2003-05-29,17846148600
2003-05-30,18344155200
2003-06-02,18256593600
2003-06-03,18393408600
2003-06-04,18311319600
2003-06-05,18278484000
2003-06-06,18097888200
2003-06-09,17966545800
2003-06-10,18081470400
2003-06-11,18431716800
2003-06-12,18552114000
2003-06-13,18409826400
2003-06-16,18880470000
2003-06-17,18803853600
2003-06-18,18699874200
2003-06-19,17911819800
2003-06-20,17977491000
2003-06-23,17939182800
2003-06-24,18190922400
2003-06-25,18048634800
2003-06-26,18398881200
2003-06-27,18497388000
2003-06-30,18220802000
2003-07-01,18410320000
2003-07-02,18897652000
2003-07-03,18859748400
2003-07-07,19114244000
2003-07-08,19195466000
2003-07-09,19195466000
2003-07-10,18913896400
2003-07-11,19054681200
2003-07-14,19412058000
2003-07-15,19195466000
2003-07-16,18951800000
2003-07-17,19033022000
2003-07-18,19617820400
2003-07-21,19282102800
2003-07-22,19114244000
2003-07-23,19125073600
2003-07-24,19152147600
2003-07-25,19574502000
2003-07-28,19872316000
2003-07-29,19601576000
2003-07-30,19509524400
2003-07-31,19265858400
2003-08-01,19114244000
2003-08-04,18762282000
2003-08-05,18746037600
2003-08-06,19249614000
2003-08-07,19439132000
2003-08-08,19682798000
2003-08-11,19444546800
2003-08-12,19801923600
2003-08-13,19477035600
2003-08-14,19677383200
2003-08-15,19791094000
2003-08-18,19964367600
2003-08-19,20023930400
2003-08-20,20148470800
2003-08-21,19742360800
2003-08-22,19422887600
2003-08-25,19449961600
2003-08-26,19655724000
2003-08-27,19352495200
2003-08-28,19428302400
2003-08-29,19715286800
2003-09-02,20121396800
2003-09-03,20278426000
2003-09-04,19926464000
2003-09-05,19742360800
2003-09-08,20002271200
2003-09-09,19617820400
2003-09-10,19482450400
2003-09-11,19547428000
2003-09-12,20083493200
2003-09-15,20018515600
2003-09-16,20251352000
2003-09-17,20159300400
2003-09-18,20467944000
2003-09-19,20413796000
2003-09-22,20289255600
2003-09-23,20532921600
2003-09-24,20045589600
2003-09-25,20051004400
2003-09-26,20040174800
2003-09-29,20608728800
2003-09-30,19788017911
2003-10-01,19904542641
2003-10-02,19925728956
2003-10-03,19931025535
2003-10-06,19957508428
2003-10-07,19909839220
2003-10-08,19835687119
2003-10-09,20179964732
2003-10-10,20164074996
2003-10-13,20312379199
2003-10-14,20413014194
2003-10-15,20518945767
2003-10-16,20534835503
2003-10-17,20402421036
2003-10-20,20259413412
2003-10-21,20291192884
2003-10-22,19962805007
2003-10-23,20349455250
2003-10-24,20492462874
2003-10-27,20460683402
2003-10-28,20566614975
2003-10-29,20699029442
2003-10-30,20540132082
2003-10-31,20465979980
2003-11-03,20672546549
2003-11-04,20153481839
2003-11-05,19703272652
2003-11-06,19788017911
2003-11-07,19570858185
2003-11-10,19554968449
2003-11-11,19544375292
2003-11-12,19766831596
2003-11-13,19968101585
2003-11-14,19544375292
2003-11-17,19385477932
2003-11-18,19597341079
2003-11-19,19703272652
2003-11-20,19676789759
2003-11-21,19597341079
2003-11-24,20185261311
2003-11-25,20344158671
2003-11-26,20730808914
2003-11-28,20714919178
2003-12-01,21345212040
2003-12-02,21207500994
2003-12-03,21191611258
2003-12-04,21419364141
2003-12-05,21355805197
2003-12-08,21504109400
2003-12-09,21345212040
2003-12-10,21572964922
2003-12-11,21943725429
2003-12-12,21816607541
2003-12-15,21514702557
2003-12-16,21689489653
2003-12-17,21874869907
2003-12-18,22155588576
2003-12-19,21980801480
2003-12-22,21890759643
2003-12-23,21964911744
2003-12-24,22033767267
2003-12-26,22113215947
2003-12-29,22346265408
2003-12-30,22176774891
