,MCHP
2000-01-03,3573206370
2000-01-04,3317469930
2000-01-05,3345885090
2000-01-06,3257087715
2000-01-07,3171842235
2000-01-10,3399163515
2000-01-11,3278399085
2000-01-12,3541239315
2000-01-13,3750801120
2000-01-14,3509272260
2000-01-18,3470201415
2000-01-19,3548343105
2000-01-20,3693970800
2000-01-21,3484408995
2000-01-24,3406267305
2000-01-25,3551895000
2000-01-26,3388507829
2000-01-27,3267743399
2000-01-28,3061733489
2000-01-31,3306814245
2000-02-01,3310366140
2000-02-02,3381404040
2000-02-03,3658451850
2000-02-04,3569654475
2000-02-07,3658451850
2000-02-08,3736593540
2000-02-09,3754353015
2000-02-10,3928395870
2000-02-11,3768560595
2000-02-14,3885773130
2000-02-15,3782768175
2000-02-16,3796975755
2000-02-17,3928395870
2000-02-18,3757904910
2000-02-22,3718834065
2000-02-23,3903532605
2000-02-24,4248066420
2000-02-25,4031400825
2000-02-28,4208995575
2000-02-29,4930030260
2000-03-01,4887407520
2000-03-02,4880303730
2000-03-03,5313634920
2000-03-06,5533852410
2000-03-07,5704343370
2000-03-08,5484125880
2000-03-09,5416639875
2000-03-10,5462814510
2000-03-13,5100521220
2000-03-14,4766643090
2000-03-15,4684949505
2000-03-16,4798610145
2000-03-17,5011723845
2000-03-20,4887407520
2000-03-21,5107625010
2000-03-22,5146695855
2000-03-23,5018827635
2000-03-24,5160903435
2000-03-27,5203526175
2000-03-28,4880303730
2000-03-29,4652982450
2000-03-30,4617463500
2000-03-31,5606472490
2000-04-03,4769914651
2000-04-04,4942598608
2000-04-05,5560423434
2000-04-06,5717757707
2000-04-07,6205110209
2000-04-10,5644846702
2000-04-11,5848230030
2000-04-12,5334015579
2000-04-13,5318665894
2000-04-14,4485945476
2000-04-17,5107607723
2000-04-18,5552748592
2000-04-19,5038534140
2000-04-20,5030859298
2000-04-24,4908061817
2000-04-25,5207380676
2000-04-26,4862012761
2000-04-27,5134469672
2000-04-28,5291803945
2000-05-01,5287966523
2000-05-02,4961785715
2000-05-03,5111445144
2000-05-04,4992485085
2000-05-05,5096095459
2000-05-08,4835150812
2000-05-09,4670141697
2000-05-10,4332448625
2000-05-11,4758402387
2000-05-12,4750727544
2000-05-15,4581881008
2000-05-16,5038534140
2000-05-17,4854337919
2000-05-18,4512807425
2000-05-19,4520482267
2000-05-22,4635604906
2000-05-23,4263375042
2000-05-24,4382335101
2000-05-25,4455246106
2000-05-26,4305586676
2000-05-30,4796776600
2000-05-31,4838988234
2000-06-01,4769914651
2000-06-02,5314828472
2000-06-05,5426113689
2000-06-06,5115282566
2000-06-07,5184356149
2000-06-08,5107607723
2000-06-09,5134469672
2000-06-12,4850500497
2000-06-13,4950273451
2000-06-14,4934923766
2000-06-15,4950273451
2000-06-16,5073070932
2000-06-19,5272616838
2000-06-20,5456813060
2000-06-21,5357040106
2000-06-22,5011672191
2000-06-23,4919574080
2000-06-26,4915736659
2000-06-27,4677816540
2000-06-28,4758402387
2000-06-29,4919574080
2000-06-30,4990817386
2000-07-03,5164243473
2000-07-05,4524493908
2000-07-06,4597718256
2000-07-07,4778852169
2000-07-10,4813537386
2000-07-11,4786559995
2000-07-12,5191220864
2000-07-13,5611297386
2000-07-14,5865655646
2000-07-17,5738476516
2000-07-18,5765453907
2000-07-19,5688375647
2000-07-20,6073766951
2000-07-21,5738476516
2000-07-24,5927318255
2000-07-25,6154699124
2000-07-26,5861801733
2000-07-27,5518803473
2000-07-28,5353085212
2000-07-31,5946587820
2000-08-01,5611297386
2000-08-02,5256737386
2000-08-03,5630566951
2000-08-04,5464848690
2000-08-07,5792431299
2000-08-08,5873363472
2000-08-09,6000542603
2000-08-10,5738476516
2000-08-11,5661398255
2000-08-14,5950441733
2000-08-15,5927318255
2000-08-16,5750038255
2000-08-17,5807846951
2000-08-18,5846386081
2000-08-21,5588173908
2000-08-22,5611297386
2000-08-23,5434017386
2000-08-24,5680667820
2000-08-25,5572758255
2000-08-28,5742330429
2000-08-29,5915756516
2000-08-30,5904194777
2000-08-31,5830970429
2000-09-01,6112306081
2000-09-05,5877217386
2000-09-06,5565050429
2000-09-07,5788577386
2000-09-08,5487972168
2000-09-11,5530365212
2000-09-12,5480264342
2000-09-13,5372354777
2000-09-14,5638274777
2000-09-15,5507241734
2000-09-18,5387770429
2000-09-19,5503387821
2000-09-20,5757746081
2000-09-21,5437871299
2000-09-22,5117996517
2000-09-25,4871346082
2000-09-26,4509078256
2000-09-27,4520639995
2000-09-28,4289405213
2000-09-29,4247012170
2000-10-02,4809935820
2000-10-03,4208693842
2000-10-04,4131114232
2000-10-05,4728477229
2000-10-06,4146630154
2000-10-09,4010865837
2000-10-10,3572541040
2000-10-11,3638483709
2000-10-12,3743216182
2000-10-13,4080687486
2000-10-16,3766490065
2000-10-17,3483324489
2000-10-18,3460050606
2000-10-19,4150509134
2000-10-20,4460827575
2000-10-23,4305668355
2000-10-24,3886738461
2000-10-25,3588056962
2000-10-26,3847948656
2000-10-27,3572541040
2000-10-30,3700547396
2000-10-31,4088445446
2000-11-01,3723821280
2000-11-02,3750974143
2000-11-03,3692789436
2000-11-06,3750974143
2000-11-07,3572541040
2000-11-08,3471687547
2000-11-09,3417381820
2000-11-10,3176885029
2000-11-13,3370834054
2000-11-14,3653999631
2000-11-15,3789763948
2000-11-16,3549267157
2000-11-17,3619088806
2000-11-20,3549267157
2000-11-21,3297133425
2000-11-22,3231190756
2000-11-24,3378592015
2000-11-27,3207916873
2000-11-28,3060515614
2000-11-29,2982936004
2000-11-30,3021725809
2000-12-01,3134216244
2000-12-04,3200158912
2000-12-05,3460050606
2000-12-06,3452292645
2000-12-07,3320407308
2000-12-08,3813037831
2000-12-11,3467808567
2000-12-12,3238948717
2000-12-13,2940267219
2000-12-14,2796744940
2000-12-15,2602795915
2000-12-18,2692012467
2000-12-19,2657101642
2000-12-20,2587279993
2000-12-21,2633827759
2000-12-22,2851050667
2000-12-26,2715286350
2000-12-27,2885961492
2000-12-28,3064394595
2000-12-29,2835534745
2001-01-02,2865877620
2001-01-03,3547854000
2001-01-04,3539969880
2001-01-05,3244315380
2001-01-08,3193068600
2001-01-09,3122111520
2001-01-10,3220663020
2001-01-11,3539969880
2001-01-12,3449302500
2001-01-16,3350751000
2001-01-17,3662173739
2001-01-18,3934175880
2001-01-19,3630637260
2001-01-22,3500549280
2001-01-23,3425650140
2001-01-24,3500549280
2001-01-25,3457186620
2001-01-26,3646405500
2001-01-29,3835624380
2001-01-30,3851392620
2001-01-31,3949944120
2001-02-01,4016959140
2001-02-02,3729188760
2001-02-05,3500549280
2001-02-06,3563622239
2001-02-07,3516317520
2001-02-08,3614869020
2001-02-09,3524201640
2001-02-12,3614869020
2001-02-13,3488723100
2001-02-14,3796203780
2001-02-15,4080032100
2001-02-16,3780435540
2001-02-20,3677941980
2001-02-21,3563622239
2001-02-22,3606984900
2001-02-23,3630637260
2001-02-26,3532085760
2001-02-27,3260083620
2001-02-28,3137879760
2001-03-01,3047212380
2001-03-02,3153648000
2001-03-05,3441418380
2001-03-06,3547854000
2001-03-07,3630637260
2001-03-08,3555738120
2001-03-09,3425650140
2001-03-12,3260083620
2001-03-13,3291620100
2001-03-14,3327098640
2001-03-15,3311330400
2001-03-16,3283735980
2001-03-19,3441418380
2001-03-20,3303446280
2001-03-21,3425650140
2001-03-22,3859276739
2001-03-23,3776493480
2001-03-26,3713420520
2001-03-27,3685826100
2001-03-28,3465070739
2001-03-29,3425650140
2001-03-30,3327098640
2001-04-02,3137879760
2001-04-03,3015675900
2001-04-04,2948660880
2001-04-05,3260083620
2001-04-06,3122111520
2001-04-09,3007791780
2001-04-10,3358635120
2001-04-11,3603042840
2001-04-12,3729188760
2001-04-16,3610926960
2001-04-17,3532085760
2001-04-18,3942060000
2001-04-19,4028785320
2001-04-20,3953886179
2001-04-23,3871102920
2001-04-24,3606984900
2001-04-25,3685826100
2001-04-26,3563622239
2001-04-27,3630637260
2001-04-30,3800145840
2001-05-01,3831682320
2001-05-02,3827740260
2001-05-03,3626695199
2001-05-04,3583332540
2001-05-07,3551796060
2001-05-08,3555738120
2001-05-09,3512375460
2001-05-10,3457186620
2001-05-11,3508433400
2001-05-14,3315272460
2001-05-15,3295562160
2001-05-16,3362577179
2001-05-17,3547854000
2001-05-18,3480838980
2001-05-21,3811972020
2001-05-22,3638521380
2001-05-23,3382287480
2001-05-24,3299504219
2001-05-25,3279793920
2001-05-29,3070864740
2001-05-30,2948660880
2001-05-31,3015675900
2001-06-01,3126053580
2001-06-04,3114227400
2001-06-05,3216720960
2001-06-06,3133937700
2001-06-07,3465070739
2001-06-08,3433534260
2001-06-11,3319214520
2001-06-12,3291620100
2001-06-13,3283735980
2001-06-14,3066922680
2001-06-15,3449302500
2001-06-18,3413823960
2001-06-19,3405939840
2001-06-20,3421708080
2001-06-21,3555738120
2001-06-22,3626695199
2001-06-25,3713420520
2001-06-26,3654289620
2001-06-27,3563622239
2001-06-28,3922349699
2001-06-29,4391454840
2001-07-02,4151515560
2001-07-03,4159483920
2001-07-05,4039958520
2001-07-06,3880591320
2001-07-09,4000116719
2001-07-10,4035974340
2001-07-11,4111673760
2001-07-12,4474234140
2001-07-13,4446344880
2001-07-16,4279009320
2001-07-17,4298930220
2001-07-18,4282993500
2001-07-19,4526028480
2001-07-20,4462281600
2001-07-23,4561886100
2001-07-24,4398534720
2001-07-25,4358692920
2001-07-26,4725237480
2001-07-27,4880620500
2001-07-30,4904525580
2001-07-31,4820857800
2001-08-01,4920462300
2001-08-02,5095766220
2001-08-03,4944367380
2001-08-06,4808905260
2001-08-07,4725237480
2001-08-08,4530012660
2001-08-09,4470249960
2001-08-10,4533996840
2001-08-13,4737190020
2001-08-14,4792968540
2001-08-15,4589775360
2001-08-16,4450329060
2001-08-17,4191357360
2001-08-20,4279009320
2001-08-21,4012069260
2001-08-22,4390566360
2001-08-23,4338772020
2001-08-24,4605712080
2001-08-27,4840778700
2001-08-28,4729221660
2001-08-29,4677427320
2001-08-30,4701332400
2001-08-31,4741174200
2001-09-04,4653522240
2001-09-05,4402518900
2001-09-06,4434392340
2001-09-07,4522044300
2001-09-10,4462281600
2001-09-17,4039958520
2001-09-18,3753097560
2001-09-19,3581777820
2001-09-20,3430378980
2001-09-21,3466236599
2001-09-24,3629587980
2001-09-25,3645524700
2001-09-26,3366632099
2001-09-27,3366632099
2001-09-28,3557872740
2001-10-01,3436676100
2001-10-02,3364578000
2001-10-03,3484741499
2001-10-04,3801172050
2001-10-05,3785150249
2001-10-08,3873270150
2001-10-09,3721063049
2001-10-10,4025477250
2001-10-11,4534169400
2001-10-12,4438038600
2001-10-15,4237766100
2001-10-16,4349918700
2001-10-17,4149646200
2001-10-18,4029482700
2001-10-19,4133624400
2001-10-22,4325886000
2001-10-23,4269809700
2001-10-24,4450054950
2001-10-25,4494114900
2001-10-26,4558202100
2001-10-29,4213733400
2001-10-30,4049509950
2001-10-31,4169673450
2001-11-01,4305858750
2001-11-02,4426022250
2001-11-05,4482098550
2001-11-06,4838583600
2001-11-07,4794523650
2001-11-08,4694387400
2001-11-09,4634305650
2001-11-12,4846594500
2001-11-13,4974768900
2001-11-14,4862616300
2001-11-15,4878638100
2001-11-16,4842589050
2001-11-19,4778501850
2001-11-20,4558202100
2001-11-21,4810545450
2001-11-23,4770490950
2001-11-26,5046867000
2001-11-27,5078910600
2001-11-28,4834578150
2001-11-29,5010817950
2001-11-30,4822561800
2001-12-03,4746458250
2001-12-04,4986785250
2001-12-05,5451417450
2001-12-06,5575586400
2001-12-07,5355286650
2001-12-10,5231117700
2001-12-11,5283188550
2001-12-12,5383324800
2001-12-13,5255150400
2001-12-14,5367303000
2001-12-17,5527521000
2001-12-18,5563570050
2001-12-19,5423379300
2001-12-20,4914687150
2001-12-21,5046867000
2001-12-24,4986785250
2001-12-26,5163025050
2001-12-27,5215095900
2001-12-28,5395341150
2001-12-31,5166439990
2002-01-02,5322513700
2002-01-03,5658672460
2002-01-04,5654670570
2002-01-07,5482589300
2002-01-08,5490593080
2002-01-09,5578634660
2002-01-10,5466581740
2002-01-11,5254481570
2002-01-14,5166439990
2002-01-15,5158436210
2002-01-16,4998360610
2002-01-17,5226468340
2002-01-18,5122419200
2002-01-22,4854292570
2002-01-23,4978351160
2002-01-24,4974349270
2002-01-25,5006364390
2002-01-28,5066392740
2002-01-29,4866298240
