,GS
2000-01-03,42792950096
2000-01-04,40098704795
2000-01-05,38223393767
2000-01-06,39856416549
2000-01-07,40006635262
2000-01-10,40888564479
2000-01-11,41096932371
2000-01-12,40888564479
2000-01-13,40946713658
2000-01-14,41494285095
2000-01-18,42100005711
2000-01-19,42429517727
2000-01-20,41644503808
2000-01-21,41523359685
2000-01-24,39614128302
2000-01-25,40646276232
2000-01-26,42763875507
2000-01-27,43127307877
2000-01-28,42158154891
2000-01-31,44401744053
2000-02-01,44217604986
2000-02-02,44159455807
2000-02-03,41373140972
2000-02-04,41038783192
2000-02-07,41552434274
2000-02-08,43340521533
2000-02-09,42037010767
2000-02-10,41978861588
2000-02-11,41251996849
2000-02-14,41915866644
2000-02-15,41915866644
2000-02-16,40190774329
2000-02-17,39798267370
2000-02-18,39158626399
2000-02-22,39522058769
2000-02-23,41552434274
2000-02-24,43432591067
2000-02-25,45540947849
2000-02-28,44903119448
2000-02-29,47199301692
2000-03-01,48347392814
2000-03-02,49112786896
2000-03-03,52301928902
2000-03-06,52909141540
2000-03-07,53516354178
2000-03-08,51919231861
2000-03-09,54695061063
2000-03-10,57276990432
2000-03-13,56322799143
2000-03-14,53450020024
2000-03-15,52842807386
2000-03-16,52715241706
2000-03-17,59445606996
2000-03-20,57884203070
2000-03-21,60338566758
2000-03-22,59777277765
2000-03-23,60721263799
2000-03-24,61899970684
2000-03-27,57149424752
2000-03-28,57787253153
2000-03-29,58266900110
2000-03-30,54536879620
2000-03-31,53705151385
2000-04-03,53832717065
2000-04-04,50133312338
2000-04-05,49719999534
2000-04-06,54087848426
2000-04-07,52301928902
2000-04-10,54628726910
2000-04-11,53480635788
2000-04-12,49270968339
2000-04-13,48602524175
2000-04-14,42224240162
2000-04-17,44647988087
2000-04-18,47837130093
2000-04-19,46974786095
2000-04-20,45316432252
2000-04-24,44331625200
2000-04-25,49526099700
2000-04-26,48219827134
2000-04-27,48571908411
2000-04-28,47581998733
2000-05-01,49495483937
2000-05-02,47454433053
2000-05-03,46500241764
2000-05-04,46020594806
2000-05-05,45862413363
2000-05-08,44551038170
2000-05-09,43693796799
2000-05-10,41555795998
2000-05-11,41270048874
