,SRCL
2000-01-03,263595528
2000-01-04,252535576
2000-01-05,250692251
2000-01-06,249770588
2000-01-07,249770588
2000-01-10,247005600
2000-01-11,240553961
2000-01-12,239632298
2000-01-13,238710636
2000-01-14,234102322
2000-01-18,246083937
2000-01-19,232258997
2000-01-20,238710636
2000-01-21,239632298
2000-01-24,246083937
2000-01-25,237788973
2000-01-26,241475624
2000-01-27,236867310
2000-01-28,236867310
2000-01-31,238710636
2000-02-01,228572346
2000-02-02,235023985
2000-02-03,233180659
2000-02-04,235945648
2000-02-07,226729021
2000-02-08,229494009
2000-02-09,239632298
2000-02-10,235945648
2000-02-11,238710636
2000-02-14,243318949
2000-02-15,238710636
2000-02-16,239632298
2000-02-17,233180659
2000-02-18,234102322
2000-02-22,236867310
2000-02-23,253457239
2000-02-24,265438854
2000-02-25,265438854
2000-02-28,266360516
2000-02-29,272351353
2000-03-01,276498806
2000-03-02,272812155
2000-03-03,265438854
2000-03-06,267282179
2000-03-07,268203842
2000-03-08,270047167
2000-03-09,278342131
2000-03-10,294932060
2000-03-13,294010397
2000-03-14,272812155
2000-03-15,265438854
2000-03-16,291245409
2000-03-17,283872107
2000-03-20,281107119
2000-03-21,279263794
2000-03-22,276498806
2000-03-23,339171869
2000-03-24,339171869
2000-03-27,331798567
2000-03-28,326268591
2000-03-29,330876904
2000-03-30,339171869
2000-03-31,369815050
2000-04-03,355022448
2000-04-04,344852534
2000-04-05,351324297
2000-04-06,351324297
2000-04-07,368890512
2000-04-10,339305308
2000-04-11,334682620
2000-04-12,339305308
2000-04-13,341154383
2000-04-14,336531695
2000-04-17,299550190
2000-04-18,306946491
2000-04-19,311569179
2000-04-20,300474728
2000-04-24,303248341
2000-04-25,308795566
2000-04-26,299550190
2000-04-27,315267330
2000-04-28,310644642
2000-05-01,319890018
2000-05-02,318040943
2000-05-03,312493717
2000-05-04,333758082
2000-05-05,327286319
2000-05-08,334682620
2000-05-09,345777071
2000-05-10,333758082
2000-05-11,332833545
2000-05-12,336531695
2000-05-15,336069456
2000-05-16,335607157
2000-05-17,360569673
2000-05-18,335607157
2000-05-19,335607157
2000-05-22,331909007
2000-05-23,341154383
2000-05-24,340229846
2000-05-25,332833545
2000-05-26,324512706
2000-05-30,313418254
2000-05-31,299550190
2000-06-01,306021953
2000-06-02,321739093
2000-06-05,338380770
2000-06-06,338380770
2000-06-07,325437244
2000-06-08,318040943
2000-06-09,321739093
2000-06-12,319890018
2000-06-13,306021953
2000-06-14,314342792
2000-06-15,312493717
2000-06-16,310644642
2000-06-19,310644642
2000-06-20,321739093
2000-06-21,326361781
2000-06-22,329135394
2000-06-23,335607157
2000-06-26,337456233
2000-06-27,342078921
2000-06-28,340692144
2000-06-29,343927996
2000-06-30,356935728
2000-07-03,356935728
2000-07-05,360653808
2000-07-06,365301409
2000-07-07,394116533
2000-07-10,392257492
2000-07-11,371808050
2000-07-12,378314690
2000-07-13,370878529
2000-07-14,375526130
2000-07-17,377385170
2000-07-18,376223285
2000-07-19,382962291
2000-07-20,400623173
2000-07-21,386680372
2000-07-24,376455650
2000-07-25,372737570
2000-07-26,373667090
2000-07-27,370878529
2000-07-28,369949009
2000-07-31,371808050
2000-08-01,372737570
2000-08-02,370878529
2000-08-03,369949009
2000-08-04,357865248
2000-08-07,353217647
2000-08-08,334627245
2000-08-09,322543483
2000-08-10,325332043
2000-08-11,335556765
2000-08-14,343922446
2000-08-15,342063406
2000-08-16,334627245
2000-08-17,336486285
2000-08-18,346711006
2000-08-21,353217647
2000-08-22,352288127
2000-08-23,343922446
2000-08-24,342063406
2000-08-25,335556765
2000-08-28,335556765
2000-08-29,335556765
2000-08-30,332768204
2000-08-31,334627245
2000-09-01,317895882
2000-09-05,317895882
2000-09-06,309530201
2000-09-07,340204365
2000-09-08,330909164
2000-09-11,321613963
2000-09-12,303953080
2000-09-13,332768204
2000-09-14,361583328
2000-09-15,357865248
2000-09-18,352288127
2000-09-19,354147167
2000-09-20,355076687
2000-09-21,356006207
2000-09-22,347640526
2000-09-25,353217647
2000-09-26,348570046
2000-09-27,346711006
2000-09-28,358794768
2000-09-29,364371889
2000-10-02,413064441
2000-10-03,414950580
2000-10-04,406462954
2000-10-05,414007510
2000-10-06,417779788
2000-10-09,398918398
2000-10-10,399861468
2000-10-11,397975329
2000-10-12,403633746
2000-10-13,399861468
2000-10-16,433811970
2000-10-17,425324344
2000-10-18,415893649
2000-10-19,422495136
2000-10-20,399861468
2000-10-23,407406024
2000-10-24,407406024
2000-10-25,408349093
2000-10-26,401747607
2000-10-27,400804537
2000-10-30,428153553
2000-10-31,488510001
2000-11-01,516802086
2000-11-02,487566931
2000-11-03,436641178
2000-11-06,452673360
2000-11-07,428153553
2000-11-08,447958012
2000-11-09,438527317
2000-11-10,420608997
2000-11-13,430039692
2000-11-14,459274846
2000-11-15,488510001
2000-11-16,499826835
2000-11-17,484737723
2000-11-20,523403572
2000-11-21,514915947
2000-11-22,513029808
2000-11-24,518688225
2000-11-27,480965445
2000-11-28,467762472
2000-11-29,503599113
2000-11-30,496997626
2000-12-01,513972877
2000-12-04,525289711
2000-12-05,560183283
2000-12-06,530005059
2000-12-07,530948128
2000-12-08,531891198
2000-12-11,537549615
2000-12-12,535663476
2000-12-13,544151101
2000-12-14,539435754
2000-12-15,562069422
2000-12-18,558297144
2000-12-19,570557047
2000-12-20,554524866
2000-12-21,536606545
2000-12-22,530948128
2000-12-26,563012491
2000-12-27,590361507
2000-12-28,588475368
2000-12-29,575272395
2001-01-02,544827318
2001-01-03,580069645
2001-01-04,538159851
2001-01-05,531492384
2001-01-08,523872421
2001-01-09,455292759
2001-01-10,473390170
2001-01-11,523872421
2001-01-12,499107543
2001-01-16,548637300
2001-01-17,511489982
2001-01-18,464817712
2001-01-19,459102740
2001-01-22,445767806
2001-01-23,438147843
2001-01-24,436242853
2001-01-25,450530282
2001-01-26,487677600
2001-01-29,485772609
2001-01-30,486725104
2001-01-31,494345067
2001-02-01,493392571
2001-02-02,471485179
2001-02-05,496964444
2001-02-06,463389000
2001-02-07,510775596
2001-02-08,504822515
2001-02-09,481962628
2001-02-12,501965029
2001-02-13,516252459
2001-02-14,504822515
2001-02-15,512442478
2001-02-16,531492384
2001-02-20,531492384
2001-02-21,587689607
2001-02-22,590547093
2001-02-23,600072046
2001-02-26,600072046
2001-02-27,548637300
2001-02-28,598167056
2001-03-01,600072046
2001-03-02,617216962
2001-03-05,595309570
2001-03-06,582927131
2001-03-07,587689607
2001-03-08,584355904
2001-03-09,600072046
2001-03-12,585784617
2001-03-13,565782215
2001-03-14,547684804
2001-03-15,561019739
2001-03-16,562924729
2001-03-19,582927131
2001-03-20,586737112
2001-03-21,619121953
2001-03-22,600072046
2001-03-23,607692009
2001-03-26,678176662
2001-03-27,678176662
2001-03-28,632456887
2001-03-29,662936737
2001-03-30,680081653
2001-04-02,695181400
2001-04-03,654741485
2001-04-04,677850008
2001-04-05,708661372
2001-04-06,693255690
2001-04-09,727918474
2001-04-10,730999610
2001-04-11,697877394
2001-04-12,699417962
2001-04-16,710201940
2001-04-17,735159145
2001-04-18,735005088
2001-04-19,724221110
2001-04-20,720215633
2001-04-23,707274860
2001-04-24,704347781
2001-04-25,696182769
2001-04-26,700804474
2001-04-27,677850008
2001-04-30,645498075
2001-05-01,676309439
2001-05-02,648271098
2001-05-03,657822621
2001-05-04,660133473
2001-05-07,650273837
2001-05-08,648733269
2001-05-09,641646655
2001-05-10,650890064
2001-05-11,688788042
2001-05-14,689558326
2001-05-15,693409746
2001-05-16,698493621
2001-05-17,687863701
2001-05-18,677695951
2001-05-21,658438848
2001-05-22,621773325
2001-05-23,600821598
2001-05-24,637024950
2001-05-25,648887325
2001-05-29,645498075
2001-05-30,635484382
2001-05-31,659825360
2001-06-01,650119780
2001-06-04,635484382
2001-06-05,650427894
2001-06-06,670147167
2001-06-07,682471712
