,FMCC
2001-01-23,43360379562
2001-01-24,42017550625
2001-01-25,43447013687
2001-01-26,42970526000
2001-01-29,41619032956
2001-01-30,41944777960
2001-01-31,42277453000
2001-02-01,43386368413
2001-02-02,43213100163
2001-02-05,42831910706
2001-02-06,43053694066
2001-02-07,43109141293
2001-02-08,44827961640
2001-02-09,44606178973
2001-02-12,45521034640
2001-02-13,44924991859
2001-02-14,46110145996
2001-02-15,45119050913
2001-02-16,46865598339
2001-02-20,46609159250
2001-02-21,46643814979
2001-02-22,46165593223
2001-02-23,45659647160
2001-02-26,45049745000
2001-02-27,45049745000
2001-02-28,45638855663
2001-03-01,46907180640
2001-03-02,46297278479
2001-03-05,46484406109
2001-03-06,45673512086
2001-03-07,46574503520
2001-03-08,46539853336
2001-03-09,46054698770
2001-03-12,43802214293
2001-03-13,43386368413
2001-03-14,42506168476
2001-03-15,42332900226
2001-03-16,43005178956
2001-03-19,43226962316
2001-03-20,43282409543
2001-03-21,42665574573
2001-03-22,42623989500
2001-03-23,42623989500
2001-03-26,41584380000
2001-03-27,42381415336
2001-03-28,43732904913
2001-03-29,44398254993
2001-03-30,44931923976
2001-04-02,45987097233
2001-04-03,45217060680
2001-04-04,43531306500
2001-04-05,43156693766
2001-04-06,43170568980
2001-04-09,43815734160
2001-04-10,42650274480
2001-04-11,41887176573
2001-04-12,41727620287
2001-04-16,42213225712
2001-04-17,43933668967
2001-04-18,44398464000
2001-04-19,44627394967
2001-04-20,44072412086
2001-04-23,43565992106
2001-04-24,43808798287
2001-04-25,44669016446
2001-04-26,44918758500
2001-04-27,45223999327
2001-04-30,45647172881
2001-05-01,45508424212
2001-05-02,45092190000
2001-05-03,44571895500
2001-05-04,45092190000
2001-05-07,45022818787
2001-05-08,45459864086
2001-05-09,44835509298
2001-05-10,44502524287
2001-05-11,43011012000
2001-05-14,43968354573
2001-05-15,43947540712
2001-05-16,44231968372
2001-05-17,43413374467
2001-05-18,42421346287
2001-05-21,42664149000
2001-05-22,43309314180
2001-05-23,45217060680
2001-05-24,44884070118
2001-05-25,44509462934
2001-05-29,45147689467
2001-05-30,45508424212
2001-05-31,45924659118
2001-06-01,46320082938
2001-06-04,46514330381
2001-06-05,46632262413
2001-06-06,46743255798
2001-06-07,47069307712
2001-06-08,47138679618
2001-06-11,47214990172
2001-06-12,47506358561
2001-06-13,46444953618
2001-06-14,46111967913
2001-06-15,45057501618
