,PNW
2000-01-03,2520658000
2000-01-04,2552854640
2000-01-05,2621484320
2000-01-06,2637582640
2000-01-07,2711296000
2000-01-10,2674015680
2000-01-11,2647750000
2000-01-12,2690114000
2000-01-13,2631651680
2000-01-14,2616400640
2000-01-18,2552854640
2000-01-19,2631651680
2000-01-20,2574036640
2000-01-21,2616400640
2000-01-24,2685030320
2000-01-25,2568105680
2000-01-26,2616400640
2000-01-27,2679946640
2000-01-28,2536756320
2000-01-31,2616400640
2000-02-01,2626568000
2000-02-02,2626568000
2000-02-03,2685030320
2000-02-04,2610469680
2000-02-07,2595218640
2000-02-08,2621484320
2000-02-09,2610469680
2000-02-10,2579120320
2000-02-11,2579120320
2000-02-14,2574036640
2000-02-15,2568105680
2000-02-16,2541840000
2000-02-17,2510490640
2000-02-18,2435930000
2000-02-22,2452028320
2000-02-23,2393566000
2000-02-24,2319852640
2000-02-25,2224110000
2000-02-28,2346118320
2000-02-29,2341034640
2000-03-01,2319852640
2000-03-02,2324936320
2000-03-03,2319852640
2000-03-06,2213942640
2000-03-07,2240208320
2000-03-08,2245292000
2000-03-09,2282572320
2000-03-10,2219026320
2000-03-13,2197844320
2000-03-14,2208011680
2000-03-15,2419831680
2000-03-16,2510490640
2000-03-17,2435930000
2000-03-20,2404580640
2000-03-21,2356285680
2000-03-22,2261390320
2000-03-23,2292739680
2000-03-24,2261390320
2000-03-27,2271557680
2000-03-28,2277488640
2000-03-29,2330020000
2000-03-30,2367300320
2000-03-31,2388538700
2000-04-03,2388538700
2000-04-04,2425819900
2000-04-05,2483436300
2000-04-06,2462253800
2000-04-07,2452086200
2000-04-10,2499535000
2000-04-11,2489367400
2000-04-12,2557998700
2000-04-13,2621546200
2000-04-14,2563082500
2000-04-17,2574097400
2000-04-18,2531732400
2000-04-19,2589348800
2000-04-20,2631713800
2000-04-24,2779991300
2000-04-25,2849469900
2000-04-26,2965550000
2000-04-27,2838455000
2000-04-28,2970633800
2000-05-01,2976564900
2000-05-02,2885903800
2000-05-03,2854553700
2000-05-04,2928268800
2000-05-05,2965550000
2000-05-08,3092645000
2000-05-09,3108743700
2000-05-10,3151108700
2000-05-11,3198557500
2000-05-12,3129926200
2000-05-15,3198557500
2000-05-16,3167207400
2000-05-17,3066378700
