,PBY
2004-07-27,105826500
2004-07-28,105897051
2004-07-29,105897051
2004-07-30,105897051
2004-08-02,105826500
2004-08-03,105826500
2004-08-04,103780521
2004-08-05,101734542
2004-08-06,103709970
2004-08-09,103709970
2004-08-10,103357215
2004-08-11,101805093
2004-08-12,103780521
2004-08-13,103427766
2004-08-16,103709970
2004-08-17,103427766
2004-08-18,103709970
2004-08-19,104415480
2004-08-20,104415480
2004-08-23,104768235
2004-08-24,104768235
2004-08-25,104415480
2004-08-26,104768235
2004-08-27,104979888
2004-08-30,105120990
2004-08-31,105614847
2004-09-01,107096418
2004-09-02,107308071
2004-09-03,107166969
2004-09-07,107943030
2004-09-08,107590275
2004-09-09,107237520
2004-09-10,105826500
2004-09-13,106884765
2004-09-14,107590275
2004-09-15,107237520
2004-09-16,107801928
2004-09-17,108930744
2004-09-20,109001295
2004-09-21,108084132
2004-09-22,107237520
2004-09-23,107378622
2004-09-24,107943030
2004-09-27,107731377
2004-09-28,107237520
2004-09-29,106249806
2004-09-30,105473745
2004-10-01,109164121
2004-10-04,109164121
2004-10-05,108224297
2004-10-06,107718238
2004-10-07,107356768
2004-10-08,108441180
2004-10-11,108802650
2004-10-12,108802650
2004-10-13,109525591
2004-10-14,109164121
2004-10-15,108441180
2004-10-18,108079709
2004-10-19,108441180
2004-10-20,107356768
2004-10-21,107356768
2004-10-22,106416944
2004-10-25,102007003
2004-10-26,102802238
2004-10-27,104754179
2004-10-28,103019121
2004-10-29,101790120
2004-11-01,102296179
2004-11-02,101356356
2004-11-03,102368473
2004-11-04,102296179
2004-11-05,102657650
2004-11-08,103163709
2004-11-09,102296179
2004-11-10,102296179
2004-11-11,102007003
2004-11-12,102296179
2004-11-15,102657650
2004-11-16,103236003
2004-11-17,103525179
2004-11-18,103019121
2004-11-19,103019121
2004-11-22,102151591
2004-11-23,102296179
2004-11-24,102946826
2004-11-26,101934709
2004-11-29,101934709
2004-11-30,101934709
2004-12-01,103308297
2004-12-02,101645532
2004-12-03,101934709
2004-12-06,101500944
2004-12-07,101356356
2004-12-08,94488414
2004-12-09,95789709
2004-12-10,93187120
2004-12-13,93114826
2004-12-14,93548591
2004-12-15,90729120
2004-12-16,88921767
2004-12-17,86391473
2004-12-20,84078061
2004-12-21,85307061
2004-12-22,86752944
2004-12-23,88198826
2004-12-27,88126532
