,CDAY
2018-04-26,3536439649
2018-04-27,3458254985
2018-04-30,3578364759
2018-05-01,3567033648
2018-05-02,3710938754
2018-05-03,3828782305
2018-05-04,3862775637
2018-05-07,3851444526
2018-05-08,3733600975
2018-05-09,3792522751
2018-05-10,3753996974
2018-05-11,3895635858
2018-05-14,4133589183
2018-05-15,4186845403
2018-05-16,4215173180
2018-05-17,4343214731
2018-05-18,4172114959
2018-05-21,3984018522
2018-05-22,3888837192
2018-05-23,3849178304
2018-05-24,3819717416
2018-05-25,3807253195
2018-05-29,3879772303
2018-05-30,3928496079
2018-05-31,3911499413
2018-06-01,3912632524
2018-06-04,4074667407
2018-06-05,4118858739
2018-06-06,4323951843
2018-06-07,4204975180
2018-06-08,4237835401
2018-06-11,4134722294
2018-06-12,4262763845
2018-06-13,4267296289
2018-06-14,4327351176
2018-06-15,4356812064
2018-06-18,4507515836
2018-06-19,4215173180
2018-06-20,4193644070
2018-06-21,4141520960
2018-06-22,4050872075
2018-06-25,3945492745
2018-06-26,3969288078
2018-06-27,3889970303
2018-06-28,3857110082
2018-06-29,3760795641
2018-07-02,4521570834
2018-07-03,4598721342
2018-07-05,4674494162
2018-07-06,4663472661
2018-07-09,4535347710
2018-07-10,4562901463
2018-07-11,4488506331
2018-07-12,4750266982
2018-07-13,4775065360
2018-07-16,4838438991
2018-07-17,4806752175
2018-07-18,4808129863
2018-07-19,4799863737
2018-07-20,4826039802
2018-07-23,4830172865
2018-07-24,4816395989
2018-07-25,4783331486
2018-07-26,4810885238
2018-07-27,4686893351
2018-07-30,4419621949
2018-07-31,4513304708
2018-08-01,4624897407
2018-08-02,4795730674
2018-08-03,4890791122
2018-08-06,5129131083
2018-08-07,5130508771
2018-08-08,5185616276
2018-08-09,4616631281
2018-08-10,4848082805
2018-08-13,4737867793
2018-08-14,4757155420
2018-08-15,4662094973
2018-08-16,4787464549
2018-08-17,4693781789
2018-08-20,4689648726
2018-08-21,4786086861
2018-08-22,4870125807
2018-08-23,4956920128
2018-08-24,5213170029
2018-08-27,5297208975
2018-08-28,5324762728
2018-08-29,5275165973
2018-08-30,5312363539
2018-08-31,5304097414
2018-09-04,5322007353
2018-09-05,5097444268
2018-09-06,5167706337
2018-09-07,5196637778
2018-09-10,5170461712
2018-09-11,5149796398
2018-09-12,5034070636
2018-09-13,5122242645
2018-09-14,5710515267
2018-09-17,6027383425
2018-09-18,6061825616
2018-09-19,5981919732
2018-09-20,5925434539
2018-09-21,5787665775
2018-09-24,5828996404
2018-09-25,5669184638
2018-09-26,5643008573
2018-09-27,5757356647
2018-09-28,5790421150
2018-10-01,6026418653
2018-10-02,6026418653
2018-10-03,6207211212
2018-10-04,5894678338
2018-10-05,5645212635
2018-10-08,5636803679
2018-10-09,5434988729
2018-10-10,5003328974
2018-10-11,5003328974
2018-10-12,5076206595
2018-10-15,5193931983
2018-10-16,5391542455
2018-10-17,5272415575
2018-10-18,5081812566
2018-10-19,5083214059
2018-10-22,5212151388
2018-10-23,5080411073
2018-10-24,5021548379
2018-10-25,5154690187
2018-10-26,5101433464
2018-10-29,5000525989
2018-10-30,5111243913
2018-10-31,5321467819
2018-11-01,5427981265
2018-11-02,5325672298
2018-11-05,5329876776
2018-11-06,5325672298
2018-11-07,5500858886
2018-11-08,5517676799
2018-11-09,5488245452
2018-11-12,5116849884
2018-11-13,5069199132
2018-11-14,5084615551
2018-11-15,5227567808
2018-11-16,5460215598
2018-11-19,4994920018
2018-11-20,5056585697
2018-11-21,5093024508
2018-11-23,5191128997
2018-11-26,5391542455
2018-11-27,5380330513
2018-11-28,5570933522
2018-11-29,5608773825
2018-11-30,5622788752
2018-12-03,5538699189
2018-12-04,5283627516
2018-12-06,5363512601
2018-12-07,5356505137
2018-12-10,5266809604
2018-12-11,5164500636
2018-12-12,5212151388
2018-12-13,5133667796
2018-12-14,4938860310
2018-12-17,4732840881
2018-12-18,4877194630
2018-12-19,4815528951
2018-12-20,4710416998
2018-12-21,4502996077
2018-12-24,4480572193
2018-12-26,4843558805
2018-12-27,4930451353
2018-12-28,4760870735
2018-12-31,4833748356
2019-01-02,4731439388
2019-01-03,4657160275
2019-01-04,4819733429
2019-01-07,5032760321
2019-01-08,5038366292
2019-01-09,4992117033
2019-01-10,5070600624
2019-01-11,5038366292
2019-01-14,4989314047
2019-01-15,5135069289
2019-01-16,5167303621
2019-01-17,5240181242
2019-01-18,5357906630
2019-01-22,5269612589
2019-01-23,5271014082
2019-01-24,5450405149
2019-01-25,5521881277
2019-01-28,5552714117
2019-01-29,5503661872
2019-01-30,5691461895
2019-01-31,5775551457
2019-02-01,5797975341
2019-02-04,5908693265
2019-02-05,6103500752
2019-02-06,6452472436
2019-02-07,6088084332
2019-02-08,6294103760
2019-02-11,6324936600
2019-02-12,6371185859
2019-02-13,6357170932
2019-02-14,6390806757
2019-02-15,6413230640
2019-02-19,6529554535
2019-02-20,6661294850
2019-02-21,6673908285
2019-02-22,6783224716
2019-02-25,6825269497
2019-02-26,6863109800
2019-02-27,6938790407
2019-02-28,6870117264
2019-03-01,6920571001
2019-03-04,6682317241
2019-03-05,6680915748
2019-03-06,6750990384
2019-03-07,6765005311
2019-03-08,6853299351
2019-03-11,6905154582
2019-03-12,6958411305
2019-03-13,6961214290
2019-03-14,7048106838
2019-03-15,7200869543
2019-03-18,6985039666
2019-03-19,7120984459
2019-03-20,6997653101
2019-03-21,7053712809
2019-03-22,6951403841
2019-03-25,6968221754
2019-03-26,7027084447
2019-03-27,6972426232
2019-03-28,7028485940
2019-03-29,7189657602
2019-04-01,7259293532
2019-04-02,7266350983
2019-04-03,7308695686
2019-04-04,7277642904
2019-04-05,7321399096
2019-04-08,7243767141
2019-04-09,7201422439
2019-04-10,7239532671
2019-04-11,7281877374
2019-04-12,7266350983
2019-04-15,7318576116
2019-04-16,7191542008
2019-04-17,7071565350
2019-04-18,7043335549
2019-04-22,7157666246
2019-04-23,7328456547
2019-04-24,7321399096
2019-04-25,7382093170
2019-04-26,7407499992
2019-04-29,7459725125
2019-04-30,7502069828
2019-05-01,7305872705
2019-05-02,6985464455
2019-05-03,7015105747
2019-05-06,7078622801
2019-05-07,6972761044
2019-05-08,7033455118
2019-05-09,7037689588
2019-05-10,7108264093
2019-05-13,6720104318
2019-05-14,6923358891
2019-05-15,7080034291
2019-05-16,7336925487
2019-05-17,7197187968
2019-05-20,7064507900
2019-05-21,7226829260
2019-05-22,7205656909
2019-05-23,7022163197
2019-05-24,7177427107
2019-05-28,7293169295
2019-05-29,7057450450
2019-05-30,7137905385
2019-05-31,6941708262
2019-06-03,6634003423
2019-06-04,6755391570
2019-06-05,6759626041
2019-06-06,6896540579
2019-06-07,6948765713
2019-06-10,7197187968
2019-06-11,6974172534
2019-06-12,7074388331
2019-06-13,7228240750
2019-06-14,7164723696
2019-06-17,7221183300
2019-06-18,7359509329
2019-06-19,7445610224
2019-06-20,7448433204
2019-06-21,7280465884
2019-06-24,7143551345
2019-06-25,6806205213
2019-06-26,6758214550
2019-06-27,7005225316
2019-06-28,7085680251
2019-07-01,7327511631
2019-07-02,7417463547
2019-07-03,7404613273
2019-07-05,7404613273
2019-07-08,7250409988
2019-07-09,7161885881
2019-07-10,7067650540
2019-07-11,7070506156
2019-07-12,7160458072
2019-07-15,7129046292
2019-07-16,7029099719
2019-07-17,7127618484
2019-07-18,7107629169
2019-07-19,6890602324
2019-07-22,7039094376
2019-07-23,7077645197
2019-07-24,7341789712
2019-07-25,7343217521
2019-07-26,7564527790
2019-07-29,7443164094
2019-07-30,7387479575
2019-07-31,7611645460
2019-08-01,7431741628
2019-08-02,7518837928
2019-08-05,7243270947
2019-08-06,7179019579
2019-08-07,7199008893
2019-08-08,7366062452
2019-08-09,7474575874
2019-08-12,7525976969
2019-08-13,7635918200
2019-08-14,7199008893
