,NE
2021-06-09,1585188000
2021-06-10,1585188000
2021-06-11,1594154720
2021-06-14,1579423680
2021-06-15,1560209280
2021-06-16,1581345120
2021-06-17,1534590080
2021-06-18,1526904320
2021-06-21,1582626080
2021-06-22,1585828480
2021-06-23,1581985600
2021-06-24,1601200000
2021-06-25,1617212000
2021-06-28,1607604800
2021-06-29,1602480960
2021-06-30,1738964140
2021-07-01,1786077200
2021-07-02,1788889920
2021-07-06,1728416439
2021-07-07,1708727400
2021-07-08,1687632000
2021-07-09,1718571920
2021-07-12,1689038360
2021-07-13,1663723880
2021-07-14,1617314000
2021-07-15,1567388220
2021-07-16,1518165620
2021-07-19,1477381180
2021-07-20,1480897080
2021-07-21,1537854660
2021-07-22,1543480100
2021-07-23,1526603780
2021-07-26,1565278680
2021-07-27,1564575500
2021-07-28,1570200939
2021-07-29,1576529560
2021-07-30,1546996000
2021-08-02,1568091400
2021-08-03,1557543700
2021-08-04,1508321100
2021-08-05,1434487200
2021-08-06,1468943020
2021-08-09,1462614400
2021-08-10,1491444780
2021-08-11,1513946540
2021-08-12,1546292820
2021-08-13,1494960680
2021-08-16,1483709800
2021-08-17,1546996000
2021-08-18,1618720360
2021-08-19,1534338760
2021-08-20,1513243360
2021-08-23,1546292820
2021-08-24,1566685040
2021-08-25,1553324620
2021-08-26,1626455340
2021-08-27,1646144380
2021-08-30,1644738020
2021-08-31,1712243300
2021-09-01,1757246820
2021-09-02,1805766240
2021-09-03,1757950000
2021-09-07,1930932280
2021-09-08,1940073620
2021-09-09,1897882820
2021-09-10,1965388100
2021-09-13,1967497640
2021-09-14,1960465840
2021-09-15,2002656640
2021-09-16,1949214960
2021-09-17,1885928760
2021-09-20,1849363400
2021-09-21,1850066580
2021-09-22,1838112520
2021-09-23,1838815700
2021-09-24,1814907580
2021-09-27,1956246760
2021-09-28,1954137220
2021-09-29,1907727340
2021-09-30,1803143100
2021-10-01,1849121250
2021-10-04,1861115550
2021-10-05,1864447300
2021-10-06,1813804700
2021-10-07,1843124100
2021-10-08,1769825600
2021-10-11,1803143100
2021-10-12,1769159250
2021-10-13,1785818000
2021-10-14,1801810400
2021-10-15,1775822750
2021-10-18,1763828450
2021-10-19,1783818950
2021-10-20,1851786650
2021-10-21,1748502400
2021-10-22,1770491950
2021-10-25,1859116500
2021-10-26,1846455850
2021-10-27,1773823700
2021-10-28,1725180150
2021-10-29,1676536600
2021-11-01,1743837950
