,DD
2000-01-03,14114745847
2000-01-04,13728778234
2000-01-05,14175333786
2000-01-06,14574765386
2000-01-07,14900145060
2000-01-10,14520909440
2000-01-11,14375049586
2000-01-12,14660037300
2000-01-13,14686965273
2000-01-14,14794677165
2000-01-18,13870150092
2000-01-19,13748974214
2000-01-20,13244074720
2000-01-21,12997234968
2000-01-24,13443790520
2000-01-25,12990502974
2000-01-26,12905231060
2000-01-27,12671855294
2000-01-28,12211835755
2000-01-31,12398087568
2000-02-01,12759371206
2000-02-02,12252227715
2000-02-03,12238763728
2000-02-04,11940312027
2000-02-07,11866260102
2000-02-08,11872992095
2000-02-09,11527416441
2000-02-10,11276088693
2000-02-11,11255892714
2000-02-14,11262624707
2000-02-15,11594736374
2000-02-16,11415216554
2000-02-17,11462340507
2000-02-18,11148180822
2000-02-22,12146759820
2000-02-23,11787720180
2000-02-24,11462340507
2000-02-25,11262624707
2000-02-28,11448876520
2000-02-29,11547612421
2000-03-01,11002320968
2000-03-02,10589425382
2000-03-03,11680008288
2000-03-06,11089836880
2000-03-07,10216921755
2000-03-08,10443565528
2000-03-09,10203457769
2000-03-10,10430101542
2000-03-13,10616353355
2000-03-14,10349317623
2000-03-15,11334432635
2000-03-16,11913384054
2000-03-17,11334432635
2000-03-20,11493756475
2000-03-21,11648592320
2000-03-22,11141448828
2000-03-23,11175108795
2000-03-24,11534148435
2000-03-27,11608200360
2000-03-28,11547612421
2000-03-29,11641860327
2000-03-30,12398087568
2000-03-31,12133295834
2000-04-03,16953739684
2000-04-04,16801674836
2000-04-05,16360388612
2000-04-06,16688371616
2000-04-07,16333553639
2000-04-10,16378278594
2000-04-11,16643646661
2000-04-12,16873234765
2000-04-13,16297773674
2000-04-14,15149833158
2000-04-17,15230338077
2000-04-18,14920245054
2000-04-19,14487903821
2000-04-20,14902355072
2000-04-24,15415201225
2000-04-25,15272081368
2000-04-26,14929190045
2000-04-27,15415201225
2000-04-28,15978735661
2000-05-01,16405113567
2000-05-02,16944794693
2000-05-03,16157635481
2000-05-04,16458783513
2000-05-05,16536306769
2000-05-08,16342498630
2000-05-09,16423003549
2000-05-10,16202360437
2000-05-11,16607866697
2000-05-12,16291810347
2000-05-15,16783784854
2000-05-16,16211305428
2000-05-17,15856487450
2000-05-18,15963827342
2000-05-19,15954882351
2000-05-22,16130800508
2000-05-23,16235158737
2000-05-24,15874377432
2000-05-25,14884465090
2000-05-26,14574372067
2000-05-30,15087218220
2000-05-31,15140888167
2000-06-01,15015658292
2000-06-02,15263136377
2000-06-05,15289971351
2000-06-06,14979878328
2000-06-07,14795015180
2000-06-08,14636987005
2000-06-09,14663821978
2000-06-12,14875520099
2000-06-13,14681711960
2000-06-14,15203503104
2000-06-15,15343641297
2000-06-16,15281026360
2000-06-19,14425288883
2000-06-20,14082397560
2000-06-21,14159920816
2000-06-22,14028727614
2000-06-23,13763359546
2000-06-26,13020925290
2000-06-27,13682854627
2000-06-28,13366798277
2000-06-29,13286293358
2000-06-30,12809227169
2000-07-03,13602784383
2000-07-05,13973172012
2000-07-06,13175643811
2000-07-07,12832139154
2000-07-10,13175643811
2000-07-11,14212131773
2000-07-12,13919406066
2000-07-13,14239014746
2000-07-14,13495252491
2000-07-17,13175643811
2000-07-18,13124864861
2000-07-19,13097981888
2000-07-20,12643958343
2000-07-21,12751490235
2000-07-24,12566296421
2000-07-25,12539413447
2000-07-26,12034610953
2000-07-27,11876300111
2000-07-28,12139155848
2000-07-31,12219804767
2000-08-01,12034610953
2000-08-02,11927079060
2000-08-03,11849417138
2000-08-04,11822534165
2000-08-07,12166038821
2000-08-08,12219804767
2000-08-09,12458764528
2000-08-10,12088376899
2000-08-11,12404998582
2000-08-14,12139155848
2000-08-15,12166038821
2000-08-16,11900196087
2000-08-17,12007727980
2000-08-18,11768768219
2000-08-21,11476042512
2000-08-22,11529808458
2000-08-23,11344614643
2000-08-24,11263965724
2000-08-25,11263965724
2000-08-28,11317731670
2000-08-29,11263965724
2000-08-30,11132537856
2000-08-31,11132537856
2000-09-01,11105654883
2000-09-05,11556691431
2000-09-06,11661236327
2000-09-07,10917474071
2000-09-08,10732280256
2000-09-11,10917474071
2000-09-12,10786046203
2000-09-13,10732280256
2000-09-14,10678514310
2000-09-15,10385788603
2000-09-18,10385788603
2000-09-19,10254360735
2000-09-20,10200594789
2000-09-21,10385788603
2000-09-22,10573969415
2000-09-25,10493320496
2000-09-26,10520203469
2000-09-27,10335009654
2000-09-28,10308126681
2000-09-29,10600852388
2000-10-02,7997072002
2000-10-03,8637018029
2000-10-04,8738417928
2000-10-05,8596458070
2000-10-06,8456751543
2000-10-09,8497311502
2000-10-10,8317045016
2000-10-11,8096218570
2000-10-12,7875392124
2000-10-13,7715405617
2000-10-16,7595979070
2000-10-17,7494579172
2000-10-18,7494579172
2000-10-19,7535139131
2000-10-20,7715405617
2000-10-23,7834832165
2000-10-24,8537871462
2000-10-25,8317045016
2000-10-26,8558151441
2000-10-27,8797004536
2000-10-30,9799736866
2000-10-31,9820016846
2000-11-01,9799736866
2000-11-02,9779456887
2000-11-03,10081403251
2000-11-06,10020563312
2000-11-07,10101683231
