,BRO
2000-01-03,1090275840
2000-01-04,1090275840
2000-01-05,1085675520
2000-01-06,1085675520
2000-01-07,1099476480
2000-01-10,1117877760
2000-01-11,1140879360
2000-01-12,1140879360
2000-01-13,1150080000
2000-01-14,1145479680
2000-01-18,1140879360
2000-01-19,1131678720
2000-01-20,1140879360
2000-01-21,1085675520
2000-01-24,1058073599
2000-01-25,1030471680
2000-01-26,1021271040
2000-01-27,1007470080
2000-01-28,961466879
2000-01-31,984468480
2000-02-01,993669120
2000-02-02,998269440
2000-02-03,1053473280
2000-02-04,1076474880
2000-02-07,1136279040
2000-02-08,1122478080
2000-02-09,1099476480
2000-02-10,1062673920
2000-02-11,1058073599
2000-02-14,1044272640
2000-02-15,984468480
2000-02-16,975267840
2000-02-17,1030471680
2000-02-18,1016670720
2000-02-22,979868160
2000-02-23,929264640
2000-02-24,929264640
2000-02-25,897062400
2000-02-28,929264640
2000-02-29,947665920
2000-03-01,947665920
2000-03-02,938465280
2000-03-03,947665920
2000-03-06,920064000
2000-03-07,938465280
2000-03-08,929264640
2000-03-09,947665920
2000-03-10,947665920
2000-03-13,929264640
2000-03-14,961466879
2000-03-15,979868160
2000-03-16,1044272640
2000-03-17,1058073599
2000-03-20,1067274239
2000-03-21,1058073599
2000-03-22,1076474880
2000-03-23,1094876160
2000-03-24,1122478080
2000-03-27,1122478080
2000-03-28,1127078400
2000-03-29,1117877760
2000-03-30,1127078400
2000-03-31,1137709760
2000-04-03,1147112320
2000-04-04,1147112320
2000-04-05,1165917440
2000-04-06,1156514880
2000-04-07,1161216160
2000-04-10,1180021280
2000-04-11,1184722560
2000-04-12,1165917440
2000-04-13,1147112320
2000-04-14,1128307200
2000-04-17,1137709760
2000-04-18,1123605920
2000-04-19,1128307200
2000-04-20,1137709760
2000-04-24,1133008480
2000-04-25,1165917440
2000-04-26,1203527680
2000-04-27,1198826400
2000-04-28,1180021280
2000-05-01,1189423840
2000-05-02,1194125120
2000-05-03,1184722560
2000-05-04,1189423840
2000-05-05,1184722560
2000-05-08,1184722560
2000-05-09,1184722560
2000-05-10,1161216160
2000-05-11,1184722560
2000-05-12,1194125120
2000-05-15,1264644320
2000-05-16,1269345600
2000-05-17,1292852000
2000-05-18,1288150720
2000-05-19,1288150720
2000-05-22,1302254560
2000-05-23,1292852000
2000-05-24,1297553280
2000-05-25,1302254560
2000-05-26,1335163520
2000-05-30,1353968640
2000-05-31,1368072480
2000-06-01,1386877600
2000-06-02,1377475040
2000-06-05,1372773760
2000-06-06,1372773760
2000-06-07,1382176320
2000-06-08,1382176320
2000-06-09,1400981440
2000-06-12,1405682720
2000-06-13,1410384000
2000-06-14,1452695520
2000-06-15,1471500640
2000-06-16,1471500640
2000-06-19,1466799360
2000-06-20,1452695520
2000-06-21,1466799360
2000-06-22,1452695520
2000-06-23,1452695520
2000-06-26,1466799360
2000-06-27,1462098080
2000-06-28,1490305760
2000-06-29,1532617280
2000-06-30,1581034000
2000-07-03,1585898720
2000-07-05,1556710400
2000-07-06,1537251520
2000-07-07,1546980960
2000-07-10,1556710400
2000-07-11,1556710400
2000-07-12,1561575120
2000-07-13,1546980960
2000-07-14,1551845680
2000-07-17,1551845680
2000-07-18,1566439840
2000-07-19,1556710400
2000-07-20,1556710400
2000-07-21,1537251520
2000-07-24,1474010160
2000-07-25,1469145440
2000-07-26,1517792640
2000-07-27,1488604320
2000-07-28,1439957120
2000-07-31,1459416000
2000-08-01,1512927920
2000-08-02,1503198480
2000-08-03,1503198480
2000-08-04,1512927920
2000-08-07,1537251520
2000-08-08,1546980960
2000-08-09,1590763440
2000-08-10,1610222320
2000-08-11,1624816480
2000-08-14,1639410640
2000-08-15,1590763440
2000-08-16,1605357600
2000-08-17,1605357600
2000-08-18,1595628160
2000-08-21,1605357600
2000-08-22,1605357600
2000-08-23,1619951760
2000-08-24,1624816480
2000-08-25,1673463680
2000-08-28,1663734240
2000-08-29,1639410640
2000-08-30,1644275360
2000-08-31,1624816480
2000-09-01,1634545920
2000-09-05,1658869520
2000-09-06,1644275360
2000-09-07,1644275360
2000-09-08,1658869520
2000-09-11,1853458320
2000-09-12,1853458320
2000-09-13,1833999440
2000-09-14,1814540560
2000-09-15,1795081680
2000-09-18,1761028640
2000-09-19,1780487520
2000-09-20,1770758080
2000-09-21,1765893360
2000-09-22,1799946400
