,UNH
2000-01-03,8843520000
2000-01-04,8725080000
2000-01-05,8711920000
2000-01-06,9027760000
2000-01-07,10080560000
2000-01-10,9909480000
2000-01-11,9935800000
2000-01-12,9843680000
2000-01-13,10146360000
2000-01-14,10133200000
2000-01-18,9712080000
2000-01-19,9791040000
2000-01-20,10041080000
2000-01-21,9606800000
2000-01-24,9080400000
2000-01-25,9080400000
2000-01-26,9054080000
2000-01-27,8909320000
2000-01-28,8659280000
2000-01-31,8725080000
2000-02-01,8948800000
2000-02-02,9185680000
2000-02-03,9106720000
2000-02-04,9330440000
2000-02-07,9567320000
2000-02-08,9212000000
2000-02-09,8869840000
2000-02-10,9514680000
2000-02-11,9212000000
2000-02-14,9356760000
2000-02-15,9764720000
2000-02-16,10080560000
2000-02-17,10343760000
2000-02-18,9514680000
2000-02-22,9672600000
2000-02-23,9422560000
2000-02-24,8659280000
2000-02-25,8435560000
2000-02-28,8461880000
2000-02-29,8409240000
2000-03-01,8988280000
2000-03-02,8632960000
2000-03-03,8948800000
2000-03-06,8632960000
2000-03-07,8067080000
2000-03-08,7830200000
2000-03-09,8067080000
2000-03-10,8369760000
2000-03-13,8238160000
2000-03-14,8238160000
2000-03-15,8461880000
2000-03-16,8580319999
2000-03-17,8488200000
2000-03-20,8725080000
2000-03-21,8883000000
2000-03-22,8711920000
2000-03-23,8988280000
2000-03-24,9448880000
2000-03-27,9146200000
2000-03-28,9106720000
2000-03-29,9159360000
2000-03-30,9422560000
2000-03-31,9696920000
2000-04-03,10100416000
2000-04-04,9879144000
2000-04-05,9762000000
2000-04-06,10035336000
2000-04-07,10048352000
2000-04-10,10386768000
2000-04-11,10647088000
2000-04-12,11037568000
2000-04-13,10803280000
2000-04-14,10152480000
2000-04-17,10373752000
2000-04-18,10555976000
2000-04-19,10529944000
2000-04-20,10920424000
2000-04-24,11297888000
2000-04-25,11102648000
2000-04-26,10946456000
2000-04-27,10907408000
2000-04-28,10855344000
2000-05-01,10503912000
2000-05-02,10256608000
