,CTSH
2000-01-03,888000000
2000-01-04,856920000
2000-01-05,905760000
2000-01-06,856920000
2000-01-07,870240000
2000-01-10,888000000
2000-01-11,879120000
2000-01-12,839160000
2000-01-13,870240000
2000-01-14,843600000
2000-01-18,754800000
2000-01-19,812520000
2000-01-20,785880000
2000-01-21,759240000
2000-01-24,812520000
2000-01-25,830280000
2000-01-26,843600000
2000-01-27,843600000
2000-01-28,830280000
2000-01-31,697080000
2000-02-01,812520000
2000-02-02,852480000
2000-02-03,861360000
2000-02-04,896880000
2000-02-07,1003439999
2000-02-08,1145520000
2000-02-09,1132200000
2000-02-10,1145520000
2000-02-11,1203240000
2000-02-14,1194360000
2000-02-15,1181040000
2000-02-16,1145520000
2000-02-17,1136640000
2000-02-18,1070040000
2000-02-22,1065600000
2000-02-23,1052280000
2000-02-24,1007880000
2000-02-25,1043400000
2000-02-28,999000000
2000-02-29,1007880000
2000-03-01,1003439999
2000-03-02,1096680000
2000-03-03,1118880000
2000-03-06,1167720000
2000-03-07,1132200000
2000-03-08,1136640000
2000-03-09,1212120000
2000-03-10,1136640000
2000-03-13,1110000000
2000-03-14,1034520000
2000-03-15,932400000
2000-03-16,905760000
2000-03-17,1038959999
2000-03-20,1052280000
2000-03-21,1105560000
2000-03-22,1145520000
2000-03-23,1198800000
2000-03-24,1229880000
2000-03-27,1269840000
2000-03-28,1292040000
2000-03-29,1221000000
2000-03-30,1101120000
2000-03-31,1156584000
2000-04-03,1000890000
2000-04-04,1045374000
2000-04-05,965302800
2000-04-06,1000890000
2000-04-07,969751200
2000-04-10,836299200
2000-04-11,871886400
2000-04-12,814057200
2000-04-13,791815200
2000-04-14,645018000
2000-04-17,667260000
2000-04-18,707295600
2000-04-19,782918400
2000-04-20,831850800
2000-04-24,818505600
2000-04-25,849644400
2000-04-26,818505600
2000-04-27,814057200
2000-04-28,849644400
2000-05-01,983096400
2000-05-02,1005338399
2000-05-03,934164000
2000-05-04,1027580400
2000-05-05,1058719200
2000-05-08,1103203200
2000-05-09,1107651600
2000-05-10,1058719200
2000-05-11,1049822400
2000-05-12,1049822400
2000-05-15,1125445200
2000-05-16,1134342000
2000-05-17,1165480800
2000-05-18,1169929200
2000-05-19,1125445200
2000-05-22,1174377600
2000-05-23,1067616000
2000-05-24,1076512800
2000-05-25,1005338399
2000-05-26,996441600
2000-05-30,965302800
2000-05-31,1036477200
2000-06-01,1045374000
2000-06-02,1067616000
2000-06-05,1032028799
2000-06-06,1014235199
2000-06-07,991993200
2000-06-08,996441600
2000-06-09,991993200
2000-06-12,934164000
2000-06-13,916370400
2000-06-14,907473600
2000-06-15,836299200
2000-06-16,876334800
2000-06-19,854092800
2000-06-20,894128399
2000-06-21,867438000
2000-06-22,769573200
2000-06-23,796263600
2000-06-26,791815200
2000-06-27,756228000
2000-06-28,725089200
2000-06-29,702847200
2000-06-30,615502080
2000-07-03,628882560
2000-07-05,602121600
2000-07-06,664563840
2000-07-07,718085760
2000-07-10,727006080
2000-07-11,727006080
2000-07-12,704705280
2000-07-13,695784960
2000-07-14,825129600
2000-07-17,811749120
2000-07-18,869731200
2000-07-19,807288960
2000-07-20,825129600
2000-07-21,820669440
2000-07-24,798368640
2000-07-25,865271040
2000-07-26,878651520
2000-07-27,869731200
2000-07-28,771607680
2000-07-31,762687360
2000-08-01,735926400
2000-08-02,780528000
2000-08-03,820669440
2000-08-04,856350720
2000-08-07,793908480
2000-08-08,762687360
2000-08-09,749306880
2000-08-10,758227200
2000-08-11,793908480
2000-08-14,780528000
