,AMD
2000-01-03,4677280000
2000-01-04,4413240000
2000-01-05,4526400000
2000-01-06,4828160000
2000-01-07,4903600000
2000-01-10,5280800000
2000-01-11,5205360000
2000-01-12,5469400000
2000-01-13,5695720000
2000-01-14,6091780000
2000-01-18,5884320000
2000-01-19,5912610000
2000-01-20,5884320000
2000-01-21,5714580000
2000-01-24,5205360000
2000-01-25,6035200000
2000-01-26,5582560000
2000-01-27,5573130000
2000-01-28,5318520000
2000-01-31,5431680000
2000-02-01,5516550000
2000-02-02,5441110000
2000-02-03,5884320000
2000-02-04,5818310000
2000-02-07,6233230000
2000-02-08,6242660000
2000-02-09,6346390000
2000-02-10,6412400000
2000-02-11,6865040000
2000-02-14,6525560000
2000-02-15,6563280000
2000-02-16,6601000000
2000-02-17,6487840000
2000-02-18,6487840000
2000-02-22,6308670000
2000-02-23,6195510000
2000-02-24,6421830000
2000-02-25,6110640000
2000-02-28,5695720000
2000-02-29,5959760000
2000-03-01,6110640000
2000-03-02,5922040000
2000-03-03,6261520000
2000-03-06,7166800000
2000-03-07,8298400000
2000-03-08,8072080000
2000-03-09,8769900000
2000-03-10,7845760000
2000-03-13,7770320000
2000-03-14,7242240000
2000-03-15,7430840000
2000-03-16,7421410000
2000-03-17,7544000000
2000-03-20,8109800000
2000-03-21,8270110000
2000-03-22,8675600000
2000-03-23,8354980000
2000-03-24,8147520000
2000-03-27,8175810000
2000-03-28,8317260000
2000-03-29,8260680000
2000-03-30,9052800000
2000-03-31,8901920000
2000-04-03,9408718250
2000-04-04,9447357750
2000-04-05,10567903250
2000-04-06,10973618000
2000-04-07,11669129000
2000-04-10,11669129000
2000-04-11,10915658750
2000-04-12,11746408000
2000-04-13,10973618000
2000-04-14,10200828000
2000-04-17,11224774750
2000-04-18,12210082000
2000-04-19,11630489500
2000-04-20,12094163500
2000-04-24,12519198000
2000-04-25,13523825000
2000-04-26,12712395500
2000-04-27,13176069500
2000-04-28,13523825000
2000-05-01,13659063250
2000-05-02,13832941000
2000-05-03,13562464500
2000-05-04,13910220000
2000-05-05,14219336000
2000-05-08,13717022500
2000-05-09,12905593000
2000-05-10,12354980125
2000-05-11,13562464500
2000-05-12,13243688625
2000-05-15,13214709000
2000-05-16,13678383000
2000-05-17,13137430000
2000-05-18,13369267000
2000-05-19,12953892375
2000-05-22,12441919000
2000-05-23,11669129000
2000-05-24,11234434625
2000-05-25,10915658750
2000-05-26,11437292000
2000-05-30,13291988000
2000-05-31,12635116500
2000-06-01,12982872000
2000-06-02,13929539750
2000-06-05,14084097750
2000-06-06,13948859500
2000-06-07,13446546000
2000-06-08,13465865750
2000-06-09,13717022500
2000-06-12,13214709000
2000-06-13,13601104000
2000-06-14,12944232500
2000-06-15,12808994250
2000-06-16,12751035000
2000-06-19,14190356375
2000-06-20,14103417500
2000-06-21,14683010000
2000-06-22,14103417500
2000-06-23,13562464500
2000-06-26,13485185500
2000-06-27,13021511500
2000-06-28,12470898625
2000-06-29,11785047500
2000-06-30,11939605500
2000-07-03,13140598875
2000-07-05,11736855375
2000-07-06,12087791250
2000-07-07,12789663000
2000-07-10,13257577500
2000-07-11,13023620250
2000-07-12,13150347093
2000-07-13,13335563250
2000-07-14,14037435000
2000-07-17,14232399375
2000-07-18,14193406500
2000-07-19,14076427875
2000-07-20,13433045437
2000-07-21,12497216437
2000-07-24,12165777000
2000-07-25,12282755625
2000-07-26,11883078656
2000-07-27,10918005000
2000-07-28,11073976500
2000-07-31,11229948000
2000-08-01,10567069125
2000-08-02,9748218750
2000-08-03,10216133250
2000-08-04,9787211625
2000-08-07,10138147500
2000-08-08,9553254375
2000-08-09,9631240125
2000-08-10,8890375500
2000-08-11,9007354125
2000-08-14,9826204500
2000-08-15,9982176000
2000-08-16,10177140375
2000-08-17,10625558437
2000-08-18,10956997875
2000-08-21,10635306656
2000-08-22,10742537062
2000-08-23,10840019250
2000-08-24,10898508562
2000-08-25,10762033500
2000-08-28,10762033500
2000-08-29,10840019250
2000-08-30,10918005000
2000-08-31,11697862500
2000-09-01,11697862500
2000-09-05,10840019250
2000-09-06,9982176000
2000-09-07,10294119000
2000-09-08,9943183125
2000-09-11,10060161750
2000-09-12,9514261500
2000-09-13,9046347000
2000-09-14,8851382625
2000-09-15,8656418250
2000-09-18,8266489500
2000-09-19,9475268625
2000-09-20,9260807812
2000-09-21,7467135562
2000-09-22,8266489500
2000-09-25,8091021562
2000-09-26,7759582125
2000-09-27,7486632000
2000-09-28,7369653375
2000-09-29,7486632000
2000-10-02,7308567750
2000-10-03,7446094562
2000-10-04,7701501500
2000-10-05,7387154500
2000-10-06,6915634000
2000-10-09,7033514125
2000-10-10,7151394250
2000-10-11,7387154500
2000-10-12,7092454187
2000-10-13,6876340625
2000-10-16,6404820125
2000-10-17,5776126125
2000-10-18,5697539375
2000-10-19,6856693937
2000-10-20,6954927375
2000-10-23,6876340625
2000-10-24,6345880062
2000-10-25,6031533062
2000-10-26,6385173437
2000-10-27,6424466812
2000-10-30,6365526750
2000-10-31,7112100875
2000-11-01,7485387937
2000-11-02,7465741250
2000-11-03,7465741250
2000-11-06,7642561437
2000-11-07,7092454187
2000-11-08,6817400562
2000-11-09,6601287000
2000-11-10,6306586687
2000-11-13,6699520437
2000-11-14,6837047250
2000-11-15,6895987312
2000-11-16,6463760187
2000-11-17,6463760187
2000-11-20,6404820125
2000-11-21,6267293312
2000-11-22,6169059875
2000-11-24,6542346937
2000-11-27,5972593000
2000-11-28,5579659250
2000-11-29,5363545687
2000-11-30,4793791750
2000-12-01,4852731812
2000-12-04,4833085125
2000-12-05,4950965250
2000-12-06,4538384812
2000-12-07,4558031500
