,SUN
2012-09-19,1024348826
2012-09-20,500914228
2012-09-21,504631182
2012-09-24,503537961
2012-09-25,504849827
2012-09-26,509660003
2012-09-27,511627802
2012-09-28,524746464
2012-10-01,522905040
2012-10-02,520060787
2012-10-03,513059548
2012-10-04,521592308
2012-10-05,532094167
2012-10-08,520935942
2012-10-09,520935942
2012-10-10,527280815
2012-10-11,532094167
2012-10-12,545659067
2012-10-15,553097884
2012-10-16,552660306
2012-10-17,547190588
2012-10-18,551566363
2012-10-19,549378475
2012-10-22,549159687
2012-10-23,544783912
2012-10-24,536032364
2012-10-25,532750533
2012-10-26,533844476
2012-10-31,537782673
2012-11-01,538439039
2012-11-02,526843237
2012-11-05,523123829
2012-11-06,523342618
2012-11-07,529906279
2012-11-08,532531744
2012-11-09,541720870
2012-11-12,567975517
2012-11-13,553754250
2012-11-14,539532983
2012-11-15,528374758
2012-11-16,535157209
2012-11-19,534063265
2012-11-20,527499603
2012-11-21,532312955
2012-11-23,532094167
2012-11-26,530125068
2012-11-27,529468702
2012-11-28,537126307
2012-11-29,535813575
2012-11-30,546315433
2012-12-03,552441518
2012-12-04,543689969
2012-12-05,552003940
2012-12-06,541502082
2012-12-07,546534222
2012-12-10,543689969
2012-12-11,544346335
2012-12-12,535594786
2012-12-13,535813575
2012-12-14,537782673
2012-12-17,544783912
2012-12-18,545002701
2012-12-19,549159687
2012-12-20,546315433
2012-12-21,544783912
2012-12-24,550691208
2012-12-26,545440278
2012-12-27,545002701
2012-12-28,544127546
2012-12-31,550472419
2013-01-02,568631883
2013-01-03,587666501
2013-01-04,585478614
2013-01-07,586572558
2013-01-08,595542895
2013-01-09,619172077
2013-01-10,626610894
2013-01-11,628142415
2013-01-14,629892724
2013-01-15,627486048
2013-01-16,636893963
2013-01-17,628361203
2013-01-18,633830921
2013-01-22,634268499
2013-01-23,631861823
2013-01-24,632955766
2013-01-25,633393344
2013-01-28,632955766
2013-01-29,631861823
2013-01-30,629017570
2013-01-31,634487288
2013-02-01,612170838
2013-02-04,611076894
2013-02-05,621578753
2013-02-06,630330302
2013-02-07,627048471
2013-02-08,637331541
2013-02-11,634487288
2013-02-12,622016330
2013-02-13,619172077
2013-02-14,607138698
2013-02-15,584384671
2013-02-19,620703598
2013-02-20,606263543
2013-02-21,600575036
2013-02-22,611514472
2013-02-25,619390866
2013-02-26,639957006
2013-02-27,627704837
2013-02-28,637550330
2013-03-01,643020048
2013-03-04,648270977
2013-03-05,658554047
2013-03-06,675181989
2013-03-07,673650468
2013-03-08,674306835
2013-03-11,677807454
2013-03-12,683933538
2013-03-13,687434158
2013-03-14,692685087
2013-03-15,695748129
2013-03-18,684808693
2013-03-19,692466298
2013-03-20,700999058
2013-03-21,709313030
2013-03-22,708656664
2013-03-25,709531818
2013-03-26,718502156
2013-03-27,713251227
2013-03-28,711063340
2013-04-01,703405734
2013-04-02,699248749
2013-04-03,681089285
2013-04-04,678901398
2013-04-05,677807454
2013-04-08,686996580
2013-04-09,690278411
2013-04-10,696623284
2013-04-11,699248749
2013-04-12,686340214
2013-04-15,682839595
2013-04-16,697936016
2013-04-17,700123904
2013-04-18,700123904
2013-04-19,695091763
2013-04-22,697717228
2013-04-23,691372355
2013-04-24,688309313
2013-04-25,688965679
2013-04-26,684808693
2013-04-29,690934777
2013-04-30,676275933
2013-05-01,672118947
2013-05-02,672118947
2013-05-03,667305596
2013-05-06,664242553
2013-05-07,664023765
2013-05-08,657460103
2013-05-09,648489766
2013-05-10,690497200
2013-05-13,694654186
2013-05-14,693997819
2013-05-15,688528101
2013-05-16,672775314
2013-05-17,677151088
2013-05-20,690278411
2013-05-21,678245032
2013-05-22,678245032
2013-05-23,657460103
2013-05-24,656584948
2013-05-28,643020048
2013-05-29,629455147
2013-05-30,624423006
2013-05-31,630986668
2013-06-03,606482331
2013-06-04,635362442
2013-06-05,620922387
2013-06-06,637331541
2013-06-07,626829682
2013-06-10,621578753
2013-06-11,621797542
2013-06-12,615890246
2013-06-13,617859345
2013-06-14,622891485
2013-06-17,617202979
2013-06-18,619609655
2013-06-19,621578753
2013-06-20,615233880
2013-06-21,624641795
2013-06-24,604732022
2013-06-25,608451430
2013-06-26,634268499
2013-06-27,657897681
2013-06-28,641050949
2013-07-01,646141656
2013-07-02,643951345
2013-07-03,644608439
2013-07-05,642637159
2013-07-08,636942351
2013-07-09,647893905
2013-07-10,648112936
2013-07-11,643513283
2013-07-12,649646153
2013-07-15,643513283
2013-07-16,641103941
2013-07-17,644608439
2013-07-18,642856190
2013-07-19,644608439
2013-07-22,641542004
2013-07-23,637599444
2013-07-24,638037506
2013-07-25,637380413
2013-07-26,635847196
2013-07-29,640665879
2013-07-30,639132662
2013-07-31,647455842
2013-08-01,640665879
2013-08-02,647674873
2013-08-05,648770029
2013-08-06,657531272
2013-08-07,655121930
2013-08-08,666730577
2013-08-09,663664142
2013-08-12,664540266
2013-08-13,665635421
2013-08-14,676148913
2013-08-15,665635421
2013-08-16,648770029
2013-08-19,641761035
2013-08-20,641761035
2013-08-21,635190103
2013-08-22,633218823
2013-08-23,628400139
2013-08-26,631904636
2013-08-27,649427122
2013-08-28,655998054
2013-08-29,667825732
2013-08-30,676586975
2013-09-03,694109460
2013-09-04,690385932
2013-09-05,675272788
2013-09-06,681405658
2013-09-09,683595969
2013-09-10,687757559
2013-09-11,685567249
2013-09-12,670454105
2013-09-13,676806006
2013-09-16,677901161
2013-09-17,683376938
2013-09-18,679653410
2013-09-19,682719845
2013-09-20,662568986
2013-09-23,657093210
2013-09-24,659721582
2013-09-25,664321235
2013-09-26,661911893
2013-09-27,670016043
2013-09-30,661252160
2013-10-01,697695672
2013-10-02,696378437
2013-10-03,686279632
2013-10-04,690450878
2013-10-07,672009583
2013-10-08,663447553
2013-10-09,688914103
2013-10-10,686279632
2013-10-11,679473916
2013-10-14,673985436
2013-10-15,678156681
2013-10-16,680571613
2013-10-17,691548574
2013-10-18,690011799
2013-10-21,688035946
2013-10-22,691109496
2013-10-23,693743966
2013-10-24,690450878
2013-10-25,683645162
2013-10-28,685840554
2013-10-29,692865809
2013-10-30,690231339
2013-10-31,682108387
2013-11-01,682767005
2013-11-04,682767005
2013-11-05,680571613
2013-11-06,717893282
2013-11-07,717893282
2013-11-08,730407018
2013-11-11,718112821
2013-11-12,724918537
2013-11-13,733041488
2013-11-14,719869135
2013-11-15,709550791
2013-11-18,727992086
2013-11-19,735456420
2013-11-20,734358724
2013-11-21,731065635
2013-11-22,733261028
2013-11-25,730626557
2013-11-26,720527752
2013-11-27,733041488
2013-11-29,738749508
2013-12-02,712624340
2013-12-03,705818624
2013-12-04,700769222
2013-12-05,704940467
2013-12-06,706696781
2013-12-09,707794477
2013-12-10,708233555
2013-12-11,709111712
2013-12-12,717454203
2013-12-13,714819732
2013-12-16,707574938
2013-12-17,711526644
2013-12-18,714380654
2013-12-19,707355399
2013-12-20,733041488
2013-12-23,746433382
2013-12-24,743359832
2013-12-26,745335685
2013-12-27,746433382
2013-12-30,728870243
2013-12-31,726769980
2014-01-02,720841645
2014-01-03,725013436
2014-01-06,710521950
2014-01-07,727209116
2014-01-08,725672140
2014-01-09,727648252
2014-01-10,743237578
2014-01-13,755533384
2014-01-14,747848505
2014-01-15,762779127
2014-01-16,752239865
2014-01-17,743018010
2014-01-21,735552699
2014-01-22,750263753
2014-01-23,760144312
2014-01-24,754655112
2014-01-27,755533384
2014-01-28,744335418
2014-01-29,736870107
2014-01-30,755313816
2014-01-31,760363880
2014-02-03,742139738
2014-02-04,750044185
2014-02-05,754874680
2014-02-06,755094248
2014-02-07,768487895
2014-02-10,770683574
2014-02-11,769585734
2014-02-12,771122710
2014-02-13,770683574
2014-02-14,773537958
2014-02-18,774635798
2014-02-19,775294502
2014-02-20,778148885
2014-02-21,793738211
2014-02-24,808668833
2014-02-25,802960066
2014-02-26,791981667
2014-02-27,787151172
2014-02-28,777490181
2014-03-03,791322963
2014-03-04,817231984
2014-03-05,813718896
2014-03-06,804277474
2014-03-07,810205809
2014-03-10,815255872
2014-03-11,808668833
2014-03-12,800764386
2014-03-13,787151172
2014-03-14,777490181
2014-03-17,778807589
2014-03-18,753557273
2014-03-19,723696029
2014-03-20,718645965
2014-03-21,767390055
2014-03-24,771781414
2014-03-25,762339991
2014-03-26,759705176
2014-03-27,761242151
2014-03-28,770244438
2014-03-31,772798233
2014-04-01,782691810
2014-04-02,790606671
2014-04-03,794124387
2014-04-04,799620818
2014-04-07,802259105
2014-04-08,805556964
2014-04-09,799840675
2014-04-10,792365529
2014-04-11,793025100
2014-04-14,798301674
2014-04-15,800280390
2014-04-16,801599533
2014-04-17,801599533
2014-04-21,804677535
2014-04-22,811053395
2014-04-23,810833538
2014-04-24,812152681
2014-04-25,810613680
2014-04-28,988698053
2014-04-29,938790457
2014-04-30,916804732
2014-05-01,944286888
2014-05-02,933074169
2014-05-05,940769172
2014-05-06,928677024
2014-05-07,945166317
2014-05-08,931755025
2014-05-09,934393312
2014-05-12,964953470
2014-05-13,977265476
2014-05-14,978364762
2014-05-15,972428616
2014-05-16,964293898
2014-05-19,987159052
2014-05-20,995293770
2014-05-21,1002988774
2014-05-22,1013102208
2014-05-23,1022116355
2014-05-27,1012442636
2014-05-28,1018158924
2014-05-29,1020137640
2014-05-30,1037726220
2014-06-02,1037286505
2014-06-03,1040364507
2014-06-04,1032009931
2014-06-05,1013761779
2014-06-06,1018158924
2014-06-09,993315055
2014-06-10,988478196
2014-06-11,1008045491
2014-06-12,1011343350
2014-06-13,1005407204
2014-06-16,1000350487
2014-06-17,990017196
2014-06-18,993974627
2014-06-19,988698053
2014-06-20,1001669631
2014-06-23,1005846918
2014-06-24,1020137640
2014-06-25,1016400066
2014-06-26,1020137640
2014-06-27,1031130502
2014-06-30,1032142518
2014-07-01,1032362450
2014-07-02,1039180353
2014-07-03,1048857377
2014-07-07,1053475956
2014-07-08,1055675280
2014-07-09,1074589462
2014-07-10,1085366147
2014-07-11,1088665132
2014-07-14,1105160058
2014-07-15,1099221885
2014-07-16,1100761411
2014-07-17,1132431670
2014-07-18,1130232346
2014-07-21,1125833699
2014-07-22,1106919517
2014-07-23,1115496879
2014-07-24,1119455661
2014-07-25,1121874917
2014-07-28,1124734037
2014-07-29,1126053632
2014-07-30,1125173902
2014-07-31,1123854308
2014-08-01,1108019179
2014-08-04,1126493496
2014-08-05,1118136067
2014-08-06,1118136067
2014-08-07,1130012414
2014-08-08,1138149911
2014-08-11,1158603619
2014-08-12,1198631307
2014-08-13,1232061024
2014-08-14,1228981971
2014-08-15,1231841092
2014-08-18,1271208983
2014-08-19,1264391080
2014-08-20,1275607630
2014-08-21,1281105938
2014-08-22,1303539038
2014-08-25,1302879241
2014-08-26,1296941067
2014-08-27,1256913380
2014-08-28,1258232974
2014-08-29,1255373853
2014-09-02,1253174530
2014-09-03,1230961362
2014-09-04,1177077937
2014-09-05,1164981657
2014-09-08,1124074240
2014-09-09,1143208355
2014-09-10,1114177285
2014-09-11,1119235729
2014-09-12,1156844161
2014-09-15,1152665446
2014-09-16,1158383687
2014-09-17,1159703281
2014-09-18,1167840778
2014-09-19,1184775569
2014-09-22,1184775569
2014-09-23,1184115772
2014-09-24,1170479966
2014-09-25,1148926596
2014-09-26,1198631307
2014-09-29,1206768804
2014-09-30,1907656685
2014-10-01,1900026058
2014-10-02,1917715238
2014-10-03,1907656685
2014-10-06,1905922451
2014-10-07,1810886464
2014-10-08,1748107216
2014-10-09,1678737882
2014-10-10,1562544248
2014-10-13,1534796514
2014-10-14,1526125348
2014-10-15,1577111808
2014-10-16,1719665789
2014-10-17,1741517130
2014-10-20,1727296416
2014-10-21,1610409088
2014-10-22,1575377575
2014-10-23,1571562261
2014-10-24,1595494682
2014-10-27,1602431615
2014-10-28,1608674855
2014-10-29,1602431615
2014-10-30,1588210901
2014-10-31,1597922608
2014-11-03,1575030728
2014-11-04,1559769474
2014-11-05,1560810015
2014-11-06,1539999214
2014-11-07,1581967661
2014-11-10,1578152348
2014-11-11,1562544248
2014-11-12,1570174875
2014-11-13,1577458655
2014-11-14,1584048741
2014-11-17,1584742435
2014-11-18,1593760448
2014-11-19,1579192888
2014-11-20,1602778462
2014-11-21,1602431615
2014-11-24,1588904595
2014-11-25,1591679368
2014-11-26,1625323495
2014-11-28,1628791962
