,FTI
2001-06-14,136890264
2001-06-15,136249092
2001-06-18,134004989
2001-06-19,129837370
2001-06-20,129516784
2001-06-21,124707992
2001-06-22,124707992
2001-06-25,124707992
2001-06-26,124707992
2001-06-27,123425648
2001-06-28,122784476
2001-06-29,128555026
2001-07-02,573043116
2001-07-03,552205185
2001-07-05,564112574
2001-07-06,561135727
2001-07-09,553693608
2001-07-10,520948288
2001-07-11,523925135
2001-07-12,523925135
2001-07-13,540297795
2001-07-16,519459864
2001-07-17,509040898
2001-07-18,516483016
2001-07-19,525413559
2001-07-20,522436711
2001-07-23,520948288
2001-07-24,520948288
2001-07-25,555182032
2001-07-26,552205185
2001-07-27,534344101
2001-07-30,534344101
2001-07-31,522436711
2001-08-01,520948288
2001-08-02,526901982
2001-08-03,519459864
2001-08-06,509040898
2001-08-07,498621932
2001-08-08,491179814
2001-08-09,468853459
2001-08-10,470341882
2001-08-13,462899764
2001-08-14,467365035
2001-08-15,488202967
2001-08-16,485226119
2001-08-17,480760848
2001-08-20,488202967
2001-08-21,482249272
2001-08-22,480760848
2001-08-23,476295577
2001-08-24,468853459
2001-08-27,477784001
2001-08-28,476295577
2001-08-29,474807153
2001-08-30,462899764
2001-08-31,470341882
2001-09-04,483737696
2001-09-05,477784001
2001-09-06,465876611
2001-09-07,458434493
2001-09-10,449503951
2001-09-17,401874393
2001-09-18,412293359
2001-09-19,404851240
2001-09-20,412293359
2001-09-21,404851240
2001-09-24,404851240
2001-09-25,373594343
2001-09-26,331918480
2001-09-27,340849022
2001-09-28,333406904
2001-10-01,328941633
2001-10-02,327453209
2001-10-03,346802717
2001-10-04,358710106
2001-10-05,339360599
2001-10-08,349779564
2001-10-09,351267988
2001-10-10,367640648
2001-10-11,395920698
2001-10-12,379548038
2001-10-15,366152225
2001-10-16,364663801
2001-10-17,361686954
2001-10-18,364663801
2001-10-19,366152225
2001-10-22,373594343
2001-10-23,379548038
2001-10-24,376571191
2001-10-25,389967004
2001-10-26,397409122
2001-10-29,392943851
2001-10-30,385501733
2001-10-31,379548038
2001-11-01,376571191
2001-11-02,385501733
2001-11-05,398897546
2001-11-06,397409122
2001-11-07,394432275
2001-11-08,391455427
2001-11-09,395920698
2001-11-12,394432275
2001-11-13,394432275
2001-11-14,391455427
2001-11-15,376571191
2001-11-16,379548038
2001-11-19,392943851
2001-11-20,382524885
2001-11-21,382524885
2001-11-23,382524885
2001-11-26,381036462
2001-11-27,379548038
2001-11-28,376571191
2001-11-29,370617496
2001-11-30,364663801
2001-12-03,361686954
2001-12-04,361686954
2001-12-05,381036462
2001-12-06,379548038
2001-12-07,382524885
2001-12-10,381036462
2001-12-11,384013309
2001-12-12,382524885
2001-12-13,384013309
2001-12-14,382524885
2001-12-17,381036462
2001-12-18,384013309
2001-12-19,407828088
2001-12-20,446527104
2001-12-21,443550256
2001-12-24,446527104
2001-12-26,450992375
2001-12-27,459922917
2001-12-28,470341882
2001-12-31,476295577
2002-01-02,343299202
2002-01-03,352924413
2002-01-04,356132817
2002-01-07,350785477
2002-01-08,333673991
2002-01-09,330465587
2002-01-10,327257183
2002-01-11,321909843
2002-01-14,315493036
2002-01-15,316562504
2002-01-16,311215164
2002-01-17,300520485
2002-01-18,305867825
2002-01-22,310145696
2002-01-23,309076228
2002-01-24,316562504
2002-01-25,322979311
2002-01-28,325118247
2002-01-29,325118247
2002-01-30,325118247
2002-01-31,329396119
2002-02-01,334743458
2002-02-04,332604523
2002-02-05,335812926
2002-02-06,334743458
2002-02-07,334743458
2002-02-08,352924413
2002-02-11,364688560
2002-02-12,366827496
2002-02-13,371105368
2002-02-14,374313772
2002-02-15,366827496
2002-02-19,363619092
2002-02-20,364688560
2002-02-21,360410689
2002-02-22,367896964
2002-02-25,375383239
2002-02-26,377522175
2002-02-27,387147387
2002-02-28,387147387
2002-03-01,393564194
2002-03-04,410675681
2002-03-05,404258873
2002-03-06,407467277
2002-03-07,414953552
2002-03-08,421370360
2002-03-11,425648232
2002-03-12,419231424
2002-03-13,413884085
2002-03-14,412814617
2002-03-15,404258873
2002-03-18,403189405
2002-03-19,399981002
2002-03-20,399981002
2002-03-21,401050470
2002-03-22,393564194
2002-03-25,391425258
2002-03-26,393564194
2002-03-27,414953552
2002-03-28,413884085
2002-04-01,430708315
2002-04-02,426422660
2002-04-03,415708523
2002-04-04,403922972
2002-04-05,403922972
2002-04-08,416779937
2002-04-09,415708523
2002-04-10,423208419
2002-04-11,419994178
2002-04-12,410351454
2002-04-15,414637109
2002-04-16,424279833
2002-04-17,421065591
2002-04-18,430708315
2002-04-19,431779729
2002-04-22,431779729
2002-04-23,447850934
2002-04-24,447850934
2002-04-25,478921932
2002-04-26,473564864
2002-04-29,471422036
2002-04-30,473564864
2002-05-01,481064760
2002-05-02,479993346
2002-05-03,477850519
2002-05-06,455350831
2002-05-07,455350831
2002-05-08,467136381
2002-05-09,469279209
2002-05-10,477850519
2002-05-13,478921932
2002-05-14,491778897
2002-05-15,486421828
2002-05-16,489636070
2002-05-17,475707691
2002-05-20,453208003
2002-05-21,446779521
2002-05-22,456422244
2002-05-23,463922140
2002-05-24,462850727
2002-05-28,462850727
