,FNMA
2000-01-03,59715475000
2000-01-04,58385650000
2000-01-05,56739200000
2000-01-06,60728675000
2000-01-07,61425250000
2000-01-10,59968775000
2000-01-11,59968775000
2000-01-12,60538700000
2000-01-13,63008375000
2000-01-14,65478050000
2000-01-18,61551900000
2000-01-19,61330262500
2000-01-20,59335525000
2000-01-21,56739200000
2000-01-24,57150812500
2000-01-25,55726000000
2000-01-26,57942375000
2000-01-27,59778800000
2000-01-28,59018900000
2000-01-31,60728675000
2000-02-01,61108625000
2000-02-02,60918650000
2000-02-03,62375125000
2000-02-04,60412050000
2000-02-07,58512300000
2000-02-08,59208875000
2000-02-09,57182475000
2000-02-10,55156075000
2000-02-11,55472700000
2000-02-14,54712800000
2000-02-15,55536025000
2000-02-16,55852650000
2000-02-17,53889575000
2000-02-18,51673200000
2000-02-22,53319650000
2000-02-23,52749725000
2000-02-24,51166600000
2000-02-25,51419900000
2000-02-28,54459500000
2000-02-29,53699600000
2000-03-01,53509625000
2000-03-02,52559750000
2000-03-03,53762925000
2000-03-06,52306450000
2000-03-07,49076875000
2000-03-08,51103275000
2000-03-09,50090075000
2000-03-10,50723325000
2000-03-13,52243125000
2000-03-14,52559750000
2000-03-15,56549225000
2000-03-16,61551900000
2000-03-17,61805200000
2000-03-20,59145550000
2000-03-21,62945050000
2000-03-22,62675918750
2000-03-23,63325000000
2000-03-24,62438450000
2000-03-27,60158750000
2000-03-28,59652150000
2000-03-29,59018900000
2000-03-30,56992500000
2000-03-31,57309125000
2000-04-03,60138450000
2000-04-04,58757400000
2000-04-05,60075675000
2000-04-06,61080075000
2000-04-07,60075675000
2000-04-10,59636250000
2000-04-11,59636250000
2000-04-12,63339975000
2000-04-13,62900550000
2000-04-14,62147250000
2000-04-17,61770600000
2000-04-18,62272800000
2000-04-19,59950125000
2000-04-20,61080075000
2000-04-24,63967725000
2000-04-25,65286000000
2000-04-26,64030500000
2000-04-27,63151650000
2000-04-28,60577875000
2000-05-01,59008500000
2000-05-02,57062475000
2000-05-03,56685825000
