,HBAN
2000-01-03,4598795174
2000-01-04,4456773558
2000-01-05,4341803679
2000-01-06,4495096851
2000-01-07,4533420144
2000-01-10,4341803679
2000-01-11,4366601104
2000-01-12,4366601104
2000-01-13,4418450265
2000-01-14,4495096851
2000-01-18,4341803679
2000-01-19,4355329547
2000-01-20,4278682961
2000-01-21,4202036375
2000-01-24,4129898411
2000-01-25,4202036375
2000-01-26,4251631224
2000-01-27,4213307931
2000-01-28,4035217334
2000-01-31,4418450265
2000-02-01,4355329547
2000-02-02,4328277811
2000-02-03,4495096851
2000-02-04,4355329547
2000-02-07,4278682961
2000-02-08,4188510506
2000-02-09,4251631224
2000-02-10,4393652840
2000-02-11,4380126972
2000-02-14,4326023499
2000-02-15,4418450265
2000-02-16,4393652840
2000-02-17,4328277811
2000-02-18,4226833800
2000-02-22,4285445895
2000-02-23,4265157093
2000-02-24,4303480386
2000-02-25,4251631224
2000-02-28,4355329547
2000-02-29,4278682961
2000-03-01,4136661345
2000-03-02,4073540627
2000-03-03,4053251825
2000-03-06,4008165598
2000-03-07,3791751707
2000-03-08,3649730091
2000-03-09,3816549132
2000-03-10,3803023264
2000-03-13,3803023264
2000-03-14,3701579253
2000-03-15,4021691466
2000-03-16,4440993379
2000-03-17,4380126972
2000-03-20,4163713081
2000-03-21,4328277811
2000-03-22,4303480386
2000-03-23,4445502001
2000-03-24,4328277811
2000-03-27,4226833800
2000-03-28,4341803679
2000-03-29,4483825295
2000-03-30,4328277811
2000-03-31,4979939323
2000-04-03,5092563320
2000-04-04,5048493060
2000-04-05,4938317411
2000-04-06,4896695500
2000-04-07,4715517766
2000-04-10,4798761590
2000-04-11,4813451676
2000-04-12,5092563320
2000-04-13,4786519851
2000-04-14,4534340033
2000-04-17,4367852386
2000-04-18,4522098294
2000-04-19,4228296564
2000-04-20,4269918476
2000-04-24,4299298649
2000-04-25,4436406123
2000-04-26,4299298649
2000-04-27,4130362654
2000-04-28,4061808917
2000-05-01,4061808917
2000-05-02,4061808917
2000-05-03,4020187005
2000-05-04,3824319185
2000-05-05,3880631183
2000-05-08,3922253095
2000-05-09,3755765448
2000-05-10,3672521625
2000-05-11,3728833623
2000-05-12,3839009272
2000-05-15,3870837792
2000-05-16,3839009272
2000-05-17,3797387360
2000-05-18,3993255180
2000-05-19,3853699358
2000-05-22,3993255180
2000-05-23,4118120915
2000-05-24,4186674652
2000-05-25,4103430829
2000-05-26,4228296564
2000-05-30,4216054825
2000-05-31,4311540387
2000-06-01,4436406123
