,UNP
2000-01-03,10614912000
2000-01-04,10595200000
2000-01-05,10595200000
2000-01-06,11245696000
2000-01-07,11166848000
2000-01-10,11423104000
2000-01-11,11521664000
2000-01-12,11285120000
2000-01-13,11492096000
2000-01-14,11354112000
2000-01-18,10930304000
2000-01-19,10752896000
2000-01-20,10348800000
2000-01-21,10782464000
2000-01-24,10457216000
2000-01-25,10082688000
2000-01-26,10299520000
2000-01-27,9915136000
2000-01-28,10013696000
2000-01-31,9915136000
2000-02-01,9934848000
2000-02-02,9550464000
2000-02-03,9688448000
2000-02-04,9934848000
2000-02-07,9777152000
2000-02-08,9550464000
2000-02-09,9589888000
2000-02-10,9136512000
2000-02-11,9057664000
2000-02-14,9363200000
2000-02-15,9560320000
2000-02-16,9205504000
2000-02-17,9333632000
2000-02-18,9304064000
2000-02-22,9560320000
2000-02-23,9688448000
2000-02-24,9175936000
2000-02-25,9225216000
2000-02-28,9491328000
2000-02-29,9363200000
2000-03-01,9422336000
2000-03-02,9313920000
2000-03-03,9698304000
2000-03-06,9304064000
2000-03-07,8870400000
2000-03-08,8949248000
2000-03-09,8850688000
2000-03-10,8643712000
2000-03-13,8683136000
2000-03-14,8683136000
2000-03-15,9205504000
2000-03-16,9806720000
2000-03-17,9915136000
2000-03-20,9422336000
2000-03-21,9856000000
2000-03-22,9520896000
2000-03-23,9530752000
2000-03-24,9392768000
2000-03-27,9530752000
2000-03-28,9166080000
2000-03-29,9333632000
2000-03-30,9166080000
2000-03-31,9639168000
2000-04-03,9550464000
2000-04-04,9530752000
2000-04-05,10102400000
2000-04-06,10161536000
2000-04-07,10043264000
2000-04-10,10260096000
2000-04-11,10624768000
2000-04-12,10792320000
2000-04-13,10545920000
2000-04-14,10122112000
2000-04-17,9806720000
2000-04-18,9984128000
2000-04-19,9934848000
2000-04-20,10181248000
2000-04-24,10368512000
2000-04-25,10792320000
2000-04-26,11196416000
2000-04-27,10565632000
2000-04-28,10378368000
2000-05-01,10575488000
2000-05-02,10289664000
2000-05-03,10230528000
2000-05-04,9993984000
2000-05-05,10427648000
2000-05-08,10506496000
2000-05-09,10703616000
2000-05-10,10565632000
2000-05-11,10614912000
2000-05-12,10772608000
2000-05-15,10782464000
2000-05-16,11009152000
2000-05-17,10950016000
2000-05-18,11088000000
2000-05-19,11176704000
2000-05-22,10920448000
2000-05-23,11137280000
2000-05-24,11107712000
2000-05-25,10752896000
2000-05-26,10545920000
2000-05-30,10683904000
2000-05-31,10476928000
2000-06-01,10683904000
2000-06-02,11088000000
2000-06-05,10683904000
2000-06-06,10457216000
2000-06-07,10595200000
2000-06-08,10289664000
2000-06-09,10329088000
2000-06-12,10506496000
2000-06-13,10368512000
2000-06-14,10043264000
2000-06-15,9905280000
2000-06-16,9767296000
2000-06-19,9668736000
2000-06-20,9658880000
2000-06-21,9718016000
2000-06-22,9589888000
2000-06-23,9629312000
2000-06-26,9668736000
2000-06-27,9688448000
2000-06-28,9974272000
2000-06-29,9856000000
2000-06-30,9169800000
2000-07-03,9426160000
2000-07-05,9702240000
2000-07-06,10017760000
2000-07-07,10274120000
2000-07-10,10274120000
2000-07-11,10412160000
2000-07-12,10402300000
2000-07-13,10106500000
2000-07-14,10727680000
2000-07-17,10865720000
2000-07-18,10826280000
2000-07-19,10431880000
2000-07-20,10333280000
2000-07-21,10264260000
2000-07-24,10155800000
2000-07-25,9860000000
2000-07-26,9771260000
2000-07-27,10244540000
2000-07-28,10540340000
2000-07-31,10648800000
2000-08-01,10757260000
2000-08-02,11003760000
2000-08-03,11230540000
2000-08-04,10846000000
2000-08-07,11013620000
2000-08-08,11062920000
2000-08-09,10678380000
2000-08-10,10707960000
2000-08-11,10895300000
2000-08-14,10954460000
2000-08-15,10737540000
2000-08-16,10658660000
2000-08-17,10491040000
2000-08-18,10629080000
2000-08-21,10569920000
2000-08-22,10550200000
2000-08-23,10076920000
2000-08-24,10234680000
2000-08-25,10195240000
2000-08-28,9998040000
2000-08-29,9938880000
2000-08-30,9741680000
2000-08-31,9800840000
2000-09-01,9751540000
2000-09-05,9830420000
2000-09-06,9860000000
2000-09-07,9524760000
2000-09-08,9524760000
2000-09-11,9416300000
2000-09-12,9505040000
2000-09-13,9672660000
2000-09-14,9554340000
2000-09-15,9643080000
2000-09-18,9633220000
2000-09-19,9505040000
2000-09-20,9386720000
2000-09-21,9347280000
2000-09-22,9416300000
2000-09-25,9524760000
2000-09-26,9248680000
2000-09-27,9386720000
2000-09-28,9702240000
2000-09-29,9593780000
2000-10-02,9461208000
2000-10-03,9688356000
2000-10-04,10122900000
2000-10-05,10458684000
2000-10-06,10261164000
2000-10-09,9955008000
2000-10-10,10261164000
2000-10-11,10172280000
2000-10-12,10004388000
2000-10-13,9925380000
2000-10-16,10073520000
2000-10-17,9925380000
2000-10-18,9717984000
2000-10-19,10034016000
2000-10-20,10182156000
2000-10-23,10280916000
2000-10-24,10498188000
2000-10-25,10508064000
2000-10-26,10725336000
2000-10-27,10675956000
2000-10-30,11090748000
2000-10-31,11574672000
2000-11-01,11604300000
2000-11-02,11821572000
2000-11-03,11910456000
2000-11-06,12009216000
2000-11-07,11880828000
2000-11-08,11772192000
2000-11-09,11930208000
2000-11-10,11831448000
2000-11-13,11979588000
2000-11-14,12117852000
2000-11-15,12394380000
2000-11-16,12483264000
2000-11-17,12078348000
2000-11-20,11900580000
2000-11-21,11791944000
2000-11-22,11742564000
2000-11-24,11821572000
2000-11-27,11693184000
2000-11-28,11663556000
2000-11-29,11831448000
2000-11-30,11485788000
2000-12-01,11357400000
2000-12-04,11554920000
2000-12-05,11624052000
2000-12-06,11199384000
2000-12-07,11327772000
2000-12-08,11525292000
2000-12-11,11574672000
2000-12-12,11801820000
2000-12-13,11653680000
2000-12-14,11466036000
2000-12-15,11219136000
2000-12-18,11436408000
2000-12-19,12186984000
2000-12-20,11821572000
2000-12-21,12265992000
2000-12-22,12591900000
2000-12-26,12641280000
2000-12-27,12996816000
2000-12-28,12473388000
2000-12-29,12532644000
2001-01-02,12503016000
2001-01-03,12503016000
2001-01-04,12700536000
2001-01-05,12720288000
2001-01-08,13105452000
2001-01-09,13194336000
2001-01-10,12947436000
2001-01-11,13135080000
2001-01-12,12779544000
2001-01-16,12898056000
2001-01-17,12996816000
2001-01-18,12977064000
2001-01-19,12819048000
2001-01-22,12898056000
2001-01-23,12611652000
2001-01-24,12325248000
2001-01-25,12345000000
2001-01-26,12127728000
2001-01-29,12404256000
2001-01-30,12789420000
2001-01-31,13085700000
2001-02-01,13164708000
2001-02-02,13075824000
2001-02-05,12947436000
2001-02-06,13065948000
2001-02-07,13026444000
2001-02-08,13095576000
2001-02-09,13322724000
2001-02-12,13312848000
2001-02-13,13510368000
2001-02-14,13006692000
2001-02-15,13293096000
2001-02-16,13164708000
2001-02-20,13263468000
2001-02-21,13065948000
2001-02-22,13283220000
2001-02-23,13421484000
2001-02-26,13638756000
2001-02-27,13757268000
2001-02-28,13569624000
2001-03-01,13401732000
2001-03-02,13589376000
2001-03-05,13717764000
2001-03-06,13579500000
2001-03-07,13539996000
2001-03-08,13974540000
2001-03-09,14033796000
2001-03-12,13865904000
2001-03-13,13579500000
2001-03-14,13105452000
2001-03-15,13056072000
2001-03-16,12414132000
2001-03-19,12740040000
2001-03-20,12799296000
2001-03-21,12996816000
2001-03-22,12927684000
2001-03-23,12996816000
2001-03-26,13293096000
2001-03-27,13875780000
2001-03-28,13816524000
2001-03-29,13865904000
2001-03-30,13885656000
2001-04-02,14178348000
2001-04-03,14208072000
2001-04-04,14000004000
2001-04-05,13930648000
2001-04-06,13861292000
2001-04-09,13623500000
