,GPS
2000-01-03,38377074000
2000-01-04,36980088000
2000-01-05,35369550000
2000-01-06,39542712000
2000-01-07,41429088000
2000-01-10,42487950000
2000-01-11,43991712000
2000-01-12,44436612000
2000-01-13,43769262000
2000-01-14,42541338000
2000-01-18,42541338000
2000-01-19,42541338000
2000-01-20,41820600000
2000-01-21,40156674000
2000-01-24,37869888000
2000-01-25,39427038000
2000-01-26,40156674000
2000-01-27,40041000000
2000-01-28,38706300000
2000-01-31,38001054192
2000-02-01,39114980820
2000-02-02,39803744612
2000-02-03,44965221429
2000-02-04,43953333882
2000-02-07,42516283500
2000-02-08,42567303040
2000-02-09,41827519707
2000-02-10,41665957830
2000-02-11,41291814535
2000-02-14,42626825837
2000-02-15,43103008212
2000-02-16,41665957830
2000-02-17,35824220477
2000-02-18,36564003810
2000-02-22,38001054192
2000-02-23,36512984269
2000-02-24,36512984269
2000-02-25,39803744612
2000-02-28,39225523157
2000-02-29,41079233117
2000-03-01,40713593079
2000-03-02,37626910897
2000-03-03,38689817985
2000-03-06,38264655150
2000-03-07,36564003810
2000-03-08,37363309939
2000-03-09,38800360322
2000-03-10,39225523157
2000-03-13,39063961279
2000-03-14,37363309939
2000-03-15,38264655150
2000-03-16,41453376412
2000-03-17,39489124114
2000-03-20,40552031202
2000-03-21,41878539247
2000-03-22,40288430244
2000-03-23,40654070282
2000-03-24,39752725072
2000-03-27,39438104574
2000-03-28,39166000360
2000-03-29,41614938289
2000-03-30,42516283500
2000-03-31,42354721622
2000-04-03,42516283500
2000-04-04,43409125453
2000-04-05,38264655150
2000-04-06,37465349020
2000-04-07,38800360322
2000-04-10,38162616069
2000-04-11,36989166645
2000-04-12,37312290399
2000-04-13,35450077182
2000-04-14,31674631207
2000-04-17,33162701130
2000-04-18,31674631207
2000-04-19,33375282547
2000-04-20,32950119712
2000-04-24,33587863965
2000-04-25,32848080632
2000-04-26,33485824884
2000-04-27,31360010709
2000-04-28,31249468372
2000-05-01,32337346089
2000-05-02,33136008867
2000-05-03,31649136674
2000-05-04,30587085108
2000-05-05,29261644753
2000-05-08,28250571662
2000-05-09,28887802602
2000-05-10,28148614711
2000-05-11,30000832643
2000-05-12,30663552820
2000-05-15,30799495421
2000-05-16,31122359097
2000-05-17,31436726361
2000-05-18,31385747885
2000-05-19,30960927259
2000-05-22,29737443855
2000-05-23,29788422330
2000-05-24,28675392288
2000-05-25,29210666278
2000-05-26,29312623228
2000-05-30,29261644753
2000-05-31,29788422330
2000-06-01,29474055066
2000-06-02,29100212915
2000-06-05,29474055066
2000-06-06,29210666278
2000-06-07,29312623228
2000-06-08,28412003500
2000-06-09,28089139824
2000-06-12,27400930409
2000-06-13,26661742519
2000-06-14,27400930409
2000-06-15,27086563145
2000-06-16,26236921892
2000-06-19,26075490054
2000-06-20,25599690952
2000-06-21,25174870326
2000-06-22,24588617861
2000-06-23,24376207548
2000-06-26,25013438488
2000-06-27,27086563145
2000-06-28,26763699469
2000-06-29,25489237590
2000-06-30,26551289156
2000-07-03,25812101266
2000-07-05,25489237590
2000-07-06,28361025025
2000-07-07,30162264481
2000-07-10,32184410663
2000-07-11,32821641603
2000-07-12,32184410663
2000-07-13,31649136674
2000-07-14,32447799452
2000-07-17,32609231290
2000-07-18,31649136674
2000-07-19,30587085108
2000-07-20,30536106632
2000-07-21,31385747885
2000-07-24,31334769410
2000-07-25,30587085108
2000-07-26,31122359097
2000-07-27,32337346089
2000-07-28,31912525462
2000-07-31,30393888152
2000-08-01,31403905659
2000-08-02,32201734613
2000-08-03,25513551462
2000-08-04,25513551462
2000-08-07,25572964256
2000-08-08,26897020819
2000-08-09,26523568968
2000-08-10,22916363589
2000-08-11,22118534634
2000-08-14,22441061233
2000-08-15,22441061233
2000-08-16,21694157530
2000-08-17,22016684129
2000-08-18,22916363589
2000-08-21,23026701635
2000-08-22,24087644394
2000-08-23,24512021498
2000-08-24,23128552140
2000-08-25,22441061233
2000-08-28,22016684129
2000-08-29,21804495577
2000-08-30,21592307026
2000-08-31,19046044405
2000-09-01,19996649116
2000-09-05,19470421508
2000-09-06,19784460565
2000-09-07,19470421508
2000-09-08,20268250463
2000-09-11,20208837668
2000-09-12,20955741370
2000-09-13,21218855175
2000-09-14,21431043726
2000-09-15,20319175715
2000-09-18,19521346761
2000-09-19,19572272013
2000-09-20,19631684807
2000-09-21,19733535312
2000-09-22,19682610060
2000-09-25,18672592554
2000-09-26,17509799290
2000-09-27,16762895588
2000-09-28,17297610738
2000-09-29,17085422186
2000-10-02,16499781784
2000-10-03,16975084140
2000-10-04,16873233635
2000-10-05,17985101646
2000-10-06,17399461243
2000-10-09,18086952151
2000-10-10,17823838347
2000-10-11,16338518484
2000-10-12,15914141381
2000-10-13,15965066633
2000-10-16,16499781784
2000-10-17,16287593232
2000-10-18,18248215450
2000-10-19,20421026220
2000-10-20,19521346761
2000-10-23,19631684807
2000-10-24,20633214772
2000-10-25,19945723864
2000-10-26,19631684807
2000-10-27,19521346761
2000-10-30,19774551126
2000-10-31,21951878045
2000-11-01,20786667936
2000-11-02,23125593338
2000-11-03,22326106110
2000-11-06,21951878045
2000-11-07,22224043910
2000-11-08,22326106110
2000-11-09,20948266418
2000-11-10,20148779190
2000-11-13,20837699036
