,TMUS
2007-04-19,5578895898
2007-04-20,5811782539
2007-04-23,5853316462
2007-04-24,5945284435
2007-04-25,5825132728
2007-04-26,5740581528
2007-04-27,5782115451
2007-04-30,5710914440
2007-05-01,5679763997
2007-05-02,5733164756
2007-05-03,5832549500
2007-05-04,5863699943
2007-05-07,5918584056
2007-05-08,5964568042
2007-05-09,6280522529
2007-05-10,6191521265
2007-05-11,6292389364
2007-05-14,6498575626
2007-05-15,6964348908
2007-05-16,6995499350
2007-05-17,7410838582
2007-05-18,7446439088
2007-05-21,7031099856
2007-05-22,6863480808
2007-05-23,6836780429
2007-05-24,6907981440
2007-05-25,7127517892
2007-05-29,6902048023
2007-05-30,7292170230
2007-05-31,7259536433
2007-06-01,7449405796
2007-06-04,7467206049
2007-06-05,7177951941
2007-06-06,6899081314
2007-06-07,6623177396
2007-06-08,6626144104
2007-06-11,6875347644
2007-06-12,6743329102
2007-06-13,6879797707
2007-06-14,6704761888
2007-06-15,7247669598
2007-06-18,7252119661
2007-06-19,6919848276
2007-06-20,6645427712
2007-06-21,6844197201
2007-06-22,6887214479
2007-06-25,7126034537
2007-06-26,7077083842
2007-06-27,7094884095
2007-06-28,6850130619
2007-06-29,6727012204
2007-07-02,7861228144
2007-07-03,8173388097
2007-07-05,8136969436
2007-07-06,8371089400
2007-07-09,8372823622
2007-07-10,8475142718
2007-07-11,8608677809
2007-07-12,8844531996
2007-07-13,8856671549
2007-07-16,9130678619
2007-07-17,9598918548
2007-07-18,9359595918
2007-07-19,9413356798
2007-07-20,9370001249
2007-07-23,9285024373
2007-07-24,8985003974
2007-07-25,8482079606
2007-07-26,8436989835
2007-07-27,8378026288
2007-07-30,8875747991
2007-07-31,8716199570
2007-08-01,8771694673
2007-08-02,9286758595
2007-08-03,7417267322
2007-08-06,7280263788
2007-08-07,7616702848
2007-08-08,7559473523
2007-08-09,6662880770
2007-08-10,6544953677
2007-08-13,6862316295
2007-08-14,6602183001
2007-08-15,6139145738
2007-08-16,5748945797
2007-08-17,6231059502
2007-08-20,6116600852
2007-08-21,6090587523
2007-08-22,6078447969
2007-08-23,6076713747
2007-08-24,6747857646
2007-08-27,7299340229
2007-08-28,7124183811
2007-08-29,6735718092
2007-08-30,6409684364
2007-08-31,6494661240
2007-09-04,6818960746
2007-09-05,6876190071
2007-09-06,6685425655
2007-09-07,6479053242
2007-09-10,6366328815
2007-09-11,6343783929
2007-09-12,6192906619
2007-09-13,5899823107
2007-09-14,5974394652
2007-09-17,5995205315
2007-09-18,6059371528
2007-09-19,6104461299
2007-09-20,6293491492
2007-09-21,6307365268
2007-09-24,6357657705
2007-09-25,6468647910
2007-09-26,6423558139
2007-09-27,6551890564
2007-09-28,6492927018
2007-10-01,6508927662
2007-10-02,6653415759
2007-10-03,6611636069
2007-10-04,6594227864
2007-10-05,5922271170
2007-10-08,5781264714
2007-10-09,6023238757
2007-10-10,5927493632
2007-10-11,5957087579
2007-10-12,5937938554
2007-10-15,5739485023
2007-10-16,5447027188
2007-10-17,5375653549
2007-10-18,5279908424
2007-10-19,5236387913
2007-10-22,4921299412
2007-10-23,4693251933
2007-10-24,4689770292
2007-10-25,4745476546
2007-10-26,5112789661
2007-10-29,5217238888
2007-10-30,5161532634
2007-10-31,5375653549
2007-11-01,4811627723
2007-11-02,5222461350
2007-11-05,5170236736
2007-11-06,5260759399
2007-11-07,5131938686
2007-11-08,4970042384
2007-11-09,3847213194
2007-11-12,3728837403
2007-11-13,3930772576
2007-11-14,4331161279
2007-11-15,4386867534
2007-11-16,4456500352
2007-11-19,4205822207
2007-11-20,3822841708
2007-11-21,3641796381
2007-11-23,3714910840
