,OTIS
2020-10-13,28227341999
2020-10-14,28435374000
2020-10-15,28257680000
2020-10-16,28184002000
2020-10-19,27893624000
2020-10-20,27906626000
2020-10-21,27616248000
2020-10-22,27408216000
2020-10-23,27499230000
2020-10-26,27395214000
2020-10-27,26857798000
2020-10-28,25566266000
2020-10-29,26346386000
2020-10-30,26558752000
2020-11-02,26931476000
2020-11-03,27178514000
2020-11-04,27000820000
2020-11-05,27143842000
2020-11-06,27555572000
2020-11-09,27520900000
2020-11-10,28491715999
2020-11-11,28656408000
2020-11-12,28600065999
2020-11-13,28418037999
2020-11-16,29206826000
2020-11-17,29124480000
2020-11-18,28877441999
2020-11-19,28673744000
2020-11-20,28743087999
2020-11-23,29146150000
2020-11-24,29211160000
2020-11-25,29202491999
2020-11-27,29185156000
2020-11-30,29011796000
2020-12-01,28964122000
2020-12-02,28470046000
2020-12-03,28383365999
2020-12-04,28240344000
2020-12-07,28105989999
2020-12-08,28652074000
2020-12-09,28383365999
2020-12-10,27737600000
2020-12-11,27620582000
2020-12-14,27208852000
2020-12-15,28053982000
2020-12-16,28275015999
2020-12-17,28513386000
2020-12-18,28435374000
2020-12-21,28669410000
2020-12-22,28348694000
2020-12-23,28444041999
2020-12-24,28513386000
2020-12-28,28604400000
2020-12-29,28470046000
2020-12-30,28916448000
2020-12-31,29154580000
2021-01-04,28308644000
2021-01-05,28097159999
2021-01-06,28878356000
2021-01-07,29253848000
2021-01-08,28843828000
2021-01-11,28640976000
2021-01-12,28153268000
2021-01-13,27609452000
2021-01-14,28028104000
2021-01-15,28282748000
2021-01-19,28213692000
2021-01-20,28136004000
2021-01-21,27415232000
2021-01-22,28002207999
2021-01-25,27717352000
2021-01-26,27410916000
2021-01-27,26862784000
2021-01-28,27549028000
2021-01-29,27902940000
2021-02-01,27859780000
2021-02-02,27898624000
2021-02-03,27643980000
2021-02-04,27315964000
2021-02-05,27592188000
2021-02-08,27505868000
2021-02-09,27777776000
2021-02-10,28187796000
2021-02-11,27376388000
2021-02-12,27592188000
2021-02-16,27272804000
2021-02-17,27057004000
2021-02-18,27216696000
2021-02-19,27208064000
2021-02-22,27290068000
2021-02-23,27290068000
2021-02-24,27773459999
2021-02-25,27820935999
2021-02-26,27497236000
2021-03-01,28023788000
2021-03-02,28230956000
2021-03-03,28917200000
2021-03-04,27600820000
2021-03-05,27997892000
2021-03-08,28148952000
2021-03-09,28023788000
2021-03-10,28593500000
2021-03-11,29046680000
2021-03-12,28485600000
2021-03-15,28748876000
2021-03-16,29219320000
2021-03-17,29599128000
2021-03-18,29413540000
2021-03-19,28856776000
2021-03-22,28839511999
2021-03-23,28899935999
2021-03-24,28990572000
2021-03-25,29288376000
2021-03-26,29797664000
2021-03-29,30173156000
2021-03-30,30099783999
2021-03-31,29289755000
2021-04-01,29636354000
2021-04-05,29623517000
2021-04-06,29833188000
2021-04-07,29794676999
2021-04-08,29700539000
2021-04-09,30273925000
2021-04-12,30231135000
2021-04-13,30432248000
2021-04-14,30124160000
2021-04-15,30368063000
2021-04-16,30201182000
2021-04-19,30393737000
2021-04-20,30154113000
2021-04-21,30398016000
2021-04-22,30359505000
2021-04-23,30500712000
2021-04-26,32635933000
2021-04-27,33804100000
2021-04-28,33376200000
2021-04-29,33671451000
2021-04-30,33320573000
2021-05-03,33547360000
2021-05-04,33684288000
2021-05-05,33401874000
2021-05-06,33530244000
2021-05-07,33457501000
2021-05-10,33483175000
2021-05-11,33213598000
2021-05-12,32576026999
2021-05-13,33012485000
2021-05-14,33752751999
2021-05-17,33808379000
2021-05-18,33632939999
2021-05-19,33149413000
2021-05-20,33102344000
2021-05-21,33192202999
2021-05-24,33431826999
2021-05-25,33243551000
2021-05-26,33277783000
2021-05-27,33680008999
2021-05-28,33517407000
2021-06-01,33551639000
2021-06-02,33491733000
2021-06-03,33864006000
2021-06-04,34176373000
2021-06-07,34065119000
2021-06-08,34595715000
2021-06-09,34552925000
2021-06-10,34411718000
2021-06-11,34463066000
2021-06-14,34574320000
2021-06-15,34655621000
2021-06-16,34501577000
2021-06-17,34433113000
2021-06-18,34018050000
2021-06-21,34677016000
2021-06-22,34818223000
2021-06-23,34582878000
2021-06-24,34818223000
