,SBNY
2005-03-14,742505550.0
2005-03-15,725610900.0
2005-03-16,730478850.0
2005-03-17,741360150.0
2005-03-18,741646500.0
2005-03-21,747516675.0
2005-03-22,744510000.0
2005-03-23,755391300.0
2005-03-24,743364600.0
2005-03-28,761118300.0
2005-03-29,759113850.0
2005-03-30,758541150.0
2005-03-31,759113850.0
2005-04-01,751678852.0
2005-04-04,748286544.0
2005-04-05,746873083.0
2005-04-06,747155775.0
2005-04-07,749700006.0
2005-04-08,749134621.0
2005-04-11,751678852.0
2005-04-12,751961544.0
2005-04-13,753375006.0
2005-04-14,746590390.0
2005-04-15,746307698.0
2005-04-18,742915390.0
2005-04-19,746590390.0
2005-04-20,746307698.0
2005-04-21,744894236.0
2005-04-22,747721159.0
2005-04-25,749982698.0
2005-04-26,747721159.0
2005-04-27,749982698.0
2005-04-28,705600005.0
2005-04-29,696271159.0
2005-05-02,711253851.0
2005-05-03,686942313.0
2005-05-04,685528851.0
2005-05-05,692596159.0
2005-05-06,691182697.0
2005-05-09,684680774.0
2005-05-10,679875005.0
2005-05-11,668567313.0
2005-05-12,669415390.0
2005-05-13,676482697.0
2005-05-16,679875005.0
2005-05-17,681288467.0
2005-05-18,678744236.0
2005-05-19,682984620.0
2005-05-20,684115390.0
2005-05-23,684680774.0
2005-05-24,683550005.0
2005-05-25,683832697.0
2005-05-26,692596159.0
2005-05-27,688355774.0
2005-05-31,693161544.0
2005-06-01,691182697.0
2005-06-02,680723082.0
2005-06-03,687507697.0
2005-06-06,691748082.0
2005-06-07,682984620.0
2005-06-08,684115390.0
2005-06-09,684398082.0
2005-06-10,686376928.0
2005-06-13,691465390.0
2005-06-14,693161544.0
2005-06-15,695140390.0
2005-06-16,692596159.0
2005-06-17,696836544.0
2005-06-20,690051928.0
2005-06-21,694857697.0
2005-06-22,689769236.0
2005-06-23,686942313.0
2005-06-24,687790390.0
2005-06-27,671394236.0
2005-06-28,680440390.0
2005-06-29,692596159.0
2005-06-30,689769236.0
2005-07-01,718099313.0
2005-07-05,728295450.0
2005-07-06,728586768.0
2005-07-07,723925677.0
2005-07-08,742861359.0
2005-07-11,752474858.0
2005-07-12,763253631.0
2005-07-13,779276131.0
2005-07-14,761797040.0
2005-07-15,748687722.0
2005-07-18,765001540.0
2005-07-19,779276131.0
2005-07-20,788598313.0
2005-07-21,767914722.0
2005-07-22,771993177.0
2005-07-25,774906358.0
2005-07-26,797046540.0
2005-07-27,785102495.0
2005-07-28,844822722.0
2005-07-29,874828494.0
2005-08-01,859097312.0
2005-08-02,859097312.0
2005-08-03,855018858.0
2005-08-04,836083176.0
2005-08-05,829091540.0
2005-08-08,818604085.0
2005-08-09,814525631.0
2005-08-10,816273540.0
2005-08-11,826469676.0
2005-08-12,829091540.0
2005-08-15,847153267.0
2005-08-16,849775131.0
2005-08-17,844822722.0
2005-08-18,848318540.0
2005-08-19,860553903.0
2005-08-22,870167403.0
2005-08-23,869293449.0
2005-08-24,863758403.0
2005-08-25,866380267.0
2005-08-26,870750040.0
2005-08-29,870458721.0
2005-08-30,883859358.0
2005-08-31,873663221.0
2005-09-01,877159039.0
2005-09-02,867545540.0
2005-09-06,871041358.0
2005-09-07,871041358.0
2005-09-08,870750040.0
2005-09-09,867545540.0
2005-09-12,862010494.0
2005-09-13,798211813.0
2005-09-14,809573222.0
2005-09-15,801124995.0
2005-09-16,797629176.0
2005-09-19,778984813.0
2005-09-20,771119222.0
2005-09-21,772284495.0
2005-09-22,798211813.0
2005-09-23,785102495.0
2005-09-26,780441404.0
2005-09-27,781024040.0
2005-09-28,786559086.0
2005-09-29,783645904.0
2005-09-30,786267767.0
2005-10-03,835772446.0
2005-10-04,833070595.0
2005-10-05,802149416.0
2005-10-06,789540780.0
2005-10-07,790441397.0
2005-10-10,774530499.0
2005-10-11,737905413.0
2005-10-12,741507881.0
2005-10-13,751714872.0
2005-10-14,761621657.0
2005-10-17,760120629.0
2005-10-18,748412610.0
2005-10-19,751114461.0
2005-10-20,751414666.0
2005-10-21,768826592.0
2005-10-24,794344070.0
2005-10-25,786538724.0
2005-10-26,797646332.0
2005-10-27,821062370.0
2005-10-28,861890335.0
2005-10-31,870596298.0
2005-11-01,846880054.0
2005-11-02,868194653.0
2005-11-03,848080876.0
2005-11-04,846279642.0
2005-11-07,851082932.0
2005-11-08,850182315.0
2005-11-09,846279642.0
2005-11-10,858588073.0
2005-11-11,864592185.0
2005-11-14,866993830.0
2005-11-15,865793008.0
2005-11-16,840575736.0
2005-11-17,851683343.0
2005-11-18,855285811.0
2005-11-21,867594241.0
2005-11-22,870296092.0
2005-11-23,881403700.0
2005-11-25,871496914.0
2005-11-28,859788895.0
2005-11-29,855285811.0
2005-11-30,864291979.0
2005-12-01,893411925.0
2005-12-02,885606579.0
2005-12-05,865192596.0
2005-12-06,871196709.0
2005-12-07,839675119.0
2005-12-08,842677175.0
2005-12-09,854985605.0
2005-12-12,842376969.0
2005-12-13,840575736.0
2005-12-14,841776558.0
2005-12-15,843577792.0
2005-12-16,836072651.0
2005-12-19,831269361.0
2005-12-20,830368744.0
2005-12-21,836072651.0
2005-12-22,852884166.0
2005-12-23,853184372.0
2005-12-27,854084988.0
2005-12-28,843577792.0
2005-12-29,841476352.0
2005-12-30,842677175.0
2006-01-03,840011109.0
2006-01-04,840011109.0
2006-01-05,837063701.0
2006-01-06,842663775.0
2006-01-09,848853331.0
2006-01-10,840600590.0
2006-01-11,821147701.0
2006-01-12,855337627.0
2006-01-13,842369034.0
2006-01-17,835589997.0
2006-01-18,845021701.0
2006-01-19,849148071.0
2006-01-20,851800738.0
2006-01-23,840011109.0
2006-01-24,847674368.0
2006-01-25,842074294.0
2006-01-26,866537775.0
2006-01-27,891590738.0
2006-01-30,905443553.0
2006-01-31,897485553.0
2006-02-01,913106812.0
2006-02-02,921949034.0
2006-02-03,946707256.0
2006-02-06,939928219.0
2006-02-07,935507108.0
2006-02-08,956728442.0
2006-02-09,954075775.0
2006-02-10,939928219.0
2006-02-13,936391330.0
2006-02-14,942875627.0
2006-02-15,946412516.0
2006-02-16,959381108.0
2006-02-17,964686442.0
2006-02-21,951128367.0
2006-02-22,964686442.0
2006-02-23,984139330.0
2006-02-24,972644442.0
2006-02-27,962623256.0
2006-02-28,954959997.0
2006-03-01,980602441.0
2006-03-02,971760219.0
2006-03-03,964391701.0
2006-03-06,960265330.0
2006-03-07,934622886.0
2006-03-08,929612293.0
2006-03-09,927843849.0
2006-03-10,961149553.0
2006-03-13,982076145.0
2006-03-14,981781404.0
2006-03-15,982665627.0
2006-03-16,987381479.0
2006-03-17,1001823775.0
2006-03-20,1001529034.0
2006-03-21,990918367.0
2006-03-22,999465849.0
2006-03-23,985318293.0
2006-03-24,981486664.0
2006-03-27,976181330.0
2006-03-28,984434071.0
2006-03-29,977360293.0
2006-03-30,952307330.0
2006-03-31,960560071.0
2006-04-03,960726250.0
2006-04-04,953958500.0
2006-04-05,936303500.0
2006-04-06,944248250.0
2006-04-07,982795000.0
2006-04-10,996624749.0
2006-04-11,1000450000.0
2006-04-12,1035465749.0
2006-04-13,1042233500.0
2006-04-17,1067244750.0
2006-04-18,1065479250.0
2006-04-19,1066067749.0
2006-04-20,1064890749.0
2006-04-21,1049884000.0
2006-04-24,1037819750.0
2006-04-25,1046353000.0
2006-04-26,1044293250.0
2006-04-27,1052826500.0
2006-04-28,1040762249.0
2006-05-01,1056946000.0
2006-05-02,1068716000.0
2006-05-03,1071070000.0
2006-05-04,1069598750.0
2006-05-05,1069598750.0
2006-05-08,1051649500.0
2006-05-09,1050766750.0
2006-05-10,1064890749.0
2006-05-11,1039291000.0
2006-05-12,1036054250.0
2006-05-15,1059594250.0
2006-05-16,1059447125.0
2006-05-17,1058123000.0
2006-05-18,1051355249.0
2006-05-19,1039585250.0
2006-05-22,1030169250.0
2006-05-23,1043116250.0
2006-05-24,1054003500.0
2006-05-25,1077249250.0
2006-05-26,1103143250.0
2006-05-30,1041645000.0
2006-05-31,1051355249.0
2006-06-01,1063125250.0
2006-06-02,1058711499.0
2006-06-05,1030169250.0
2006-06-06,1016339500.0
2006-06-07,1016339500.0
2006-06-08,1018987750.0
2006-06-09,1012808500.0
2006-06-12,1003686750.0
2006-06-13,995742000.0
2006-06-14,971907750.0
2006-06-15,1002215500.0
2006-06-16,992799500.0
2006-06-19,948956250.0
2006-06-20,946602250.0
2006-06-21,944836750.0
2006-06-22,932772500.0
2006-06-23,917177250.0
2006-06-26,920119750.0
2006-06-27,911586500.0
2006-06-28,914529000.0
2006-06-29,963668750.0
2006-06-30,952781500.0
2006-07-03,964799173.0
2006-07-05,947058459.0
2006-07-06,952380673.0
2006-07-07,946171424.0
2006-07-10,931387495.0
2006-07-11,945580066.0
2006-07-12,955633138.0
2006-07-13,940849209.0
2006-07-14,946762781.0
2006-07-17,944397352.0
2006-07-18,938483781.0
2006-07-19,999984923.0
2006-07-20,984905316.0
2006-07-21,951789316.0
2006-07-24,990818888.0
2006-07-25,1022160816.0
2006-07-26,1012994780.0
2006-07-27,960363995.0
2006-07-28,976034959.0
2006-07-31,950015245.0
2006-08-01,950902281.0
2006-08-02,957702888.0
2006-08-03,973669531.0
2006-08-04,962729423.0
2006-08-07,962433745.0
2006-08-08,968347316.0
2006-08-09,956224495.0
2006-08-10,964799173.0
2006-08-11,954746102.0
2006-08-14,966277566.0
2006-08-15,976626316.0
2006-08-16,984373095.0
2006-08-17,991410245.0
2006-08-18,982835566.0
2006-08-21,976330638.0
2006-08-22,982539888.0
2006-08-23,950606602.0
2006-08-24,960363995.0
2006-08-25,947649816.0
2006-08-28,968642995.0
2006-08-29,962433745.0
2006-08-30,969825709.0
2006-08-31,971304102.0
2006-09-01,970417066.0
2006-09-05,989044816.0
2006-09-06,983426923.0
