,MO
2000-01-03,13231689653
2000-01-04,13324057469
2000-01-05,13254781607
2000-01-06,13000770113
2000-01-07,13370241377
2000-01-10,13531885055
2000-01-11,13601160917
2000-01-12,13670436779
2000-01-13,13832080457
2000-01-14,13578068963
2000-01-18,12977678159
2000-01-19,13185505745
2000-01-20,12562022986
2000-01-21,12400379308
2000-01-24,12400379308
2000-01-25,12169459768
2000-01-26,12123275860
2000-01-27,11846172412
2000-01-28,11707620688
2000-01-31,11776896550
2000-02-01,11846172412
2000-02-02,11638344826
2000-02-03,11846172412
2000-02-04,11638344826
2000-02-07,11592160918
2000-02-08,10991770113
2000-02-09,11061045975
2000-02-10,11222689653
2000-02-11,10760850573
2000-02-14,10691574711
2000-02-15,10760850573
2000-02-16,10645390803
2000-02-17,10991770113
2000-02-18,11061045975
2000-02-22,11776896550
2000-02-23,11453609193
2000-02-24,11315057469
2000-02-25,11061045975
2000-02-28,11291965515
2000-02-29,11384333331
2000-03-01,11522885055
2000-03-02,11361241377
2000-03-03,11453609193
2000-03-06,11222689653
2000-03-07,11037954021
2000-03-08,10853218389
2000-03-09,10783942527
2000-03-10,10760850573
2000-03-13,11222689653
2000-03-14,10899402297
2000-03-15,11361241377
2000-03-16,11430517239
2000-03-17,11430517239
2000-03-20,11245781607
2000-03-21,11453609193
2000-03-22,10922494251
2000-03-23,10991770113
2000-03-24,11176505745
2000-03-27,11107229883
2000-03-28,11037954021
2000-03-29,10783942527
2000-03-30,11984724136
2000-03-31,11669124998
2000-04-03,12596322914
2000-04-04,12257104164
2000-04-05,12370177081
2000-04-06,12664166664
2000-04-07,12438020831
2000-04-10,12144031248
2000-04-11,12008343748
2000-04-12,12076187498
2000-04-13,12324947914
2000-04-14,11669124998
2000-04-17,11736968748
2000-04-18,11420364581
2000-04-19,11488208331
2000-04-20,11804812498
2000-04-24,11782197914
2000-04-25,12144031248
2000-04-26,12324947914
2000-04-27,12144031248
2000-04-28,12076187498
2000-05-01,13025999998
2000-05-02,13161687498
2000-05-03,12845083331
2000-05-04,12890312498
2000-05-05,12980770831
2000-05-08,13365218748
2000-05-09,13048614581
2000-05-10,13252145831
2000-05-11,12980770831
2000-05-12,13433062498
2000-05-15,14925624997
2000-05-16,15151770831
2000-05-17,15061312497
2000-05-18,14541177081
2000-05-19,15196999997
2000-05-22,15129156247
2000-05-23,15151770831
2000-05-24,15784979164
2000-05-25,15468374997
2000-05-26,15151770831
2000-05-30,14609020831
2000-05-31,14428104164
2000-06-01,14609020831
2000-06-02,13953197914
2000-06-05,14088885414
2000-06-06,14269802081
2000-06-07,14767322914
2000-06-08,14925624997
2000-06-09,14925624997
2000-06-12,15287458331
2000-06-13,15129156247
2000-06-14,15151770831
2000-06-15,15219614581
2000-06-16,14088885414
2000-06-19,14269802081
2000-06-20,13885354164
2000-06-21,13772281247
2000-06-22,13116458331
2000-06-23,12958156248
2000-06-26,15061312497
2000-06-27,15264843747
2000-06-28,14405489581
2000-06-29,14948239581
2000-06-30,14471451921
2000-07-03,14805923074
2000-07-05,15184990382
2000-07-06,15140394228
2000-07-07,14716730767
2000-07-10,14716730767
2000-07-11,14136980767
2000-07-12,13757913459
2000-07-13,13557230767
2000-07-14,13445740382
2000-07-17,12843692305
2000-07-18,13111269228
2000-07-19,13780211536
2000-07-20,13891701921
2000-07-21,13824807690
2000-07-24,13512634613
2000-07-25,13913999998
2000-07-26,13713317305
2000-07-27,13847105767
2000-07-28,14003192305
2000-07-31,13757913459
2000-08-01,14025490382
2000-08-02,14136980767
2000-08-03,14359961536
2000-08-04,14493749998
2000-08-07,15251884613
2000-08-08,15519461536
2000-08-09,15184990382
2000-08-10,15630951920
2000-08-11,16879644228
2000-08-14,17169519228
2000-08-15,17660076920
2000-08-16,18083740382
2000-08-17,18462807689
2000-08-18,17526288459
2000-08-21,17526288459
2000-08-22,17392499997
2000-08-23,17303307689
2000-08-24,17303307689
2000-08-25,17459394228
2000-08-28,17303307689
2000-08-29,16857346151
2000-08-30,16411384613
2000-08-31,16143807690
2000-09-01,15943124997
2000-09-05,16299894228
2000-09-06,16143807690
2000-09-07,16210701920
2000-09-08,16076913459
2000-09-11,16166105767
2000-09-12,16166105767
2000-09-13,15296480767
2000-09-14,14939711536
2000-09-15,14783624997
2000-09-18,14538346151
2000-09-19,14805923074
2000-09-20,14203874998
