,MAS
2000-01-03,9626550000
2000-01-04,9387300000
2000-01-05,8961000000
2000-01-06,9056700000
2000-01-07,9387300000
2000-01-10,9126300000
2000-01-11,8934900000
2000-01-12,8791350000
2000-01-13,8769600000
2000-01-14,8839200000
2000-01-18,8887050000
2000-01-19,8961000000
2000-01-20,8647800000
2000-01-21,8626050000
2000-01-24,7621200000
2000-01-25,7503750000
2000-01-26,7525500000
2000-01-27,7860450000
2000-01-28,7503750000
2000-01-31,7621200000
2000-02-01,7738650000
2000-02-02,7642950000
2000-02-03,7360200000
2000-02-04,7073100000
2000-02-07,7168800000
2000-02-08,6999150000
2000-02-09,6833850000
2000-02-10,6616350000
2000-02-11,6594600000
2000-02-14,7120950000
2000-02-15,7503750000
2000-02-16,7642950000
2000-02-17,7908300000
2000-02-18,7573350000
2000-02-22,7238400000
2000-02-23,7168800000
2000-02-24,7142700000
2000-02-25,7047000000
2000-02-28,6903450000
2000-02-29,6833850000
2000-03-01,6951300000
2000-03-02,6929550000
2000-03-03,6738150000
2000-03-06,6664200000
2000-03-07,6929550000
2000-03-08,7264500000
2000-03-09,6977400000
2000-03-10,7025249999
2000-03-13,7216650000
2000-03-14,7073100000
2000-03-15,7381949999
2000-03-16,8265000000
2000-03-17,8408549999
2000-03-20,8578199999
2000-03-21,8530350000
2000-03-22,8312850000
2000-03-23,8695650000
2000-03-24,8865300000
2000-03-27,8613000000
2000-03-28,8408549999
2000-03-29,8291099999
2000-03-30,8312850000
2000-03-31,7951415000
2000-04-03,8728455000
2000-04-04,8534194999
2000-04-05,8679890000
2000-04-06,8534194999
2000-04-07,8463555000
2000-04-10,8388500000
2000-04-11,8852075000
2000-04-12,9554060000
2000-04-13,9381875000
2000-04-14,9094900000
2000-04-17,8825585000
2000-04-18,8631325000
2000-04-19,8754945000
2000-04-20,8679890000
2000-04-24,8706380000
2000-04-25,8534194999
2000-04-26,8728455000
2000-04-27,8900640000
2000-04-28,8706380000
2000-05-01,8777020000
2000-05-02,8825585000
2000-05-03,8322275000
2000-05-04,8026470000
2000-05-05,8269295000
2000-05-08,8026470000
2000-05-09,8145675000
2000-05-10,7902849999
2000-05-11,7929340000
2000-05-12,7916095000
2000-05-15,7977905000
2000-05-16,8123599999
2000-05-17,8123599999
2000-05-18,7783645000
2000-05-19,7708590000
2000-05-22,7686515000
2000-05-23,7832209999
2000-05-24,7664440000
2000-05-25,7664440000
2000-05-26,7518745000
2000-05-30,7805720000
2000-05-31,7624705000
2000-06-01,7999980000
2000-06-02,8220730000
2000-06-05,8013224999
2000-06-06,7951415000
2000-06-07,7324485000
2000-06-08,7178790000
2000-06-09,6984530000
2000-06-12,6763780000
2000-06-13,6887400000
2000-06-14,6887400000
2000-06-15,7033095000
2000-06-16,7275920000
2000-06-19,7187620000
2000-06-20,7178790000
2000-06-21,7165545000
2000-06-22,7019850000
2000-06-23,6971285000
2000-06-26,6993360000
2000-06-27,7381879999
2000-06-28,7350974999
2000-06-29,7178790000
2000-06-30,7081042854
2000-07-03,7473690473
2000-07-05,7598623806
2000-07-06,7790485710
2000-07-07,7620933330
2000-07-10,7549542853
2000-07-11,7598623806
2000-07-12,7451380949
2000-07-13,7500461901
2000-07-14,7304138092
2000-07-17,7509385711
2000-07-18,7670014282
2000-07-19,7745866663
2000-07-20,7839566663
2000-07-21,7768176187
2000-07-24,7866338091
2000-07-25,7817257139
2000-07-26,7888647615
2000-07-27,7888647615
2000-07-28,7817257139
2000-07-31,7745866663
2000-08-01,7937728568
2000-08-02,7986809520
2000-08-03,7647704758
2000-08-04,7670014282
2000-08-07,7937728568
2000-08-08,8673942853
2000-08-09,8160823806
2000-08-10,7986809520
2000-08-11,8477619044
2000-08-14,8232214282
2000-08-15,8035890472
2000-08-16,7937728568
2000-08-17,7866338091
2000-08-18,7790485710
2000-08-21,7790485710
2000-08-22,7790485710
2000-08-23,7549542853
2000-08-24,7473690473
2000-08-25,7620933330
2000-08-28,7696785711
2000-08-29,7571852377
2000-08-30,7522771425
2000-08-31,7652166663
2000-09-01,7647704758
2000-09-05,7549542853
2000-09-06,7696785711
2000-09-07,7522771425
2000-09-08,7647704758
2000-09-11,7768176187
2000-09-12,7451380949
2000-09-13,7473690473
2000-09-14,7522771425
2000-09-15,7620933330
2000-09-18,7277366663
2000-09-19,7255057139
2000-09-20,7179204758
2000-09-21,7031961901
2000-09-22,7130123806
2000-09-25,7228285711
2000-09-26,7009652377
2000-09-27,7031961901
2000-09-28,7228285711
