,T
2000-01-03,120965519999
2000-01-04,113426400000
2000-01-05,115192320000
2000-01-06,112135920000
2000-01-07,113086799999
2000-01-10,114716880000
2000-01-11,113086799999
2000-01-12,107177760000
2000-01-13,104596800000
2000-01-14,107483400000
2000-01-18,105411840000
2000-01-19,103985520000
2000-01-20,105106200000
2000-01-21,110234160000
2000-01-24,107653200000
2000-01-25,102219600000
2000-01-26,102525240000
2000-01-27,101574360000
2000-01-28,100589520000
2000-01-31,109894560000
2000-02-01,108604080000
2000-02-02,108943680000
2000-02-03,107653200000
2000-02-04,107653200000
2000-02-07,107347560000
2000-02-08,107823000000
2000-02-09,109249320000
2000-02-10,107958840000
2000-02-11,103000680000
2000-02-14,104766600000
2000-02-15,103815720000
2000-02-16,100114080000
2000-02-17,98348160000
2000-02-18,93390000000
2000-02-22,92914560000
2000-02-23,90367560000
2000-02-24,90673200000
2000-02-25,90843000000
2000-02-28,94850280000
2000-02-29,97567080000
2000-03-01,106362720000
2000-03-02,115328160000
2000-03-03,116788440000
2000-03-06,111185040000
2000-03-07,107653200000
2000-03-08,106702320000
2000-03-09,106702320000
2000-03-10,107653200000
2000-03-13,112305720000
2000-03-14,107958840000
2000-03-15,108943680000
2000-03-16,115667760000
2000-03-17,117263880000
2000-03-20,113901840000
2000-03-21,115973400000
2000-03-22,111015239999
2000-03-23,111660480000
2000-03-24,110234160000
2000-03-27,110709600000
2000-03-28,108943680000
2000-03-29,108298440000
2000-03-30,107347560000
2000-03-31,107958840000
2000-04-03,114716880000
2000-04-04,117909120000
2000-04-05,118724160000
2000-04-06,121101359999
2000-04-07,118860000000
2000-04-10,118554359999
2000-04-11,121101359999
2000-04-12,120456120000
2000-04-13,118078920000
2000-04-14,109249320000
2000-04-17,107007960000
2000-04-18,104766600000
2000-04-19,107483400000
2000-04-20,105581640000
2000-04-24,108298440000
2000-04-25,115192320000
2000-04-26,112781160000
2000-04-27,110845440000
2000-04-28,112305720000
2000-05-01,114377280000
2000-05-02,108604080000
2000-05-03,107483400000
2000-05-04,105242040000
2000-05-05,110234160000
2000-05-08,109894560000
2000-05-09,108468240000
2000-05-10,115667760000
2000-05-11,116788440000
2000-05-12,114920640000
2000-05-15,117909120000
2000-05-16,117094079999
2000-05-17,116143200000
2000-05-18,115226280000
2000-05-19,109419120000
2000-05-22,108943680000
2000-05-23,107177760000
2000-05-24,110539799999
2000-05-25,107823000000
2000-05-26,109249320000
2000-05-30,113426400000
2000-05-31,111966120000
2000-06-01,114716880000
2000-06-02,115328160000
2000-06-05,113596200000
2000-06-06,116143200000
2000-06-07,118860000000
2000-06-08,120456120000
2000-06-09,123342720000
2000-06-12,120150480000
2000-06-13,122697480000
2000-06-14,128165040000
2000-06-15,124803000000
2000-06-16,121101359999
2000-06-19,122697480000
2000-06-20,120965519999
2000-06-21,123342720000
2000-06-22,125923680000
2000-06-23,124463400000
2000-06-26,121576799999
2000-06-27,119335440000
2000-06-28,115022519999
2000-06-29,116788440000
2000-06-30,110551680000
2000-07-03,119019180000
2000-07-05,116953110000
2000-07-06,111195210000
2000-07-07,114412860000
2000-07-10,114548340000
2000-07-11,113599980000
2000-07-12,114887040000
2000-07-13,116953110000
2000-07-14,116004750000
2000-07-17,110721029999
2000-07-18,111059730000
2000-07-19,111669390000
2000-07-20,110246849999
2000-07-21,109942020000
2000-07-24,110551680000
2000-07-25,112177439999
2000-07-26,110246849999
2000-07-27,109433970000
2000-07-28,108654960000
2000-07-31,108824310000
2000-08-01,111669390000
2000-08-02,113295150000
2000-08-03,112651620000
2000-08-04,112312919999
2000-08-07,113430630000
2000-08-08,108654960000
2000-08-09,106419540000
2000-08-10,108180780000
2000-08-11,108485610000
2000-08-14,107198550000
2000-08-15,107537250000
2000-08-16,105606660000
2000-08-17,100492290000
2000-08-18,101779350000
2000-08-21,102422880000
2000-08-22,102253530000
2000-08-23,103066410000
2000-08-24,103540590000
2000-08-25,104319600000
2000-08-28,106724370000
2000-08-29,108180780000
2000-08-30,106724370000
2000-08-31,106724370000
2000-09-01,109772669999
2000-09-05,110416200000
2000-09-06,109772669999
2000-09-07,109298490000
2000-09-08,115835400000
2000-09-11,117427290000
2000-09-12,116648279999
2000-09-13,116004750000
2000-09-14,114717689999
2000-09-15,113599980000
2000-09-18,114548340000
2000-09-19,116309580000
2000-09-20,113769330000
2000-09-21,119357880000
2000-09-22,122372310000
2000-09-25,124641599999
2000-09-26,124133550000
2000-09-27,121254599999
2000-09-28,127351200000
2000-09-29,127825380000
2000-10-02,127616830000
2000-10-03,127279129999
2000-10-04,131905620000
2000-10-05,136532110000
2000-10-06,135890480000
2000-10-09,133661660000
2000-10-10,129845650000
2000-10-11,125219160000
2000-10-12,127110280000
2000-10-13,127751910000
2000-10-16,129339099999
2000-10-17,133661660000
2000-10-18,134303290000
2000-10-19,132716099999
2000-10-20,129339099999
2000-10-23,137950450000
2000-10-24,137308819999
2000-10-25,139706490000
2000-10-26,138760930000
2000-10-27,143522500000
2000-10-30,148148990000
2000-10-31,147034580000
2000-11-01,142880870000
2000-11-02,142745790000
2000-11-03,145751320000
2000-11-06,144164130000
2000-11-07,145447390000
2000-11-08,146257870000
2000-11-09,146865730000
2000-11-10,145616240000
2000-11-13,147845060000
2000-11-14,146089020000
2000-11-15,146089020000
2000-11-16,147980140000
2000-11-17,142745790000
2000-11-20,145278540000
2000-11-21,145143460000
2000-11-22,149094550000
2000-11-24,144636910000
2000-11-27,141293680000
2000-11-28,142104160000
2000-11-29,140652050000
2000-11-30,140044190000
2000-12-01,133020030000
2000-12-04,135080000000
2000-12-05,136194410000
2000-12-06,138288150000
2000-12-07,138288150000
2000-12-08,131736770000
2000-12-11,129507950000
2000-12-12,133188879999
2000-12-13,136194410000
2000-12-14,139233710000
2000-12-15,136836040000
2000-12-18,135890480000
2000-12-19,118667780000
2000-12-20,112319020000
2000-12-21,114378989999
2000-12-22,116945510000
2000-12-26,119309410000
2000-12-27,121707080000
2000-12-28,120119890000
2000-12-29,121707080000
2001-01-02,128393540000
2001-01-03,129980730000
2001-01-04,131905620000
2001-01-05,127447980000
2001-01-08,127751910000
2001-01-09,132378400000
2001-01-10,133492810000
2001-01-11,133492810000
2001-01-12,129845650000
2001-01-16,127616830000
2001-01-17,128224690000
2001-01-18,128866319999
2001-01-19,126637500000
2001-01-22,124577530000
2001-01-23,125691940000
2001-01-24,120761520000
2001-01-25,120761520000
2001-01-26,119005480000
2001-01-29,122078550000
2001-01-30,122146090000
2001-01-31,123226730000
2001-02-01,128832550000
2001-02-02,126941430000
2001-02-05,126671270000
2001-02-06,126806349999
2001-02-07,124003440000
2001-02-08,122922800000
2001-02-09,118701550000
2001-02-12,121774620000
2001-02-13,123530660000
2001-02-14,119782190000
2001-02-15,119782190000
2001-02-16,121639540000
2001-02-20,124307370000
2001-02-21,121065450000
2001-02-22,124712610000
2001-02-23,126738810000
2001-02-26,128224690000
2001-02-27,128933860000
2001-02-28,121572000000
2001-03-01,115966180000
2001-03-02,118701550000
2001-03-05,115729790000
2001-03-06,117283209999
2001-03-07,112082629999
2001-03-08,115864870000
2001-03-09,114682920000
2001-03-12,114412760000
2001-03-13,114514069999
2001-03-14,107321060000
2001-03-15,109144640000
2001-03-16,107422370000
2001-03-19,109752500000
2001-03-20,104247990000
2001-03-21,102255560000
2001-03-22,103268660000
2001-03-23,106679430000
2001-03-26,105126010000
2001-03-27,111880010000
